config_id,train_horizon,evaluation_horizon,policy,year,corridor,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_pooled,5,5,cadence85,2026,KZT,156,156,43,19,0.36538461538461536,0.4418604651162791,1.2093023255813955,37.23504016654753,74.39961645826665,96.65322581643484,0.2142154418513384,0.20685560100342146,0.7146907673223462,0.6206426181957624,33,30,0.9090909090909091,0.9090909090909091,1.303030303030303,3,2,1,0.9090909090909091
tabm_pooled,5,5,cadence85,2026,TJS,156,156,43,19,0.32051282051282054,0.4418604651162791,1.3786046511627905,31.01380022227336,49.2458540617459,84.39954309277877,0.1846519371257382,0.18285386855320865,0.7396226415094339,0.5497309573002259,33,30,0.9090909090909091,0.9090909090909091,1.303030303030303,3,2,1,0.9090909090909091
tabm_pooled,5,5,cadence85,2026,UZS,156,156,43,24,0.38461538461538464,0.5581395348837209,1.4511627906976745,23.686553979362827,44.1781507275155,95.2074463226251,0.20099293528642947,0.1947062588326939,0.7680555555555555,0.5835882440115282,33,30,0.9090909090909091,0.9090909090909091,1.303030303030303,3,2,1,0.9090909090909091
tabm_pooled,5,5,cadence90,2024,AMD,243,243,46,24,0.3497942386831276,0.5217391304347826,1.4915601023017904,68.77459762212385,86.94844406005643,44.28426348367443,0.1980244458183008,0.22201896827070336,0.7252419955323901,0.5802045411746586,51,37,0.7254901960784313,0.7254901960784313,0.9019607843137255,14,2,4,0.7254901960784313
tabm_pooled,5,5,cadence90,2024,KGS,243,243,48,28,0.37037037037037035,0.5833333333333334,1.5750000000000002,64.98194569797265,83.3471122465878,36.56222078987165,0.21260029017785298,0.23809743825875332,0.6868554829339144,0.6183621356190256,51,38,0.7450980392156863,0.7450980392156863,0.9411764705882353,13,2,4,0.7450980392156863
tabm_pooled,5,5,cadence90,2024,KZT,243,243,46,19,0.2674897119341564,0.41304347826086957,1.5441471571906347,70.03291201757042,68.86630944639714,69.72020635930873,0.20093565464439428,0.18620033660999497,0.6808124459809852,0.5908382355040985,51,37,0.7254901960784313,0.7254901960784313,0.9019607843137255,14,2,4,0.7254901960784313
tabm_pooled,5,5,cadence90,2024,TJS,243,243,47,26,0.3497942386831276,0.5531914893617021,1.5814768460575719,66.5223209975902,82.05930624572521,43.90587403237797,0.20099650507436417,0.22395602405875595,0.7189873417721518,0.5874894685152153,51,37,0.7254901960784313,0.7254901960784313,0.9215686274509803,14,2,4,0.7254901960784313
tabm_pooled,5,5,cadence90,2024,UZS,243,243,47,25,0.3292181069958848,0.5319148936170213,1.6156914893617018,71.03571183052887,81.26211953259292,41.695942150663576,0.18618028839736597,0.21032774366238677,0.7409509202453987,0.5517352378611393,51,37,0.7254901960784313,0.7254901960784313,0.9215686274509803,14,2,4,0.7254901960784313
tabm_pooled,5,5,cadence90,2025,AMD,242,242,71,21,0.2190082644628099,0.29577464788732394,1.3505182035609886,30.109639773027904,2.631587783612138,115.46153681130703,0.1633157830773747,0.1592961705874412,0.6682639512828192,0.5056079882354427,51,50,0.9803921568627451,0.9803921568627451,1.392156862745098,1,2,1,0.9803921568627451
tabm_pooled,5,5,cadence90,2025,KGS,242,242,71,22,0.2024793388429752,0.30985915492957744,1.530324805978729,31.8849525177431,-0.91785585874492,119.00824344267762,0.164650214160298,0.15417755730194146,0.6595114729829756,0.5091742911917315,51,51,1.0,1.0,1.392156862745098,0,2,0,1.0
tabm_pooled,5,5,cadence90,2025,KZT,242,242,69,17,0.19834710743801653,0.2463768115942029,1.2421497584541066,33.4293510742652,5.183052186545092,122.76920507111205,0.1518251924097314,0.1552895131026106,0.6619415807560137,0.47603931957102635,51,51,1.0,1.0,1.3529411764705883,0,2,0,1.0
tabm_pooled,5,5,cadence90,2025,TJS,242,242,68,26,0.2892561983471074,0.38235294117647056,1.3218487394957983,37.32131023526375,25.95974903317835,110.66496122287235,0.18784170092171276,0.1977353704779077,0.6681893687707641,0.5590539946914755,51,49,0.9607843137254902,0.9607843137254902,1.3333333333333333,2,2,1,0.9607843137254902
tabm_pooled,5,5,cadence90,2025,UZS,242,242,62,20,0.19834710743801653,0.3225806451612903,1.626344086021506,34.600040230305815,11.36384602951258,129.11543163377675,0.14854311354595684,0.14363113988599444,0.7240120274914089,0.4678141093714411,51,49,0.9607843137254902,0.9607843137254902,1.2156862745098038,2,2,1,0.9607843137254902
tabm_pooled,5,5,cadence90,2026,AMD,156,156,45,21,0.3333333333333333,0.4666666666666667,1.4,21.614380608092652,46.20726125362289,88.62946165997496,0.19028799196633592,0.1884613267730353,0.73021449704142,0.5626266060394045,33,32,0.9696969696969697,0.9696969696969697,1.3636363636363635,1,2,1,0.9696969696969697
tabm_pooled,5,5,cadence90,2026,KGS,156,156,46,20,0.3076923076923077,0.43478260869565216,1.4130434782608692,24.903540843253975,41.24758687842844,94.06638635160012,0.180201936426401,0.1774496739527452,0.7511574074074073,0.534870885880984,33,32,0.9696969696969697,0.9696969696969697,1.393939393939394,1,2,1,0.9696969696969697
tabm_pooled,5,5,cadence90,2026,KZT,156,156,43,18,0.36538461538461536,0.4186046511627907,1.145654834761322,34.91082512978845,72.07540142150755,99.95967591876975,0.2142154418513384,0.20685560100342146,0.7146907673223462,0.6206426181957624,33,30,0.9090909090909091,0.9090909090909091,1.303030303030303,3,2,1,0.9090909090909091
tabm_pooled,5,5,cadence90,2026,TJS,156,156,46,20,0.32051282051282054,0.43478260869565216,1.3565217391304343,27.85374867660437,46.08580251607691,90.2050197187733,0.1846519371257382,0.18285386855320865,0.7396226415094339,0.5497309573002259,33,32,0.9696969696969697,0.9696969696969697,1.393939393939394,1,2,1,0.9696969696969697
tabm_pooled,5,5,cadence90,2026,UZS,156,156,43,25,0.38461538461538464,0.5813953488372093,1.5116279069767444,32.86806864651309,53.359665394665754,91.18766295897332,0.20099293528642947,0.1947062588326939,0.7680555555555555,0.5835882440115282,33,30,0.9090909090909091,0.9090909090909091,1.303030303030303,3,2,1,0.9090909090909091
tabm_pooled,5,5,rank80,2024,AMD,243,243,53,24,0.3497942386831276,0.4528301886792453,1.2945615982241954,56.53476461942782,74.70861105736039,54.400032178085176,0.1980244458183008,0.22201896827070336,0.7252419955323901,0.5802045411746586,51,41,0.803921568627451,0.803921568627451,1.0392156862745099,10,2,3,0.803921568627451
tabm_pooled,5,5,rank80,2024,KGS,243,243,52,29,0.37037037037037035,0.5576923076923077,1.505769230769231,60.315775929204236,78.6809424778194,46.179380223605115,0.21260029017785298,0.23809743825875332,0.6868554829339144,0.6183621356190256,51,40,0.7843137254901961,0.7843137254901961,1.0196078431372548,11,2,3,0.7843137254901961
tabm_pooled,5,5,rank80,2024,KZT,243,243,53,23,0.2674897119341564,0.4339622641509434,1.6223512336719879,62.58114656800687,61.41454399683358,75.92568024039474,0.20093565464439428,0.18620033660999497,0.6808124459809852,0.5908382355040985,51,40,0.7843137254901961,0.7843137254901961,1.0392156862745099,11,2,3,0.7843137254901961
tabm_pooled,5,5,rank80,2024,TJS,243,243,52,27,0.3497942386831276,0.5192307692307693,1.4843891402714933,59.1211016669284,74.65808691506341,52.894664918951776,0.20099650507436417,0.22395602405875595,0.7189873417721518,0.5874894685152153,51,40,0.7843137254901961,0.7843137254901961,1.0196078431372548,11,2,3,0.7843137254901961
tabm_pooled,5,5,rank80,2024,UZS,243,243,53,27,0.3292181069958848,0.5094339622641509,1.5474056603773585,63.241544112709285,73.46795181477334,51.42548250679417,0.18618028839736597,0.21032774366238677,0.7409509202453987,0.5517352378611393,51,40,0.7843137254901961,0.7843137254901961,1.0392156862745099,11,2,3,0.7843137254901961
tabm_pooled,5,5,rank80,2025,AMD,242,242,59,20,0.2190082644628099,0.3389830508474576,1.547809401982731,47.28210903604613,19.804057046630362,102.38229229274388,0.1633157830773747,0.1592961705874412,0.6682639512828192,0.5056079882354427,51,46,0.9019607843137255,0.9019607843137255,1.1568627450980393,5,2,1,0.9019607843137255
tabm_pooled,5,5,rank80,2025,KGS,242,242,64,20,0.2024793388429752,0.3125,1.5433673469387752,38.754634191027144,5.95182581453912,110.62591286065852,0.164650214160298,0.15417755730194146,0.6595114729829756,0.5091742911917315,51,50,0.9803921568627451,0.9803921568627451,1.2549019607843137,1,2,1,0.9803921568627451
tabm_pooled,5,5,rank80,2025,KZT,242,242,61,18,0.19834710743801653,0.29508196721311475,1.4877049180327873,37.437413705567685,9.191114817847575,110.93838533194638,0.1518251924097314,0.1552895131026106,0.6619415807560137,0.47603931957102635,51,49,0.9607843137254902,0.9607843137254902,1.196078431372549,2,2,1,0.9607843137254902
tabm_pooled,5,5,rank80,2025,TJS,242,242,62,24,0.2892561983471074,0.3870967741935484,1.3382488479262673,42.30699376426078,30.945432562175377,105.20990185915124,0.18784170092171276,0.1977353704779077,0.6681893687707641,0.5590539946914755,51,46,0.9019607843137255,0.9019607843137255,1.2156862745098038,5,2,1,0.9019607843137255
tabm_pooled,5,5,rank80,2025,UZS,242,242,61,20,0.19834710743801653,0.32786885245901637,1.6530054644808747,36.317407736452495,13.081213535659261,127.38861101474562,0.14854311354595684,0.14363113988599444,0.7240120274914089,0.4678141093714411,51,49,0.9607843137254902,0.9607843137254902,1.196078431372549,2,2,1,0.9607843137254902
tabm_pooled,5,5,rank80,2026,AMD,156,156,40,20,0.3333333333333333,0.5,1.5000000000000002,45.55276165552432,70.14564230105455,75.42602975946473,0.19028799196633592,0.1884613267730353,0.73021449704142,0.5626266060394045,33,31,0.9393939393939394,0.9393939393939394,1.2121212121212122,2,2,1,0.9393939393939394
tabm_pooled,5,5,rank80,2026,KGS,156,156,39,19,0.3076923076923077,0.48717948717948717,1.5833333333333326,42.9080069513844,59.252052986558866,83.68694737043673,0.180201936426401,0.1774496739527452,0.7511574074074073,0.534870885880984,33,31,0.9393939393939394,0.9393939393939394,1.1818181818181819,2,2,1,0.9393939393939394
tabm_pooled,5,5,rank80,2026,KZT,156,156,41,18,0.36538461538461536,0.43902439024390244,1.2015404364569962,53.46415167143596,90.62872796315507,82.62575103866536,0.2142154418513384,0.20685560100342146,0.7146907673223462,0.6206426181957624,33,30,0.9090909090909091,0.9090909090909091,1.2424242424242424,3,2,1,0.9090909090909091
tabm_pooled,5,5,rank80,2026,TJS,156,156,37,19,0.32051282051282054,0.5135135135135135,1.6021621621621616,51.81206966976406,70.04412350923661,73.91358453740531,0.1846519371257382,0.18285386855320865,0.7396226415094339,0.5497309573002259,33,29,0.8787878787878788,0.8787878787878788,1.121212121212121,4,2,1,0.8787878787878788
