period,evaluation_scope,config_id,train_horizon,policy,qualified,preferred90,gate_shortfall,min_cell_coverage,min_cell_lift,min_cell_forward_delta_bps,mean_brier,cells,passed_cells,rank
retrospective_2024_2026,all5,v3,5,rank90_shared,False,False,0.012636624771217202,0.8235294117647058,1.1729323308270678,15.636196468942844,0.18757753951445652,15,12,8
retrospective_2024_2026,all5,tabm_pooled,3,rank90_shared,False,False,0.012689455011560413,0.8823529411764706,1.1960784313725494,33.955668663624216,0.18769865791303594,15,12,9
retrospective_2024_2026,all5,v3,3,cadence90,False,False,0.013551773560553204,0.7450980392156863,1.2970149253731345,35.577433560472095,0.19228068494196587,15,10,10
retrospective_2024_2026,all5,v3,5,rank90,False,False,0.01358695496514477,0.8235294117647058,1.1729323308270678,15.636196468942844,0.18757753951445652,15,12,11
retrospective_2024_2026,all5,v3,3,rank90,False,False,0.01446289179272336,0.8235294117647058,1.1643690349946985,15.664465344382497,0.19228068494196587,15,10,12
retrospective_2024_2026,all5,v3,3,rank90_shared,False,False,0.014552983577331483,0.8431372549019608,1.190243902439025,21.13103697122696,0.19228068494196587,15,11,13
retrospective_2024_2026,all5,v3,5,cadence85,False,False,0.015661942997138974,0.7647058823529411,1.134788189987163,13.083139874337506,0.18757753951445652,15,11,14
retrospective_2024_2026,all5,v3,3,cadence85,False,False,0.023028897743559738,0.7058823529411765,1.2970149253731345,36.95010946301689,0.19228068494196587,15,9,15
retrospective_2024_2026,all5,tabm_pooled,5,rank90_shared,False,False,0.024660181685387934,0.8431372549019608,1.0680359435173299,15.672851068307525,0.185684228725573,15,11,16
retrospective_2024_2026,all5,v3,5,cadence90,False,False,0.026620192100068288,0.7647058823529411,0.9952153110047847,13.436265765125261,0.18757753951445652,15,11,17
retrospective_2024_2026,all5,v3,3,cadence80,False,False,0.03201600330660911,0.7058823529411765,1.27470754336426,36.95010946301689,0.19228068494196587,15,8,18
retrospective_2024_2026,all5,v3,5,cadence80,False,False,0.03259373925008603,0.6862745098039216,1.231578947368421,22.56450357050418,0.18757753951445652,15,8,19
retrospective_2024_2026,all5,tabm_pooled,5,rank90,False,False,0.038983765369873864,0.8431372549019608,1.0680359435173299,14.22873394364243,0.185684228725573,15,10,20
retrospective_2024_2026,all5,tabm_pooled,3,cadence80,False,False,0.03998350201159683,0.6274509803921569,1.291400142146411,36.43740815985446,0.18769865791303594,15,10,21
retrospective_2024_2026,all5,tabm_pooled,5,cadence90,False,False,0.04029358043842451,0.7254901960784313,1.145654834761322,21.614380608092652,0.185684228725573,15,8,22
retrospective_2024_2026,all5,tabm_pooled,5,cadence85,False,False,0.05336947583126136,0.6470588235294118,1.2093023255813955,23.686553979362827,0.185684228725573,15,8,23
retrospective_2024_2026,all5,tabm_pooled,5,cadence80,False,False,0.08994528043775654,0.6078431372549019,1.2093023255813955,23.686553979362827,0.185684228725573,15,5,24
retrospective_2024_2026,all5,tabm_pooled,3,strict05,False,False,0.1762032085561498,0.37254901960784315,1.4534883720930236,38.399106956540194,0.18769865791303594,15,1,25
retrospective_2024_2026,all5,v3,3,strict05,False,False,0.25252525252525265,0.39215686274509803,1.3095238095238098,18.93670041250858,0.19228068494196587,15,0,26
retrospective_2024_2026,all5,v3,5,strict05,False,False,0.5004456327985739,0.12121212121212122,1.5453100158982511,69.94637158767908,0.18757753951445652,15,0,27
retrospective_2024_2026,all5,tabm_pooled,5,strict05,False,False,0.5067965684910606,0.058823529411764705,1.2891246684350133,34.507372655419466,0.185684228725573,15,0,28
retrospective_2024_2026,KZT,tabm_kzt,5,rank90,True,False,0.0,0.8235294117647058,1.368421052631579,12.632923289096176,0.17455381564184694,3,3,1
retrospective_2024_2026,KZT,tabm_kzt,5,rank90_shared,True,False,0.0,0.8235294117647058,1.368421052631579,12.632923289096176,0.17455381564184694,3,3,2
retrospective_2024_2026,KZT,tabm_pooled,3,cadence80,False,False,0.0022050917573305322,0.8235294117647058,1.291400142146411,43.939485908264885,0.19225708838288078,3,2,3
retrospective_2024_2026,KZT,tabm_pooled,3,cadence85,False,False,0.0022050917573305322,0.8235294117647058,1.291400142146411,43.939485908264885,0.19225708838288078,3,2,4
retrospective_2024_2026,KZT,v3,3,cadence85,False,False,0.00730135146289668,0.7843137254901961,1.2970149253731345,37.47615731265274,0.20432305184650904,3,1,5
retrospective_2024_2026,KZT,v3,3,cadence90,False,False,0.00730135146289668,0.7843137254901961,1.2970149253731345,35.577433560472095,0.20432305184650904,3,1,6
retrospective_2024_2026,KZT,tabm_pooled,3,rank80,False,False,0.007742353322146623,0.8431372549019608,1.2698048220436282,39.89256378093728,0.19225708838288078,3,2,7
retrospective_2024_2026,KZT,tabm_pooled,3,cadence90,False,False,0.00990574853816777,0.8235294117647058,1.2613675807011457,39.141136388015674,0.19225708838288078,3,2,8
retrospective_2024_2026,KZT,v3,5,rank80,False,False,0.013056997442862775,0.7843137254901961,1.2781690140845074,15.636196468942844,0.19467076379292578,3,0,9
retrospective_2024_2026,KZT,v3,3,rank80,False,False,0.013963877769847888,0.8431372549019608,1.2708333333333333,21.13103697122696,0.20432305184650904,3,1,10
retrospective_2024_2026,KZT,tabm_pooled,3,rank90,False,False,0.015882127822426314,0.8823529411764706,1.2380597014925374,42.936015274344115,0.19225708838288078,3,2,11
retrospective_2024_2026,KZT,tabm_kzt,3,rank80,False,False,0.016601971825852404,0.8627450980392157,1.2352523098791757,36.47286866156814,0.17962263279766724,3,2,12
retrospective_2024_2026,KZT,tabm_kzt,3,rank90,False,False,0.016601971825852404,0.8627450980392157,1.2352523098791757,20.60295711285022,0.17962263279766724,3,2,13
retrospective_2024_2026,KZT,tabm_kzt,3,rank90_shared,False,False,0.016601971825852404,0.8627450980392157,1.2352523098791757,20.60295711285022,0.17962263279766724,3,2,14
retrospective_2024_2026,KZT,v3,5,cadence80,False,False,0.017543859649122803,0.803921568627451,1.231578947368421,22.56450357050418,0.19467076379292578,3,2,15
retrospective_2024_2026,KZT,tabm_kzt,5,rank80,False,False,0.022875816993464065,0.7450980392156863,1.558333333333334,44.357998153225154,0.17455381564184694,3,2,16
retrospective_2024_2026,KZT,v3,3,rank90,False,False,0.023360760301058825,0.8431372549019608,1.2380597014925374,21.13103697122696,0.20432305184650904,3,1,17
retrospective_2024_2026,KZT,tabm_pooled,3,rank90_shared,False,False,0.023624840151960633,0.8823529411764706,1.2078631234073536,40.502933000679555,0.19225708838288078,3,2,18
retrospective_2024_2026,KZT,v3,3,cadence80,False,False,0.029361062284679443,0.7450980392156863,1.27470754336426,46.5301756439262,0.20432305184650904,3,1,19
retrospective_2024_2026,KZT,v3,3,rank90_shared,False,False,0.03144644992093793,0.8431372549019608,1.206525511975009,21.13103697122696,0.20432305184650904,3,1,20
retrospective_2024_2026,KZT,tabm_pooled,5,rank80,False,False,0.03178198964652188,0.7843137254901961,1.2015404364569962,37.437413705567685,0.18899209630182137,3,1,21
retrospective_2024_2026,KZT,v3,5,rank90,False,False,0.03817914233036534,0.8235294117647058,1.1729323308270678,15.636196468942844,0.19467076379292578,3,1,22
retrospective_2024_2026,KZT,v3,5,rank90_shared,False,False,0.03817914233036534,0.8235294117647058,1.1729323308270678,15.636196468942844,0.19467076379292578,3,1,23
retrospective_2024_2026,KZT,tabm_kzt,5,cadence90,False,False,0.0392156862745098,0.7058823529411765,1.4335839598997495,15.845381115831321,0.17455381564184694,3,2,24
retrospective_2024_2026,KZT,v3,5,cadence85,False,False,0.04236200256739411,0.803921568627451,1.134788189987163,13.083139874337506,0.19467076379292578,3,2,25
retrospective_2024_2026,KZT,tabm_pooled,5,cadence80,False,False,0.0543015655874753,0.7254901960784313,1.2093023255813955,37.23504016654753,0.18899209630182137,3,1,26
retrospective_2024_2026,KZT,tabm_kzt,5,cadence85,False,False,0.05555555555555559,0.6666666666666666,1.5052631578947369,44.95737221465642,0.17455381564184694,3,2,27
retrospective_2024_2026,KZT,tabm_pooled,5,rank90_shared,False,False,0.05947796320068465,0.8627450980392157,1.0680359435173299,16.34444107121877,0.18899209630182137,3,2,28
retrospective_2024_2026,KZT,tabm_pooled,5,cadence85,False,False,0.0691349608556531,0.7254901960784313,1.2093023255813955,33.4293510742652,0.18899209630182137,3,0,29
retrospective_2024_2026,KZT,tabm_kzt,3,cadence90,False,False,0.07112751976667692,0.7843137254901961,1.0480928689883915,22.505258186812277,0.17962263279766724,3,1,30
retrospective_2024_2026,KZT,v3,5,cadence90,False,False,0.07814992025518343,0.803921568627451,0.9952153110047847,13.436265765125261,0.19467076379292578,3,2,31
retrospective_2024_2026,KZT,tabm_pooled,5,cadence90,False,False,0.08545483029669759,0.7254901960784313,1.145654834761322,33.4293510742652,0.18899209630182137,3,0,32
