config_id,train_horizon,evaluation_horizon,policy,year,evaluation_scope,cohort,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt,3,5,cadence90,2025,KZT,common_H5_dates_frozen_contacts,242,242,58,20,0.19834710743801653,0.3448275862068966,1.738505747126437,57.023088619511825,28.7767897317917,105.44943160135928,,,,,51,45,0.8823529411764706,0.8823529411764706,1.1372549019607843,6,2,1,0.8823529411764706
tabm_kzt,3,3,cadence90,2026,KZT,common_H5_dates_frozen_contacts,156,156,44,20,0.4230769230769231,0.45454545454545453,1.0743801652892562,23.163328173157005,47.38629272733625,70.21499760732434,0.18817562467531046,0.19209396819261465,0.795959595959596,0.5542340225795723,33,32,0.9696969696969697,0.9696969696969697,1.3333333333333333,1,2,1,0.9696969696969697
tabm_kzt,3,5,cadence90,2026,KZT,common_H5_dates_frozen_contacts,156,156,44,19,0.36538461538461536,0.4318181818181818,1.1818181818181819,25.108540114617448,62.27311640633656,102.71691599601633,,,,,33,32,0.9696969696969697,0.9696969696969697,1.3333333333333333,1,2,1,0.9696969696969697
tabm_kzt,3,3,rank80,2024,KZT,common_H5_dates_frozen_contacts,243,243,55,28,0.3333333333333333,0.509090909090909,1.527272727272728,55.82415400992148,54.39395861271448,48.504927009877186,0.19202365767409543,0.21228892318135817,0.7448559670781894,0.5626184898569365,51,43,0.8431372549019608,0.8431372549019608,1.0784313725490196,8,2,3,0.8431372549019608
tabm_kzt,3,5,rank80,2024,KZT,common_H5_dates_frozen_contacts,243,243,55,23,0.2674897119341564,0.41818181818181815,1.5633566433566426,61.88298778888349,60.71638521771022,82.76983444088164,,,,,51,43,0.8431372549019608,0.8431372549019608,1.0784313725490196,8,2,3,0.8431372549019608
tabm_kzt,3,3,rank80,2025,KZT,common_H5_dates_frozen_contacts,242,242,60,25,0.2644628099173554,0.4166666666666667,1.5755208333333337,48.2735351129733,29.565777495103912,59.99105410553895,0.16018257540471678,0.16133452107790847,0.7618504213483147,0.4911557001671538,51,47,0.9215686274509803,0.9215686274509803,1.1764705882352942,4,2,1,0.9215686274509803
tabm_kzt,3,5,rank80,2025,KZT,common_H5_dates_frozen_contacts,242,242,60,19,0.19834710743801653,0.31666666666666665,1.596527777777778,47.17073833416074,18.92443944644062,112.97083777519491,,,,,51,47,0.9215686274509803,0.9215686274509803,1.1764705882352942,4,2,1,0.9215686274509803
tabm_kzt,3,3,rank80,2026,KZT,common_H5_dates_frozen_contacts,156,156,42,22,0.4230769230769231,0.5238095238095238,1.2380952380952381,37.30014700410708,61.52311155828633,64.17114358404645,0.18817562467531046,0.19209396819261465,0.795959595959596,0.5542340225795723,33,32,0.9696969696969697,0.9696969696969697,1.2727272727272727,1,2,1,0.9696969696969697
tabm_kzt,3,5,rank80,2026,KZT,common_H5_dates_frozen_contacts,156,156,42,20,0.36538461538461536,0.47619047619047616,1.3032581453634087,34.34024281682515,71.50481910854427,99.64267312367204,,,,,33,32,0.9696969696969697,0.9696969696969697,1.2727272727272727,1,2,1,0.9696969696969697
tabm_kzt,3,3,rank90,2024,KZT,common_H5_dates_frozen_contacts,243,243,58,26,0.3333333333333333,0.4482758620689655,1.3448275862068968,47.690022326548565,46.259826929341564,51.61501043916703,0.19202365767409543,0.21228892318135817,0.7448559670781894,0.5626184898569365,51,43,0.8431372549019608,0.8431372549019608,1.1372549019607843,8,2,3,0.8431372549019608
