config_id,train_horizon,evaluation_horizon,policy,evaluation_scope,cohort,period,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt,5,5,rank90_shared,KZT,native_matured,2024-2026,641,641,173,65,0.26521060842433697,0.37572254335260113,1.4274518737308257,33.67842891123581,30.83410402133043,105.80937944810411,0.17136951642488152,0.1832913591778014,0.7321968277756962,0.5147258062047264,135,122,0.9037037037037037,0.9079025549613785,1.2814814814814814,13,2,3,0.8235294117647058
tabm_kzt,5,5,strict05,KZT,native_matured,2024-2026,641,641,49,27,0.26521060842433697,0.5510204081632653,1.9350488669797137,93.01756377596772,98.61117377815087,75.50857895011293,0.17136951642488152,0.1832913591778014,0.7321968277756962,0.5147258062047264,135,46,0.34074074074074073,0.35056446821152704,0.362962962962963,89,2,13,0.1568627450980392
tabm_pooled,3,3,cadence80,all5,native_matured,2024-2026,3235,647,689,375,0.3517774343122102,0.5442670537010159,1.546825036609981,53.96396218260733,55.10705922424525,46.37314603412198,0.187255265238081,0.19355123171274372,0.7521951603805922,0.5560088459958911,675,552,0.8177777777777778,0.8356506238859178,1.0207407407407407,123,2,4,0.6274509803921569
tabm_pooled,3,3,cadence80,KZT,native_matured,2024-2026,647,647,149,77,0.32921174652241114,0.5167785234899329,1.544397390183058,51.84489494374796,52.19352664784837,55.30446758432343,0.19039855357996424,0.1897561256395929,0.7325458125094654,0.5665138166097,135,117,0.8666666666666667,0.8787878787878788,1.1037037037037036,18,2,4,0.8235294117647058
tabm_pooled,3,3,cadence85,all5,native_matured,2024-2026,3235,647,760,396,0.3517774343122102,0.5210526315789473,1.486722148732219,46.96331708701716,47.68004606057603,50.5376229161092,0.187255265238081,0.19355123171274372,0.7521951603805922,0.5560088459958911,675,590,0.8740740740740741,0.885323826500297,1.125925925925926,85,2,4,0.7450980392156863
tabm_pooled,3,3,cadence85,KZT,native_matured,2024-2026,647,647,152,78,0.32921174652241114,0.5131578947368421,1.5401469101136984,53.71630721208081,53.689938454243354,55.39381493700757,0.19039855357996424,0.1897561256395929,0.7325458125094654,0.5665138166097,135,117,0.8666666666666667,0.8787878787878788,1.125925925925926,18,2,4,0.8235294117647058
tabm_pooled,3,3,cadence90,all5,native_matured,2024-2026,3235,647,820,414,0.3517774343122102,0.5048780487804878,1.4392037933456934,43.64770430825592,44.368915695188214,52.0555950762178,0.187255265238081,0.19355123171274372,0.7521951603805922,0.5560088459958911,675,609,0.9022222222222223,0.9080213903743315,1.2148148148148148,66,2,4,0.8235294117647058
tabm_pooled,3,3,cadence90,KZT,native_matured,2024-2026,647,647,164,80,0.32921174652241114,0.4878048780487805,1.482749619834306,47.12392500530421,46.00122307236008,56.80082811083515,0.19039855357996424,0.1897561256395929,0.7325458125094654,0.5665138166097,135,123,0.9111111111111111,0.9144385026737968,1.2148148148148148,12,2,4,0.8235294117647058
tabm_pooled,3,3,rank80,all5,native_matured,2024-2026,3235,647,792,400,0.3517774343122102,0.5050505050505051,1.441909911107589,45.20673670149895,45.67591172299235,50.28261057660935,0.187255265238081,0.19355123171274372,0.7521951603805922,0.5560088459958911,675,590,0.8740740740740741,0.877480689245395,1.1733333333333333,85,2,3,0.803921568627451
tabm_pooled,3,3,rank80,KZT,native_matured,2024-2026,647,647,160,79,0.32921174652241114,0.49375,1.507564224012482,46.586657922403475,45.03589028558806,57.23826870698254,0.19039855357996424,0.1897561256395929,0.7325458125094654,0.5665138166097,135,121,0.8962962962962963,0.8978015448603683,1.1851851851851851,14,2,3,0.8431372549019608
