scenario,seed,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
base,8103,group_unconstrained_exploratory,8.276936026936028,4.442424242424242,1.511195286195286,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,249.21704911994,240.94011309300396,0.0,89336.6700286961,6.3255050505050505,0.5278619528619529,3.211363636363636,219.1096615368746,3.1699494949494946,2.3593708584154136,48.21428571428571,0.1716697842623769,0.536723278755212,0.38798942337028364,0.3829858639275907,0.28505365400157745,26.472315458741686,5.555311785157185,0.10293576936870619
base,8103,random_expected_budget,4.477609427609428,2.3873737373737374,0.8137205387205388,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,23.501148017752655,19.023538590143225,0.0,57544.84043768056,3.541666666666666,0.36077441077441075,1.3036195286195285,-7.585378866909405,1.3036195286195285,1.2427084919056863,48.21428571428571,0.09286893627634371,0.5331804338835207,0.29114185810429744,0.29114185810429744,0.27753838560438304,-1.6940688975990474,0.5238654618886541,0.013603472499914393
base,8103,universal,7.560269360269359,3.9573232323232324,1.3733164983164983,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,609.2953990990569,601.7351297387876,0.0,91058.81470403296,6.2332491582491585,0.3919191919191919,3.469360269360269,393.4459580087712,4.596127946127947,2.1723585261377982,48.21428571428571,0.15680558673151265,0.523436804132894,0.45889373830943264,0.6079317716219829,0.287338773609569,52.04126192598426,13.581839297150317,0.17155496469986364
base,8103,universal_expected_budget,3.6247474747474744,1.9773569023569022,0.68493265993266,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,417.0253405579633,413.40059308321577,0.0,43335.19558990637,3.2253367003367,0.18005050505050504,1.7006734006734006,185.23933850428784,2.2037037037037037,1.033654557008371,48.21428571428571,0.07517994762439208,0.5455157679624727,0.4691839673029585,0.6079606149273141,0.2851659499619026,51.10406719220983,9.295936202165239,0.18401801734105594
base,8103,v3_readiness,5.820707070707071,3.2488215488215486,1.1112794612794612,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,516.8309681242961,511.0102610535889,0.0,82205.41984540528,5.03526936026936,0.3245791245791245,2.4458754208754208,245.1809167467572,2.4458754208754208,1.6509928613491485,48.21428571428571,0.12072577628133185,0.5581489515545914,0.4202024584237165,0.4202024584237165,0.28364128984566717,42.122187866254166,11.520709270469316,0.13656116857804934
base,8103,weekly_expected_budget,4.419781144781145,2.5976430976430978,0.8928451178451178,8.058922558922559,8.058922558922559,448610.3728431661,448610.3728431661,27.944069275038427,23.524288130257286,0.0,58732.636945544116,3.7643097643097643,0.39755892255892256,1.2121212121212122,-30.845385035425267,1.2121212121212122,1.225246624734607,48.21428571428571,0.09166953485472006,0.5877311596549032,0.2742491477326833,0.2742491477326833,0.27721884514154554,-6.978939459897769,0.6229028789043997,-0.0029696974088622707
contact_cost10,8101,group_aware,4.4037037037037035,2.819023569023569,0.8613636363636363,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,125.29034658134705,81.25330954431004,0.0,49999.72257928652,3.725420875420875,0.2894781144781145,1.615740740740741,119.20063001788279,1.1735690235690235,1.2733075597149328,48.21428571428571,0.0913360768175583,0.6401483293829804,0.3669049621530699,0.2664959094732013,0.28914469396386194,27.068267539805177,2.7902118933878,0.07776026818920795
contact_cost10,8101,group_expected_budget,4.4037037037037035,2.819023569023569,0.8613636363636363,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,125.29034658134705,81.25330954431004,0.0,49999.72257928652,3.725420875420875,0.2894781144781145,1.615740740740741,119.20063001788279,1.1735690235690235,1.2733075597149328,48.21428571428571,0.0913360768175583,0.6401483293829804,0.3669049621530699,0.2664959094732013,0.28914469396386194,27.068267539805177,2.7902118933878,0.07776026818920795
contact_cost10,8101,group_unconstrained_expected_budget,4.1848484848484855,2.365909090909091,0.8258417508417508,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,107.89410803403473,66.04562318554986,0.0,50381.84379087048,3.6845117845117845,0.2710437710437711,1.477020202020202,67.20026599870519,1.4774410774410773,1.2344807823969661,48.21428571428571,0.08679685746352415,0.5653511947863866,0.35294472604392946,0.3530452972885992,0.29498816668428585,16.057992599256124,2.4027982336817253,0.05795655935964361
contact_cost10,8101,group_unconstrained_exploratory,8.202525252525252,4.583838383838384,1.51489898989899,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,293.9199669892189,211.8947144639664,0.0,92630.58853961994,6.76986531986532,0.5446969696969697,3.090740740740741,182.7143664905577,3.0025252525252526,2.3661442041040543,48.21428571428571,0.17012644968200524,0.5588325842004803,0.37680356299899437,0.3660488886152331,0.28846533613238273,22.27537994281782,6.545587988017927,0.08833822686661164
contact_cost10,8101,random_expected_budget,4.349158249158249,2.516329966329966,0.859090909090909,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,4.662333146434005,-38.82924934514849,0.0,59377.996321353094,4.20580808080808,0.3351010101010101,1.2235690235690235,-28.759820085080758,1.2235690235690235,1.2356019458567955,48.21428571428571,0.09020476368624517,0.5785786173260045,0.28133467523418754,0.28133467523418754,0.28410139964346853,-6.61273249614383,0.10383000567142704,-0.002766724409280996
contact_cost10,8101,universal,7.6089225589225595,4.1603535353535355,1.3803872053872053,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,499.69117489520295,423.60194930597737,0.0,87810.12515813328,6.3501683501683495,0.3842592592592593,3.401515151515152,359.91891843574444,4.477525252525252,2.2154880561026706,48.21428571428571,0.15781469011098645,0.5467730159081354,0.44704294532822975,0.5884571984866251,0.29116974695775966,47.30221863195172,11.128106013405269,0.1558731983704701
contact_cost10,8101,universal_expected_budget,3.5574915824915827,2.0166666666666666,0.6548821548821548,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,199.27405337748203,163.6991375525662,0.0,45654.33214528416,3.029124579124579,0.18888888888888888,1.5351851851851852,161.4818845840223,2.023905723905724,1.0219950587878943,48.21428571428571,0.07378501059982542,0.566878830182429,0.43153585878901163,0.5689137070250574,0.287279684319622,45.39206371668327,4.437826607945741,0.14425617446938965
contact_cost10,8101,v3_readiness,5.589814814814815,3.372811447811448,1.1446127946127946,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,322.26219544454875,266.36404729640066,0.0,73912.93395732663,5.172138047138047,0.3699494949494949,2.423063973063973,242.05064150507195,2.423063973063973,1.6174716254697317,48.21428571428571,0.1159368998628258,0.6033851852967307,0.43347839836161844,0.43347839836161844,0.28936050281717907,43.3020859409438,7.1767684825968185,0.14411789554443938
contact_cost10,8101,weekly_expected_budget,4.468013468013469,2.6665824915824916,0.8806397306397307,7.870033670033671,7.870033670033671,449035.2395037027,449035.2395037027,-109.25549066356822,-153.93562534370292,0.0,57977.57144108956,4.038804713804714,0.44898989898989905,1.1151515151515152,-68.88320635746001,1.1151515151515152,1.2570380265285204,48.21428571428571,0.09266990896620529,0.5968161266013563,0.24958553127354932,0.24958553127354932,0.2813415929758632,-15.41696479891908,-2.43311618002015,-0.031756061702313876
contact_cost10,8102,group_aware,4.625252525252525,2.8643939393939393,0.9640572390572391,8.071717171717172,8.071717171717172,484053.76917414437,484053.76917414437,307.7488303286692,261.4963050761439,0.0,57955.210099564574,3.6874579124579125,0.3376262626262626,1.8474747474747475,157.52735083471623,1.3335858585858587,1.3355230402538927,48.21428571428571,0.09593116348671904,0.6192946058091287,0.39943219043459277,0.2883271456649924,0.2887459728873889,34.05810817348091,6.3577406050102,0.11068621754720387
