scenario,policy,segment,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
contact_cost10,group_unconstrained_expected_budget,occasional,2.7222222222222223,1.5305555555555554,0.5083333333333333,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,203.24593585362265,176.02371363140043,0.0,47127.19651599388,3.236111111111111,0.17222222222222222,0.9972222222222222,77.17386967606306,0.8166666666666667,0.7793393787945144,48.214285714285715,0.05646090534979424,0.5622448979591836,0.3663265306122449,0.3,0.28628793506737266,28.34958477896194,4.93406106236135,0.08003859554487225
contact_cost10,group_unconstrained_exploratory,frequent,11.947222222222223,8.030555555555555,2.7055555555555557,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,199.9677876511413,80.49556542891908,0.0,49947.86048530681,4.227777777777778,0.6777777777777778,5.069444444444445,528.602524246771,4.927777777777778,3.525708559823445,48.214285714285715,0.24779423868312758,0.6721692629621018,0.42431992559869797,0.41246221808881656,0.29510697082921183,44.2448055635521,2.930723731351365,0.12921295476948613
contact_cost10,group_unconstrained_exploratory,monthly,12.71111111111111,6.913888888888889,2.3361111111111112,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,209.34522040135053,82.2341092902394,0.0,108948.10932566319,7.775,0.8777777777777778,4.875,240.03793216714172,5.319444444444445,3.7066355162257087,48.214285714285715,0.2636378600823045,0.5439248251748252,0.3835227272727273,0.4184877622377623,0.29160594096181275,18.884103055107303,4.059856204745757,0.09191678631091454
contact_cost10,group_unconstrained_exploratory,occasional,5.358333333333333,2.9055555555555554,0.9222222222222223,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,365.9519713025253,312.368637969192,0.0,87046.96034215082,5.944444444444445,0.34444444444444444,2.025,154.28992412793866,1.6388888888888888,1.5011161346832573,48.214285714285715,0.1111358024691358,0.5422498703991705,0.3779160186625194,0.3058579574909279,0.2801460904541071,28.794387084529767,8.883962991508863,0.0977699282084123
contact_cost10,random_expected_budget,frequent,6.280555555555556,4.116666666666666,1.4944444444444445,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,5.034075895643188,-57.771479659912366,0.0,27160.43959996049,2.3555555555555556,0.5777777777777777,1.7861111111111112,-15.61329807958242,1.7861111111111112,1.775227241500717,48.214285714285715,0.13026337448559672,0.6554621848739495,0.2843874391862008,0.2843874391862008,0.28265449223363914,-2.485974041861862,0.07377931148852797,0.0017329469525616537
contact_cost10,random_expected_budget,monthly,5.513888888888889,3.161111111111111,1.0527777777777778,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,21.96792890280951,-33.17095998607938,0.0,49281.42142724495,3.4027777777777777,0.4666666666666667,1.5305555555555554,-30.395214920109012,1.5305555555555554,1.553289151660355,48.214285714285715,0.11436213991769548,0.5732997481108312,0.27758186397984885,0.27758186397984885,0.2817048335504926,-5.512482302891307,0.42602659994099146,-0.004122969570643731
contact_cost10,random_expected_budget,occasional,3.6277777777777778,2.0,0.6777777777777778,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,62.29969924526852,26.021921467490742,0.0,68623.69698491802,4.322222222222222,0.275,1.0277777777777777,-11.743020674685129,1.0277777777777777,1.0233999708031705,48.214285714285715,0.07524279835390946,0.5513016845329249,0.2833078101071975,0.2833078101071975,0.28210106392736706,-3.2369735397294384,1.5124067251425104,0.0012067461798304646
contact_cost10,universal,frequent,10.666666666666666,7.197222222222222,2.488888888888889,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,175.41397796055767,68.747311293891,0.0,45679.2374439952,3.85,0.5694444444444444,4.805555555555555,540.7189145150824,6.288888888888889,3.069656336141381,48.214285714285715,0.22123456790123455,0.6747395833333334,0.4505208333333333,0.5895833333333333,0.2877802815132545,50.69239823578897,2.570863607875784,0.1627405518200788
contact_cost10,universal,monthly,9.447222222222223,5.241666666666666,1.8138888888888889,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,388.8183424438024,294.34612022158024,0.0,83438.14621409478,6.041666666666667,0.5166666666666667,4.169444444444444,430.5666410752409,5.55,2.74512563224017,48.214285714285715,0.19594238683127574,0.5548368127021464,0.441340782122905,0.5874742722728609,0.29057489785547225,45.57600434786437,7.540399332084527,0.15076588426743276
contact_cost10,universal,occasional,6.308333333333334,3.2222222222222223,1.0666666666666667,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,807.2388166091773,744.1554832758441,0.0,101734.68222592773,6.727777777777778,0.3194444444444444,2.886111111111111,331.784714154024,3.797222222222222,1.8302097019347192,48.214285714285715,0.13083950617283951,0.5107881990312637,0.4575077058564509,0.601937472479084,0.2901257123278287,52.5946706717079,19.596778633381977,0.1673819935286222
contact_cost10,universal_expected_budget,frequent,5.016666666666667,3.325,1.1805555555555556,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,88.34313795742976,38.1764712907631,0.0,21336.84162774911,1.8277777777777777,0.2722222222222222,2.2666666666666666,251.70800252496605,2.9194444444444443,1.4238168843547931,48.214285714285715,0.10404938271604938,0.6627906976744187,0.45182724252491696,0.5819490586932448,0.28381731914049035,50.17435266278393,1.2947551900987855,0.1680099233844266
contact_cost10,universal_expected_budget,monthly,4.444444444444445,2.5388888888888888,0.8972222222222223,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,222.55935756329725,178.1149131188528,0.0,41188.42322195561,2.9611111111111112,0.23055555555555557,1.975,219.51873233813794,2.577777777777778,1.2729718937578895,48.214285714285715,0.09218106995884774,0.5712499999999999,0.444375,0.58,0.2864186760955251,49.39171477608103,4.316119503446532,0.1579563239044749
contact_cost10,universal_expected_budget,occasional,3.1305555555555555,1.725,0.5611111111111111,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,424.82252839836946,393.5169728428139,0.0,54457.786483422,3.4722222222222223,0.16666666666666666,1.3972222222222221,152.80424222965104,1.85,0.8996188310963409,48.214285714285715,0.06493004115226338,0.5510204081632654,0.4463176574977817,0.59094942324756,0.2873671510156901,48.810583143455524,10.31312280356691,0.15895050648209158
contact_cost10,v3_readiness,frequent,7.844444444444444,5.341666666666667,1.886111111111111,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,119.69287273506924,41.248428290624815,0.0,34650.85737006399,2.95,0.4361111111111111,3.2083333333333335,329.074642360612,3.2083333333333335,2.2456059844913314,48.214285714285715,0.16269958847736624,0.6809490084985836,0.40899433427762044,0.40899433427762044,0.28626705184733686,41.95002523010635,1.7542162501205438,0.12272728243028358
contact_cost10,v3_readiness,monthly,6.866666666666666,4.011111111111111,1.4277777777777778,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,318.8388579039483,250.17219123728157,0.0,67071.20738534226,4.733333333333333,0.40555555555555556,2.9444444444444446,298.0610361928948,2.9444444444444446,1.9749746674566984,48.214285714285715,0.14241975308641974,0.5841423948220065,0.4288025889967638,0.4288025889967638,0.2876176700179658,43.40694701838274,6.183279050239279,0.14118491897879804
contact_cost10,v3_readiness,occasional,4.872222222222222,2.736111111111111,0.9333333333333333,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,582.9698869459583,534.2476647237361,0.0,92286.89514590453,5.680555555555555,0.3138888888888889,2.063888888888889,209.36359106097933,2.063888888888889,1.4065689646288997,48.214285714285715,0.10105349794238681,0.5615735461801596,0.4236031927023946,0.4236031927023946,0.2886914636638563,42.970862475457565,14.152356885408205,0.13491172903853832
contact_cost10,weekly_expected_budget,frequent,6.208333333333333,4.219444444444444,1.461111111111111,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,13.461880287901765,-48.621453045431565,0.0,26608.009122590145,2.3055555555555554,0.7388888888888889,1.663888888888889,-59.40582730671546,1.663888888888889,1.725552807618655,48.214285714285715,0.12876543209876543,0.6796420581655481,0.2680089485458613,0.2680089485458613,0.27794139183119276,-9.56872386148437,0.19729703714677108,-0.009932443285331438
contact_cost10,weekly_expected_budget,monthly,5.555555555555555,3.311111111111111,1.1944444444444444,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,-8.568724876659335,-64.12428043221489,0.0,53869.3519725789,3.816666666666667,0.6138888888888889,1.5527777777777778,-37.34609225981678,1.5527777777777778,1.550450082008742,48.214285714285715,0.11522633744855966,0.596,0.2795,0.2795,0.27908101476157354,-6.722296606767021,-0.16617427802063303,0.0004189852384264836
contact_cost10,weekly_expected_budget,occasional,3.736111111111111,2.1638888888888888,0.675,4.211111111111111,4.211111111111111,411924.2410760781,411924.2410760781,-71.36959879465147,-108.73070990576258,0.0,65779.70632802662,4.127777777777778,0.33611111111111114,0.9611111111111111,-35.63330740928503,0.9611111111111111,1.054525508583009,48.214285714285715,0.07748971193415638,0.579182156133829,0.2572490706319703,0.2572490706319703,0.28225218073597264,-9.537539529622759,-1.732590405658361,-0.025003110104002357
execution_drag25bps,group_aware,frequent,11.947222222222223,8.030555555555555,2.7055555555555557,36.31666666666667,36.31666666666667,682315.3800270882,682315.3800270882,199.9677876511413,63.15091421565205,124.86965121326702,49947.86048530681,4.227777777777778,0.6777777777777778,5.069444444444445,528.602524246771,4.927777777777778,3.525708559823445,48.214285714285715,0.24779423868312758,0.6721692629621018,0.42431992559869797,0.41246221808881656,0.29510697082921183,44.2448055635521,2.930723731351365,0.12921295476948613
execution_drag25bps,group_aware,monthly,6.991666666666666,4.169444444444444,1.4,11.063888888888888,11.063888888888888,515646.8846276798,515646.8846276798,176.41583528615436,11.394292118099655,158.02987650138803,63211.95060055521,4.480555555555555,0.5,2.411111111111111,129.61547986263517,1.113888888888889,2.0027086499901245,48.214285714285715,0.14501234567901233,0.5963448549860946,0.344854986094557,0.15931664680174812,0.2864422383776102,18.538566845668917,3.4212528097311106,0.05841274771694682
