scenario,policy,mix,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,own_h_target_sum,all_date_h5_base_sum,exposure_weeks,contacts_per_week,relevance,h5_quality,own_h_quality,h5_unconditional_same_dates,forward_bps_per_contact,timing_bps_all_volume,h5_lift_vs_unconditional
low_response,group_unconstrained_exploratory,wb2016_kg_planning,8.213187429854097,4.817031425364759,0.46091470258136924,8.000224466891133,8.000224466891133,460566.4605070044,460566.4605070044,63.97238844881399,55.759201018959885,0.0,29534.76044766448,2.0672839506172838,0.17960157126823795,3.1519640852974184,200.47917425816746,3.078367003367003,2.359440944684845,48.21428571428571,0.1703475911377146,0.5864996344604705,0.38376867838670664,0.37480783552770924,0.2872746987495401,24.40942398677597,1.3889936401011789,0.09649397963716655
low_response,group_unconstrained_exploratory,wb2016_kg_no_frequent,8.241358024691358,4.78493265993266,0.45664983164983164,6.9799102132435475,6.9799102132435475,453832.37988480605,453832.37988480605,64.27210897714346,56.030750952452095,0.0,30305.987112161973,2.1091470258136926,0.18106060606060606,3.1435465768799107,188.93239170559627,3.0929573512906847,2.366065207423697,48.214285714285715,0.17093187014174668,0.5806000231511429,0.38143550704407575,0.37529704959111,0.2870965198132267,22.92491008636551,1.4162080941306419,0.09433898723084905
low_response,group_unconstrained_exploratory,wb2016_kg_frequent_quarter_of_monthly,8.170931537598204,4.865179573512907,0.4673120089786757,9.530695847362514,9.530695847362514,470667.58144030184,470667.58144030184,63.522807656319785,55.35187611872157,0.0,28377.92045091825,2.004489337822671,0.17741301907968574,3.1645903479236814,217.79934808702433,3.0564814814814816,2.349504550576568,48.214285714285715,0.16947117263166644,0.5954253258794281,0.38729860033240393,0.3740676895182891,0.28754427078056155,26.65538771005847,1.3496321004716754,0.09975432955184238
low_response,group_unconstrained_exploratory,wb2016_kg_frequent_half_of_monthly,8.10050505050505,4.945426487093154,0.4779741863075197,12.081481481481482,12.081481481481482,487502.7829957977,487502.7829957977,62.773506335496116,54.67300128499106,0.0,26449.853789674533,1.8998316498316496,0.17376543209876544,3.185634118967452,246.66630446845238,3.0200056116722784,2.3329438937294387,48.214285714285715,0.16801047512158623,0.6105084135198232,0.39326364209461656,0.3728169531212115,0.28799980731867875,30.450731519891246,1.2876543175762185,0.10526383477593781
low_response,group_unconstrained_exploratory,wb2016_tj_same_split,8.285322671156006,4.859332210998878,0.4651459034792368,8.094952300785636,8.094952300785636,461782.51599277754,461782.51599277754,64.04332967649992,55.75800700534393,0.0,29572.369889190173,2.0696604938271608,0.180827721661055,3.1804854096520767,201.63765596601252,3.1145622895622895,2.3811411222164884,48.214285714285715,0.17184372947582827,0.58649884909321,0.38386983052867885,0.37591321583710047,0.28739268423498354,24.33672941525633,1.3868721196343776,0.0964771462936953
low_response,group_unconstrained_exploratory,iom2024_returnees_scenario,10.071801346801347,5.936111111111111,0.5734848484848484,11.075336700336699,11.075336700336699,496224.35151042545,496224.35151042545,65.6370280516508,55.56522670484945,0.0,30049.869928633863,2.103956228956229,0.21060606060606057,3.8985690235690234,237.52776819368123,4.010690235690236,2.919671002864255,48.21428571428571,0.2088966205262502,0.5893792884424126,0.3870776328215757,0.3982098234060157,0.2898856820474819,23.583444511553683,1.3227288796259689,0.09719195077409382
low_response,group_unconstrained_exploratory,v3_balanced,9.902777777777777,6.128703703703703,0.599074074074074,17.197222222222223,17.197222222222223,536628.8352436153,536628.8352436153,63.83870488167399,53.935927103896205,0.0,25422.509941648932,1.8527777777777776,0.20185185185185184,3.9490740740740735,306.80846350910855,3.9231481481481483,2.8799254264311447,48.21428571428571,0.2053909465020576,0.6188873305282843,0.39878447872837774,0.396166432912576,0.29081995891029794,30.98206083121433,1.1896249453813437,0.10796451981807981
low_response,group_unconstrained_exploratory,frequent_heavy_stress,11.108611111111111,7.014305555555556,0.6915277777777777,22.662361111111114,22.662361111111114,583422.7357946438,583422.7357946438,64.02593917454428,52.917328063433175,0.0,23273.755413303756,1.7422222222222221,0.21875,4.497638888888889,370.2260319526231,4.526527777777778,3.2494643240504586,48.214285714285715,0.2304008230452675,0.631429571653622,0.40487859768447904,0.40747918281613366,0.2925176056258071,33.3278416401051,1.0974193367239715,0.11236099205867195
low_response,group_unconstrained_exploratory,l2kgz_regular10pct_frequent_scenario,6.879923990475881,4.0351931736993505,0.38271013349729954,6.249385967655537,6.249385967655537,438090.3130626375,438090.3130626375,62.661193760736175,55.781269770260295,0.0,28839.63151405814,2.023358705249773,0.15693884136788083,2.6248092810934605,179.06715319354296,2.4093756630589795,1.958360241150952,48.214285714285715,0.1426947198024627,0.5865171154921783,0.3815171918653572,0.35020382004137873,0.28464852865554596,26.027490048063306,1.430325937194986,0.09686866320981125
low_response,random_expected_budget,wb2016_kg_planning,4.449915824915825,2.631818181818182,0.2767115600448934,8.000224466891133,8.000224466891133,460566.4605070044,460566.4605070044,24.876404658601174,20.426488833685347,0.0,22069.458130041778,1.3214646464646465,0.11767676767676767,1.2538439955106622,-17.141666741665762,1.2538439955106622,1.2544243161102397,48.21428571428571,0.0922945504426986,0.5914310034994797,0.28176802547369084,0.28176802547369084,0.28189843706402434,-3.852132807925645,0.5401262747447249,-0.00013041159033350125
