date,unique_authors,category:bank_blocks_compliance,category:benchmark_reference,category:cash_atm,category:crossborder_howto,category:crypto,category:exchange_intent,category:family_support,category:fees_cost,category:partial_fill,category:rate_information,category:rent_study_medical,category:salary_income,category:successful_close,category:timing_forecast,category:trust_safety,category:urgency,category:willing_to_wait,direction:kzt_to_rub,direction:need_eur,direction:need_kzt_offer_unknown,direction:need_rub_offer_unknown,direction:rub_to_kzt,direction:unclassified,events,explicit_rates,messages,probable_listings,strict_listings,text_messages,kzt_per_rub,market_return_1d,market_abs_return_1d,market_90d_percentile,strict_listing_share,rate_information_share,timing_forecast_share,urgency_share_in_strict,rub_to_kzt_share_classified,direction_net
2024-07-27,65,1,0,15,2,0,0,0,2,0,8,3,0,1,0,4,0,0,0,0,0,0,0,0,152,0,152,0,0,148,5.501637487786116,-0.0011040427753788995,0.0011040427753788995,0.9333333333333333,0.0,0.05263157894736842,0.0,,,
2024-07-28,72,1,0,12,4,3,1,0,7,0,5,1,1,1,0,9,0,0,0,0,0,0,0,1,218,0,218,1,1,216,5.5028021414618005,0.00021169218769312437,0.00021169218769312437,0.9333333333333333,0.0045871559633027525,0.022935779816513763,0.0,0.0,,
2024-07-29,103,8,0,17,10,7,0,6,10,0,8,10,2,5,1,11,0,0,0,0,0,0,0,0,378,0,378,0,0,373,5.494609135173317,-0.0014888789525525636,0.0014888789525525636,0.9,0.0,0.021164021164021163,0.0026455026455026454,,,
2024-07-30,98,4,0,8,1,2,0,0,3,1,13,2,1,0,7,7,1,4,0,0,0,0,0,1,321,0,321,1,1,318,5.54025610550643,0.008307591897830813,0.008307591897830813,0.9666666666666667,0.003115264797507788,0.040498442367601244,0.021806853582554516,1.0,,
2024-07-31,87,1,0,16,9,0,0,0,3,0,13,1,2,1,1,4,0,1,0,0,1,0,0,2,284,0,284,3,3,281,5.51997854671743,-0.003660039969785256,0.003660039969785256,0.9555555555555556,0.01056338028169014,0.045774647887323945,0.0035211267605633804,0.0,1.0,1.0
2024-08-01,92,4,1,7,5,4,1,0,5,1,16,3,2,0,3,3,0,4,0,0,0,0,0,5,362,0,362,5,5,360,5.544632119906034,0.004466244384820239,0.004466244384820239,0.9777777777777777,0.013812154696132596,0.04419889502762431,0.008287292817679558,0.0,,
2024-08-02,101,3,0,14,12,0,1,0,12,2,13,1,0,1,0,3,1,0,0,0,0,0,0,2,357,0,357,2,2,354,5.552913368418525,0.0014935614001800879,0.0014935614001800879,0.9777777777777777,0.0056022408963585435,0.036414565826330535,0.0,0.5,,
2024-08-03,75,5,0,29,9,8,2,0,8,1,3,3,2,0,2,7,0,0,0,0,1,0,0,2,381,0,381,3,3,368,5.552913368418525,0.0,0.0,0.9777777777777777,0.007874015748031496,0.007874015748031496,0.005249343832020997,0.0,1.0,1.0
2024-08-04,71,1,0,8,7,4,0,2,8,2,9,2,0,0,1,4,2,5,0,0,0,0,0,0,302,0,302,0,0,296,5.529797566371096,-0.004162824181428326,0.004162824181428326,0.9222222222222223,0.0,0.029801324503311258,0.0033112582781456954,,,
2024-08-05,91,3,0,25,6,1,0,0,5,2,22,4,0,2,4,11,0,1,0,0,0,0,0,5,278,0,278,5,5,273,5.645250840829579,0.020878390767973265,0.020878390767973265,1.0,0.017985611510791366,0.07913669064748201,0.014388489208633094,0.0,,
2024-08-06,93,1,0,19,7,1,0,0,6,0,18,2,1,1,2,7,0,1,0,0,0,0,0,1,286,0,286,1,1,285,5.584147724425539,-0.010823808919545042,0.010823808919545042,0.9777777777777777,0.0034965034965034965,0.06293706293706294,0.006993006993006993,0.0,,
2024-08-07,87,3,0,11,8,4,1,2,7,0,7,2,1,1,0,14,1,0,0,0,0,0,0,1,259,0,259,2,1,257,5.566708428729802,-0.003123000421256017,0.003123000421256017,0.9666666666666667,0.003861003861003861,0.02702702702702703,0.0,1.0,,
2024-08-08,88,0,1,10,5,1,2,1,6,0,13,2,1,3,0,8,0,0,0,0,0,1,0,0,351,0,351,1,1,344,5.501545846467167,-0.011705765282465808,0.011705765282465808,0.8111111111111111,0.002849002849002849,0.037037037037037035,0.0,0.0,0.0,-1.0
