stage,scope,config_id,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
development_2023_2025,KZT,small_basis2010_D2,2023-01-10,2025-12-24,152.0,0.375,1.33968790167352,32.20840374657213,26.467650050983636,104.57878567838064,0.18673141884816918,0.5534863402740527,0.6895379537953795,0.048464555485703394,727,727,1.0162368672397324,0.8571428571428571,0.9044784580498866
development_2023_2025,KZT,small_no_oxr,2023-01-10,2025-12-24,154.0,0.3961038961038961,1.4003888270773555,28.012830973254353,22.568296912361028,108.3120081863661,0.18622505935787328,0.5525749904502516,0.6895803866100897,0.042179310521964795,727,727,1.029608404966571,0.8775510204081632,0.9319727891156462
development_2023_2025,KZT,synth_availability2010_D2,2023-01-10,2025-12-24,149.0,0.3959731543624161,1.3872694667522327,31.1410449148508,24.486657956957995,106.00213648490369,0.18112737345398655,0.5414614214556815,0.7108486562942009,0.04429230608061369,727,727,0.9961795606494747,0.8163265306122449,0.9115646258503401
development_2023_2025,KZT,synth_basis2010_D2,2023-01-10,2025-12-24,155.0,0.3935483870967742,1.3996801213650287,29.280353609866495,21.395695770375212,106.69726156575376,0.18134884434948523,0.542246582331123,0.7083592644978784,0.03081888096372832,727,727,1.0362941738299905,0.8775510204081632,0.9318310657596371
development_2023_2025,KZT,synth_basis2010_D3,2023-01-10,2025-12-24,146.0,0.3835616438356164,1.345285852246081,29.151994910886838,22.29636299799694,109.34327617398009,0.1809147292426283,0.5407951509778558,0.7108015087223009,0.05184802404774584,727,727,0.9761222540592167,0.7959183673469388,0.8842120181405896
development_2023_2025,KZT,synth_basis2018_D2,2023-01-10,2025-12-24,154.0,0.38961038961038963,1.3906763247323577,27.14345081560376,21.02096434979013,111.70477214868725,0.18084301894472718,0.5408416156059284,0.708835454974069,0.04935970855425016,727,727,1.029608404966571,0.8775510204081632,0.9386337868480726
development_2023_2025,KZT,synth_full2010_D2,2023-01-10,2025-12-24,153.0,0.3660130718954248,1.3028062783728451,30.60262437800944,21.506725006017316,105.305069971453,0.1811843882697091,0.5409642800789431,0.7065299387081565,0.04772079853102713,727,727,1.0229226361031518,0.9183673469387755,0.9454365079365079
development_2023_2025,KZT,synth_full2010_D3,2023-01-10,2025-12-24,155.0,0.36774193548387096,1.3109141750914175,29.1774042465423,23.290155655522177,106.4564758339665,0.1808596630436724,0.5409717171694249,0.7097454031117398,0.037792533472867505,727,727,1.0362941738299905,0.9183673469387755,0.9523809523809524
development_2023_2025,KZT,synth_kzt_basis2010_D2,2023-01-10,2025-12-24,155.0,0.3935483870967742,1.3996801213650287,29.280353609866495,21.395695770375212,106.69726156575376,0.1786345350610157,0.5368867647643254,0.710980669495521,0.03623273578423591,727,727,1.0362941738299905,0.8775510204081632,0.9318310657596371
development_2023_2025,KZT,synth_kzt_basis2010_halyk_D2,2023-01-10,2025-12-24,142.0,0.4295774647887324,1.5545553471065676,44.3271089908151,32.72788894373385,93.63785808367399,0.18215744603857764,0.5443134623084004,0.6889344648750589,0.018419806984330662,727,727,0.9493791786055396,0.8541666666666666,0.8833616780045351
development_2023_2025,KZT,synth_kzt_basis2010_halyk_D3,2023-01-10,2025-12-24,146.0,0.3767123287671233,1.3190718988047998,30.15989015056401,23.9604934312695,108.16281617204555,0.18299282000812828,0.5457509636598838,0.6887175860443187,0.030342161157152252,727,727,0.9761222540592167,0.7755102040816326,0.8774092970521542
development_2023_2025,KZT,synth_kzt_basis2010_halyk_H1O2,2023-01-10,2025-12-24,129.0,0.49612403100775193,1.788570795835648,53.311296027637106,34.55566146004118,89.07267373629625,0.18103316716460335,0.539940858015545,0.7143281471004242,0.03729112522081277,727,727,0.8624641833810888,0.7291666666666666,0.7940759637188209
development_2023_2025,KZT,synth_kzt_halyk_D1,2023-01-10,2025-12-24,132.0,0.4621212121212121,1.6523462276705208,50.678435102426654,38.529455688316006,88.91751884036819,0.17705004171769828,0.5316317413604986,0.7208486562942008,0.039191205600437894,727,727,0.8825214899713466,0.7755102040816326,0.808248299319728
development_2023_2025,KZT,synth_kzt_halyk_D2,2023-01-10,2025-12-24,150.0,0.38,1.3622408111162725,35.413725390648345,26.78957976030792,103.50555772668157,0.18401445678904196,0.5482525591231459,0.6901933050447903,0.025283905682073303,727,727,1.002865329512894,0.8571428571428571,0.9043367346938775
development_2023_2025,KZT,synth_kzt_halyk_D3,2023-01-10,2025-12-24,139.0,0.39568345323741005,1.3668531775882615,35.14209826783056,27.394487020391797,105.40186850171477,0.1830373997695294,0.5459947128191188,0.68996699669967,0.022456555599084875,727,727,0.9293218720152817,0.6938775510204082,0.8501984126984127
development_2023_2025,KZT,synth_kzt_no_oxr,2023-01-10,2025-12-24,149.0,0.4161073825503356,1.4578085921803123,33.700449917983455,25.34969600387884,100.2925385295875,0.17873649882140866,0.5368893320971728,0.7116925978312116,0.030120821287047916,727,727,0.9961795606494747,0.8163265306122449,0.9047619047619048
development_2023_2025,KZT,synth_no_oxr,2023-01-10,2025-12-24,149.0,0.4161073825503356,1.4578085921803123,33.700449917983455,25.34969600387884,100.2925385295875,0.18144696398685023,0.5421113601751336,0.7076944837340876,0.04137081025293087,727,727,0.9961795606494747,0.8163265306122449,0.9047619047619048
development_2023_2025,KZT,v3_long,2023-01-10,2025-12-24,149.0,0.4228187919463087,1.4778370986863416,29.971420647932167,19.249049468226467,103.34454235759662,0.18270478175104507,0.5450990978745659,0.7056388495992456,0.0349684552527458,727,727,0.9961795606494747,0.8367346938775511,0.9047619047619048
jan2026_retrospective,all,small_basis2010_D2,2026-01-13,2026-08-25,174.0,0.42528735632183906,1.246383070611099,25.63687808032411,21.021027808096193,91.8798859353742,0.21719656121967582,0.6373536795045011,0.6612823152346117,0.09237177519976192,780,156,1.0826666666666667,0.8709677419354839,0.9483870967741936
jan2026_retrospective,all,small_no_oxr,2026-01-13,2026-08-25,175.0,0.44571428571428573,1.3047394381299593,26.494694441951307,23.107862402999924,91.9098059169952,0.21698080537189063,0.6369049919371438,0.6617714698731849,0.0894808704840637,780,156,1.0888888888888888,0.9354838709677419,0.9612903225806452
jan2026_retrospective,all,synth_availability2010_D2,2026-01-13,2026-08-25,175.0,0.44,1.2863568215892054,26.056102563387213,20.68015176439941,89.39479354442031,0.20898417126651575,0.6093397278585209,0.6975016609355265,0.09843136333362223,780,156,1.0888888888888888,0.9354838709677419,0.9483870967741936
jan2026_retrospective,all,synth_basis2010_D2,2026-01-13,2026-08-25,177.0,0.4406779661016949,1.2892561983471074,24.193577644014926,20.43358347038197,91.76048373536304,0.20888303146257972,0.6099672321908547,0.6953296683239518,0.10170230510759619,780,156,1.1013333333333333,0.9354838709677419,0.9612903225806452
jan2026_retrospective,all,synth_basis2010_D3,2026-01-13,2026-08-25,177.0,0.423728813559322,1.2390130255215503,22.67501784545192,18.481527078737965,92.38121509519267,0.20827448769183857,0.607645775423543,0.6989472224047426,0.09618600581249086,780,156,1.1013333333333333,0.9354838709677419,0.9548387096774194
jan2026_retrospective,all,synth_basis2018_D2,2026-01-13,2026-08-25,176.0,0.4318181818181818,1.2642354446577095,23.714413133010172,20.619404343280188,91.75165659486137,0.209055195788762,0.6099066770490106,0.6930262610333575,0.09002462543450954,780,156,1.0951111111111111,0.9354838709677419,0.967741935483871
jan2026_retrospective,all,synth_full2010_D2,2026-01-13,2026-08-25,177.0,0.4463276836158192,1.3057851239669422,25.00510740961552,22.048380421301488,90.73243999316055,0.20839428431013304,0.608998065764449,0.6945995867738427,0.09254543491368417,780,156,1.1013333333333333,0.967741935483871,0.9870967741935484
jan2026_retrospective,all,synth_full2010_D3,2026-01-13,2026-08-25,177.0,0.4463276836158192,1.306200317965024,25.56725280260974,20.821106708751522,90.612822540102,0.207675223086928,0.6063720714148126,0.6984288645041651,0.08541918150214856,780,156,1.1013333333333333,0.9354838709677419,0.9612903225806452
jan2026_retrospective,all,synth_no_oxr,2026-01-13,2026-08-25,177.0,0.4350282485875706,1.2727272727272727,24.070676601195444,20.55937214424746,91.98109155062173,0.20876389455723243,0.6092586011940537,0.6975454658285329,0.09718636878846576,780,156,1.1013333333333333,0.9354838709677419,0.9612903225806452
jan2026_retrospective,all,v3_long,2026-01-13,2026-08-25,173.0,0.45664739884393063,1.3369494467346497,29.640444412858635,23.796709359608936,86.8337922503792,0.20840602466731792,0.6083517625447268,0.6983960108344102,0.09545617758459238,780,156,1.0764444444444443,0.9354838709677419,0.9483870967741936
jan2026_retrospective,KZT,small_basis2010_D2,2026-01-13,2026-08-25,32.0,0.40625,1.111842105263158,38.927020927366975,29.19594148148051,93.83009402102363,0.24771234581873294,0.7195929820296507,0.5982633351054404,0.14810069910805992,156,156,0.9955555555555554,0.8709677419354839,0.8709677419354839
jan2026_retrospective,KZT,small_no_oxr,2026-01-13,2026-08-25,34.0,0.4117647058823529,1.126934984520124,37.85457310159569,29.393275296770394,99.14371023176395,0.2471151139724671,0.7176823719626554,0.5993265993265993,0.14190329976026453,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
jan2026_retrospective,KZT,synth_availability2010_D2,2026-01-13,2026-08-25,34.0,0.4411764705882353,1.2074303405572757,32.09992321684652,26.234021854222203,97.54501536265549,0.23543202502936517,0.6833618157382647,0.631933368775474,0.13540646581757948,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_basis2010_D2,2026-01-13,2026-08-25,34.0,0.4411764705882353,1.2074303405572757,31.60429895654539,24.91316675540188,96.84326071695753,0.23512388454101613,0.6845984673916565,0.6348573453836611,0.1349378236104319,156,156,1.0577777777777777,0.967741935483871,0.967741935483871
jan2026_retrospective,KZT,synth_basis2010_D3,2026-01-13,2026-08-25,35.0,0.37142857142857144,1.0165413533834586,20.179954084625386,15.343232007070748,104.69790367456247,0.2350226860381212,0.6809143476302446,0.6346801346801346,0.1381001353432211,156,156,1.0888888888888888,0.967741935483871,0.967741935483871
