config_id,cutoff,scope,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
synth_availability2010_D2,2023-01-01,KZT,57.0,0.43859649122807015,1.192588212103292,16.541064430438208,17.933906366043086,106.2252181527494,0.19777935566551272,0.5793360892031684,0.7439597561871191,0.07124055424541513,242,242,1.146551724137931,1.0,1.0
synth_availability2010_D2,2024-01-01,all,224.0,0.4375,1.3178749308245712,31.684373364667145,15.583075196067409,80.97221907724871,0.19240769959897575,0.5679085240631305,0.7381359548849261,0.061082804296856794,1215,243,0.896,0.8367346938775511,0.8571428571428571
synth_availability2010_D2,2024-01-01,KZT,48.0,0.3333333333333333,1.2461538461538462,21.580035541026444,14.768480103656827,106.76041453027817,0.18935790980561376,0.5637975000572844,0.6936473638720829,0.08477189732877712,243,243,0.96,0.9183673469387755,0.9183673469387755
synth_availability2010_D2,2025-01-01,all,222.0,0.3918918918918919,1.7788104089219332,71.82439037030106,51.591031690107286,89.29571029549979,0.1630205469783714,0.49682481615469554,0.6928930189815254,0.05257847168827106,1210,242,0.8905444126074499,0.7551020408163265,0.8204081632653061
synth_availability2010_D2,2025-01-01,KZT,44.0,0.4090909090909091,2.0625,60.484848041102765,43.57709835788085,104.88593191114957,0.1562108444100413,0.48115837726113075,0.6917418384879724,0.07322524392331226,242,242,0.8825214899713467,0.8163265306122449,0.8163265306122449
synth_basis2010_D2,2023-01-01,all,281.0,0.4697508896797153,1.2173316565679662,30.447025323201437,26.20180968511943,74.95315735254651,0.1987162909140451,0.5793716084234158,0.7549764972721849,0.07347001896628515,1210,242,1.1304597701149424,0.9791666666666666,0.9791666666666666
synth_basis2010_D2,2023-01-01,KZT,57.0,0.47368421052631576,1.2879952690715553,28.548017232953146,24.425537266848213,89.79720011103059,0.19781577277027482,0.579995889083742,0.7384519350811486,0.06704639022122173,242,242,1.146551724137931,0.9791666666666666,0.9791666666666666
synth_basis2010_D2,2024-01-01,all,230.0,0.43478260869565216,1.3019019555317437,28.262553081864837,15.344954648795103,82.47276438444648,0.19171679113049475,0.5658752390164674,0.7403475080018289,0.07300402968919008,1215,243,0.92,0.8163265306122449,0.8734693877551021
synth_basis2010_D2,2024-01-01,KZT,46.0,0.34782608695652173,1.300334448160535,17.28771153937543,7.780114425693596,114.35130943759178,0.18797212234388277,0.5603788898947224,0.7010803802938635,0.06950003209808107,243,243,0.92,0.8775510204081632,0.8775510204081632
synth_basis2010_D2,2025-01-01,all,234.0,0.3717948717948718,1.6954421001771625,56.805765302535974,42.082911024175615,101.54719401695267,0.16371576707195434,0.49849978917217047,0.6912907595779066,0.05228213114848632,1210,242,0.9386819484240688,0.7142857142857143,0.8653061224489795
synth_basis2010_D2,2025-01-01,KZT,52.0,0.34615384615384615,1.7451923076923075,40.6919826238405,30.119076088767397,118.4514404275744,0.15823126901696594,0.486290041124146,0.6791774054982818,0.07114407145511786,242,242,1.0429799426934099,0.9387755102040817,0.9387755102040817
synth_basis2010_D3,2023-01-01,all,280.0,0.4642857142857143,1.2029672682777608,25.862648798997146,22.8074291015274,83.77297134913036,0.19983374801086842,0.5814131000995705,0.7579550465299252,0.07144848813728916,1210,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
synth_basis2010_D3,2023-01-01,KZT,56.0,0.42857142857142855,1.1653290529695024,18.214060903088484,19.281281113628154,105.97124567366734,0.1982469723772835,0.5805298875174637,0.7446941323345818,0.08216947775053728,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
synth_basis2010_D3,2024-01-01,all,226.0,0.4469026548672566,1.341514074883848,28.876626910531662,15.749412630061938,83.10475655418608,0.19061765201434283,0.5635215082467245,0.7380932784636487,0.05131876304210997,1215,243,0.904,0.8163265306122449,0.8571428571428571
synth_basis2010_D3,2024-01-01,KZT,46.0,0.32608695652173914,1.2190635451505016,13.65977872828391,6.7530730620573935,114.97491211693962,0.18771781790583814,0.5600846444419472,0.6877268798617112,0.0773124911900051,243,243,0.92,0.8775510204081632,0.8775510204081632
synth_basis2010_D3,2025-01-01,all,221.0,0.39819004524886875,1.806582965727859,73.21219846605379,52.20927151311462,86.47953519460835,0.16315337409295685,0.49636983452001004,0.6942358272332605,0.04634303140931385,1210,242,0.8865329512893984,0.7755102040816326,0.8163265306122449
synth_basis2010_D3,2025-01-01,KZT,44.0,0.38636363636363635,1.9479166666666667,59.26940965716963,42.383543056584934,107.74733196128408,0.1567512855081384,0.4816912123234784,0.6916881443298969,0.06647468711239128,242,242,0.8825214899713467,0.7959183673469388,0.7959183673469388
synth_basis2018_D2,2023-01-01,all,281.0,0.4697508896797153,1.2170533775288606,29.720180989470858,24.574692041949866,76.42742162254216,0.1997646518832026,0.5819315254907002,0.7543712768134279,0.0699890967388065,1210,242,1.1304597701149424,0.9583333333333334,0.9708333333333334
synth_basis2018_D2,2023-01-01,KZT,56.0,0.4642857142857143,1.2624398073836276,22.705346464154527,21.30187339065591,105.16558918351004,0.19805514632810006,0.5800522029347348,0.7439964749944922,0.07875068230398662,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
synth_basis2018_D2,2024-01-01,all,230.0,0.45652173913043476,1.366997053308331,30.010108143828678,15.869963056792516,88.1636781558592,0.19201736267495237,0.5667191726739338,0.7362261850327694,0.054073368198883545,1215,243,0.92,0.8367346938775511,0.8857142857142858
synth_basis2018_D2,2024-01-01,KZT,45.0,0.35555555555555557,1.3292307692307692,23.945691442212926,12.447256330970689,109.04386657082978,0.18725152409649662,0.5586154155979469,0.6963699222126188,0.06285895143528357,243,243,0.9,0.8775510204081632,0.8775510204081632
