config_id,cutoff,corridor,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
synth_basis2010_D2,2023-01-01,UZS,56.0,0.5,1.2736842105263158,32.51695078482396,26.66181940922482,72.77107011375215,0.20377439002408915,0.589328050516164,0.7242749731471536,0.0896892542143879,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
synth_basis2010_D2,2024-01-01,AMD,45.0,0.4888888888888889,1.3976470588235292,33.18980894979916,18.385531995275134,81.9545801513082,0.19785896052859012,0.5797315954333637,0.7392032762472077,0.09337275776214055,243,243,0.9,0.8775510204081632,0.8775510204081632
synth_basis2010_D2,2024-01-01,KGS,49.0,0.40816326530612246,1.1020408163265305,22.02035715346442,13.218189523392207,72.33022959179881,0.20057248211942671,0.5857033233189631,0.7298838053740014,0.09865332665173991,243,243,0.98,0.8775510204081632,0.8775510204081632
synth_basis2010_D2,2024-01-01,KZT,46.0,0.34782608695652173,1.300334448160535,17.287711539375426,7.780114425693596,114.35130943759174,0.18797212234388277,0.5603788898947224,0.7010803802938635,0.06950003209808106,243,243,0.92,0.8775510204081632,0.8775510204081632
synth_basis2010_D2,2024-01-01,TJS,48.0,0.4583333333333333,1.3102941176470588,27.10084344229571,17.27239047138572,71.23249893354732,0.19553912055668107,0.5758667022324833,0.7507073715562175,0.10654322784666738,243,243,0.96,0.9183673469387755,0.9183673469387755
synth_basis2010_D2,2024-01-01,UZS,42.0,0.47619047619047616,1.4464285714285716,43.61364498873171,20.650936585258442,72.79233973038545,0.1766412701038931,0.5276956842028042,0.7817101226993866,0.07786222503062358,243,243,0.84,0.8163265306122449,0.8163265306122449
synth_basis2010_D2,2025-01-01,AMD,38.0,0.34210526315789475,1.5620655412115194,72.64262847289207,50.25344788667431,86.31379207570453,0.16095385880427673,0.4901129937464613,0.698512528701208,0.06767923354827846,242,242,0.7621776504297995,0.7142857142857143,0.7142857142857143
synth_basis2010_D2,2025-01-01,KGS,50.0,0.38,1.876734693877551,51.999716599216214,39.954212581998334,100.00429973634724,0.15615830774293216,0.4806409754839172,0.7005921539600295,0.07096252918413705,242,242,1.002865329512894,0.9387755102040817,0.9387755102040817
synth_basis2010_D2,2025-01-01,KZT,52.0,0.34615384615384615,1.7451923076923075,40.69198262384052,30.119076088767397,118.4514404275744,0.15823126901696594,0.486290041124146,0.6791774054982818,0.07114407145511786,242,242,1.0429799426934099,0.9387755102040817,0.9387755102040817
synth_basis2010_D2,2025-01-01,TJS,43.0,0.5116279069767442,1.7687707641196015,83.04432015101686,62.86322962058659,77.3715607302446,0.19222769491013883,0.5680176691557995,0.6699750830564783,0.03706567778370769,242,242,0.8624641833810889,0.7959183673469388,0.7959183673469388
synth_basis2010_D2,2025-01-01,UZS,51.0,0.29411764705882354,1.482843137254902,44.02459815547607,32.75977844240053,117.55788824781186,0.15100770488545812,0.46743726635052796,0.7235287800687286,0.08982416659770981,242,242,1.0229226361031518,0.9387755102040817,0.9387755102040817
synth_basis2010_D2,2026-01-01,AMD,36.0,0.4444444444444444,1.3333333333333333,23.189121426111544,21.134341864717378,85.51734066974126,0.20390261620639732,0.5971243885607372,0.6958210059171597,0.08685069897193327,156,156,1.1199999999999999,0.967741935483871,0.967741935483871
synth_basis2010_D2,2026-01-01,KGS,36.0,0.3888888888888889,1.2638888888888888,22.694701440648934,20.667571124538302,93.16238073895151,0.19018414682615373,0.5599778745334388,0.7148919753086419,0.08118504306635824,156,156,1.1199999999999999,0.967741935483871,0.967741935483871
