scope,config_id,comparison,delta_brier,delta_brier_ci95_low,delta_brier_ci95_high,repetitions,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high
KZT,synth_kzt_basis2010_D2,"March freeze minus January freeze, same March-onward dates",-0.003196792955873314,-0.008956498710204536,0.0022602828037672604,10000,0.0,-0.33040293040293056,0.2197385620915031,-5.599475633093164,-21.27603605087615,8.30811502219347,-7.341068125863513,-11.764432484783098,-1.5569532875527585,8.503336085581196,-1.4716617309623814,25.767380637238148,0.0,-3.0,3.0
KZT,synth_kzt_basis2010_halyk_D2,"March freeze minus January freeze, same March-onward dates",-0.0063545838400170754,-0.014637499539932413,0.0010743699321816014,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KZT,synth_kzt_basis2010_halyk_D3,"March freeze minus January freeze, same March-onward dates",-0.002570546321855751,-0.00825580946878468,0.0024216832531990633,10000,-0.1252052545155995,-0.864293659621802,0.1658960347484938,-13.96398012587501,-39.00659486858787,7.717927206168206,-6.358391669970214,-25.20130335353734,4.823095911218378,12.69671650969076,-11.38747354145288,36.631132091077205,1.0,0.0,3.0
KZT,synth_kzt_basis2010_halyk_H1O2,"March freeze minus January freeze, same March-onward dates",-0.0018813191345274148,-0.005860688442961945,0.0026062808676518287,10000,0.28240740740740744,0.0,1.268608024470077,-14.994551810674423,-30.267530775696788,-2.325547630062509,-8.921534837468268,-20.08543412640897,4.829492796571246,23.33822703901366,6.871844700196413,38.82228869799219,0.0,-3.0,3.0
KZT,synth_kzt_halyk_D1,"March freeze minus January freeze, same March-onward dates",-0.0036384836298784164,-0.008737988511800436,0.0015571930486330155,10000,-0.2629310344827587,-1.2193548387096775,0.0,-14.821028994562333,-47.009599890643095,2.46162914339088,-9.734103764770165,-33.09648165957388,3.764364686421267,15.680195954139108,0.0,38.61741536682027,0.0,0.0,0.0
KZT,synth_kzt_halyk_D2,"March freeze minus January freeze, same March-onward dates",-0.007146536414489146,-0.017126122493914146,0.0006638934690160535,10000,-0.0437059082892417,-0.14713623470151233,0.0,-3.5506538966707915,-18.87676046064118,0.0,-5.309348388608965,-19.17576619703397,0.0,1.6614697481620198,-0.8454883854351465,10.579108556149379,1.0,0.0,3.0
KZT,synth_kzt_halyk_D3,"March freeze minus January freeze, same March-onward dates",-0.0038259614441354434,-0.009514090784647591,0.001235274243106785,10000,-0.04370590828924148,-0.15024630541871908,0.12774725274725274,-14.081811964138893,-39.84449647426554,7.14589877672946,-11.415504140919868,-35.68906621395808,14.702660462328712,14.723787553507606,2.4712948267439003,30.291303652486597,-1.0,-4.0,2.0
KZT,synth_kzt_no_oxr,"March freeze minus January freeze, same March-onward dates",-0.005157824648479236,-0.012161696142095443,0.0012945609007577424,10000,0.0,-0.33040293040293056,0.2197385620915031,-6.223595071990882,-21.340548501939566,7.011866956790513,-9.004367139192818,-12.882112043763186,-3.885231657873671,7.619645050257844,-3.307020035095533,25.025886250764614,0.0,-3.0,3.0
KZT,synth_no_oxr,"March freeze minus January freeze, same March-onward dates",-0.0010923230287245408,-0.004225192811775929,0.0014254294874509593,10000,0.0,-0.33040293040293056,0.2197385620915031,-6.223595071990882,-21.340548501939566,7.011866956790513,-9.004367139192818,-12.882112043763186,-3.885231657873671,7.619645050257844,-3.307020035095533,25.025886250764614,0.0,-3.0,3.0
KZT,v3_long,"March freeze minus January freeze, same March-onward dates",5.4777509364070326e-05,-0.0014865815607779285,0.0017556706836281725,10000,-0.09413580246913567,-0.43999999999999995,0.0,-2.8559347008231164,-8.567804102469363,0.0,-2.3751589464613545,-7.125476839384072,0.0,0.7509518543702853,0.0,2.252855563110842,0.0,0.0,0.0
