scope,config_id,cutoff,date_first,date_last,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
KZT,synth_basis2010_D2,2026-01-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,28.66294182020752,22.501919007563924,104.40014054622252,0.24271702252609553,0.6976319558688486,0.6503378378378378,0.15343788392331242,122,122,1.0738636363636365,1.0,1.0
KZT,synth_basis2010_D2,2026-03-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,23.063466187114358,15.16085088170041,112.90347663180371,0.24366883931607045,0.7018091454201233,0.6421734234234234,0.15818280636160253,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,synth_basis2010_D3,2026-01-01,2026-03-03,2026-08-25,28.0,0.39285714285714285,0.9985119047619048,14.206445397972645,10.622436087930277,113.9485556778978,0.2427188826246078,0.6937145799066234,0.647240990990991,0.15740330943546504,122,122,1.1136363636363638,1.0,1.0
KZT,synth_basis2010_D3,2026-03-01,2026-03-03,2026-08-25,28.0,0.42857142857142855,1.0892857142857144,22.760199076926774,16.24395325036821,107.94156365535989,0.2436058079675118,0.6981875829002384,0.6385135135135135,0.1488261635486872,122,122,1.1136363636363638,1.0,1.0
KZT,synth_basis2018_D2,2026-01-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,26.431126558282124,21.79005907443187,106.03478343591615,0.24357546277106354,0.6970417656212037,0.6410472972972973,0.14526019220093742,122,122,1.0738636363636365,1.0,1.0
KZT,synth_basis2018_D2,2026-03-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,22.581090500567388,15.997384300428429,112.33759707734923,0.24521028945974666,0.7045733199147387,0.6407657657657657,0.14403087811073653,122,122,1.0738636363636365,1.0,1.0
KZT,synth_full2010_D2,2026-01-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,25.807007119384405,20.12676006110257,105.1510924005928,0.24129500530229508,0.6920791456543214,0.6559684684684685,0.13993059698194824,122,122,1.0738636363636365,1.0,1.0
KZT,synth_full2010_D2,2026-03-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,25.807007119384405,20.12676006110257,105.1510924005928,0.24278822865238758,0.6994388257411617,0.6483671171171171,0.14174415495201328,122,122,1.0738636363636365,1.0,1.0
KZT,synth_full2010_D3,2026-01-01,2026-03-03,2026-08-25,28.0,0.4642857142857143,1.1800595238095237,24.91230665092626,16.930389614459834,106.36530086886958,0.2414255499259383,0.691109555506006,0.6570945945945945,0.1502069742328564,122,122,1.1136363636363638,1.0,1.0
KZT,synth_full2010_D3,2026-03-01,2026-03-03,2026-08-25,28.0,0.42857142857142855,1.0892857142857144,22.760199076926774,16.24395325036821,107.94156365535989,0.24210031349004837,0.6955455866737262,0.6421734234234234,0.1419053032072506,122,122,1.1136363636363638,1.0,1.0
KZT,synth_kzt_basis2010_D2,2026-01-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,28.66294182020752,22.501919007563924,104.40014054622252,0.2509315240433012,0.7184308153718718,0.6503378378378378,0.17564928255586149,122,122,1.0738636363636365,1.0,1.0
KZT,synth_kzt_basis2010_D2,2026-03-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,23.063466187114358,15.16085088170041,112.90347663180371,0.2477347310874279,0.7052449391789539,0.6421734234234234,0.16832451332362383,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,synth_kzt_basis2010_halyk_D2,2026-01-01,2026-03-03,2026-08-25,28.0,0.42857142857142855,1.0892857142857144,19.649493765924653,12.262055195432435,114.87140745080362,0.2501681702528237,0.7195457980941191,0.6478040540540541,0.16325117278471601,122,122,1.1136363636363638,1.0,1.0
KZT,synth_kzt_basis2010_halyk_D2,2026-03-01,2026-03-03,2026-08-25,28.0,0.42857142857142855,1.0892857142857144,19.649493765924653,12.262055195432435,114.87140745080362,0.24381358641280662,0.6964984868229831,0.647240990990991,0.14843621966680723,122,122,1.1136363636363638,1.0,1.0
KZT,synth_kzt_basis2010_halyk_D3,2026-01-01,2026-03-03,2026-08-25,28.0,0.42857142857142855,1.0892857142857144,22.760199076926774,16.24395325036821,107.94156365535989,0.2501738604693544,0.7119060372066334,0.6500563063063062,0.17146651556230996,122,122,1.1136363636363638,1.0,1.0
KZT,synth_kzt_basis2010_halyk_D3,2026-03-01,2026-03-03,2026-08-25,29.0,0.3793103448275862,0.9640804597701149,8.796218951051765,9.885561580397997,120.63828016505065,0.2476033141474987,0.7016324294971384,0.6300675675675675,0.14886699334285072,122,122,1.1534090909090908,0.9583333333333334,0.9583333333333334
KZT,synth_kzt_basis2010_halyk_H1O2,2026-01-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,47.21465057701939,28.641269727688176,83.10364838019414,0.23786146954085652,0.6863752471570352,0.6739864864864864,0.1486272031837417,122,122,1.0738636363636365,0.9166666666666666,0.9166666666666666
KZT,synth_kzt_basis2010_halyk_H1O2,2026-03-01,2026-03-03,2026-08-25,27.0,0.5555555555555556,1.4120370370370372,32.22009876634497,19.719734890219907,106.4418754192078,0.23598015040632908,0.6788977120029511,0.6725788288288289,0.13722201636058612,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,synth_kzt_halyk_D1,2026-01-01,2026-03-03,2026-08-25,29.0,0.5172413793103449,1.3146551724137931,33.452534266207,27.88011706239563,97.24839605348912,0.23903569477679415,0.6886983938272471,0.6692004504504505,0.150802292820105,122,122,1.1534090909090908,1.0,1.0
KZT,synth_kzt_halyk_D1,2026-03-01,2026-03-03,2026-08-25,29.0,0.41379310344827586,1.0517241379310345,18.63150527164467,18.146013297625466,112.92859200762823,0.23539721114691572,0.6767199344978325,0.6708896396396398,0.13553667355990567,122,122,1.1534090909090908,1.0,1.0
KZT,synth_kzt_halyk_D2,2026-01-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,23.063466187114358,15.16085088170041,112.90347663180371,0.2517810200926364,0.723132471497082,0.6427364864864865,0.16737165891972577,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
