config_id,horizon_cbr_rows_pub_proxy,fold_test_year,corridor,rows,probability_kind,mean_probability,event_rate,quantile_ece,calibration_intercept,calibration_slope
hgb_all_public_fast,3,2025,__ALL__,1220,probability,0.43372211717623427,0.28114754098360656,0.1525745761926277,-0.7472694572987194,0.7958181786607239
hgb_all_public_fast,3,2025,AMD,244,probability,0.44110861149145214,0.2786885245901639,0.1624200869012882,-0.7622465906219642,0.957838171828296
hgb_all_public_fast,3,2025,KGS,244,probability,0.44473088027754004,0.2540983606557377,0.19063251962180236,-0.9301204414743639,0.8059239527007597
hgb_all_public_fast,3,2025,KZT,244,probability,0.4306742282951391,0.26229508196721313,0.17482510299660592,-0.9157893969999253,0.4376102189994454
hgb_all_public_fast,3,2025,TJS,244,probability,0.4237375107292539,0.3360655737704918,0.09240331148056015,-0.42168732412327375,0.8804566991881886
hgb_all_public_fast,3,2025,UZS,244,probability,0.4283593550877859,0.27459016393442626,0.15376919115335974,-0.7134839250619136,1.0167003949237452
hgb_all_public_fast,5,2023,__ALL__,1210,probability,0.30583521820189496,0.3859504132231405,0.10544368533503239,-0.20062853628466437,0.30281172418649366
hgb_all_public_fast,5,2023,AMD,242,probability,0.3111380707028335,0.3925619834710744,0.11548796671329926,-0.39584529735384183,0.04742613795825996
hgb_all_public_fast,5,2023,KGS,242,probability,0.311483675919899,0.3884297520661157,0.1270452038096894,-0.013027182901131945,0.52902305503732
hgb_all_public_fast,5,2023,KZT,242,probability,0.2782977970394652,0.3677685950413223,0.1293285491929,-0.3795106564206293,0.1601649341921732
hgb_all_public_fast,5,2023,TJS,242,probability,0.31521279887067233,0.3884297520661157,0.10414882416724612,-0.05313367117791669,0.49109570405494307
hgb_all_public_fast,5,2023,UZS,242,probability,0.31304374847660466,0.3925619834710744,0.11889919896668018,-0.1797101474787108,0.3078091210030512
hgb_all_public_fast,5,2024,__ALL__,1215,probability,0.35834685065983846,0.3333333333333333,0.08463110356241446,-0.6369892349913597,0.09133015708838718
hgb_all_public_fast,5,2024,AMD,243,probability,0.3647320185753188,0.3497942386831276,0.10111462166158308,-0.6434733899323437,-0.04038805196749433
hgb_all_public_fast,5,2024,KGS,243,probability,0.3576961066273229,0.37037037037037035,0.06991238094684453,-0.4205245647497333,0.1796926741623019
hgb_all_public_fast,5,2024,KZT,243,probability,0.3440435038697324,0.2674897119341564,0.1171057461300225,-0.8043006213717728,0.3041032561329719
hgb_all_public_fast,5,2024,TJS,243,probability,0.36353713364326457,0.3497942386831276,0.09127078496926636,-0.5691398237350503,0.08585437739811529
hgb_all_public_fast,5,2024,UZS,243,probability,0.3617254905835535,0.3292181069958848,0.11294826957887548,-0.7947844872454456,-0.13691669485338445
hgb_all_public_fast,5,2025,__ALL__,1210,probability,0.43142533973089575,0.22148760330578512,0.20993773642511065,-1.0888776447072084,0.6712521874520483
hgb_all_public_fast,5,2025,AMD,242,probability,0.43730243370878114,0.2190082644628099,0.21829416924597128,-1.077181419407064,0.9183630942334475
hgb_all_public_fast,5,2025,KGS,242,probability,0.4411024671713653,0.2024793388429752,0.2386231283283901,-1.2262669207561707,0.7148778662760922
hgb_all_public_fast,5,2025,KZT,242,probability,0.4280455833370071,0.19834710743801653,0.22969847589899064,-1.3040868799389167,0.32620573962803495
hgb_all_public_fast,5,2025,TJS,242,probability,0.4196926224472623,0.2892561983471074,0.1353364087341194,-0.7002542074767559,0.6327468376940906
hgb_all_public_fast,5,2025,UZS,242,probability,0.4309835919900627,0.19834710743801653,0.23263648455204616,-1.1761895792847843,0.945598643481905
hgb_all_public_fast,10,2023,__ALL__,1185,probability,0.22286486419068402,0.30886075949367087,0.0859958953029869,1.3249014202020584,1.7058093525621447
hgb_all_public_fast,10,2023,AMD,237,probability,0.22525834443068163,0.3333333333333333,0.11372836123321853,-2.2033230636183916,-1.2210168525756433
hgb_all_public_fast,10,2023,KGS,237,probability,0.22301537976635896,0.31223628691983124,0.10880462812037234,3.4945286325033336,3.4357787855275856
hgb_all_public_fast,10,2023,KZT,237,probability,0.21919048074905287,0.2911392405063291,0.08761189051966725,2.1304928682842985,2.3790638146104457
hgb_all_public_fast,10,2023,TJS,237,probability,0.22355074632146046,0.2911392405063291,0.08549368563343969,3.171765045080297,3.265827147622416
hgb_all_public_fast,10,2023,UZS,237,probability,0.22330936968586604,0.31645569620253167,0.11433492657505388,-0.9127526118348719,-0.11434305861617873
hgb_all_public_fast,10,2024,__ALL__,1190,probability,0.27470671316104905,0.27647058823529413,0.11023898017823054,-1.7354928165779444,-0.7551906688283845
hgb_all_public_fast,10,2024,AMD,238,probability,0.27476668434395796,0.29831932773109243,0.11238152672010036,-1.7088821398040344,-0.8348883902043848
hgb_all_public_fast,10,2024,KGS,238,probability,0.27095241560271055,0.3025210084033613,0.10270773040986231,-1.2305279040404689,-0.3845425265709245
hgb_all_public_fast,10,2024,KZT,238,probability,0.27661571909545546,0.21008403361344538,0.13441216027857666,-2.024886347787161,-0.6837085104839846
hgb_all_public_fast,10,2024,TJS,238,probability,0.2740751543116883,0.3025210084033613,0.10855813444378591,-1.7335851038161272,-0.875757340308758
hgb_all_public_fast,10,2024,UZS,238,probability,0.27712359245143325,0.2689075630252101,0.11085164024505637,-2.016429331093617,-0.9957242410419317
