config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,fold_test_year,corridor,prediction_rows,brier,log_loss,average_precision,roc_auc
logit_cnyrub_basis_only,logistic,cnyrub_basis_only,5,2025,TJS,242,0.19278197201722014,0.5654959115835683,0.47805942754370884,0.6803986710963454
logit_cnyrub_basis_only,logistic,cnyrub_basis_only,5,2025,UZS,242,0.14768938014337094,0.462250044197303,0.44542522441747595,0.7522014604810997
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2023,AMD,242,0.2394733966282073,0.6705706433876994,0.5973382167590051,0.7085571070533475
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2023,KGS,242,0.2376022926275735,0.666571951710086,0.6456512835336476,0.7324611845888442
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2023,KZT,242,0.23120735206342236,0.653524852421905,0.6272992643123223,0.7042667254167585
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2023,TJS,242,0.2381839708289792,0.6678661346820108,0.6435723344251352,0.7280764807360552
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2023,UZS,242,0.24087903311427927,0.673941014631528,0.6201092287614068,0.7052631578947369
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2024,AMD,243,0.21899438199179588,0.6347120913287079,0.5478885757008087,0.7051377513030529
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2024,KGS,243,0.21871025112400277,0.626356250580546,0.5641338374576879,0.6602759622367466
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2024,KZT,243,0.20123810167104514,0.5962590246308448,0.3983316756320996,0.6582541054451168
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2024,TJS,243,0.2128064444574817,0.6215168718472639,0.5383081396902075,0.7000744601638125
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2024,UZS,243,0.19294102388407597,0.5682790616775582,0.5685609759962792,0.7313650306748465
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2025,AMD,242,0.1609951564196483,0.4997490068308049,0.455338468645316,0.7042028551462515
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2025,KGS,242,0.14641560219297267,0.46316253311015476,0.4374130974896311,0.7560537168235171
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2025,KZT,242,0.16041679437116743,0.49661015569004957,0.29007436450745566,0.615979381443299
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2025,TJS,242,0.19418629724927122,0.5710794553206102,0.4353745731446762,0.657641196013289
logit_plus_cnyrub_basis,logistic,plus_cnyrub_basis,5,2025,UZS,242,0.14973535446091898,0.4694373569468198,0.36913218967480205,0.7239046391752577
logit_plus_cnyrub_ret1,logistic,plus_cnyrub_ret1,5,2023,AMD,242,0.23889650577413973,0.669741936515253,0.5955400692333743,0.7155746509129968
logit_plus_cnyrub_ret1,logistic,plus_cnyrub_ret1,5,2023,KGS,242,0.23772091038819035,0.6675035778832324,0.6589574323493079,0.7502875215641174
logit_plus_cnyrub_ret1,logistic,plus_cnyrub_ret1,5,2023,KZT,242,0.23277291736977798,0.6578251355972108,0.5849066360107316,0.675919806124697
logit_plus_cnyrub_ret1,logistic,plus_cnyrub_ret1,5,2023,TJS,242,0.23841418407842443,0.6691365070379797,0.652152209794484,0.7457590569292697
