config_id,comparison_base_id,model_kind,feature_set,comparison_rows,base_brier,candidate_brier,relative_brier_improvement,macro_fold_corridor_delta_brier,years_brier_improved,fold_corridor_cells_brier_improved,portfolio_cell_standardized_lift,base_portfolio_cell_standardized_lift,corridor_candidate_cell_standardized_lift,base_corridor_candidate_cell_standardized_lift,portfolio_forward_bps_delta,base_portfolio_forward_bps_delta,portfolio_forward_delta_vs_base_policy,corridor_candidate_forward_bps_delta,base_corridor_candidate_forward_bps_delta,corridor_candidate_forward_delta_vs_base_policy,portfolio_mean_signals_per_week,minimum_fold_signals_per_week,maximum_fold_signals_per_week,all_fold_portfolio_cadence_in_range,candidate_mean_signals_per_corridor_week,minimum_fold_corridor_candidate_signals_per_week,maximum_fold_corridor_candidate_signals_per_week,all_fold_corridor_candidate_cadence_in_range,minimum_candidate_weeks_with_1_to_2_signals_share,mean_candidate_silent_week_share,maximum_candidate_calendar_gap_days,candidate_top_fold_signal_share,minimum_synthetic_portfolio_weeks_with_1_to_2_signals_share,mean_synthetic_portfolio_silent_week_share,maximum_synthetic_portfolio_calendar_gap_days,portfolio_min_fold_lift,corridor_candidate_min_fold_lift,decision_dates,observed_delta_brier,ci95_low,ci95_high,one_sided_block_signflip_p_improvement,fast_operational_candidate,positive_brier_skill_vs_prior_year,snapshot_reproducible,historical_point_in_time_verified,production_data_rights_verified,source_lineage_and_policy_reproducible,per_signal_model_explanation_available,research_source_class,passes_exploratory_quality_cadence_gates,passes_exploratory_development_gates,holm_p_brier_improvement,passes_exploratory_multiplicity_screen,eligible_for_policy_uncertainty_audit,eligible_for_prospective_shadow,gate_failures,production_promotable
logit_plus_cnyrub_ret1,logit_base,logistic,plus_cnyrub_ret1,3635,0.21778625148189312,0.21078121521430473,0.03216473133599429,-0.00700993798008065,3,13,1.087985132148238,0.9559012158863204,1.0933809314557106,0.9827699222712536,10.14627767210772,7.890535676568954,2.2557419955387665,14.450830764517688,3.2885947246877336,11.162236039829954,1.1767401113196982,1.16,1.206896551724138,False,1.1045336099858383,0.9226361031518624,1.206896551724138,False,0.8163265306122449,0.07919501133786848,43.0,0.3523002421307506,0.9387755102040817,0.04095804988662131,12.0,0.8937741822018993,1.0054785454278046,727.0,-0.007005036267588419,-0.011277616145210704,-0.0025101060558380102,0.0018998100189981002,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.055094490550944904,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
hgb_contract_market_leaf100,hgb_base,hist_gradient_boosting_leaf100,all_contract_market,3635,0.2187136018634263,0.2124754977471472,0.028521793172124887,-0.006279410145278761,2,9,1.2261816896439193,1.0864856927908546,1.2374347736685798,1.0890127982273297,16.221973634059655,0.06954927160354263,16.152424362456113,21.565641667839802,6.022109865660774,15.543531802179029,1.0897291659805246,0.9627507163323783,1.18,True,1.048277311201133,0.8022922636103152,1.18,False,0.7755102040816326,0.05861678004535147,20.0,0.3711734693877551,0.8571428571428571,0.047619047619047616,17.0,1.0639488409272584,1.135797680462356,727.0,-0.0062381041162791135,-0.02413793633686681,0.014291608789981524,0.2963703629637036,True,True,True,False,False,False,False,contract_required_market_data,False,False,1.0,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
logit_plus_cnyrub_spot,logit_base,logistic,plus_cnyrub_spot,3635,0.21778625148189312,0.21199481644767346,0.026592289434308802,-0.00578646304382439,2,10,1.1506806541673988,0.9559012158863204,1.3034061017187635,0.9827699222712536,25.77293118476008,7.890535676568954,17.882395508191124,31.296245208816416,3.2885947246877336,28.007650484128682,0.9421043155595078,0.5632183908045977,1.18,False,0.8430893521720516,0.3218390804597701,1.18,False,0.2916666666666667,0.27341269841269844,113.0,0.44849445324881143,0.5208333333333334,0.20053854875283447,51.0,0.9231284916201117,1.0514423076923076,727.0,-0.005791435034219698,-0.009871975441322548,-0.00213041516168913,0.006099390060993901,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.1646835316468353,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
hgb_all_contract_market,hgb_base,hist_gradient_boosting,all_contract_market,3635,0.2187136018634263,0.21344498851889837,0.0240890977956546,-0.005312477856149188,2,9,1.1837004982416206,1.0864856927908546,1.2016700130133922,1.0890127982273297,21.947331188861064,0.06954927160354263,21.877781917257522,22.18158603490842,6.022109865660774,16.159476169247647,1.0563002118806881,0.9025787965616046,1.16,True,1.0295838795024645,0.8022922636103152,1.16,False,0.7959183673469388,0.0627267573696145,22.0,0.36753246753246754,0.8571428571428571,0.054563492063492064,17.0,1.0743099787685775,1.1035807860262008,727.0,-0.00526861334452795,-0.024623727874483223,0.01610595414606992,0.3324667533246675,True,True,True,False,False,False,False,contract_required_market_data,False,False,1.0,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
logit_plus_kz_leading_surveys,logit_base,logistic,plus_kz_leading_surveys,3635,0.21778625148189312,0.21344385332021412,0.01993880757913702,-0.0043447442406289475,3,13,1.0315709029671798,0.9559012158863204,0.9967502139489094,0.9827699222712536,-2.5132859978357587,7.890535676568954,-10.403821674404712,-3.1888444809417162,3.2885947246877336,-6.47743920562945,0.929901634664998,0.62,1.2270114942528736,False,0.8216647015556213,0.48000000000000004,1.2270114942528736,False,0.3877551020408163,0.3225056689342403,167.0,0.49185667752442996,0.5102040816326531,0.23823696145124718,160.0,0.8440878967561911,0.7918994413407822,727.0,-0.0043423981616790034,-0.009805365546145525,0.0015166306932936316,0.07689231076892311,False,True,True,False,False,False,False,public_source_research,False,False,1.0,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
logit_plus_kztrub_market,logit_base,logistic,plus_kztrub_market,3635,0.21778625148189312,0.21430136069323613,0.016001426926376627,-0.0034861050842611764,3,13,1.0237968923306,0.9559012158863204,0.9601979819003648,0.9827699222712536,12.97637096575903,7.890535676568954,5.085835289190076,3.4314409760405944,3.2885947246877336,0.14284625135286078,1.0899207368617505,0.9627507163323783,1.2270114942528736,False,0.9990630482275579,0.7020057306590257,1.2270114942528736,False,0.5918367346938775,0.17020975056689344,48.0,0.40829986613119146,0.7959183673469388,0.10898526077097505,42.0,0.8055360896986685,0.815529890827395,727.0,-0.003484890788657008,-0.00621881931001344,-0.0004983612834817098,0.012898710128987101,True,True,True,False,False,False,False,contract_required_market_data,False,False,0.33536646335366466,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
logit_plus_ru_external_balance,logit_base,logistic,plus_ru_external_balance,3635,0.21778625148189312,0.21521595602499433,0.011801917886963054,-0.002566988727675829,3,13,1.009109355325727,0.9559012158863204,1.0535784108158552,0.9827699222712536,8.013616496458479,7.890535676568954,0.12308081988952502,7.19355223849287,3.2885947246877336,3.9049575138051367,1.1432921648058492,1.0429799426934099,1.206896551724138,False,1.0683923635126085,0.6217765042979942,1.206896551724138,False,0.5306122448979592,0.11989795918367348,68.0,0.3704630788485607,0.8775510204081632,0.06136621315192744,21.0,0.8182950702972058,0.9979020473124502,727.0,-0.0025702954568987864,-0.005151875696723903,8.155314132443685e-05,0.039396060393960604,False,True,True,False,False,False,False,public_source_research,False,False,0.9849015098490151,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
logit_plus_ru_business_climate,logit_base,logistic,plus_ru_business_climate,3635,0.21778625148189312,0.21559903477226905,0.010042951264101818,-0.0021888412973249853,2,8,1.0077506748017686,0.9559012158863204,1.0477947263626677,0.9827699222712536,2.6853426467554105,7.890535676568954,-5.205193029813543,6.156938396193317,3.2885947246877336,2.868343671505583,1.1566637025326878,1.0830945558739256,1.206896551724138,False,1.1072807693574416,0.9627507163323783,1.2270114942528736,False,0.8163265306122449,0.09807256235827663,53.0,0.36594202898550726,0.8775510204081632,0.05442176870748299,35.0,0.907912687585266,0.9321506820269984,727.0,-0.002187216709624091,-0.005470856479988002,0.001254442359048347,0.12068793120687932,False,True,True,False,False,False,False,public_source_research,False,False,1.0,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
logit_plus_direct_corridor_market,logit_base,logistic,plus_direct_corridor_market,3635,0.21778625148189312,0.21654190289201003,0.005713623249475663,-0.0012404441757086508,1,11,1.041870973181219,0.9559012158863204,1.0208985485655526,0.9827699222712536,4.034272209834893,7.890535676568954,-3.8562634667340605,9.517827737532071,3.2885947246877336,6.229233012844338,1.1767401113196982,1.16,1.206896551724138,False,1.072495207983401,0.9600000000000001,1.2270114942528736,False,0.8125,0.102437641723356,66.0,0.3516209476309227,0.9387755102040817,0.04776077097505669,12.0,0.8920911528150134,0.9638709677419355,727.0,-0.0012443485898830764,-0.0039184250142724145,0.0019248908146455657,0.22607739226077392,True,True,True,False,False,False,False,contract_required_market_data,False,False,1.0,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
hgb_plus_direct_corridor_basis,hgb_base,hist_gradient_boosting,plus_direct_corridor_basis,3635,0.2187136018634263,0.21787754670989248,0.0038226024646418333,-0.0008364322240412252,2,7,1.0780985002826635,1.0864856927908546,1.0496360264603457,1.0890127982273297,2.4043024047684534,0.06954927160354263,2.3347531331649107,8.226245939623528,6.022109865660774,2.2041360739627542,1.1231196961213759,1.0630372492836677,1.2,True,1.001380935129379,0.7020057306590257,1.2,False,0.6530612244897959,0.13965419501133788,33.0,0.3925233644859813,0.9166666666666666,0.05498866213151927,13.0,0.978813559322034,1.0079939414338608,727.0,-0.0008360551535338147,-0.0020454824756377405,0.0003600883725218369,0.10128987101289871,True,True,True,False,False,False,False,contract_required_market_data,False,False,1.0,False,False,False,"[""source_lineage_or_policy_not_reproducible"", ""historical_published_at_or_vintage_not_verified"", ""production_data_rights_not_verified"", ""per_signal_model_explanation_not_implemented"", ""one_or_more_development_quality_or_cadence_gates_failed"", ""holm_multiplicity_screen_failed""]",False
