date,corridor,probability,pr20,pr60,pr120
2023-09-06,KZT,0.2678722178359075,0.675,0.8416666666666667,0.9208333333333333
2023-09-06,TJS,0.2885724433925863,0.825,0.9416666666666667,0.9708333333333333
2023-09-06,UZS,0.2839900673146457,0.725,0.8583333333333333,0.9291666666666667
2023-09-15,AMD,0.2720852388491295,0.575,0.7416666666666667,0.8708333333333333
2023-09-15,UZS,0.2720852388491295,0.425,0.575,0.7875
2023-09-20,KGS,0.4264082661163084,0.375,0.6583333333333333,0.8291666666666667
2023-09-20,TJS,0.4264082661163084,0.475,0.6916666666666667,0.8458333333333333
2023-09-23,AMD,0.3191740474713717,0.175,0.5916666666666667,0.7958333333333333
2023-09-23,KZT,0.2679057370437521,0.025,0.058333333333333334,0.5291666666666667
2023-09-23,UZS,0.3041827892351089,0.075,0.425,0.7125
2023-09-28,KGS,0.3032364079605304,0.425,0.675,0.8375
2023-09-28,TJS,0.3032364079605304,0.525,0.725,0.8625
2023-09-29,AMD,0.30369429474347,0.175,0.5583333333333333,0.7791666666666667
2023-09-29,KZT,0.3262468232664834,0.025,0.008333333333333333,0.4875
2023-09-29,UZS,0.322833233266582,0.675,0.6916666666666667,0.8375
2023-10-04,KGS,0.3339941584818774,0.975,0.975,0.9875
2023-10-04,TJS,0.3339941584818774,0.975,0.975,0.9875
2023-10-05,UZS,0.3172186668377516,0.975,0.9083333333333333,0.9541666666666667
2023-10-07,KZT,0.2854012959417533,0.975,0.7416666666666667,0.8708333333333333
2023-10-11,KGS,0.3524206153891856,0.875,0.9416666666666667,0.9708333333333333
2023-10-11,TJS,0.3524206153891856,0.875,0.9416666666666667,0.9708333333333333
2023-10-11,UZS,0.3524206153891856,0.875,0.875,0.9375
2023-10-24,AMD,0.2653580999743239,0.075,0.025,0.4625
2023-10-28,AMD,0.3394751355223672,0.075,0.025,0.3125
2023-10-28,KGS,0.2871240228875618,0.075,0.025,0.45416666666666666
2023-10-28,KZT,0.2998755182464964,0.075,0.025,0.30416666666666664
2023-10-28,TJS,0.2871240228875618,0.075,0.025,0.49583333333333335
2023-10-28,UZS,0.3119181412783971,0.025,0.008333333333333333,0.2875
2023-11-10,AMD,0.2635196367674961,0.025,0.008333333333333333,0.22083333333333333
2023-11-10,UZS,0.2915239899599331,0.025,0.008333333333333333,0.2125
2023-11-11,KGS,0.3313252041429698,0.125,0.041666666666666664,0.32083333333333336
2023-11-11,KZT,0.3089178841044897,0.275,0.09166666666666666,0.2625
2023-11-11,TJS,0.304641480245302,0.125,0.041666666666666664,0.4125
2023-11-16,AMD,0.3594905674469115,0.025,0.008333333333333333,0.17916666666666667
2023-11-16,UZS,0.3325166488280253,0.025,0.008333333333333333,0.0875
2023-11-17,KGS,0.3325166488280253,0.025,0.008333333333333333,0.17083333333333334
2023-11-17,KZT,0.3399266893997343,0.025,0.008333333333333333,0.17083333333333334
2023-11-17,TJS,0.3325166488280253,0.025,0.008333333333333333,0.1875
2023-11-22,AMD,0.2829578502743323,0.025,0.008333333333333333,0.12083333333333333
2023-11-22,UZS,0.2731514001766023,0.025,0.008333333333333333,0.029166666666666667
2023-11-23,KGS,0.3032218490839819,0.075,0.025,0.14583333333333334
2023-11-23,KZT,0.2835858730179617,0.125,0.041666666666666664,0.15416666666666667
2023-11-23,TJS,0.3056590723128871,0.075,0.025,0.15416666666666667
2023-11-28,AMD,0.2934546419140844,0.225,0.075,0.1375
2023-11-28,UZS,0.3056590723128871,0.225,0.075,0.0375
2023-11-29,KGS,0.5785454415365865,0.275,0.09166666666666666,0.14583333333333334
2023-11-29,KZT,0.5418592468639487,0.35,0.11666666666666667,0.15833333333333333
2023-11-29,TJS,0.5722620069377713,0.225,0.075,0.14583333333333334
2023-12-02,AMD,0.4824535381030002,0.625,0.20833333333333334,0.17916666666666667
2023-12-02,UZS,0.4901901628809973,0.625,0.20833333333333334,0.12083333333333333
2023-12-05,KGS,0.3754410503525676,0.675,0.225,0.19583333333333333
2023-12-05,KZT,0.3555546307566167,0.875,0.375,0.2708333333333333
2023-12-05,TJS,0.3117688155703885,0.675,0.225,0.2708333333333333
2023-12-09,AMD,0.2533357543376355,0.775,0.25833333333333336,0.17083333333333334
2023-12-13,KGS,0.2744817437546031,0.675,0.225,0.1375
2023-12-13,KZT,0.2692979015983959,0.675,0.3416666666666667,0.20416666666666666
2023-12-13,TJS,0.2744817437546031,0.675,0.225,0.1625
2023-12-13,UZS,0.2744817437546031,0.675,0.225,0.1125
2023-12-15,AMD,0.5676133020836686,0.525,0.19166666666666668,0.09583333333333334
2023-12-20,KGS,0.5390854981161182,0.625,0.2916666666666667,0.14583333333333334
2023-12-20,KZT,0.5362930677816492,0.625,0.44166666666666665,0.22083333333333333
2023-12-20,TJS,0.5390854981161182,0.575,0.275,0.14583333333333334
2023-12-20,UZS,0.5390854981161182,0.475,0.225,0.1125
2023-12-21,AMD,0.5499640998824198,0.625,0.30833333333333335,0.15416666666666667
2024-01-13,AMD,0.2605254596095067,0.025,0.008333333333333333,0.004166666666666667
2024-01-18,KGS,0.5748733670677886,0.175,0.075,0.0375
2024-01-18,KZT,0.5748733670677886,0.175,0.325,0.1625
2024-01-18,TJS,0.5748733670677886,0.175,0.10833333333333334,0.05416666666666667
2024-01-18,UZS,0.5748733670677886,0.175,0.058333333333333334,0.029166666666666667
2024-01-19,AMD,0.4560739594160329,0.225,0.09166666666666666,0.04583333333333333
2024-01-24,KGS,0.7308085193558512,0.125,0.041666666666666664,0.020833333333333332
2024-01-24,KZT,0.7689246130847393,0.375,0.425,0.2125
2024-01-24,TJS,0.7308085193558512,0.125,0.058333333333333334,0.029166666666666667
2024-01-24,UZS,0.7376824398035191,0.125,0.041666666666666664,0.020833333333333332
2024-01-25,AMD,0.5580266088083647,0.325,0.10833333333333334,0.05416666666666667
2024-01-31,AMD,0.4763548234571092,0.625,0.375,0.1875
2024-01-31,KGS,0.4763548234571092,0.575,0.3416666666666667,0.17083333333333334
2024-01-31,KZT,0.4745377351709789,0.675,0.6916666666666667,0.3875
2024-01-31,TJS,0.4763548234571092,0.575,0.375,0.1875
2024-01-31,UZS,0.4914282427646481,0.575,0.24166666666666667,0.12083333333333333
2024-02-07,AMD,0.7572838384107033,0.875,0.675,0.3375
2024-02-07,KGS,0.7572838384107033,0.875,0.6416666666666667,0.32083333333333336
2024-02-07,KZT,0.5967793114295907,0.775,0.825,0.5041666666666667
2024-02-07,TJS,0.7572838384107033,0.925,0.6916666666666667,0.3458333333333333
2024-02-07,UZS,0.7507500121929153,0.875,0.525,0.2625
2024-02-13,AMD,0.7369764326215984,0.825,0.7416666666666667,0.37083333333333335
2024-02-13,KGS,0.7369764326215984,0.825,0.7416666666666667,0.37083333333333335
2024-02-13,KZT,0.6728502507636629,0.975,0.9916666666666667,0.6958333333333333
2024-02-13,TJS,0.7369764326215984,0.825,0.7583333333333333,0.37916666666666665
2024-02-13,UZS,0.7369764326215984,0.875,0.6916666666666667,0.3458333333333333
2024-02-20,AMD,0.4706411192760089,0.925,0.9416666666666667,0.5208333333333334
2024-02-20,KGS,0.4706411192760089,0.925,0.9416666666666667,0.5458333333333333
2024-02-20,KZT,0.4706411192760089,0.925,0.975,0.7958333333333333
2024-02-20,TJS,0.4706411192760089,0.925,0.9416666666666667,0.5458333333333333
2024-02-20,UZS,0.4706411192760089,0.925,0.825,0.4375
2024-02-28,AMD,0.2878763712254303,0.675,0.8583333333333333,0.5041666666666667
2024-03-01,KGS,0.5440925777569295,0.175,0.5416666666666666,0.3541666666666667
2024-03-01,KZT,0.5019439634934292,0.125,0.6916666666666667,0.5791666666666667
2024-03-01,TJS,0.5440925777569295,0.175,0.5583333333333333,0.3625
2024-03-01,UZS,0.5440925777569295,0.125,0.4083333333333333,0.2791666666666667
2024-03-05,AMD,0.3311178267882658,0.425,0.6583333333333333,0.42916666666666664
2024-03-07,KGS,0.5278640071911707,0.025,0.36666666666666664,0.2916666666666667
2024-03-07,KZT,0.5382135866016473,0.075,0.5416666666666666,0.5291666666666667
2024-03-07,TJS,0.5278640071911707,0.025,0.4083333333333333,0.3125
2024-03-07,UZS,0.5278640071911707,0.025,0.25,0.16666666666666666
