cutoff,mode,variant,now_model_id,policy,rows,dates,combined_contacts,weeks,weeks_1_to_2_share,silent_weeks,weeks_above2,combined_forward_delta_bps,NOW_contacts,NOW_baseline_hit,NOW_hit_rate,NOW_lift,NOW_forward_delta_bps,NOW_endpoint_delta_bps,CLOSING_contacts,CLOSING_baseline_hit,CLOSING_hit_rate,CLOSING_lift,CLOSING_forward_delta_bps,CLOSING_endpoint_delta_bps,scenario_evaluation,both_scenario_lift_ge1_3,joint_acceptance
2025-01-01,bank_delayed,dual_annotations,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,242,242,61,51,0.8627450980392157,7,0,33.3939023948915,61,0.19834710743801653,0.3114754098360656,1.5703551912568305,33.3939023948915,18.42939276738629,17,0.4256198347107438,0.5294117647058824,1.243860651056539,52.393889467974525,48.911438948455405,"NOW primary on all contacts; CLOSING optional secondary subset, nonexclusive",False,False
2026-01-01,normal,NOW_only,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,40,33,0.8787878787878788,4,0,66.21511623261752,40,0.36538461538461536,0.55,1.505263157894737,66.21511623261752,82.84534489550231,0,0.5448717948717948,,,,,exclusive selected scenario,False,False
2026-01-01,normal,joint,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,42,33,0.8787878787878788,4,0,39.21891940144913,33,0.36538461538461536,0.5757575757575758,1.575757575757576,75.48714597169919,111.11995091700979,9,0.5448717948717948,0.3333333333333333,0.611764705882353,-93.76457802280117,-187.91447640045297,exclusive selected scenario,False,False
2026-01-01,normal,joint_closing_fact_gate,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,41,33,0.8787878787878788,4,0,45.88499521056589,36,0.36538461538461536,0.5277777777777778,1.4444444444444446,63.78976165893417,86.7856085844407,5,0.5448717948717948,0.4,0.7341176470588237,-83.02932321768563,-148.02844454061446,exclusive selected scenario,False,False
2026-01-01,normal,joint_both_fact_gates,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,41,33,0.9090909090909091,3,0,39.82366470711773,17,0.36538461538461536,0.47058823529411764,1.2879256965944272,30.783864136502913,24.98161018614187,24,0.5448717948717948,0.625,1.147058823529412,46.2268567779699,50.87050247055327,exclusive selected scenario,False,False
2026-01-01,normal,NOW_confirmed_closing,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,40,33,0.8787878787878788,4,0,66.21511623261752,19,0.36538461538461536,0.47368421052631576,1.296398891966759,26.19031604736349,1.6419791236951582,21,0.5448717948717948,0.7619047619047619,1.3983193277310926,102.4280306859426,156.31505678428024,exclusive selected scenario,False,False
2026-01-01,normal,dual_annotations,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,40,33,0.8787878787878788,4,0,66.21511623261752,40,0.36538461538461536,0.55,1.505263157894737,66.21511623261752,82.84534489550231,21,0.5448717948717948,0.7619047619047619,1.3983193277310926,102.4280306859426,156.31505678428024,"NOW primary on all contacts; CLOSING optional secondary subset, nonexclusive",True,True
2026-01-01,bank_delayed,NOW_only,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,39,33,0.8787878787878788,4,0,48.818409860629956,39,0.36538461538461536,0.46153846153846156,1.2631578947368423,48.818409860629956,63.226194302044725,0,0.5448717948717948,,,,,exclusive selected scenario,False,False
2026-01-01,bank_delayed,joint,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,42,33,0.9090909090909091,3,0,35.772483778261275,32,0.36538461538461536,0.5625,1.5394736842105263,69.96351299391337,104.62313744323376,10,0.5448717948717948,0.3,0.5505882352941177,-73.63880971182547,-146.0448891077569,exclusive selected scenario,False,False
2026-01-01,bank_delayed,joint_closing_fact_gate,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,41,33,0.8787878787878788,4,0,40.4969844268458,35,0.36538461538461536,0.5142857142857142,1.4075187969924812,50.83712412810907,72.48312862436279,6,0.5448717948717948,0.5,0.9176470588235295,-19.82049716385646,-55.52477190651234,exclusive selected scenario,False,False
2026-01-01,bank_delayed,joint_both_fact_gates,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,39,33,0.8484848484848485,5,0,42.107676425788426,12,0.36538461538461536,0.3333333333333333,0.9122807017543859,-25.030366690215146,-52.26624488195985,27,0.5448717948717948,0.6666666666666666,1.223529411764706,71.94680669956777,101.08809394064141,exclusive selected scenario,False,False
2026-01-01,bank_delayed,NOW_confirmed_closing,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,39,33,0.8787878787878788,4,0,48.818409860629956,14,0.36538461538461536,0.35714285714285715,0.9774436090225564,-17.774767347100155,-54.30211901167911,25,0.5448717948717948,0.72,1.3214117647058825,86.11058909695883,129.0420497577301,exclusive selected scenario,False,False
2026-01-01,bank_delayed,dual_annotations,tabm_periodic_kzt_120m_s2_kztcal,cadence85_cd2,156,156,39,33,0.8787878787878788,4,0,48.818409860629956,39,0.36538461538461536,0.46153846153846156,1.2631578947368423,48.818409860629956,63.226194302044725,25,0.5448717948717948,0.72,1.3214117647058825,86.11058909695883,129.0420497577301,"NOW primary on all contacts; CLOSING optional secondary subset, nonexclusive",False,False
