scope,config_id,cutoff,first_date,last_date,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
all,chronos2_synth_zs_head2y,2026-01-01,2026-03-03,2026-08-25,137.0,0.45985401459854014,1.2067828544512484,30.95071984517513,22.766901614463006,88.75817819925871,0.2295953320422984,0.6597081415864519,0.6775992987329379,0.11638081445639825,610,122,1.0897727272727273,0.875,0.9583333333333334
all,chronos2_synth_zs_head2y,2026-03-01,2026-03-03,2026-08-25,145.0,0.43448275862068964,1.1381608174144826,12.222494072090791,12.78360665782095,102.7633634074952,0.2343383982123706,0.6687422988439793,0.6592251909700481,0.1269697679668095,610,122,1.153409090909091,1.0,1.0
KZT,base_control_head10y,2026-01-01,2026-03-03,2026-08-25,27.0,0.48148148148148145,1.2237654320987654,29.287061259105226,24.165218020893228,105.28383158154587,0.24124297316088972,0.6909134168547723,0.6541385135135136,0.1519444783047736,122,122,1.0738636363636365,1.0,1.0
KZT,base_control_head10y,2026-03-01,2026-03-03,2026-08-25,27.0,0.5185185185185185,1.3179012345679013,25.919400887937467,17.536009828161767,112.15252477743343,0.24054831295597195,0.6922993933043817,0.6603322072072072,0.14573163860334887,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,base_control_head2y,2026-01-01,2026-03-03,2026-08-25,26.0,0.38461538461538464,0.9775641025641025,28.731510779210428,13.830162407430011,102.46487223585676,0.24552243624905606,0.7078797553383975,0.6545608108108107,0.15486495808002038,122,122,1.0340909090909092,0.875,0.875
KZT,base_control_head2y,2026-03-01,2026-03-03,2026-08-25,29.0,0.41379310344827586,1.0517241379310345,12.03249197855794,12.753546991839487,107.38344988886438,0.2529532275160379,0.7234260608583679,0.6114864864864864,0.15225853690059835,122,122,1.1534090909090908,1.0,1.0
KZT,chronos2_small_ft_head10y,2026-01-01,2026-03-03,2026-08-25,26.0,0.5,1.2708333333333333,49.61706204017418,32.812841619618766,92.84758186970735,0.2568090686711938,0.7358963008242411,0.607545045045045,0.1654978342049829,122,122,1.0340909090909092,0.875,0.875
KZT,chronos2_small_ft_head10y,2026-03-01,2026-03-03,2026-08-25,26.0,0.4230769230769231,1.0753205128205128,30.575272227954315,24.685903195693143,107.2344973891535,0.2564580465892292,0.736054766112783,0.6058558558558558,0.1705037944312626,122,122,1.0340909090909092,0.9166666666666666,0.9166666666666666
KZT,chronos2_small_ft_head2y,2026-01-01,2026-03-03,2026-08-25,28.0,0.39285714285714285,0.9985119047619048,15.997727159535868,11.607371701090585,111.59747458142306,0.2502707982781043,0.723319774299365,0.6514639639639639,0.17109677584561517,122,122,1.1136363636363638,1.0,1.0
KZT,chronos2_small_ft_head2y,2026-03-01,2026-03-03,2026-08-25,27.0,0.4074074074074074,1.0354938271604939,18.788117947522164,16.470398161886884,114.23581215169607,0.25291933904967356,0.7252237789042184,0.6227477477477478,0.15816671558460516,122,122,1.0738636363636365,1.0,1.0
KZT,chronos2_synth_ft_head10y,2026-01-01,2026-03-03,2026-08-25,28.0,0.39285714285714285,0.9985119047619048,3.5375068441139126,7.866692073579793,129.13938570144302,0.2591149148741519,0.7375537126944546,0.6269707207207207,0.1719813646521394,122,122,1.1136363636363638,1.0,1.0
KZT,chronos2_synth_ft_head10y,2026-03-01,2026-03-03,2026-08-25,28.0,0.39285714285714285,0.9985119047619048,3.5375068441139126,7.866692073579793,129.13938570144302,0.25737016750485986,0.7340660251196274,0.6221846846846848,0.17593061946325902,122,122,1.1136363636363638,1.0,1.0
KZT,chronos2_synth_ft_head2y,2026-01-01,2026-03-03,2026-08-25,25.0,0.36,0.9149999999999999,28.425553204515882,21.941971332926624,93.23156170315343,0.2537801357767725,0.7301276637917813,0.6466779279279279,0.18825336135790494,122,122,0.9943181818181819,0.8333333333333334,0.8333333333333334
KZT,chronos2_synth_ft_head2y,2026-03-01,2026-03-03,2026-08-25,27.0,0.37037037037037035,0.9413580246913581,13.606563135125977,8.984663481234893,112.79472518211414,0.25308679172287446,0.7240244494811927,0.6286599099099099,0.1677176794677931,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,chronos2_synth_ft_kzt_head10y,2026-01-01,2026-03-03,2026-08-25,26.0,0.5384615384615384,1.3685897435897434,15.516934846631365,12.062428347180976,130.26338186298705,0.2594349345778625,0.743001607853622,0.6230292792792792,0.17301924504226834,122,122,1.0340909090909092,0.9166666666666666,0.9166666666666666
KZT,chronos2_synth_ft_kzt_head10y,2026-03-01,2026-03-03,2026-08-25,27.0,0.4444444444444444,1.1296296296296298,19.843488976633427,18.283890550291886,120.75101916334803,0.25730911794351974,0.7401138073420458,0.6173986486486487,0.16551807707071875,122,122,1.0738636363636365,0.9166666666666666,0.9166666666666666
KZT,chronos2_synth_ft_kzt_head2y,2026-01-01,2026-03-03,2026-08-25,26.0,0.4230769230769231,1.0753205128205128,38.54316451944706,29.556467938245287,89.69383552023497,0.24888343978017408,0.7173057172236661,0.6503378378378378,0.16398107559697447,122,122,1.0340909090909092,0.875,0.875
KZT,chronos2_synth_ft_kzt_head2y,2026-03-01,2026-03-03,2026-08-25,28.0,0.4642857142857143,1.1800595238095237,12.452086335504289,13.189709986949051,123.90721198888953,0.25234226295024353,0.7214622406675794,0.6193693693693694,0.1634313395407748,122,122,1.1136363636363638,1.0,1.0
KZT,chronos2_synth_zs_head10y,2026-01-01,2026-03-03,2026-08-25,27.0,0.5185185185185185,1.3179012345679013,25.29528144903975,15.872710814832466,111.26883374211008,0.24244298321074884,0.6943354433553377,0.6523085585585585,0.14822270492359416,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
KZT,chronos2_synth_zs_head10y,2026-03-01,2026-03-03,2026-08-25,27.0,0.5185185185185185,1.3179012345679013,25.919400887937467,17.536009828161767,112.15252477743343,0.24086879450425117,0.6920366894950909,0.6599099099099098,0.1575492182022427,122,122,1.0738636363636365,0.9583333333333334,0.9583333333333334
