scope,config_id,cutoff,benchmark,benchmark_cutoff,delta_brier,delta_brier_ci95_low,delta_brier_ci95_high,repetitions,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high
KZT,base_control_head10y,2026-03-01,base_control_head10y,2026-01-01,-0.000694660204917778,-0.002170510750427303,0.0002966172963878183,10000,0.09413580246913589,0.0,0.27521367521367535,-3.3676603711677586,-18.895261169792708,7.1498085572127295,-6.629208192731461,-11.460418525050075,-1.3775092767739459,6.868693195887559,-3.414433517678333,24.476354651272104,0.0,-3.0,3.0
KZT,base_control_head10y,2026-03-01,base_control_head2y,2026-03-01,-0.012404914560065951,-0.024488128111144536,-0.0025246774999225885,10000,0.26617709663686684,-0.022429261559696156,1.0344669913419895,13.886908909379526,-12.027384958105765,34.079278138942676,4.78246283632228,-10.322618676026899,23.739591209265555,4.769074888569051,-13.842266736731261,25.726164726357396,-2.0,-7.0,2.0
KZT,base_control_head2y,2026-03-01,base_control_head2y,2026-01-01,0.007430791266981804,0.0028956240633429536,0.012605756803489136,10000,0.07416003536693194,-0.1601081812035159,0.39210668103448265,-16.69901880065249,-29.661569966946132,1.6836784676216645,-1.076615415590524,-12.433114732498224,8.210105116152215,4.918577653007617,-13.739027752313504,26.043248548428537,3.0,-1.0,6.0
KZT,chronos2_small_ft_head10y,2026-01-01,chronos2_small_ft_head2y,2026-01-01,0.006538270393089493,-0.008123210173766998,0.023397234939571195,10000,0.2723214285714285,-0.21802002224694106,0.6112891986062717,33.61933488063831,17.82704526526182,50.159694289484264,21.20546991852818,2.1191374573470902,40.84404428323222,-18.749892711715702,-49.74695143643859,15.99186052303395,-2.0,-4.0,0.0
KZT,chronos2_small_ft_head10y,2026-03-01,chronos2_small_ft_head10y,2026-01-01,-0.00035102208196458154,-0.0019466429596859999,0.001150455531728208,10000,-0.19551282051282048,-0.4155844155844155,-0.03050167224080269,-19.041789812219868,-41.32680433253676,6.143943212507864,-8.126938423925623,-32.0707292468029,15.186959924593197,14.386915519446148,2.6233414548213005,26.39419985747429,0.0,-3.0,3.0
KZT,chronos2_small_ft_head10y,2026-03-01,chronos2_small_ft_head2y,2026-03-01,0.00353870753955563,-0.005543065623859825,0.01409113434456051,10000,0.0398266856600189,-0.42499999999999993,0.39151193633952275,11.787154280432151,-7.152794996390469,34.22307826965595,8.21550503380626,-8.096900728474125,25.363987687791713,-7.001314762542563,-48.11866567205885,27.845298122647506,-1.0,-4.0,2.0
KZT,chronos2_small_ft_head2y,2026-03-01,chronos2_small_ft_head2y,2026-01-01,0.00264854077156928,-0.004511573795664049,0.009346635451477204,10000,0.03698192239858911,-0.1504469987228606,0.20166256157635476,2.7903907879862953,-4.607463555899103,22.731718148742733,4.8630264607962985,-4.464336669242887,21.889314746177075,2.638337570273009,-11.204056099356691,11.363931751288902,-1.0,-4.0,2.0
KZT,chronos2_synth_ft_head10y,2026-01-01,chronos2_synth_ft_head2y,2026-01-01,0.005334779097379249,-0.006882611641966036,0.019091828111804664,10000,0.08351190476190484,-0.12820512820512808,0.23235930735930743,-24.88804636040197,-60.34003405896716,17.228717585657122,-14.07527925934683,-47.45884095251773,16.08903755446756,35.90782399828959,0.47406143274788093,65.54842138448728,3.0,1.0,5.0
KZT,chronos2_synth_ft_head10y,2026-03-01,chronos2_synth_ft_head10y,2026-01-01,-0.0017447473692919731,-0.003727361826281999,0.0005535292893360374,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KZT,chronos2_synth_ft_head10y,2026-03-01,chronos2_synth_ft_head2y,2026-03-01,0.004283375781985417,-0.003376430175322879,0.012361388719157939,10000,0.05715388007054667,-0.06813186813186811,0.15562456866804708,-10.069056291012064,-33.526395825028324,15.191897174121877,-1.1179714076550997,-18.85730242495693,17.653994903705353,16.344660519328883,-5.932305149862131,40.35384323663368,1.0,-2.0,4.0
