cutoff,arm,rows,dates,positive_share,brier,raw_brier,log_loss,auc,mae_change_bps,rmse_change_bps,mae_future_quote_kzt_per_rub,rmse_future_quote_kzt_per_rub,brier_skill_vs_past_prevalence,mae_skill_vs_persistence
2025-01-01,bank_cbr,226,226,0.5663716814159292,0.2528774993873867,0.3007867225185062,0.6989056240753234,0.46615911989795916,134.93975233652301,184.68192822057878,0.08672697691416223,0.11645150669204896,0.0012717840975577932,-0.2282955870933605
2025-01-01,bank_cbr_oxr,226,226,0.5663716814159292,0.25254845591673,0.30599030757386536,0.6983125412635722,0.423828125,140.10751588823507,187.27195792809607,0.09015286183569775,0.11818367796315174,0.0025713263628817096,-0.27533540342472484
2025-01-01,bank_history,226,226,0.5663716814159292,0.2580802033061204,0.2630384492325437,0.7104033534261407,0.46755420918367346,116.28612464066202,154.93542400549728,0.07474485125843619,0.09779246703929884,-0.019276059088227715,-0.05850004363505912
2025-01-01,cbr_history,226,226,0.5663716814159292,0.2531541402161265,0.26656491156366685,0.6994600518044785,0.5153061224489796,118.36179351146792,156.40952300777317,0.07598083638499588,0.09864974001025666,0.00017920369003876502,-0.07739391938428763
2025-01-01,persistence,226,226,0.5663716814159292,0.2531995145034415,0.2531995145034415,0.6995501680936659,0.5,109.85934798955398,149.06092001415405,0.0704867256637168,0.0936159543168517,0.0,0.0
2025-01-01,prior_mean,226,226,0.5663716814159292,0.2531995145034415,0.2531995145034415,0.6995501680936659,0.5,108.69008352127713,147.03482450847173,0.06983981364387945,0.092634787933637,0.0,0.01064328607145959
2026-01-01,bank_cbr,167,167,0.4491017964071856,0.2648465539196171,0.2749972716530556,0.7231901560727624,0.4288405797101449,154.60190350362933,200.67366643372736,0.0995504728114195,0.1294388701040936,-0.014109865828462853,-0.08073076852355077
2026-01-01,bank_cbr_oxr,167,167,0.4491017964071856,0.27759629086403453,0.2850987034120955,0.7502578868689476,0.411304347826087,155.87967792331338,202.9843903353719,0.10042979582519955,0.13113800115993932,-0.06292920604904806,-0.0896629362348782
2026-01-01,bank_history,167,167,0.4491017964071856,0.260793456860295,0.2658970885707249,0.7148818405950118,0.534927536231884,149.43249479643228,197.38297645716557,0.09617544331104745,0.12752005559226537,0.0014096327422695731,-0.04459447965301777
2026-01-01,cbr_history,167,167,0.4491017964071856,0.2591391643382366,0.258173956204207,0.7115262783289742,0.47115942028985514,143.08775665325092,193.02965548360612,0.09205598869252936,0.12453414760307081,0.007743996330382696,-0.00024215556018991613
2026-01-01,persistence,167,167,0.4491017964071856,0.2611615988009883,0.2611615988009883,0.7156291439928614,0.5,143.05311554591898,192.927520388123,0.09211976047904195,0.12486409378267106,0.0,0.0
2026-01-01,prior_mean,167,167,0.4491017964071856,0.2611615988009883,0.2611615988009883,0.7156291439928614,0.5,149.09748043709106,201.85287280812764,0.09596288471938437,0.13064535448992803,0.0,-0.042252591760099545
2026-03-01,bank_cbr,120,120,0.4083333333333333,0.2677540132148026,0.2565259282101738,0.7289749374837984,0.4535786145444093,174.86506652856116,223.6600371676127,0.11139517035696729,0.1435291472866126,-0.019700220141941616,-0.029715461639218788
2026-03-01,bank_cbr_oxr,120,120,0.4083333333333333,0.27383952761510766,0.26349067280660976,0.7415448057279278,0.4313020983041103,178.02613312982402,227.69537039785882,0.11350571730743901,0.14627877369327968,-0.04287597126948817,-0.04832980937150322
2026-03-01,bank_history,120,120,0.4083333333333333,0.261188131334849,0.24457561381502393,0.7156407996078417,0.41448692152917505,176.36975965377542,226.7080324987551,0.1123785826472946,0.14580977849884225,0.005304937084379513,-0.038576040866472816
2026-03-01,cbr_history,120,120,0.4083333333333333,0.262472512986855,0.24763131816329675,0.7182456764999168,0.4805978729519977,167.88330927143008,219.77098915983373,0.10708639503834026,0.14153832765413957,0.000413565942741112,0.011397515010725612
2026-03-01,persistence,120,120,0.4083333333333333,0.2625811075901615,0.2625811075901615,0.7184157396982614,0.5,169.81882184248352,220.67577892333298,0.10840000000000008,0.14238422197233327,0.0,0.0
2026-03-01,prior_mean,120,120,0.4083333333333333,0.2625811075901615,0.2625811075901615,0.7184157396982614,0.5,173.3296656152524,224.89371851833945,0.11059941195270952,0.14508470643643298,0.0,-0.020674055647526446
