open_time,open,close,high,low,volume,source_date
1647561600000,104.243629,104.152365,106.116943,102.222952,159798.3099202,2022-03-18
1647648000000,104.009118,103.094863,104.249635,102.930825,140661.05963571,2022-03-19
1647734400000,103.068389,110.141072,110.426576,101.601663,506042.09126354,2022-03-20
1647820800000,109.553926,105.890101,114.891912,103.781601,316248.43197441,2022-03-21
1647907200000,105.907193,104.798608,105.922638,103.641242,223621.40931872,2022-03-22
1647993600000,104.818616,99.009062,105.837056,98.98,329539.64138525,2022-03-23
1648080000000,99.010937,101.038023,102.52064,98.054434,230778.09859249,2022-03-24
1648166400000,101.018243,101.158644,101.51889,98.0,366413.12488262,2022-03-25
1648252800000,101.185277,100.104475,101.707,99.201111,130485.3821772,2022-03-26
1648339200000,100.12361,97.465057,100.123943,97.4029,153712.58024407,2022-03-27
1648425600000,97.521187,94.155815,97.60896,92.23377,336212.15127297,2022-03-28
1648512000000,94.188781,89.323122,94.303423,86.439371,272051.26918438,2022-03-29
1648598400000,89.211418,86.972984,89.864778,86.541714,228659.10691009,2022-03-30
1648684800000,86.959892,87.887048,88.174288,85.457144,278436.90307975,2022-03-31
1648771200000,87.887048,89.968487,91.98409,85.60762,418822.17167796,2022-04-01
1648857600000,89.968487,89.983742,89.999987,88.449555,151955.31696617,2022-04-02
1648944000000,89.981065,89.605385,89.999987,89.168791,140186.08048417,2022-04-03
1649030400000,89.628457,88.62,91.495499,88.000001,188350.32713295,2022-04-04
1649116800000,88.744293,90.411303,90.95,88.280059,145771.03034107,2022-04-05
1649203200000,90.34276,89.876191,92.301566,89.17577,257436.21174657,2022-04-06
1649289600000,89.871908,86.656716,91.04,85.550001,355566.24801883,2022-04-07
1649376000000,86.653599,85.650027,87.699926,82.198491,499846.22202131,2022-04-08
1649462400000,85.664571,83.800869,85.770014,83.750001,98175.25001155,2022-04-09
1649548800000,83.795091,83.03004,84.034464,82.35,116208.60316331,2022-04-10
1649635200000,83.030435,85.206851,86.589899,82.35,175631.90033016,2022-04-11
1649721600000,85.195774,87.194811,87.411303,84.380708,120722.22651974,2022-04-12
1649808000000,87.191311,85.489513,87.227726,84.120001,182981.87830837,2022-04-13
1649894400000,85.483759,87.154282,87.67018,85.0,102120.1426284,2022-04-14
1649980800000,87.154517,85.381117,87.77,85.37151,148018.52390702,2022-04-15
1650067200000,85.381116,86.350324,86.82,85.35,94769.48997928,2022-04-16
1650153600000,86.299322,86.78409,87.0,85.88,106165.87606735,2022-04-17
1650240000000,86.690846,85.259148,88.8,84.811,220002.08075965,2022-04-18
1650326400000,85.2466,83.822053,85.6222,82.755,109657.81135978,2022-04-19
1650412800000,83.954859,83.597084,84.845199,82.521,111361.08234231,2022-04-20
1650499200000,83.55941,81.784897,83.858726,79.4,180267.72309811,2022-04-21
1650585600000,81.756121,80.367891,81.938449,79.131021,159376.14260417,2022-04-22
1650672000000,80.414904,80.418846,80.841795,79.580498,125370.83583745,2022-04-23
1650758400000,80.461957,80.913743,81.3,80.14401,88262.77766772,2022-04-24
1650844800000,80.915852,79.801378,81.93531,79.0,180921.34409422,2022-04-25
1650931200000,79.794006,78.985168,80.774638,77.577241,230293.93068316,2022-04-26
1651017600000,79.011063,77.905921,80.569999,77.0,138103.67005729,2022-04-27
1651104000000,77.906665,77.396782,78.57,76.3,249513.68844231,2022-04-28
1651190400000,77.402403,76.203319,77.917441,75.457342,243000.70350955,2022-04-29
1651276800000,76.220442,76.507837,77.400009,75.6,137085.32954576,2022-04-30
1651363200000,76.491822,76.439539,76.89,74.500001,188452.36478744,2022-05-01
