scenario,horizon_moex_rows,delta_bps,eligible_moex_rows,signals,hits,hit_rate,hit_rate_wilson_95,random_hit_rate,lift,lift_block_bootstrap_95,absolute_delta_pp,absolute_delta_pp_block_bootstrap_95,fisher_exact_greater_p,symmetric_bps_mean,symmetric_bps_median,symmetric_bps_block_bootstrap_95,forward_bps_mean,forward_bps_median,forward_bps_block_bootstrap_95,circular_shift_p_hit_rate,circular_shift_p_symmetric_bps,circular_shift_p_forward_bps
favorable_now,10,50.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.27765237,2.05807201,"[null, null]",29.37762012,"[null, null]",0.09720968,110.56762333,186.17594188,"[null, null]",23.55325787,235.45969797,"[null, null]",0.09255079,0.03837472,0.35665914
favorable_now,10,75.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.33182844,1.72206025,"[null, null]",23.9600129,"[null, null]",0.16923731,110.56762333,186.17594188,"[null, null]",23.55325787,235.45969797,"[null, null]",0.18510158,0.03837472,0.35665914
favorable_now,10,100.0,443,7,4,0.57142857,"[0.25045836, 0.84178014]",0.39277652,1.45484401,"[null, null]",17.86520477,"[null, null]",0.27454585,110.56762333,186.17594188,"[null, null]",23.55325787,235.45969797,"[null, null]",0.27765237,0.03837472,0.35665914
window_closing,10,0.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.79232506,1.13589744,"[null, null]",10.76749436,"[null, null]",0.35019796,96.44847294,123.43433147,"[null, null]",268.15276838,409.97326482,"[null, null]",0.33408578,0.02934537,0.00451467
window_closing,10,10.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.7765237,1.15901163,"[null, null]",12.3476298,"[null, null]",0.30606285,96.44847294,123.43433147,"[null, null]",268.15276838,409.97326482,"[null, null]",0.29345372,0.02934537,0.00451467
window_closing,10,25.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.75395034,1.19371257,"[null, null]",14.60496614,"[null, null]",0.24983855,96.44847294,123.43433147,"[null, null]",268.15276838,409.97326482,"[null, null]",0.23927765,0.02934537,0.00451467
window_closing,10,50.0,443,10,9,0.9,"[0.59584997, 0.98212379]",0.68171558,1.32019868,"[null, null]",21.82844244,"[null, null]",0.12006364,96.44847294,123.43433147,"[null, null]",268.15276838,409.97326482,"[null, null]",0.13769752,0.02934537,0.00451467
window_closing,10,75.0,443,10,8,0.8,"[0.49016247, 0.94331785]",0.62302483,1.28405797,"[null, null]",17.69751693,"[null, null]",0.20433658,96.44847294,123.43433147,"[null, null]",268.15276838,409.97326482,"[null, null]",0.20541761,0.02934537,0.00451467
window_closing,10,100.0,443,10,8,0.8,"[0.49016247, 0.94331785]",0.54401806,1.47053942,"[null, null]",25.59819413,"[null, null]",0.09056198,96.44847294,123.43433147,"[null, null]",268.15276838,409.97326482,"[null, null]",0.11738149,0.02934537,0.00451467
favorable_now,20,10.0,441,7,3,0.42857143,"[0.15821986, 0.74954164]",0.14512472,2.953125,"[null, null]",28.3446712,"[null, null]",0.06635271,169.58145671,337.21110142,"[null, null]",120.62682625,205.85606147,"[null, null]",0.09977324,0.00680272,0.14512472
favorable_now,20,25.0,441,7,3,0.42857143,"[0.15821986, 0.74954164]",0.16099773,2.66197183,"[null, null]",26.75736961,"[null, null]",0.08636756,169.58145671,337.21110142,"[null, null]",120.62682625,205.85606147,"[null, null]",0.11791383,0.00680272,0.14512472
favorable_now,20,35.0,441,7,3,0.42857143,"[0.15821986, 0.74954164]",0.16780045,2.55405405,"[null, null]",26.07709751,"[null, null]",0.09576226,169.58145671,337.21110142,"[null, null]",120.62682625,205.85606147,"[null, null]",0.12471655,0.00680272,0.14512472
favorable_now,20,50.0,441,7,3,0.42857143,"[0.15821986, 0.74954164]",0.17913832,2.39240506,"[null, null]",24.94331066,"[null, null]",0.11246967,169.58145671,337.21110142,"[null, null]",120.62682625,205.85606147,"[null, null]",0.14512472,0.00680272,0.14512472
favorable_now,20,75.0,441,7,3,0.42857143,"[0.15821986, 0.74954164]",0.20861678,2.05434783,"[null, null]",21.99546485,"[null, null]",0.16162926,169.58145671,337.21110142,"[null, null]",120.62682625,205.85606147,"[null, null]",0.21088435,0.00680272,0.14512472
favorable_now,20,100.0,441,7,4,0.57142857,"[0.25045836, 0.84178014]",0.25170068,2.27027027,"[null, null]",31.97278912,"[null, null]",0.07054622,169.58145671,337.21110142,"[null, null]",120.62682625,205.85606147,"[null, null]",0.10430839,0.00680272,0.14512472
window_closing,20,0.0,441,9,9,1.0,"[0.70085495, 1.0]",0.83446712,1.19836957,"[null, null]",16.55328798,"[null, null]",0.19299649,192.46469682,193.25783984,"[null, null]",335.79220865,555.38447065,"[null, null]",0.2244898,0.01587302,0.00907029
window_closing,20,10.0,441,9,9,1.0,"[0.70085495, 1.0]",0.81632653,1.225,"[null, null]",18.36734694,"[null, null]",0.15800923,192.46469682,193.25783984,"[null, null]",335.79220865,555.38447065,"[null, null]",0.18367347,0.01587302,0.00907029
window_closing,20,25.0,441,9,9,1.0,"[0.70085495, 1.0]",0.79365079,1.26,"[null, null]",20.63492063,"[null, null]",0.12226759,192.46469682,193.25783984,"[null, null]",335.79220865,555.38447065,"[null, null]",0.14512472,0.01587302,0.00907029
window_closing,20,50.0,441,9,9,1.0,"[0.70085495, 1.0]",0.72789116,1.37383178,"[null, null]",27.21088435,"[null, null]",0.05560822,192.46469682,193.25783984,"[null, null]",335.79220865,555.38447065,"[null, null]",0.07709751,0.01587302,0.00907029
window_closing,20,75.0,441,9,8,0.88888889,"[0.56500029, 0.98010911]",0.69387755,1.28104575,"[null, null]",19.50113379,"[null, null]",0.18250618,192.46469682,193.25783984,"[null, null]",335.79220865,555.38447065,"[null, null]",0.24716553,0.01587302,0.00907029
window_closing,20,100.0,441,9,8,0.88888889,"[0.56500029, 0.98010911]",0.62131519,1.43065693,"[null, null]",26.75736961,"[null, null]",0.08723216,192.46469682,193.25783984,"[null, null]",335.79220865,555.38447065,"[null, null]",0.16099773,0.01587302,0.00907029
