config_id,model_kind,feature_set,horizon_cbr_rows_pub_proxy,eligible_count,baseline_hits,baseline_hit_rate,signal_count,signal_hits,hit_rate,lift,expected_signal_hits_cell_standardized,signal_weighted_baseline_hit_rate,cell_standardized_lift,mean_signals_per_week,min_fold_lift,folds_lift_ge_1,active_fold_count,fold_count,min_corridor_lift,corridors_lift_ge_1,active_corridor_count,corridor_count,positive_fold_corridor_cells,active_fold_corridor_cells,fold_corridor_cell_count,signal_symmetric_bps,baseline_symmetric_bps,symmetric_bps_delta,cell_standardized_symmetric_bps_delta,signal_forward_bps,baseline_forward_bps,forward_bps_delta,cell_standardized_forward_bps_delta,signal_regret_bps,baseline_regret_bps,regret_bps_improvement,cell_standardized_regret_bps_improvement,model_brier,prior_year_prevalence_brier,brier_skill_vs_prior_year,exploratory_post_selection
hgb_core_vol,hist_gradient_boosting,core_vol,3,4455,1681,0.37732884399551064,890,365,0.4101123595505618,1.0868831420569618,346.12814941706085,0.38890803305287736,1.0545227269574076,0.9702752294919146,0.9570568742814635,3,4,4,0.9551170383975153,3,5,5,15,20,20,-1.4200310321372942,1.0471647628913372,-2.4671957950286316,-2.534312200326474,11.180636316498154,5.884514192169655,5.296122124328499,2.787308585385608,70.79881224178004,79.56221081944203,8.763398577661988,6.190122840455743,0.24355634351379096,0.2410411427207003,-0.010434736430058766,True
level_pr120,level_score,pr120,3,4455,1681,0.37732884399551064,896,326,0.3638392857142857,0.9642498619019292,328.95642418826833,0.36713886628154946,0.9910127178833379,0.9651027333227225,0.8831852583086541,2,4,4,0.9097373918633941,2,5,5,9,20,20,6.823846372499234,1.0471647628913372,5.776681609607897,5.835540807438566,-4.931608820955536,5.884514192169655,-10.81612301312519,-8.470594871812658,83.57727309949932,79.56221081944203,-4.015062280057293,-2.7272519522329617,,,,True
logit_core10,logistic,core10,3,4455,1681,0.37732884399551064,753,295,0.39176626826029215,1.0382621803091028,279.77445401069747,0.37154641966892094,1.05442078706986,0.8423827645881611,0.7616599338964377,3,4,4,1.0036927832517217,5,5,5,12,20,20,-3.9589032411169907,1.0471647628913372,-5.006068004008328,-4.984610682014503,4.070767945717747,5.884514192169655,-1.8137462464519079,-0.8566035641829624,79.53687998284725,79.56221081944203,0.025330836594775974,0.2492939762128401,0.25241739767737076,0.2410411427207003,-0.047196320214314635,True
logit_core_levels,logistic,core_levels,3,4455,1681,0.37732884399551064,855,337,0.39415204678362575,1.0445849901374495,331.7067085643139,0.3879610626483203,1.0159577461022613,0.9224154758502227,0.9219402505621586,2,4,4,0.9257392140586016,4,5,5,10,20,20,-2.285603312199465,1.0471647628913372,-3.332768075090802,-3.361271716471607,13.963537965774998,5.884514192169655,8.079023773605343,6.067129865060246,68.4966838475039,79.56221081944203,11.065526971938127,8.98045265952365,0.24189966634704627,0.2410411427207003,-0.0035617306516870784,True
logit_core_vol,logistic,core_vol,3,4455,1681,0.37732884399551064,984,379,0.3851626016260163,1.0207610887828094,375.6105769678695,0.3817180660242576,1.009023768871185,1.0667054240016796,0.8267329810382344,3,4,4,0.9565730091350599,2,5,5,11,20,20,-0.2655334535266405,1.0471647628913372,-1.3126982164179777,-1.3226238518171978,10.282009903147417,5.884514192169655,4.397495710977762,3.5953076570439526,74.73389940340235,79.56221081944203,4.828311416039682,3.783206755145656,0.2522789215940199,0.2410411427207003,-0.046621828732122506,True
logit_core_vol_calendar,logistic,core_vol_calendar,3,4455,1681,0.37732884399551064,977,393,0.4022517911975435,1.0660509992772496,375.680458304924,0.3845245223182436,1.0461017902640506,1.0651666936220905,0.8652746782427929,3,4,4,0.9827324019212665,4,5,5,13,20,20,3.76715114562567,1.0471647628913372,2.7199863827343327,2.691830639713001,16.050719237379678,5.884514192169655,10.166205045210024,8.707631217875766,71.97424662620573,79.56221081944203,7.587964193236303,6.081849140301486,0.25308126797672936,0.2410411427207003,-0.04995049857517575,True
logit_full,logistic,full,3,4455,1681,0.37732884399551064,937,351,0.37459978655282816,0.992767429561481,356.10713459901496,0.38005030373427423,0.985658432244651,1.0090643209172945,0.7955801104972375,3,4,4,0.9540553290127133,2,5,5,12,20,20,0.521954016175487,1.0471647628913372,-0.5252107467158502,-0.516936601408309,10.18845122037505,5.884514192169655,4.303937028205396,3.9812400149165326,75.05419522739587,79.56221081944203,4.5080155920461635,3.9447121952961908,0.23785243052418775,0.2410411427207003,0.013228912543811533,True
weekly_first,weekly_first,none,3,4455,1681,0.37732884399551064,930,313,0.3365591397849462,0.8919517952063863,350.9029136369219,0.377314960899916,0.8919846140800646,1.0157810633443893,0.8090093180129195,0,4,4,0.8404533809107732,0,5,5,3,20,20,-5.632122767821333,1.0471647628913372,-6.67928753071267,-6.679137926737359,-3.5916091614870562,5.884514192169655,-9.47612335365671,-9.472450720903689,87.80539871776395,79.56221081944203,-8.24318789832192,-8.234337679386655,,,,True
down3,down3,none,5,4415,1407,0.3186862967157418,308,90,0.2922077922077922,0.916913576828289,96.25230091644234,0.31250747050792965,0.9350425822872533,0.3398201154914425,0.8071150639244025,1,4,4,0.7526846854534206,2,5,5,9,20,20,70.82567341567984,1.4107016191294264,69.41497179655042,69.4997094327667,-7.209488664533286,9.221697626972661,-16.431186291505945,-14.625965791592435,135.91880212166703,115.40255938292076,-20.51624273874627,-19.236661214756452,,,,True
hgb_core_vol,hist_gradient_boosting,core_vol,5,4415,1407,0.3186862967157418,899,301,0.3348164627363737,1.0506145579112225,293.0023251159614,0.32592027265401713,1.0272956021112576,0.9887963200825567,0.9403359237904237,2,4,4,0.9138976538490742,3,5,5,10,20,20,0.2495559301117107,1.4107016191294264,-1.1611456890177156,-1.2637989772050229,16.96762606762066,9.221697626972661,7.745928440647999,5.471321942577262,103.14059191118866,115.40255938292076,12.261967471732092,9.466257546516829,0.23048262169106826,0.223022766848746,-0.03344884895711808,True
