config_id,horizon_cbr_rows_pub_proxy,fold_test_year,feature,standardized_coefficient,coefficient_mean,coefficient_std,sign_agreement_folds
logit_full,5,2024,numeric__dmax20,-0.060814888536824284,-0.03160040966348745,0.20470816001351086,3
logit_full,5,2025,numeric__dmax20,-0.11988967599696994,-0.03160040966348745,0.20470816001351086,3
logit_full,5,2026,numeric__dmax20,-0.20754434756166268,-0.03160040966348745,0.20470816001351086,3
logit_full,5,2023,numeric__dmax252,0.049004863089914516,-0.12409581151502273,0.18072432516943315,3
logit_full,5,2024,numeric__dmax252,-0.20005167600735996,-0.12409581151502273,0.18072432516943315,3
logit_full,5,2025,numeric__dmax252,-0.3422738638217487,-0.12409581151502273,0.18072432516943315,3
logit_full,5,2026,numeric__dmax252,-0.0030625693208967968,-0.12409581151502273,0.18072432516943315,3
logit_full,5,2023,numeric__dmax60,-0.40335985877156827,0.356373723272149,0.5627241054715525,3
logit_full,5,2024,numeric__dmax60,0.7976083624675078,0.356373723272149,0.5627241054715525,3
logit_full,5,2025,numeric__dmax60,0.767983399391601,0.356373723272149,0.5627241054715525,3
logit_full,5,2026,numeric__dmax60,0.2632629900010555,0.356373723272149,0.5627241054715525,3
logit_full,5,2023,numeric__dmin120,0.07735810965432612,0.11368655995086518,0.2718445059592198,3
logit_full,5,2024,numeric__dmin120,0.2242131745443624,0.11368655995086518,0.2718445059592198,3
logit_full,5,2025,numeric__dmin120,-0.24388852257335966,0.11368655995086518,0.2718445059592198,3
logit_full,5,2026,numeric__dmin120,0.3970634781781319,0.11368655995086518,0.2718445059592198,3
logit_full,5,2023,numeric__dmin20,0.13194636504459442,-0.15381903462757257,0.4528054519037626,2
logit_full,5,2024,numeric__dmin20,0.3188611971192298,-0.15381903462757257,0.4528054519037626,2
logit_full,5,2025,numeric__dmin20,-0.42723547345445073,-0.15381903462757257,0.4528054519037626,2
logit_full,5,2026,numeric__dmin20,-0.6388482272196637,-0.15381903462757257,0.4528054519037626,2
