train_horizon,evaluate_horizon,year,scope,policy,interpretation,rows,dates,contacts,hits,hit_rate,lift_standardized,lift_unstandardized,forward_delta_bps,forward_delta_unstandardized_bps,mean_all_observed_week_coverage,mean_legacy_full_week_coverage
3,3,2024,KGS,signal,separately_trained_matched_date_evaluation,243,243,8,3,0.375,0.9022277227722773,0.9022277227722773,66.97456504647852,66.97456504647852,0.1568627450980392,0.16326530612244897
3,3,2024,KGS,strict05_signal,separately_trained_matched_date_evaluation,243,243,8,5,0.625,1.5037128712871288,1.5037128712871288,43.00997274793268,43.009972747932686,0.1568627450980392,0.16326530612244897
3,3,2024,KZT,candidate_signal,separately_trained_matched_date_evaluation,243,243,53,22,0.41509433962264153,1.245283018867925,1.2452830188679247,0.31294450412654523,0.3129445041265466,0.9019607843137255,0.9183673469387755
3,3,2024,KZT,strict05_candidate_signal,separately_trained_matched_date_evaluation,243,243,41,18,0.43902439024390244,1.3170731707317074,1.3170731707317074,19.816137458585754,19.81613745858575,0.7647058823529411,0.7959183673469388
3,3,2024,KZT,signal,separately_trained_matched_date_evaluation,243,243,11,4,0.36363636363636365,1.0909090909090908,1.090909090909091,27.153374332301134,27.153374332301137,0.19607843137254902,0.20408163265306123
3,3,2024,KZT,strict05_signal,separately_trained_matched_date_evaluation,243,243,10,4,0.4,1.2,1.2000000000000002,22.15038362056253,22.150383620562533,0.19607843137254902,0.20408163265306123
3,3,2024,TJS,candidate_signal,separately_trained_matched_date_evaluation,243,243,52,25,0.4807692307692308,1.1921114599686031,1.192111459968603,23.752176752443045,23.752176752443045,0.9411764705882353,0.9591836734693877
3,3,2024,TJS,strict05_candidate_signal,separately_trained_matched_date_evaluation,243,243,42,23,0.5476190476190477,1.3578717201166184,1.3578717201166182,33.85678587410883,33.85678587410882,0.7843137254901961,0.8163265306122449
3,3,2024,TJS,signal,separately_trained_matched_date_evaluation,243,243,12,5,0.4166666666666667,1.0331632653061227,1.0331632653061225,14.982501661363102,14.982501661363102,0.23529411764705882,0.24489795918367346
3,3,2024,TJS,strict05_signal,separately_trained_matched_date_evaluation,243,243,3,1,0.3333333333333333,0.8265306122448979,0.8265306122448979,-27.659830369947358,-27.659830369947358,0.058823529411764705,0.061224489795918366
3,3,2024,UZS,candidate_signal,separately_trained_matched_date_evaluation,243,243,49,28,0.5714285714285714,1.4772036474164132,1.4772036474164132,26.14335726563341,26.143357265633398,0.8823529411764706,0.9183673469387755
3,3,2024,UZS,strict05_candidate_signal,separately_trained_matched_date_evaluation,243,243,42,25,0.5952380952380952,1.5387537993920972,1.5387537993920972,40.955116181742085,40.955116181742085,0.7843137254901961,0.8163265306122449
3,3,2024,UZS,signal,separately_trained_matched_date_evaluation,243,243,7,6,0.8571428571428571,2.2158054711246202,2.21580547112462,69.07764257454059,69.07764257454059,0.13725490196078433,0.14285714285714285
3,3,2024,UZS,strict05_signal,separately_trained_matched_date_evaluation,243,243,12,10,0.8333333333333334,2.1542553191489358,2.154255319148936,83.8018732105932,83.80187321059319,0.23529411764705882,0.24489795918367346
3,5,2024,all,candidate_signal,frozen_policy_rescore_no_refit,1215,243,252,106,0.42063492063492064,1.266683058765675,1.261904761904762,25.21088465238001,25.03389187537403,0.8941176470588236,0.9224489795918368
3,5,2024,all,strict05_candidate_signal,frozen_policy_rescore_no_refit,1215,243,207,92,0.4444444444444444,1.3334923948702657,1.3333333333333333,37.599148877611356,37.6045486432794,0.776470588235294,0.8081632653061224
