train_horizon,year,scope,policy,rows,dates,corridors,contacts,hit_rate,raw_base_hit,lift_standardized,forward_delta_bps,mean_all_observed_week_coverage,mean_legacy_full_week_coverage,brier
3,2026,AMD,strict05_candidate_signal,158,158,1,25,0.64,0.4050632911392405,1.5799999999999998,68.33873212241761,0.6666666666666666,0.6774193548387096,0.201533481238889
3,2026,AMD,signal,158,158,1,6,0.6666666666666666,0.4050632911392405,1.6458333333333333,71.2551467083636,0.15151515151515152,0.16129032258064516,0.201533481238889
3,2026,AMD,strict05_signal,158,158,1,7,0.7142857142857143,0.4050632911392405,1.7633928571428572,93.87911880468309,0.18181818181818182,0.1935483870967742,0.201533481238889
3,2026,KGS,candidate_signal,158,158,1,35,0.4857142857142857,0.379746835443038,1.279047619047619,30.909495582157348,0.9090909090909091,0.9354838709677419,0.18896085060914689
3,2026,KGS,strict05_candidate_signal,158,158,1,23,0.7391304347826086,0.379746835443038,1.9463768115942024,80.07646965351549,0.6060606060606061,0.6129032258064516,0.18896085060914689
3,2026,KGS,signal,158,158,1,4,0.5,0.379746835443038,1.3166666666666667,26.141037618542043,0.12121212121212122,0.12903225806451613,0.18896085060914689
3,2026,KGS,strict05_signal,158,158,1,4,0.75,0.379746835443038,1.9749999999999999,86.67068204215485,0.12121212121212122,0.12903225806451613,0.18896085060914689
3,2026,KZT,candidate_signal,158,158,1,35,0.45714285714285713,0.4240506329113924,1.078038379530917,24.14713656799109,0.9393939393939394,0.967741935483871,0.22947505238973498
3,2026,KZT,strict05_candidate_signal,158,158,1,19,0.6842105263157895,0.4240506329113924,1.6135113904163394,77.32177650863335,0.5151515151515151,0.5161290322580645,0.22947505238973498
3,2026,KZT,signal,158,158,1,6,0.3333333333333333,0.4240506329113924,0.7860696517412936,-91.07811976545838,0.18181818181818182,0.1935483870967742,0.22947505238973498
3,2026,KZT,strict05_signal,158,158,1,1,0.0,0.4240506329113924,0.0,-17.67760521270932,0.030303030303030304,0.03225806451612903,0.22947505238973498
3,2026,TJS,candidate_signal,158,158,1,36,0.4722222222222222,0.3987341772151899,1.1843033509700178,17.467011266156963,0.9393939393939394,0.967741935483871,0.1947359517606726
3,2026,TJS,strict05_candidate_signal,158,158,1,24,0.75,0.3987341772151899,1.8809523809523807,73.9563821923298,0.6363636363636364,0.6451612903225806,0.1947359517606726
3,2026,TJS,signal,158,158,1,11,0.36363636363636365,0.3987341772151899,0.9119769119769119,-28.91587087663952,0.2727272727272727,0.25806451612903225,0.1947359517606726
3,2026,TJS,strict05_signal,158,158,1,7,0.7142857142857143,0.3987341772151899,1.7913832199546487,51.560959160593015,0.21212121212121213,0.22580645161290322,0.1947359517606726
3,2026,UZS,candidate_signal,158,158,1,35,0.5714285714285714,0.43037974683544306,1.3277310924369745,29.87376983434162,0.9090909090909091,0.9354838709677419,0.21280478284345303
3,2026,UZS,strict05_candidate_signal,158,158,1,20,0.8,0.43037974683544306,1.8588235294117648,88.70962651744206,0.5454545454545454,0.5483870967741935,0.21280478284345303
3,2026,UZS,signal,158,158,1,8,0.625,0.43037974683544306,1.4522058823529411,92.54265666686422,0.24242424242424243,0.25806451612903225,0.21280478284345303
3,2026,UZS,strict05_signal,158,158,1,6,0.6666666666666666,0.43037974683544306,1.5490196078431373,66.88872321969382,0.18181818181818182,0.16129032258064516,0.21280478284345303
5,2024,all,candidate_signal,1215,243,5,237,0.4430379746835443,0.3333333333333333,1.3295987493486192,24.49444811333371,0.8431372549019607,0.8775510204081632,0.191653236953845
5,2024,all,strict05_candidate_signal,1215,243,5,174,0.5517241379310345,0.3333333333333333,1.6532955350815026,73.83156389787895,0.6823529411764706,0.710204081632653,0.191653236953845
5,2024,all,signal,1215,243,5,46,0.4782608695652174,0.3333333333333333,1.4686813186813183,26.339659442565033,0.17254901960784313,0.1795918367346939,0.191653236953845
5,2024,all,strict05_signal,1215,243,5,39,0.46153846153846156,0.3333333333333333,1.3929936305732482,68.25493887953186,0.15294117647058825,0.15918367346938775,0.191653236953845
5,2024,AMD,candidate_signal,243,243,1,48,0.4583333333333333,0.3497942386831276,1.3102941176470588,25.1039594096306,0.8431372549019608,0.8775510204081632,0.19562178886039366
5,2024,AMD,strict05_candidate_signal,243,243,1,37,0.5405405405405406,0.3497942386831276,1.5453100158982511,73.21016777717402,0.7254901960784313,0.7551020408163265,0.19562178886039366
5,2024,AMD,signal,243,243,1,9,0.5555555555555556,0.3497942386831276,1.588235294117647,3.793268715556388,0.1568627450980392,0.16326530612244897,0.19562178886039366
5,2024,AMD,strict05_signal,243,243,1,9,0.3333333333333333,0.3497942386831276,0.9529411764705882,46.85881630193934,0.17647058823529413,0.1836734693877551,0.19562178886039366
5,2024,KGS,candidate_signal,243,243,1,46,0.5,0.37037037037037035,1.35,32.94295706375516,0.8431372549019608,0.8775510204081632,0.19932537205030632
5,2024,KGS,strict05_candidate_signal,243,243,1,34,0.5882352941176471,0.37037037037037035,1.5882352941176472,71.75805412775313,0.6666666666666666,0.6938775510204082,0.19932537205030632
5,2024,KGS,signal,243,243,1,6,0.8333333333333334,0.37037037037037035,2.2500000000000004,168.60418938650733,0.11764705882352941,0.12244897959183673,0.19932537205030632
5,2024,KGS,strict05_signal,243,243,1,6,0.5,0.37037037037037035,1.3500000000000003,43.49922865459019,0.11764705882352941,0.12244897959183673,0.19932537205030632
5,2024,KZT,candidate_signal,243,243,1,47,0.3617021276595745,0.2674897119341564,1.3522094926350239,20.72603674913774,0.8431372549019608,0.8775510204081632,0.1925626805159965
