config_id,track,block,delta_brier,ci95_low,ci95_high,improved_years,improved_cells,n_blocks
official_train_120m,diagnostic_2026,month,0.03137947801791822,0.014826248630632486,0.04681703056526211,0,0,8
official_train_120m,diagnostic_2026,20,0.03137947801791822,0.014349557313435079,0.048022762280735314,0,0,8
official_train_120m,diagnostic_2026,60,0.03137947801791822,0.01988130669727502,0.04693812364416396,0,0,3
capacity_hgb3,development_2023_2025,month,0.003137971624453246,0.0006695146744319419,0.0055169875573814866,0,3,36
capacity_hgb3,development_2023_2025,20,0.003137971624453246,0.00043813866950175956,0.005521469617679539,0,3,39
capacity_hgb3,development_2023_2025,60,0.003137971624453246,0.0007444849620784915,0.005039248363604374,0,3,15
capacity_hgb3,diagnostic_2026,month,0.006334091763885131,-0.00015197636151682395,0.014189699237310583,0,0,8
capacity_hgb3,diagnostic_2026,20,0.006334091763885131,0.0010901932732902153,0.012819643942287379,0,0,8
capacity_hgb3,diagnostic_2026,60,0.006334091763885131,0.0028153225051345673,0.011449216980938159,0,0,3
decay_12m,development_2023_2025,month,0.0004667995118933871,-0.003066507187961138,0.00398992680857877,1,7,36
decay_12m,development_2023_2025,20,0.0004667995118933871,-0.003102532241678621,0.004166701615143968,1,7,39
decay_12m,development_2023_2025,60,0.0004667995118933871,-0.002772981346535997,0.003838070032926291,1,7,15
decay_12m,diagnostic_2026,month,0.002259303912563513,-0.0008903379012343273,0.0058077700010631195,0,1,8
decay_12m,diagnostic_2026,20,0.002259303912563513,-0.002023859116835348,0.007070672587978326,0,1,8
decay_12m,diagnostic_2026,60,0.002259303912563513,0.0012754690373266478,0.0029556271936492288,0,1,3
capacity_extra_trees,development_2023_2025,month,-0.00023189579206482375,-0.007108231653119877,0.007106749131136439,2,9,36
capacity_extra_trees,development_2023_2025,20,-0.00023189579206482375,-0.007189284524952518,0.00669432684266396,2,9,39
capacity_extra_trees,development_2023_2025,60,-0.00023189579206482375,-0.008026570500170532,0.007414562122221267,2,9,15
capacity_extra_trees,diagnostic_2026,month,-0.001802761896542382,-0.014272212892365646,0.009512902745988051,1,3,8
capacity_extra_trees,diagnostic_2026,20,-0.001802761896542382,-0.014685955160858613,0.00992907173492013,1,3,8
capacity_extra_trees,diagnostic_2026,60,-0.001802761896542382,-0.029121151746585645,0.011519323340960317,1,3,3
objective_common_factor,development_2023_2025,month,0.0034885368017880673,-0.0009356194400354968,0.007901742892843167,0,1,36
objective_common_factor,development_2023_2025,20,0.0034885368017880673,-0.0006475891347266813,0.007609059963792294,0,1,39
objective_common_factor,development_2023_2025,60,0.0034885368017880673,-0.0013975605167781205,0.00836484616690285,0,1,15
objective_common_factor,diagnostic_2026,month,0.0036349024997522146,0.00012774438324419522,0.006994133819879729,0,0,8
objective_common_factor,diagnostic_2026,20,0.0036349024997522146,0.00020839531272199557,0.006761930388857956,0,0,8
objective_common_factor,diagnostic_2026,60,0.0036349024997522146,0.0007390934839834465,0.005794653495642621,0,0,3
decay_24m,development_2023_2025,month,-0.0003535430831069699,-0.004508729890722745,0.003812746748383609,1,9,36
decay_24m,development_2023_2025,20,-0.0003535430831069699,-0.0043775904108262365,0.0036380543389770126,1,9,39
decay_24m,development_2023_2025,60,-0.0003535430831069699,-0.004024469818127329,0.003370255845139501,1,9,15
decay_24m,diagnostic_2026,month,0.0032497016972500804,-0.002565946994436605,0.009592594247505385,0,0,8
decay_24m,diagnostic_2026,20,0.0032497016972500804,-0.0021091005961534123,0.008664410734950546,0,0,8
decay_24m,diagnostic_2026,60,0.0032497016972500804,-0.003564720960618421,0.005294904521338468,0,0,3
annual_recent_calibration_1m,development_2023_2025,month,0.012161815999077612,-0.0016864308244898506,0.02685676963588181,1,6,36
annual_recent_calibration_1m,development_2023_2025,20,0.012161815999077612,-0.001006090466169247,0.02623049940671,1,6,39
annual_recent_calibration_1m,development_2023_2025,60,0.012161815999077612,-0.004674815598168994,0.02904524320257465,1,6,15
annual_recent_calibration_1m,diagnostic_2026,month,0.02878409505097323,0.003364864581357964,0.056179629132896,0,0,8
annual_recent_calibration_1m,diagnostic_2026,20,0.02878409505097323,0.0038742478551611753,0.06028592520170535,0,0,8
annual_recent_calibration_1m,diagnostic_2026,60,0.02878409505097323,0.001356992320390013,0.0630769617063958,0,0,3
basis_train_120m,development_2023_2025,month,-0.005766182113287813,-0.011810570965861822,0.00016681899441211054,2,11,36
basis_train_120m,development_2023_2025,20,-0.005766182113287813,-0.011530947138715872,-0.00018274204491933939,2,11,39
basis_train_120m,development_2023_2025,60,-0.005766182113287813,-0.011366056393043387,-0.000822001007922461,2,11,15
basis_train_120m,diagnostic_2026,month,0.0017791586425529725,-0.010647349304341058,0.013984974514293582,0,2,8
basis_train_120m,diagnostic_2026,20,0.0017791586425529725,-0.009564764485721501,0.011323512187319673,0,2,8
basis_train_120m,diagnostic_2026,60,0.0017791586425529725,-0.017342879096838664,0.010999858089406712,0,2,3
features_structural,development_2023_2025,month,0.004146326683398499,-0.0011236436473098968,0.0092010133662466,0,1,36
features_structural,development_2023_2025,20,0.004146326683398499,-0.001783482909253043,0.009594405547721847,0,1,39
features_structural,development_2023_2025,60,0.004146326683398499,-0.0017894162960040315,0.009613981481126901,0,1,15
features_structural,diagnostic_2026,month,-0.0006628692803808586,-0.009343254251625573,0.007757254368247885,1,3,8
features_structural,diagnostic_2026,20,-0.0006628692803808586,-0.00912819550029033,0.00727654074500946,1,3,8
features_structural,diagnostic_2026,60,-0.0006628692803808586,-0.015786984082340264,0.0045517553757476285,1,3,3
official_train_12m,development_2023_2025,month,0.030131753966873114,0.01937666377476425,0.04068182893930256,0,0,36
official_train_12m,development_2023_2025,20,0.030131753966873114,0.020172512093700593,0.04041455144318104,0,0,39
official_train_12m,development_2023_2025,60,0.030131753966873114,0.01790036386637569,0.040692776458699655,0,0,15
official_train_12m,diagnostic_2026,month,0.037550234052099236,0.017689936348195753,0.05683958642829908,0,0,8
official_train_12m,diagnostic_2026,20,0.037550234052099236,0.01683147115953325,0.05876812345956181,0,0,8
official_train_12m,diagnostic_2026,60,0.037550234052099236,0.0226549744611367,0.06568097812031853,0,0,3
basis_train_60m,development_2023_2025,month,0.0017326452530680627,-0.0036892775783238145,0.00728325108836589,1,6,36
basis_train_60m,development_2023_2025,20,0.0017326452530680627,-0.0028574438850336873,0.00616317019494606,1,6,39
basis_train_60m,development_2023_2025,60,0.0017326452530680627,-0.0017944722601180674,0.0051518426756473395,1,6,15
basis_train_60m,diagnostic_2026,month,0.0007064760039211179,-0.009375793135925669,0.01017968712277962,0,2,8
basis_train_60m,diagnostic_2026,20,0.0007064760039211179,-0.008171848710357595,0.008303042701484329,0,2,8
basis_train_60m,diagnostic_2026,60,0.0007064760039211179,-0.013780932441362397,0.006944725741221444,0,2,3
annual_recent_calibration_6m,development_2023_2025,month,-0.0025703101580613966,-0.011812964785669294,0.0067101890207973205,1,6,36
annual_recent_calibration_6m,development_2023_2025,20,-0.0025703101580613966,-0.012486757348256104,0.007002770815366311,1,6,39
annual_recent_calibration_6m,development_2023_2025,60,-0.0025703101580613966,-0.014181556496011286,0.008358932499524645,1,6,15
annual_recent_calibration_6m,diagnostic_2026,month,0.005448228148622674,-0.00898499986242588,0.024770732325510122,0,1,8
annual_recent_calibration_6m,diagnostic_2026,20,0.005448228148622674,-0.007783564442956252,0.019926418122958783,0,1,8
annual_recent_calibration_6m,diagnostic_2026,60,0.005448228148622674,-0.018306831314594,0.014800919547479,0,1,3
official_train_24m,development_2023_2025,month,0.028097018751510182,0.017831060539232155,0.038134584792117315,0,0,36
official_train_24m,development_2023_2025,20,0.028097018751510182,0.01862608699914137,0.03752028924222167,0,0,39
official_train_24m,development_2023_2025,60,0.028097018751510182,0.016582595200473997,0.03881017379133932,0,0,15
official_train_24m,diagnostic_2026,month,0.03143242383364989,0.01527815214966043,0.04611156572508451,0,0,8
official_train_24m,diagnostic_2026,20,0.03143242383364989,0.014566400233096806,0.048447917882880116,0,0,8
official_train_24m,diagnostic_2026,60,0.03143242383364989,0.017174164344569472,0.0522899559218915,0,0,3
official_train_60m,development_2023_2025,month,0.03811243000340264,0.025672471981099947,0.05069009733590932,0,0,36
official_train_60m,development_2023_2025,20,0.03811243000340264,0.0264885406566192,0.04980578081476834,0,0,39
official_train_60m,development_2023_2025,60,0.03811243000340264,0.02604710721186805,0.04943552017637505,0,0,15
official_train_60m,diagnostic_2026,month,0.03151760454330972,0.015246588811384762,0.0462353179642647,0,0,8
official_train_60m,diagnostic_2026,20,0.03151760454330972,0.014613786846227474,0.04777134631530711,0,0,8
official_train_60m,diagnostic_2026,60,0.03151760454330972,0.017719675009741007,0.05131585781906934,0,0,3
basis_train_12m,development_2023_2025,month,0.00663420525868507,-0.0013736685460512942,0.015080244724285655,2,8,36
basis_train_12m,development_2023_2025,20,0.00663420525868507,-0.0019736702668522047,0.01661307434770087,2,8,39
basis_train_12m,development_2023_2025,60,0.00663420525868507,-0.003115732220128319,0.017359686147344393,2,8,15
basis_train_12m,diagnostic_2026,month,0.016551041860208178,0.004954890758049232,0.030221614970167267,0,0,8
basis_train_12m,diagnostic_2026,20,0.016551041860208178,0.0015069377738389305,0.03357845508102388,0,0,8
basis_train_12m,diagnostic_2026,60,0.016551041860208178,0.008935953371905885,0.03244916200033369,0,0,3
objective_survival,development_2023_2025,month,0.0009111798240301789,-0.0018483381016879319,0.00360793746484458,1,5,36
objective_survival,development_2023_2025,20,0.0009111798240301789,-0.0015061305826883906,0.0033154974258499323,1,5,39
objective_survival,development_2023_2025,60,0.0009111798240301789,-0.001084104896135368,0.0028959399998606944,1,5,15
objective_survival,diagnostic_2026,month,0.0026556568528162436,-0.0022891032556815695,0.00862845485990114,0,1,8
objective_survival,diagnostic_2026,20,0.0026556568528162436,-0.0024968041090487427,0.009556038245642894,0,1,8
objective_survival,diagnostic_2026,60,0.0026556568528162436,0.0009120140997361872,0.003992053870959104,0,1,3
monthly_train60_val3,development_2023_2025,month,0.0015158532583232158,-0.010182484087358779,0.012502264260238819,1,8,36
monthly_train60_val3,development_2023_2025,20,0.0015158532583232158,-0.00942920534180208,0.011969495802906434,1,8,39
monthly_train60_val3,development_2023_2025,60,0.0015158532583232158,-0.007317807639377955,0.011288612310223956,1,8,15
monthly_train60_val3,diagnostic_2026,month,0.004429409219044093,-0.01909491206228979,0.023432070828830278,0,1,8
monthly_train60_val3,diagnostic_2026,20,0.004429409219044093,-0.015234785142046703,0.021315549158234942,0,1,8
monthly_train60_val3,diagnostic_2026,60,0.004429409219044093,-0.034831409536989245,0.01748361200619496,0,1,3
monthly_structural_val3,development_2023_2025,month,-0.00041009037347436634,-0.014177768530098214,0.013498955449504064,1,7,36
monthly_structural_val3,development_2023_2025,20,-0.00041009037347436634,-0.014198230725742098,0.013218696380781452,1,7,39
monthly_structural_val3,development_2023_2025,60,-0.00041009037347436634,-0.014424700704020188,0.016857982742808003,1,7,15
monthly_structural_val3,diagnostic_2026,month,0.006669108235478002,-0.026290129189968835,0.03380517817679757,0,1,8
monthly_structural_val3,diagnostic_2026,20,0.006669108235478002,-0.020420440388692535,0.031170545802876103,0,1,8
monthly_structural_val3,diagnostic_2026,60,0.006669108235478002,-0.05020272536861024,0.027279995230090257,0,1,3
