track,trim_first_dates_per_outer_fold,inferential_status,baseline_reestimated_each_draw,candidate_policy,baseline_policy,bootstrap_repetitions,candidate_support_status,baseline_support_status,lift_delta,lift_delta_ci95_low,lift_delta_ci95_high,lift_paired_valid_draws,hit_rate_delta,hit_rate_delta_ci95_low,hit_rate_delta_ci95_high,hit_rate_paired_valid_draws,forward_delta_bps_delta,forward_delta_bps_delta_ci95_low,forward_delta_bps_delta_ci95_high,forward_delta_bps_paired_valid_draws,symmetric_delta_bps_delta,symmetric_delta_bps_delta_ci95_low,symmetric_delta_bps_delta_ci95_high,symmetric_delta_bps_paired_valid_draws,regret_bps_delta,regret_bps_delta_ci95_low,regret_bps_delta_ci95_high,regret_bps_paired_valid_draws,signals_delta,signals_delta_ci95_low,signals_delta_ci95_high,signals_paired_valid_draws
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,annual_recent_calibration_3m::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.31241717155387505,0.1496438030145084,0.47589169987734004,10000,0.12286224981426858,0.06697973175831526,0.17969635713975834,10000,34.93690097625839,20.340134866214562,49.07910845259805,10000,10.392018640684821,0.7753090007419047,20.906706969711227,10000,-23.55771521900121,-39.814494759190566,-7.589481987909525,10000,-353.0,-401.0,-307.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,annual_recent_calibration_3m::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.43101776519743873,0.13903910617176146,0.72822771084398,10000,0.18419885599176195,0.07188219482863373,0.29060253007637477,10000,56.15505197380883,29.473508863370636,83.89688686456346,10000,0.35819152327914594,-15.509859021402137,17.79657875180044,10000,-39.26732337673153,-64.33910171251794,-12.964772043494188,10000,-544.0,-598.0,-488.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,baseline_reproduction::threshold_0.50,10000,descriptive retrospective interval,descriptive retrospective interval,0.003832427409151906,-0.2694533881981265,0.22464669972169793,10000,0.03009259259259256,-0.04253411677598241,0.10231319971108686,10000,13.64947961581268,-2.3582253219241185,30.536634383902644,10000,13.541780577535327,-1.8256384893304254,29.83135959022823,10000,-10.029590950765673,-25.579649962890958,5.057146909065228,10000,63.0,23.0,107.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,baseline_reproduction::threshold_0.65,10000,descriptive retrospective interval,descriptive retrospective interval,0.20900469857330872,-0.1825081577418976,0.5853948624743541,10000,0.036790080131017144,-0.08189908863418853,0.15023946221514606,10000,-0.8976557885523135,-28.524141800811716,26.403410511841965,10000,-3.4565973216764547,-28.974721689220814,23.6887742952752,10000,-0.4087562998934757,-18.38897441130831,18.87697475454944,10000,16.0,-10.0,42.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,baseline_reproduction::threshold_0.50,10000,descriptive retrospective interval,descriptive retrospective interval,-0.0986492046294416,-0.40598433859960636,0.12598462419400636,10000,-0.006350267379679142,-0.08690558948873604,0.0739585967540114,10000,-3.15803570201723,-22.6063900660716,15.978923158048163,10000,5.755862921205903,-8.685928101355964,20.091167866263007,10000,8.166661375916732,-14.804222511991881,33.831164529888106,10000,86.0,34.0,135.0,10000
development_2023_2025,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,baseline_reproduction::threshold_0.65,10000,descriptive retrospective interval,descriptive retrospective interval,-0.1106164352221124,-0.7165102881406046,0.3587532050092937,10000,-0.0003998400639744215,-0.1916102939588328,0.17667421404816713,10000,-9.395643692653877,-51.010773047789336,31.60718670935884,10000,-27.449282169673648,-54.135403617983904,-0.7006688569932,10000,-16.21816584918532,-77.6781941859483,38.583949932406675,10000,60.0,19.0,108.0,10000
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.50,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.32432808494306964,0.04158680649842919,0.6690297691756382,10000,0.10217652717652714,0.010268543622408349,0.19044357069410175,10000,33.549512551845375,8.618126154059603,57.64138335296093,10000,5.585540119366431,-12.860149199932772,23.876542217628312,10000,-28.220087914449522,-55.57116456401154,-2.435030383542549,10000,-346.0,-389.0,-304.0,10000
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.65,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.43085731862456056,0.01207984486398382,1.014631491941645,10000,0.15201959057891257,0.005241174048434008,0.3094243893850091,10000,60.65944323734764,28.094991202232595,94.52402432174352,10000,29.735163306962964,1.6883814807346404,58.63384164985479,10000,-19.627489237394407,-62.704755079849406,27.042232323132176,10000,-498.0,-539.0,-459.0,10000
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::legacy,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,-0.08421324084401971,-0.21764685460950786,0.05745560496872477,10000,-0.018537600124426457,-0.06065727093346509,0.025512309266994056,10000,-8.594584609135701,-19.624606542128735,2.1672916630988204,10000,-0.7376147184543207,-7.6019295951490955,5.76882396888602,10000,0.9382433572788926,-11.821242331465506,13.454249267898183,10000,52.0,16.0,87.0,10000
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.345609487398965,0.15222080676357663,0.5732810589513708,10000,0.13546399421012423,0.07565771603638213,0.20005692417369822,10000,48.563085996781545,28.288728527788702,69.46966971166275,10000,20.10602635075011,7.910370225855558,33.76443130684678,10000,-38.909573962233175,-60.926054422100975,-18.547104822144643,10000,-293.0,-327.0,-261.0,10000
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.6369388943425247,0.2834884201856653,1.1107419533338112,10000,0.1894224196855776,0.07385797765880263,0.310137653748165,10000,58.78010055868781,33.975377471105276,82.15652764639569,10000,24.792753420208175,3.6250968613863868,45.919006618894976,10000,-19.89287735636166,-57.192060322938254,20.63059540398469,10000,-483.0,-524.0,-441.0,10000
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::legacy,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,-0.09352225454947627,-0.21997757282890998,0.03267584306478127,10000,-0.02761650114591291,-0.06826221497969645,0.012178068873889579,10000,-6.127666581971532,-18.466900535032604,7.124157534984809,10000,1.6016577689477458,-7.2406246991698735,11.011145641227117,10000,2.769305336240734,-12.356143047591688,17.79875148201552,10000,64.0,32.0,100.0,10000
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,baseline_reproduction::legacy,10000,descriptive retrospective interval,descriptive retrospective interval,0.24872812680865963,0.08026821637087843,0.4257124050694602,10000,0.09907119343052495,0.038776597308554664,0.15857469028241244,10000,32.61567430259297,16.71873149471059,48.628310297672385,10000,13.341735001933433,1.6642873475312643,24.73186266099284,10000,-23.01614596450122,-46.054920342483655,0.5509592380333592,10000,-257.0,-308.0,-208.0,10000
