config_id,track,rows,dates,signals,brier,log_loss,auc,hit_rate,lift,forward_delta_bps,symmetric_bps,symmetric_delta_bps,regret_bps,min_cell_week_coverage,mean_cell_week_coverage,min_observed_calendar_week_coverage,mean_observed_calendar_week_coverage
capacity_hgb4,development_2023_2025,3635,727,701,0.19728129223414878,0.5785007718102948,0.6931462925851704,0.38944365192582026,1.2156229363743976,32.02393345613652,18.723014395949445,17.407834059264516,81.89148394313936,0.6326530612244898,0.8563492063492063,0.6078431372549019,0.838483660130719
capacity_hgb6,development_2023_2025,3635,727,704,0.20216133678811044,0.5896221587925954,0.6729530991808178,0.3835227272727273,1.194483008490075,31.540692493795515,20.23200176507422,18.90963119439332,85.01455154305127,0.6122448979591837,0.845408163265306,0.5882352941176471,0.8292810457516339
capacity_logit,development_2023_2025,3635,727,789,0.20292730944970014,0.5919997615573149,0.667644411630278,0.38910012674271227,1.2228017927665524,26.67889272920954,15.762038472047177,14.479613618775973,92.073001689971,0.7142857142857143,0.9182539682539683,0.6862745098039216,0.9005490196078431
decay_12m,development_2023_2025,3635,727,754,0.19108338262380953,0.5627043893606869,0.7230024962205112,0.4177718832891247,1.3049520773862875,39.514188570720734,31.75384364013643,30.429041250652325,83.44714095744732,0.7551020408163265,0.903061224489796,0.7254901960784313,0.8846535947712418
decay_24m,development_2023_2025,3635,727,755,0.19026304002880917,0.5609199897052269,0.7257653904299827,0.4052980132450331,1.2638728389672627,35.77818352683033,28.823619993612674,27.473030410857152,87.69786658705529,0.7346938775510204,0.90734126984127,0.7058823529411765,0.8874509803921568
features_basis_normalized,development_2023_2025,3635,727,708,0.1918250479423545,0.5648249348597125,0.7107066765109166,0.4110169491525424,1.2959343402100783,35.69008285946168,21.089598096652804,19.867530453228618,81.72447998409717,0.6938775510204082,0.8449829931972789,0.6666666666666666,0.8314509803921569
features_full,development_2023_2025,3635,727,740,0.20158805757378248,0.5874232309700771,0.6731819779910699,0.3891891891891892,1.2216226439346742,27.23031276591121,18.584777280059278,17.2979983435243,89.72413616007641,0.7346938775510204,0.8920068027210883,0.7058823529411765,0.868732026143791
features_structural,development_2023_2025,3635,727,739,0.19476290979531463,0.571240359423511,0.7008785993038709,0.4100135317997294,1.2882424121837985,33.562328802908134,19.60889351357473,18.305332889283008,87.2043083848846,0.7551020408163265,0.8881519274376418,0.7254901960784313,0.871607843137255
long_short_ensemble,development_2023_2025,3635,727,710,0.1859551622983422,0.5498351307486401,0.7396290827268572,0.44647887323943664,1.3893575439688035,42.924059642128576,31.077212743074845,29.692238915812123,80.05640457643806,0.673469387755102,0.8758786848072563,0.6470588235294118,0.855921568627451
long_with_historical_cny,development_2023_2025,3635,727,737,0.18747982088672735,0.5539411777337259,0.7298948774742468,0.42740841248303935,1.3419318224460948,38.19264610477108,29.80649013249351,28.467319234865084,85.47854268759495,0.7755102040816326,0.9046485260770977,0.7450980392156863,0.8822483660130722
monthly_structural_val3,development_2023_2025,3635,727,761,0.19020649273844178,0.568716789920574,0.7173995359139331,0.4099868593955322,1.3140290315095298,27.70499174252513,18.676969334528078,17.505494121408713,97.10262949453795,0.8541666666666666,0.9012471655328798,0.8235294117647058,0.8790065359477126
monthly_train24_val1,development_2023_2025,3635,727,721,0.1952266349855365,0.5867837935223063,0.7149323207819147,0.40083217753120665,1.2796326269261953,32.83228324280655,23.12544306795337,21.925029739746186,90.9736222986499,0.7755102040816326,0.8577664399092971,0.7450980392156863,0.8398431372549022
monthly_train24_val3,development_2023_2025,3635,727,756,0.18836979729241665,0.5625463102855702,0.7155396758429139,0.3968253968253968,1.2646777074764863,33.420249873342236,21.786621986533188,20.59777349818885,89.23697525366674,0.8571428571428571,0.9165532879818595,0.8235294117647058,0.8963137254901963
monthly_train60_val3,development_2023_2025,3635,727,775,0.19213243637023936,0.5701460833887628,0.7027927785395353,0.4064516129032258,1.2878988241144147,33.81664990452847,25.20115696517033,23.96368193063337,89.9144139349052,0.8367346938775511,0.9221088435374152,0.803921568627451,0.9055686274509805
objective_common_factor,development_2023_2025,3635,727,695,0.1941051199137042,0.5869438921590183,0.7018665400977393,0.45323741007194246,1.41950564372557,42.381459196277326,28.178501093738504,26.895417931878676,83.25663898662023,0.7346938775510204,0.8480442176870748,0.7058823529411765,0.8305098039215686
objective_multiscale_ensemble,development_2023_2025,3635,727,705,0.19915186425116485,0.5812599029658423,0.6899915620715114,0.42411347517730497,1.3315900400696428,35.070937907811796,22.222942876368357,20.975611955694912,86.44944710489446,0.6938775510204082,0.8490646258503403,0.6666666666666666,0.8341176470588235
objective_survival,development_2023_2025,3635,727,690,0.19152776293594628,0.5634318132127912,0.7213423337903877,0.4434782608695652,1.3886752649745553,43.6638622410982,28.279727527904534,26.978679680212135,79.08423869019373,0.6122448979591837,0.8315759637188209,0.5882352941176471,0.8186143790849674
