track,trim_first_dates_per_outer_fold,inferential_status,baseline_reestimated_each_draw,policy_id,n_unique_dates,n_month_blocks,n_signal_dates,n_signal_month_blocks,signal_support_status,bootstrap_repetitions,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage,lift,lift_ci95_low,lift_ci95_high,lift_valid_draws,hit_rate,hit_rate_ci95_low,hit_rate_ci95_high,hit_rate_valid_draws,forward_delta_bps,forward_delta_bps_ci95_low,forward_delta_bps_ci95_high,forward_delta_bps_valid_draws,symmetric_delta_bps,symmetric_delta_bps_ci95_low,symmetric_delta_bps_ci95_high,symmetric_delta_bps_valid_draws,regret_bps,regret_bps_ci95_low,regret_bps_ci95_high,regret_bps_valid_draws,signals,signals_ci95_low,signals_ci95_high,signals_valid_draws,zero_signal_draw_fraction,interval_conditioning
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::legacy,667,33,196,33,descriptive retrospective interval,10000,0.9711318795430944,0.7333333333333333,0.87986531986532,1.3497046600914404,1.2089894339806153,1.5066317659700783,10000,0.4311377245508982,0.36273003757882,0.5022423205437639,10000,39.57592177519122,25.94881144995317,54.377129892711885,10000,26.76646682976451,17.45301299509055,36.82691781473644,10000,82.12438889917489,60.51968982770121,105.33264129549845,10000,668.0,617.0,718.0,10000,0.0,all draws nonempty
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,667,33,93,32,descriptive retrospective interval,10000,0.4695742471443406,0.2222222222222222,0.4445454545454546,1.7795273883344251,1.5302662001148668,2.052384289517289,10000,0.5851393188854489,0.49370969668020065,0.67147078781583,10000,96.73359238110847,71.91906353991992,121.99759117712144,10000,47.61010789896894,33.24173953320402,64.02085386740275,10000,42.27657157966282,25.310424650578497,62.89449397449307,10000,323.0,274.0,373.02499999999964,10000,0.0,all draws nonempty
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,667,33,34,20,descriptive retrospective interval,10000,0.1933541017653167,0.0,0.1824242424242424,2.070856795277985,1.6785129630362372,2.5782847793036474,10000,0.6390977443609023,0.5102040816326531,0.7638888888888888,10000,106.95060694301473,80.10881386913786,133.59041914731694,10000,52.29683496842701,30.43244310569745,75.22288254731187,10000,61.29326818553434,20.51892865697,113.65189859263344,10000,133.0,98.0,168.0,10000,0.0,all draws nonempty
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::legacy,667,33,252,33,descriptive retrospective interval,10000,0.9885773624091381,0.7777777777777778,0.8882828282828286,1.3403956463859839,1.2315732942246744,1.4627933352491846,10000,0.42205882352941176,0.35605923562689124,0.4878057020435069,10000,42.04283980235539,28.54026790363378,56.25349243077662,10000,29.105739317166577,18.61872016749193,39.99365863626545,10000,83.95545087813673,61.4149636347474,109.10706554000323,10000,680.0,636.0,722.0,10000,0.0,all draws nonempty
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,667,33,126,33,descriptive retrospective interval,10000,0.5219106957424714,0.24444444444444444,0.49542087542087543,1.6826460277441198,1.4641087589961215,1.9098132041802427,10000,0.5487465181058496,0.4517000204608411,0.6397777868324158,10000,80.78618068691989,57.77687137723433,103.9800482680193,10000,40.845816550152264,25.059818945630155,57.15008849456739,10000,58.169999577394776,37.11611123496776,84.33616594977758,10000,359.0,311.0,407.0,10000,0.0,all draws nonempty
development_2023_2025,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,667,33,64,28,descriptive retrospective interval,10000,0.25877466251298026,0.13333333333333333,0.2520875420875421,1.8008178480982384,1.4564593215889947,2.1411446127091702,10000,0.6067415730337079,0.46356570233530847,0.7361980044495381,10000,98.86802571510663,66.08284770665846,133.166206249861,10000,27.02770491211869,8.213349674879092,47.065453295911574,10000,44.041423638444094,21.095809985871067,76.07504721685976,10000,178.0,142.0,219.0,10000,0.0,all draws nonempty
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::legacy,156,8,55,8,descriptive retrospective interval,10000,1.0453333333333332,0.8709677419354839,0.9096774193548386,1.3752929360562436,1.061523112736947,1.9231430298964076,10000,0.47023809523809523,0.34838709677419355,0.5963855421686747,10000,37.770423127129746,26.153568733397695,49.95327108073742,10000,25.916718484748642,19.46966269225908,33.861973747769774,10000,80.82230456741553,53.82921995281301,111.80247962150587,10000,168.0,148.0,188.0,10000,0.0,all draws nonempty
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.50,156,8,20,8,descriptive retrospective interval,10000,0.2862222222222222,0.12903225806451613,0.2774193548387097,2.0748129675810474,1.4855215396407333,3.241890639481001,10000,0.6956521739130435,0.4528301886792453,0.918918918918919,10000,98.40797130030168,36.55982952853314,155.88586900214062,10000,17.172634644795174,-11.73283717366256,52.68230243876868,10000,65.00275860774639,6.270132119632393,133.55232979170268,10000,46.0,31.975000000000023,65.0,10000,0.0,all draws nonempty
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.65,156,8,2,2,sparse; no strong inference,10000,0.012444444444444444,0.0,0.012903225806451613,2.5999999999999996,1.9460720720720721,3.9141768292682775,9008,1.0,1.0,1.0,9008,209.22656205441936,38.67664312949521,382.7005647067912,9008,73.74769069444994,28.826139042743236,118.08464208505607,9008,0.0,0.0,0.0,9008,2.0,0.0,5.0,10000,0.0992,conditional on nonempty signal draws; not nominal unconditional CI
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::legacy,156,8,43,8,descriptive retrospective interval,10000,1.0764444444444443,0.9354838709677419,0.9483870967741936,1.3369494467346497,1.0004778972520907,1.8949688005478604,10000,0.45664739884393063,0.30854945054945054,0.5988048628018687,10000,29.640444412858635,16.57710774991746,43.11249290952322,10000,23.796709359608936,15.14618576082218,33.24167920484682,10000,86.8337922503792,54.52964716034617,125.25036313551585,10000,173.0,153.0,191.0,10000,0.0,all draws nonempty
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,156,8,18,7,sparse; no strong inference,10000,0.33599999999999997,0.12903225806451613,0.3161290322580645,1.8526021655606009,1.1842765578213228,3.1704441062232664,10000,0.6296296296296297,0.3620689655172414,0.875,10000,92.53551965899996,60.541940897822315,149.11904841142766,10000,13.28572850154137,-14.889700814056726,54.0545814597935,10000,38.47543939378773,10.13026647188365,64.58964063305986,10000,54.0,31.0,78.0,10000,0.0,all draws nonempty
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,156,8,2,1,sparse; no strong inference,10000,0.043555555555555556,0.0,0.04516129032258064,1.3,0.918532529239766,1.8901111625752658,6547,0.42857142857142855,0.42857142857142855,0.42857142857142855,6547,36.814942923651266,-10.913457534711124,73.5234719391058,6547,-67.06017750380241,-71.62938272271407,-62.74735091857954,6547,95.24392747760497,95.24392747760497,95.24392747760497,6547,7.0,0.0,21.0,10000,0.3453,conditional on nonempty signal draws; not nominal unconditional CI
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::legacy,156,8,68,8,descriptive retrospective interval,10000,1.0764444444444443,0.9032258064516129,0.9419354838709678,1.387418655097614,1.1392630744849446,1.819882498453927,10000,0.47398843930635837,0.32515337423312884,0.6060653409090908,10000,20.865584512344135,7.793412213971285,32.90308813795289,10000,19.863802110261165,9.904854065933362,27.789132333012738,10000,98.38677989538024,58.71377574146088,142.42007762560274,10000,173.0,154.0,191.0,10000,0.0,all draws nonempty
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,156,8,30,8,descriptive retrospective interval,10000,0.4915555555555555,0.22580645161290322,0.4967741935483871,1.5453007972940322,1.113522202129797,2.355731225296443,10000,0.5189873417721519,0.35555555555555557,0.7076923076923077,10000,33.68550284038833,-2.168186981065011,84.31988348467264,10000,48.18500544345781,32.22292620041138,66.18927838886948,10000,81.24787320230185,27.211250761074503,136.6261065403744,10000,79.0,60.0,100.0,10000,0.0,all draws nonempty
diagnostic_2026,0,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,156,8,16,7,sparse; no strong inference,10000,0.24266666666666664,0.03225806451612903,0.25161290322580643,1.8543833580980682,1.0328341013824884,3.0650354153251764,10000,0.6153846153846154,0.3136948529411765,0.9210526315789473,10000,69.81461028386603,4.758590910296238,149.55482893523205,10000,67.48154280841408,42.628917123074615,98.25780466252043,10000,60.46525895489511,5.478807724418157,119.11328786511423,10000,39.0,26.0,51.0,10000,0.0,all draws nonempty
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::legacy,136,7,51,7,descriptive retrospective interval,10000,1.051776649746193,0.8888888888888888,0.9333333333333332,1.2744805106614152,0.9897969491867867,1.717129821650767,10000,0.46621621621621623,0.34394904458598724,0.6037735849056604,10000,33.380196119560054,21.314051375154925,44.57612046778288,10000,22.675194553246747,17.57983690118745,29.012115510569224,10000,81.00036342909091,51.70829135332782,115.19246351832636,10000,148.0,128.0,167.0,10000,0.0,all draws nonempty
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.50,136,7,19,7,sparse; no strong inference,10000,0.2984771573604061,0.14814814814814814,0.28888888888888886,1.8449612403100777,1.3652035864232024,2.5814627081824764,10000,0.6666666666666666,0.39473684210526316,0.8750637755102032,10000,88.94743468730208,23.986492286699086,149.8104300589685,10000,9.07155951937651,-19.812125897928823,40.30185507202937,10000,71.19349752276985,9.533547025808792,148.9440142582526,10000,42.0,28.0,60.0,10000,0.0,all draws nonempty
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,baseline_reproduction::threshold_0.65,136,7,2,2,sparse; no strong inference,10000,0.014213197969543146,0.0,0.014814814814814814,2.3859649122807016,1.8026315789473684,3.439024390243903,9047,1.0,1.0,1.0,9047,198.0897226782812,25.761913410848543,371.3183887324972,9047,73.07949420947243,27.687941227578662,117.86172851868582,9047,0.0,0.0,0.0,9047,2.0,0.0,5.0,10000,0.0953,conditional on nonempty signal draws; not nominal unconditional CI
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::legacy,136,7,39,7,descriptive retrospective interval,10000,1.0873096446700508,0.9629629629629629,0.9777777777777776,1.2342496383006707,0.9288747346072187,1.7036428929893959,10000,0.45098039215686275,0.29411764705882354,0.6025641025641025,10000,24.148862769983086,13.159056606234913,35.546141834537416,10000,20.384648706741146,12.508592191270129,28.160836022186658,10000,87.79184757840031,52.100436973774165,129.5672711912075,10000,153.0,133.0,170.0,10000,0.0,all draws nonempty
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.50,136,7,17,6,sparse; no strong inference,10000,0.35532994923857864,0.14814814814814814,0.33333333333333337,1.6352705410821644,1.0154015401540153,2.5752676746951613,10000,0.6,0.30434782608695654,0.8409647950089119,10000,82.67405834179588,52.891073082938824,136.45702192901612,10000,6.127607531254637,-21.117479403246485,42.67714937170243,10000,41.55347454529075,16.12222586589671,70.0929886468661,10000,50.0,28.0,72.0,10000,0.0,all draws nonempty
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,basis_train_120m::threshold_0.65,136,7,2,1,sparse; no strong inference,10000,0.049746192893401014,0.0,0.05185185185185185,1.1964809384164223,0.8439425051334701,1.6851063829787234,6558,0.42857142857142855,0.42857142857142855,0.42857142857142855,6558,29.866386461591514,-22.970132391173344,69.58308518329346,6558,-67.45045588764697,-72.37437744831998,-62.436129016262925,6558,95.24392747760497,95.24392747760497,95.24392747760497,6558,7.0,0.0,21.0,10000,0.3442,conditional on nonempty signal draws; not nominal unconditional CI
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::legacy,136,7,61,7,descriptive retrospective interval,10000,1.0802030456852791,0.8888888888888888,0.962962962962963,1.29626687847498,1.075512412462266,1.6540642722117203,10000,0.47368421052631576,0.3106060606060606,0.6217948717948718,10000,15.665978227955215,2.6646688729363333,24.664334301021256,10000,16.899760138137918,6.444877345469918,24.405268163010714,10000,100.5179524446483,56.678826727918526,149.43943524012056,10000,152.0,130.0,170.0,10000,0.0,all draws nonempty
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.50,136,7,26,7,descriptive retrospective interval,10000,0.4903553299492385,0.25925925925925924,0.5111111111111111,1.3188363208933294,0.9963768115942028,1.8317200297840657,10000,0.4782608695652174,0.3170731707317073,0.6862745098039216,10000,20.196644456148757,-11.19041625496539,69.17925554268555,10000,44.978319977703975,28.769302541662558,63.77138975783286,10000,91.72007851422704,32.60260924630247,145.96574866195886,10000,69.0,51.0,88.02499999999964,10000,0.0,all draws nonempty
diagnostic_2026,20,retrospective exploratory; thresholds post-selected; source availability proxies,True,annual_recent_calibration_3m::threshold_0.65,136,7,14,6,sparse; no strong inference,10000,0.23451776649746192,0.037037037037037035,0.2444444444444444,1.5167286245353158,0.8109719737626714,2.3511680482290878,10000,0.5454545454545454,0.2391304347826087,0.896551724137931,10000,59.05134325599209,-14.478676206265632,155.99996076011587,10000,68.13155710257386,40.38745098522289,99.96133343257422,10000,71.45894240123968,6.8511880553012725,133.5597835574599,10000,33.0,20.0,44.0,10000,0.0,all draws nonempty
