scenario,period,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2026 diagnostic,frequent,matched_calendar,2857,510,158,11156,11156,207880384.38956743,207880384.38956743,2512.8945076735627,-344.1054923264371,0.0,2774760.7999937544,245,53,1192.0,140112.57760063536,450,14464.285714285716,6.348888888888889,0.19752098765432097,0.1785089254462723,0.05530276513825691,0.014162782359268555,5.584210017052362,-0.7646788718365269,0.12088175202545341,9.056256336327149,0.41722086104305217,49.04185425293502,0.0
base,2026 diagnostic,frequent,matched_random_market,2857,615,202,11156,11156,207880384.38956743,207880384.38956743,13257.450522897763,10400.450522897763,0.0,3574892.717685029,338,50,1333.0,170517.44542308443,450,14464.285714285716,6.348888888888889,0.19752098765432097,0.21526076303815192,0.07070353517675884,0.018106848332735747,29.46100116199503,23.112112273106142,0.6377441797516271,37.08489056836035,0.4665733286664333,59.684090102584676,0.0
base,2026 diagnostic,frequent,user_aware,2857,1922,592,11156,11156,207880384.38956743,207880384.38956743,44133.68395414523,41276.68395414523,0.0,10766184.901478222,963,135,1327.0,174065.20699986612,450,14464.285714285716,6.348888888888889,0.19752098765432097,0.6727336366818341,0.2072103605180259,0.05306561491574041,98.07485323143383,91.72596434254496,2.1230326316618116,40.99287199506073,0.46447322366118304,60.92586874339031,0.0
base,2026 diagnostic,frequent,weekly_fixed,14850,2489,666,11156,11156,207880384.38956743,207880384.38956743,14098.167310727971,-751.8326892720288,0.0,12468221.83020085,1100,304,4500.0,392579.6945348392,450,14464.285714285716,33.0,1.0266666666666666,0.1676094276094276,0.044848484848484846,0.05969881678020796,31.3292606905066,-1.6707393094933973,0.6781865134667076,11.307279821232429,0.30303030303030304,26.436343066319136,0.0
base,2026 diagnostic,monthly,frequency_gate,3749,1024,343,3301,3301,155811539.33382714,155811539.33382714,65539.98008033773,61790.98008033774,0.0,16125662.958031125,1116,109,1802.0,232509.3933301273,450,14464.285714285716,8.331111111111111,0.2591901234567901,0.27313950386769803,0.09149106428380901,0.10390790669494093,145.6444001785283,137.3132890674172,4.2063624016907974,40.64327789245812,0.4806615097359296,62.0190432995805,0.0
base,2026 diagnostic,monthly,market_only,15120,1885,532,3301,3301,155811539.33382714,155811539.33382714,118062.30113505984,102942.30113505984,0.0,24786786.557458982,1692,169,7110.0,923384.7120023633,450,14464.285714285716,33.6,1.0453333333333332,0.12466931216931217,0.03518518518518519,0.16116328385337778,262.36066918902185,228.76066918902185,7.57725016002253,47.63114446536913,0.47023809523809523,61.07041746047376,0.0
base,2026 diagnostic,monthly,matched_calendar,2479,284,109,3301,3301,155811539.33382714,155811539.33382714,19286.03948371058,16807.03948371058,0.0,4740599.472574962,350,43,1035.0,127179.60749208338,450,14464.285714285716,5.5088888888888885,0.17138765432098763,0.1145623235175474,0.043969342476805166,0.033020296879733416,42.85786551935685,37.34897663046796,1.237779920933207,40.682701829764454,0.41750705929810406,51.30278640261532,0.0
base,2026 diagnostic,monthly,matched_random_market,2479,324,107,3301,3301,155811539.33382714,155811539.33382714,12688.969745411323,10209.969745411323,0.0,4924936.400412209,351,38,1163.0,158287.30518455728,450,14464.285714285716,5.5088888888888885,0.17138765432098763,0.1306978620411456,0.043162565550625254,0.03241441987276583,28.197710545358497,22.688821656469607,0.8143793328570569,25.76473829052752,0.4691407825736184,63.85127276504932,0.0
base,2026 diagnostic,monthly,user_aware,2479,1437,474,3301,3301,155811539.33382714,155811539.33382714,103973.45489545983,101494.45489545983,0.0,22059552.431891516,1530,149,1164.0,148541.76696065243,450,14464.285714285716,5.5088888888888885,0.17138765432098763,0.5796692214602662,0.19120613150463897,0.14359285065131777,231.05212198991072,225.54323310102185,6.673026615358449,47.133075440436095,0.46954417103670837,59.92003507892393,0.0
base,2026 diagnostic,monthly,weekly_fixed,14850,1899,559,3301,3301,155811539.33382714,155811539.33382714,65538.16810388722,50688.16810388722,0.0,27462466.53869853,1808,250,4500.0,392579.6945348392,450,14464.285714285716,33.0,1.0266666666666666,0.12787878787878787,0.037643097643097645,0.16934262344744017,145.64037356419382,112.64037356419382,4.2062461088630485,23.864632847721307,0.30303030303030304,26.436343066319136,0.0
