scenario,year,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2023,monthly,user_aware,3242,1863,596,5132,5132,241907132.97726396,241907132.97726396,156787.70237934013,153545.70237934013,0.0,28477426.40586373,1913,152,1727.0,264057.657528667,450,22371.428571428572,7.204444444444444,0.1449169859514687,0.5746452806909316,0.1838371375694016,0.11613406079501169,348.4171163985336,341.21267195408916,6.481317869782536,55.05683699951773,0.5326958667489204,81.4489998546166,0.0
base,2023,monthly,weekly_fixed,22500,2900,845,5132,5132,241907132.97726396,241907132.97726396,41673.4702197316,19173.470219731596,0.0,39693031.69162267,2659,356,7650.0,378180.8992921908,450,22371.428571428572,50.0,1.0057471264367817,0.1288888888888889,0.03755555555555556,0.1646531566640686,92.60771159940356,42.60771159940355,1.7227053087206134,10.498938590404247,0.34,16.808039968541813,0.0
base,2023,occasional,frequency_gate,2334,500,176,1901,1901,186728220.4132034,186728220.4132034,133045.23506090298,130711.23506090298,0.0,16432069.123212302,1052,48,1243.0,195591.2888411315,450,22371.428571428572,5.1866666666666665,0.1043295019157088,0.21422450728363324,0.07540702656383891,0.09258285113098369,295.6560779131177,290.46941124645105,7.125073797977216,80.9668180332569,0.5325621251071122,83.80089496192437,0.0
base,2023,occasional,market_only,19170,1607,471,1901,1901,186728220.4132034,186728220.4132034,474508.44555597194,455338.44555597194,0.0,46982677.26198165,2940,136,10170.0,1546814.314715404,450,22371.428571428572,42.6,0.8568965517241379,0.08382889932185707,0.02456964006259781,0.2477643345607575,1054.4632123466042,1011.8632123466043,25.411715728128893,100.9964678917827,0.5305164319248826,80.68932262469505,0.0
base,2023,occasional,matched_calendar,2108,170,65,1901,1901,186728220.4132034,186728220.4132034,-28725.859206118406,-30833.859206118406,0.0,6453301.640847923,365,36,468.0,-81137.6677172392,450,22371.428571428572,4.684444444444445,0.09422733077905492,0.08064516129032258,0.030834914611005692,0.0341925302472383,-63.83524268026313,-68.51968712470757,-1.538378031052409,-44.513430186325536,0.222011385199241,-38.490354704572674,0.0
base,2023,occasional,matched_random_market,2108,219,81,1901,1901,186728220.4132034,186728220.4132034,86414.42131538871,84306.42131538871,0.0,7435911.772292155,486,19,1106.0,166740.8267838152,450,22371.428571428572,4.684444444444445,0.09422733077905492,0.1038899430740038,0.03842504743833017,0.042609153077327724,192.03204736753048,187.34760292308601,4.627817965820363,116.21227357401938,0.5246679316888045,79.09906393919127,0.0
base,2023,occasional,user_aware,2108,1153,385,1901,1901,186728220.4132034,186728220.4132034,381670.12060892954,379562.12060892954,0.0,37998012.262537256,2369,104,1114.0,168990.0823971603,450,22371.428571428572,4.684444444444445,0.09422733077905492,0.5469639468690702,0.18263757115749527,0.20252498684902684,848.155823575399,843.4713791309546,20.439873510514214,100.44475957633794,0.5284629981024668,80.16607324343468,0.0
base,2023,occasional,weekly_fixed,22500,1933,523,1901,1901,186728220.4132034,186728220.4132034,77565.86377108916,55065.86377108916,0.0,50593216.84756175,3106,215,7650.0,378180.8992921908,450,22371.428571428572,50.0,1.0057471264367817,0.0859111111111111,0.023244444444444446,0.2751183587585481,172.36858615797593,122.36858615797591,4.153944358246802,15.331277314268526,0.34,16.808039968541813,0.0
base,2024,frequent,frequency_gate,7326,1509,473,17357,17357,325905070.49749804,325905070.49749804,26730.855430494314,19404.855430494314,0.0,9157328.451572845,749,121,3219.0,309910.97558138205,450,22500.0,16.28,0.3256,0.205978705978706,0.06456456456456457,0.027251253096733305,59.40190095665403,43.12190095665403,0.8202037295611676,29.190670152169844,0.4393939393939394,42.30289046974912,0.0
base,2024,frequent,market_only,22320,3905,1118,17357,17357,325905070.49749804,325905070.49749804,61142.97772248246,38822.97772248246,0.0,21272859.75116892,1793,265,9900.0,955749.5476599063,450,22500.0,49.6,0.992,0.17495519713261648,0.05008960573476703,0.06441205277409691,135.8732838277388,86.2732838277388,1.876097773782622,28.742246429337133,0.4435483870967742,42.82032023565888,0.0
