scenario,year,seed,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
high_contact_cost,2024,4103,user_aware,3452,2098,719,8108,8108,248356818.6736752,248356818.6736752,147748.46821288252,113228.46821288252,0.0,33108417.620562658,2229,197,1493.0,144059.6994852585,450,22500.0,7.671111111111111,0.1534222222222222,0.6077636152954808,0.2082850521436848,0.08867784903798717,328.32992936196115,251.61881825085004,5.949040135153867,44.62565076535712,0.4325028968713789,41.732242029333285,0.0
high_contact_cost,2024,4103,weekly_fixed,22950,2864,826,8108,8108,248356818.6736752,248356818.6736752,9743.401366103071,-219756.59863389694,0.0,39148896.541822456,2827,385,6480.0,119019.26355998935,450,22500.0,51.0,1.02,0.12479302832244009,0.03599128540305011,0.1018746916625555,21.652003035784603,-488.34799696421544,0.39231463094658453,2.4888061291061607,0.2823529411764706,5.186024555990821,0.0
high_contact_cost,2025,4101,frequency_gate,4297,1008,371,8284,8284,258864432.24130648,258864432.24130648,53604.32120651045,10634.321206510454,0.0,16357946.800240653,1097,106,1635.0,177637.70362303348,450,22435.714285714283,9.54888888888889,0.19152499204075138,0.23458226669769608,0.08633930649290203,0.04478512795750845,119.12071379224545,23.631824903356566,2.070748798604435,32.76959013323228,0.38049802187572723,41.33993568141342,0.0
high_contact_cost,2025,4101,market_only,18180,2402,753,8284,8284,258864432.24130648,258864432.24130648,172162.42495404236,-9637.575045957625,0.0,34127625.984681286,2278,217,6930.0,748758.3869724876,450,22435.714285714283,40.4,0.8103151862464184,0.13212321232123211,0.04141914191419142,0.09089811685176244,382.5831665645386,-21.41683343546139,6.650679023897619,50.446645492223844,0.3811881188118812,41.18582986647346,0.0
high_contact_cost,2025,4101,matched_calendar,2802,375,145,8284,8284,258864432.24130648,258864432.24130648,15266.677147647733,-12753.322852352267,0.0,6224102.263588854,436,66,607.0,2588.6084105193277,450,22435.714285714283,6.226666666666667,0.12489016236867241,0.13383297644539616,0.05174875089221984,0.0175036214389184,33.925949216994965,-28.340717449671704,0.5897556885457538,24.5283199104201,0.21663097787294788,0.9238431158170334,0.0
high_contact_cost,2025,4101,matched_random_market,2802,426,153,8284,8284,258864432.24130648,258864432.24130648,35050.28131596518,7030.281315965179,0.0,5889927.127398882,384,42,1082.0,120471.33989559492,450,22435.714285714283,6.226666666666667,0.12489016236867241,0.15203426124197003,0.05460385438972163,0.01846933848382424,77.88951403547817,15.622847368811508,1.35400143667834,59.50885394306081,0.38615274803711636,42.99476798557991,0.0
high_contact_cost,2025,4101,user_aware,2802,1749,619,8284,8284,258864432.24130648,258864432.24130648,104749.78470533337,76729.78470533337,0.0,27731829.187226556,1892,181,1044.0,119841.06904003299,450,22435.714285714283,6.226666666666667,0.12489016236867241,0.6241970021413277,0.22091363311920056,0.07472235634958957,232.77729934518527,170.5106326785186,4.046511287718678,37.77240368752226,0.37259100642398285,42.769831920068874,0.0
high_contact_cost,2025,4101,weekly_fixed,22950,2999,883,8284,8284,258864432.24130648,258864432.24130648,-115412.56034325618,-344912.56034325616,0.0,39594092.14735626,2623,525,4500.0,-772264.0712017276,450,22435.714285714283,51.0,1.022922636103152,0.13067538126361655,0.03847494553376906,0.10659101883148238,-256.47235631834707,-766.472356318347,-4.458417069660296,-29.1489346222988,0.19607843137254902,-33.64985059702517,0.0
high_contact_cost,2025,4102,frequency_gate,4218,932,327,8002,8002,249044930.38150916,249044930.38150916,84013.84010007579,41833.84010007579,0.0,13493731.957021713,966,93,1655.0,193986.11269036707,450,22435.714285714283,9.373333333333333,0.18800382043935054,0.22095779990516834,0.077524893314367,0.04086478380404899,186.69742244461287,92.96408911127953,3.3734410883761385,62.261382075518135,0.3923660502607871,45.99006939079352,0.0
high_contact_cost,2025,4102,market_only,18180,2362,748,8002,8002,249044930.38150916,249044930.38150916,142723.38224219147,-39076.617757808526,0.0,34998234.98256263,2427,219,6930.0,748758.3869724876,450,22435.714285714283,40.4,0.8103151862464184,0.12992299229922993,0.04114411441144115,0.09347663084228942,317.16307164931436,-86.83692835068561,5.730828651021127,40.78016571787158,0.3811881188118812,41.18582986647346,0.0
high_contact_cost,2025,4102,matched_calendar,2797,339,117,8002,8002,249044930.38150916,249044930.38150916,9073.652170065498,-18896.3478299345,0.0,4917135.071281491,340,52,579.0,-19966.22549028469,450,22435.714285714283,6.2155555555555555,0.12466730340655843,0.12120128709331426,0.041830532713621735,0.014621344663834041,20.16367148903444,-41.99188406652111,0.36433795926565016,18.453127763481888,0.2070075080443332,-7.138443149905145,0.0
high_contact_cost,2025,4102,matched_random_market,2797,440,141,8002,8002,249044930.38150916,249044930.38150916,56155.77397598787,28185.77397598787,0.0,6735828.155839395,426,34,1064.0,118115.47406608787,450,22435.714285714283,6.2155555555555555,0.12466730340655843,0.15731140507686808,0.05041115480872363,0.01762059485128718,124.7906088355286,62.63505327997305,2.254845095218901,83.36877467294879,0.3804075795495173,42.22934360603785,0.0
high_contact_cost,2025,4102,user_aware,2797,1715,599,8002,8002,249044930.38150916,249044930.38150916,144848.12199372577,116878.12199372578,0.0,27762954.61377519,1918,164,1089.0,124193.156702027,450,22435.714285714283,6.2155555555555555,0.12466730340655843,0.6131569538791563,0.21415802645691812,0.07485628592851787,321.8847155416128,259.7291599860573,5.816144170123622,52.17316528762261,0.3893457275652485,44.40227268574437,0.0
high_contact_cost,2025,4102,weekly_fixed,22950,2856,821,8002,8002,249044930.38150916,249044930.38150916,-88398.01093802175,-317898.01093802176,0.0,39296667.06853866,2685,462,4500.0,-772264.0712017276,450,22435.714285714283,51.0,1.022922636103152,0.12444444444444444,0.035773420479302834,0.10259935016245939,-196.440024306715,-706.440024306715,-3.5494804412443095,-22.495040300451883,0.19607843137254902,-33.64985059702517,0.0
