scenario,year,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
narrow_flexibility,2023,frequency_gate,13446,762,253,24286,24286,749723386.0623099,749723386.0623099,37062.13914425414,23616.139144254146,0.0,9834209.01905513,303,44,7141.0,1087157.6182679865,1350,67114.28571428571,9.96,0.20034482758620692,0.05667112896028559,0.01881600475977986,0.010417524499711768,27.453436403151215,17.493436403151218,0.4943441785764689,37.6869548658577,0.5310873122118102,80.85360837929395,0.0
narrow_flexibility,2023,market_only,57510,1993,588,24286,24286,749723386.0623099,749723386.0623099,105305.86723520132,47795.86723520133,0.0,25996046.45836283,744,126,30510.0,4640442.944146212,1350,67114.28571428571,42.6,0.856896551724138,0.03465484263606329,0.010224308815858112,0.024211479864942764,78.00434610014914,35.404346100149134,1.4045962710098696,40.50841631009812,0.5305164319248826,80.68932262469505,0.0
narrow_flexibility,2023,matched_calendar,5844,175,67,24286,24286,749723386.0623099,749723386.0623099,-14260.657864613682,-20104.65786461368,0.0,2809421.437882992,79,28,1285.0,-250200.52737440422,1350,67114.28571428571,4.328888888888889,0.08707535121328225,0.029945242984257357,0.011464750171115675,0.0027587910730461993,-10.563450270084209,-14.892339158973096,-0.19021225867734198,-50.76012332047854,0.2198836413415469,-42.81323192580496,0.0
narrow_flexibility,2023,matched_random_market,5844,271,100,24286,24286,749723386.0623099,749723386.0623099,14612.584662864032,8768.584662864032,0.0,3882791.645266885,123,21,3082.0,475066.68903767,1350,67114.28571428571,4.328888888888889,0.08707535121328225,0.04637234770704997,0.017111567419575632,0.004117598616486865,10.82413678730669,6.4952478984178015,0.19490634725444692,37.63422299694279,0.527378507871321,81.29135678262662,0.0
narrow_flexibility,2023,user_aware,5844,1490,493,24286,24286,749723386.0623099,749723386.0623099,85546.51736724866,79702.51736724866,0.0,21161311.280142985,621,103,3049.0,460194.1190220571,1350,67114.28571428571,4.328888888888889,0.08707535121328225,0.25496235455167693,0.08436002737850787,0.020299761179280243,63.36779064240641,59.03890175351752,1.141041068714093,40.425905670374235,0.5217316906228611,78.74642693738143,0.0
narrow_flexibility,2023,weekly_fixed,67500,2253,651,24286,24286,749723386.0623099,749723386.0623099,-12623.581207055711,-80123.58120705571,0.0,30264114.028576277,812,288,22950.0,1134542.6978765724,1350,67114.28571428571,50.0,1.0057471264367817,0.03337777777777778,0.009644444444444445,0.02680556699332949,-9.350800894115341,-59.350800894115345,-0.1683765164823945,-4.171138528997132,0.34,16.808039968541813,0.0
narrow_flexibility,2024,frequency_gate,15572,873,280,24452,24452,756157490.3622506,756157490.3622506,58424.344752453195,42852.344752453195,0.0,13039678.227988388,357,71,6814.0,654712.1876474975,1350,67500.0,11.534814814814816,0.2306962962962963,0.05606216285640894,0.017980991523246854,0.011451006052674628,43.277292409224586,31.742477594409774,0.7726478345729801,44.8050509613428,0.4375802722835859,42.044193915200196,0.0
narrow_flexibility,2024,market_only,66960,2318,638,24452,24452,756157490.3622506,756157490.3622506,78257.75710880292,11297.757108802918,0.0,31666043.044657055,839,154,29700.0,2867248.642979719,1350,67500.0,49.6,0.992,0.03461768219832736,0.009528076463560334,0.026091935220022903,57.96870896948364,8.368708969483643,1.0349399180230585,24.71346261938692,0.4435483870967742,42.82032023565889,0.0
narrow_flexibility,2024,matched_calendar,6615,201,58,24452,24452,756157490.3622506,756157490.3622506,-8091.6315976963915,-14706.631597696392,0.0,2102717.5683804266,73,26,1372.0,-460116.33738223225,1350,67500.0,4.9,0.098,0.030385487528344673,0.008767951625094483,0.0023719941109111727,-5.9938011834788085,-10.893801183478809,-0.10700987163163528,-38.48178052713374,0.2074074074074074,-69.55651358763905,0.0
narrow_flexibility,2024,matched_random_market,6615,276,84,24452,24452,756157490.3622506,756157490.3622506,13329.571014670157,6714.571014670157,0.0,3457436.4014354753,103,25,2961.0,280542.8670430317,1350,67500.0,4.9,0.098,0.041723356009070296,0.012698412698412698,0.0034353018158023883,9.87375630716308,4.973756307163079,0.17628035408714118,38.55333682822313,0.44761904761904764,42.41010839652785,0.0
