scenario,period,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
execution_drag_50bps,2023-2025 OOT,frequency_gate,41784,9488,3206,73095,73095,2262173825.825216,2262173825.825216,647026.211727052,-89655.85477854758,694898.0665055995,138979613.3011199,9619,860,18814.0,2286089.7606172524,4050,201921.42857142858,10.317037037037037,0.2069319749548976,0.2270725636607314,0.07672793413746888,0.04386072918804296,159.75955845112395,-22.13724809346854,2.860196702572244,46.55547647302587,0.4502680451847597,54.7120850233882,0.0
execution_drag_50bps,2023-2025 OOT,market_only,179010,23328,6891,73095,73095,2262173825.825216,2262173825.825216,1639905.8646307022,-123102.03938644096,1583997.9040171432,316799580.8034286,21690,1865,81000.0,9753966.748043394,4050,201921.42857142858,44.2,0.8865329512893982,0.13031674208144797,0.038495056142114965,0.09427457418428073,404.9150283038771,-30.395565280602707,7.249247807172743,51.76477381920053,0.45248868778280543,54.48839030246016,0.0
execution_drag_50bps,2023-2025 OOT,matched_calendar,27930,3677,1290,73095,73095,2262173825.825216,2262173825.825216,-56633.35598174309,-351466.9483053021,266903.59232355905,53380718.46471181,3650,572,6882.0,-608233.5135501261,4050,201921.42857142858,6.896296296296296,0.1383211291520747,0.13165055495882563,0.04618689581095596,0.017648265955263698,-13.983544686850145,-86.78196254451905,-0.2503492673074487,-10.609328163910249,0.24640171858216972,-21.777068154318872,0.0
execution_drag_50bps,2023-2025 OOT,matched_random_market,27930,4453,1459,73095,73095,2262173825.825216,2262173825.825216,347061.7242938143,23055.517183618555,296076.2071101957,59215241.422039144,4037,393,12633.0,1522657.1755628667,4050,201921.42857142858,6.896296296296296,0.1383211291520747,0.1594343000358038,0.052237737200143214,0.01996032560366646,85.6942529120529,5.692720292251495,1.5341956499174418,58.61020169118865,0.4523093447905478,54.51690567715241,0.0
execution_drag_50bps,2023-2025 OOT,user_aware,27930,17053,5756,73095,73095,2262173825.825216,2262173825.825216,1350521.025725938,7042.492496243182,1315548.5332296947,263109706.64593893,18048,1549,12540.0,1539715.1591138574,4050,201921.42857142858,6.896296296296296,0.1383211291520747,0.610562119584676,0.20608664518438954,0.07874683630891306,333.4619816607254,1.7388870361094277,5.970014374263582,51.3291981106309,0.4489795918367347,55.127646226776136,0.0
execution_drag_50bps,2023-2025 OOT,weekly_fixed,205200,26370,7615,73095,73095,2262173825.825216,2262173825.825216,-191462.3721241944,-2124206.0703524225,1727543.6982282284,345508739.6456457,23739,3757,55890.0,-825191.7250486424,4050,201921.42857142858,50.666666666666664,1.0162368672397326,0.12850877192982457,0.03711013645224172,0.10417949244134346,-47.2746597837517,-524.4953260129438,-0.8463645451929454,-5.541462491529405,0.2723684210526316,-4.021402168853033,0.0
execution_drag_50bps,2026 diagnostic,frequency_gate,10633,2449,784,15699,15699,486022478.64184874,486022478.64184874,220030.4640269255,33092.60473287314,176304.85929405235,35260971.85881047,2466,225,5078.0,660628.1657789508,1350,43392.857142857145,7.876296296296296,0.24504032921810698,0.2303206997084548,0.07373271889400922,0.049939486591502644,162.98552890883371,24.51304054286899,4.527166410940152,62.40056709382719,0.47756982977522805,62.12998831740344,0.0
execution_drag_50bps,2026 diagnostic,market_only,45360,5874,1643,15699,15699,486022478.64184874,486022478.64184874,489540.4761655574,70499.9281117081,373680.5480538493,74736109.61076987,5239,464,21330.0,2770154.1360070896,1350,43392.857142857145,33.6,1.0453333333333332,0.1294973544973545,0.036221340388007055,0.10465634753805975,362.62257493744994,52.222168971635625,10.07238343241941,65.50253668743443,0.47023809523809523,61.070417460473756,0.0
execution_drag_50bps,2026 diagnostic,matched_calendar,7050,934,319,15699,15699,486022478.64184874,486022478.64184874,27881.746418317984,-40910.70846811813,61742.45488643611,12348490.977287224,897,122,2944.0,351430.6718235235,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.1324822695035461,0.04524822695035461,0.02031976559016498,20.653145495050357,-30.30422849490232,0.5736719522979948,22.579071782618076,0.4175886524822695,49.84832224447141,0.0
execution_drag_50bps,2026 diagnostic,matched_random_market,7050,1139,372,15699,15699,486022478.64184874,486022478.64184874,58475.89310760903,-18878.124444676127,70304.01755228515,14060803.510457031,1044,105,3275.0,423465.08565257554,1350,43392.857142857145,5.222222222222222,0.16246913580246913,0.16156028368794326,0.05276595744680851,0.023695776801070132,43.315476376006686,-13.983795884945279,1.2031520285031934,41.587874451215015,0.4645390070921986,60.06596959611001,0.0
