date,moex_session_index,cbr_rate,nbk_rate,moex_open,moex_high,moex_low,moex_close,cbr_age_days,nbk_age_days,cbr_is_fresh,nbk_is_fresh,moex_is_fresh,return_1,return_3,return_5,return_10,decreasing_run,falling_2,falling_3,falling_4,falling_5,percentile_20,distance_min_20_bps,percentile_60,distance_min_60_bps,percentile_120,distance_min_120_bps,rebound_5_bps,rebound_10_bps,rebound_20_bps,volatility_20_bps,volatility_regime,speed_3_bps,candle_body_bps,candle_range_bps,candle_close_position,gap_bps,cbr_nbk_basis_bps,cbr_moex_basis_bps,nbk_moex_basis_bps,usd_cross_rate,cny_cross_rate,usd_cross_basis_bps,cny_cross_basis_bps,weekday,week_of_month,month,is_month_end,is_ru_weekend,is_kz_weekend,is_ru_holiday,is_kz_holiday,days_since_ru_holiday,days_to_ru_holiday,days_since_kz_holiday,days_to_kz_holiday
2022-11-07,425,0.134826,0.13351134846461948,0.1346,0.1346,0.1318,0.132575,3,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,1.0,425.120623530868,1.0,1627.241132488768,0.8833333333333333,2019.1484809584947,0.0,0.0,0.0,102.78139965259588,0.796635522397635,0.0,-150.4457652303115,212.4430955993928,0.27678571428571386,52.27781926810948,98.46740000000187,169.79068451819845,70.62783063318756,0.1336968457315104,0.13172453125,-83.74900008081609,-230.03491537240572,0,1,11,0,0,0,0,0,3,30,13,30
2022-11-08,426,0.131848,0.13175230566534915,0.1334,0.1334,0.131225,0.132775,0,0,1,1,1,-0.022087727886312747,0.005268495009797425,-0.0028813649048241574,0.008899261583196205,1,0,0,0,0,0.6,194.85339601633012,0.8666666666666667,1370.4217942858122,0.7833333333333333,1753.6727998858926,52.68495009797425,194.85339601633012,194.85339601633012,108.50826892310809,0.8204191512271627,17.561650032658083,-46.851574212892764,165.74585635358963,0.7126436781609233,62.22892702243854,7.26319999999836,-69.81736019582074,-77.02461567696162,0.13186197243755385,0.13120977279800808,1.05973830121453,-48.40628617741039,1,2,11,0,0,0,0,0,4,30,14,30
2022-11-09,427,0.131304,0.1314060446780552,0.1335,0.1335,0.1308,0.1317,0,0,1,1,1,-0.004125963230386387,-0.006507066977391673,-0.004933500056837459,0.015278980576518553,2,1,0,0,0,0.55,152.78980576518552,0.8333333333333334,1323.5078520486043,0.775,1705.17757809157,11.207941627211504,124.76288882377506,152.78980576518552,106.53763205296724,0.8091987023668172,-21.690223257972246,-134.8314606741574,206.42201834862428,0.33333333333333676,54.603652796083594,-7.765600000000372,-30.06833712984158,-22.320070003403192,0.13141397814702271,0.13090350328432906,8.375841331773604,-30.501486296756752,2,2,11,0,0,0,0,0,5,30,15,30
2022-11-10,428,0.131594,0.13123359580052493,0.132275,0.132275,0.1309,0.13135,0,0,1,1,1,0.0022086151221591965,-0.023971637517986255,0.003331884687816755,0.014712459324830673,0,0,0,0,0,0.65,175.21341086230268,0.85,1348.5171227265268,0.7916666666666666,1731.0298102981014,22.086151221591965,131.34392707563336,175.21341086230268,97.16594227205307,0.7379013824840625,-79.90545839328752,-69.93006993007089,105.04201680672453,0.327272727272728,43.65983295368192,27.4627999999999,18.576322801675538,-8.86213928245616,0.13115060784397956,0.13059471228615863,-33.69394926975633,-75.93717903866204,3,2,11,0,0,0,0,0,6,30,16,30
2022-11-11,429,0.131542,0.13020833333333334,0.1316,0.13192500000000001,0.13065,0.131275,0,0,1,1,1,-0.0003951547942915301,-0.002320854317092391,-0.004706274023183354,0.012734047795023296,1,0,0,0,0,0.6,171.19262650006073,0.8166666666666667,1344.0327017773823,0.7833333333333333,1726.3942376265873,18.12587583013281,104.23627914122102,171.19262650006073,97.14064755060063,0.7430516162832658,-7.736181056974637,-24.69604863221786,97.58897818599621,0.4901960784313738,19.033117624667195,102.4255999999979,20.338983050847137,-81.25436424807897,0.1304661071109028,0.12976007410838353,-81.79082643544832,-135.46440616810318,4,2,11,0,0,0,0,0,7,30,17,30
2022-11-14,430,0.12828099999999998,0.1303780964797914,0.1315,0.1322,0.13092499999999999,0.1322,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.05,0.0,0.45,1062.807764947349,0.5416666666666666,1435.6903437455414,0.0,0.0,0.0,108.57499862994462,0.8119435882924715,0.0,53.23193916349833,97.38399847240898,1.0,17.139592458579322,-160.84730000000212,-296.44478063540316,-137.8141845846148,0.1303389537023008,0.13032510415059403,160.42544899874667,159.34582288835043,0,2,11,0,0,0,0,0,10,30,20,30
2022-11-15,431,0.130729,0.1314060446780552,0.132275,0.132275,0.1313,0.1319,0,0,1,1,1,0.01908310661750412,-0.006573248020426248,-0.00848704568897507,-0.011343956318205284,0,0,0,0,0,0.5,190.8310661750412,0.75,1273.9205050147896,0.7583333333333333,1653.918841819999,190.8310661750412,190.8310661750412,190.8310661750412,115.78945472477783,0.8600538414642996,-21.910826734754156,-28.350028350029312,74.25742574257433,0.6153846153846022,5.673222390316646,-51.523099999999374,-88.77937831690552,-37.449228350628914,0.13137469004219776,0.13103973001994174,49.39149249193031,23.76901987636515,1,3,11,0,0,0,0,0,11,30,21,30
2022-11-16,432,0.131186,0.13089005235602094,0.1321,0.1335,0.13144999999999998,0.132325,0,0,1,1,1,0.003495781349203142,-0.0027063599458727605,-0.0008986778772924753,-0.005827744306771132,0,0,0,0,0,0.6,226.45598334905648,0.7833333333333333,1313.3316660486205,0.7916666666666666,1694.6583939523596,226.45598334905648,226.45598334905648,226.45598334905648,110.5558554510333,0.8235864297762502,-9.021199819575868,17.032551097653226,155.95283377710433,0.4268292682926851,15.163002274449777,22.610400000000475,-86.07594936708819,-108.44115956765931,0.13083060370073102,0.13035440525271036,-27.091023376654142,-63.39051021371445,2,3,11,0,0,0,0,0,12,30,22,30
2022-11-17,433,0.13091,0.1314060446780552,0.1323,0.134,0.1316,0.134,0,0,1,1,1,-0.002103883036299603,0.020494071608422315,-0.0051978053710655114,-0.0018832391713747842,1,0,0,0,0,0.5,204.94071608422314,0.75,1289.5297394723902,0.7833333333333333,1670.0542005420061,204.94071608422314,204.94071608422314,204.94071608422314,109.60973565795172,0.8180739295796257,68.31357202807438,128.49584278155746,182.3708206686936,1.0,-1.8892877385223716,-37.74900000000025,-230.59701492537332,-193.57875536901602,0.13137781647980842,0.13101510480887796,35.73573293166543,8.028783811622198,3,3,11,0,0,0,0,0,13,30,23,29
2022-11-18,434,0.131467,0.1314060446780552,0.1326,0.132625,0.1308,0.131875,0,0,1,1,1,0.004254831563669681,0.005645266161295348,-0.0005701601009563406,-0.005273750794467458,0,0,0,0,0,0.65,248.36101994839544,0.8,1337.5647869468853,0.8166666666666667,1719.708315504207,248.36101994839544,248.36101994839544,248.36101994839544,109.85016923007835,0.8221883259689414,18.817553870984494,-54.67571644042213,139.52599388379116,0.5890410958904091,-104.47761194029903,4.6386999999992184,-30.93838862559206,-35.56059313325477,0.1315529898703845,0.1313857520609737,6.540795057656812,-6.180101396267013,4,3,11,0,0,0,0,0,14,30,24,28
2022-11-21,435,0.13152,0.1314060446780552,0.1319,0.133,0.1308,0.131975,2,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0.65,252.49257489417863,0.8,1342.1354467604374,0.825,1724.4330338040227,0.0,0.0,0.0,109.49052110397395,0.8270948782119564,0.0,5.686125852919499,168.19571865443584,0.5340909090909115,1.8957345971570838,8.671999999998459,-34.47622655806115,-43.110840836886325,0.13152252527012895,0.1313286312199659,0.19200654873374745,-14.550545927166647,0,3,11,0,0,0,0,0,17,30,27,25
2022-11-22,436,0.13231500000000002,0.13089005235602094,0.131475,0.13235,0.1295,0.131,0,0,1,1,1,0.00604470802919721,0.010732564357192054,0.012131967658285392,0.0035419574054973424,0,0,0,0,0,0.95,314.4658990809268,0.9333333333333333,1410.6953439637127,0.9,1795.303808301243,107.32564357192054,314.4658990809268,314.4658990809268,110.13622190238071,0.8308340136728113,35.77521452397351,-36.12854154782297,220.0772200772194,0.5263157894736863,-37.88596325061566,108.8660000000008,100.3816793893142,-8.392949922065851,0.13102772084996225,0.13103849721706864,-97.28898084402803,-96.474532965376,1,4,11,0,0,0,0,0,18,30,28,24
