config_id,fold_test_year,corridor,signals,hit_rate,lift,forward_delta_bps,symmetric_delta_bps,regret_bps,brier,logloss,auc,ece10,rows,dates,mean_signals_per_corridor_week,min_cell_week_coverage,mean_cell_week_coverage
baseline_reproduction,2023,KGS,44.0,0.5227272727272727,1.3457446808510638,50.799186615425384,25.94779309204431,54.11065290171254,0.2090348684046282,0.6009361215830618,0.7829930994824612,0.1479289205701354,242,242,0.8850574712643678,0.8541666666666666,0.8541666666666666
baseline_reproduction,2023,KZT,35.0,0.6571428571428571,1.7868378812199037,79.4469866995319,32.35167931716451,57.65634692310652,0.21106779782384458,0.6078485442355643,0.7539472717926122,0.11121666575275259,242,242,0.7040229885057471,0.6666666666666666,0.6666666666666666
baseline_reproduction,2023,TJS,44.0,0.4772727272727273,1.2287234042553192,40.24748809973062,19.274702064574576,71.19240131697775,0.2129024430823048,0.6103900217669043,0.7640526164462335,0.12871480743775687,242,242,0.8850574712643678,0.8541666666666666,0.8541666666666666
baseline_reproduction,2023,UZS,44.0,0.5681818181818182,1.4473684210526314,54.66441523619123,31.77197408307367,57.99974415367292,0.21774601969851884,0.622584132408391,0.7357321876118869,0.12671865432068982,242,242,0.8850574712643678,0.8333333333333334,0.8333333333333334
baseline_reproduction,2024,AMD,56.0,0.4642857142857143,1.3273109243697478,19.63906111645027,16.86994945605582,90.09263586602285,0.1961131322993355,0.5740468707036187,0.7406180193596427,0.07013530287805966,243,243,1.12,0.9387755102040817,0.9387755102040817
baseline_reproduction,2024,KGS,46.0,0.5,1.35,46.68182222279678,27.37082067283772,64.07334865477043,0.19864651588488683,0.5772601270488747,0.7371822803195351,0.05866371150042168,243,243,0.92,0.8571428571428571,0.8571428571428571
baseline_reproduction,2024,KZT,52.0,0.34615384615384615,1.2940828402366864,13.5123838256016,5.010810078513686,108.24686950175038,0.20091823161860897,0.5849427972291292,0.6942955920484011,0.13310611442212006,243,243,1.04,0.9387755102040817,0.9387755102040817
baseline_reproduction,2024,TJS,44.0,0.5227272727272727,1.4943850267379677,50.27049885228867,27.888514275364255,68.60038313558904,0.19738143386254417,0.579043693602807,0.7358525688756515,0.060717738957909925,243,243,0.88,0.8367346938775511,0.8367346938775511
baseline_reproduction,2024,UZS,50.0,0.4,1.215,29.21849602321798,15.52191466078976,72.87942850375164,0.18729526404000602,0.5534240579518349,0.7522622699386502,0.07018067655594437,243,243,1.0,0.9387755102040817,0.9387755102040817
baseline_reproduction,2025,AMD,37.0,0.3783783783783784,1.7276899541050486,69.7735028556846,35.2815855407792,90.37879047789397,0.15592062093122533,0.48186523819037835,0.7093441150044923,0.04065108453608735,242,242,0.7421203438395416,0.7346938775510204,0.7346938775510204
baseline_reproduction,2025,KGS,38.0,0.3157894736842105,1.5596133190118153,67.06987033258149,35.594099557182055,91.26349907493174,0.1502984181708024,0.4663949726837389,0.7169821296394205,0.042442317116720994,242,242,0.7621776504297995,0.7551020408163265,0.7551020408163265
baseline_reproduction,2025,KZT,46.0,0.34782608695652173,1.7536231884057971,45.818758949890665,31.455247009095057,114.40866804098584,0.15581220930445144,0.48528673252408205,0.6692439862542956,0.08730313481154939,242,242,0.9226361031518625,0.8571428571428571,0.8571428571428571
baseline_reproduction,2025,TJS,36.0,0.5277777777777778,1.8246031746031746,83.29723006564451,42.48323160945555,74.0361682550867,0.19407171507628798,0.5821761885739409,0.6650332225913621,0.07475878423010211,242,242,0.7220630372492837,0.7346938775510204,0.7346938775510204
baseline_reproduction,2025,UZS,45.0,0.35555555555555557,1.7925925925925925,68.89042430515252,47.25527398050353,102.37011002249724,0.14931425460118322,0.45818563065886636,0.7234213917525774,0.046832108911672554,242,242,0.9025787965616047,0.8775510204081632,0.8775510204081632
baseline_reproduction,2026,AMD,34.0,0.4411764705882353,1.323529411764706,37.540822817393725,25.722171656487156,70.76317600353987,0.20320073845824846,0.5961808432260387,0.7011834319526629,0.07364704449824726,156,156,1.0577777777777777,0.9032258064516129,0.9032258064516129
baseline_reproduction,2026,KGS,34.0,0.47058823529411764,1.5294117647058822,39.05725431001994,27.62444159691497,76.94754994323203,0.1858728826587169,0.5506107323221706,0.728684413580247,0.05968425293895813,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
baseline_reproduction,2026,KZT,33.0,0.36363636363636365,0.9952153110047848,31.50893421802111,18.151243205049322,95.08950750790376,0.23698814647799885,0.6915462211749547,0.6384015594541911,0.1459098270653862,156,156,1.0266666666666666,0.8709677419354839,0.8709677419354839
baseline_reproduction,2026,TJS,34.0,0.5,1.56,30.750975299946884,20.428376211029452,82.31780458301941,0.1939015673341829,0.5732930846009825,0.7186792452830189,0.0875133997912316,156,156,1.0577777777777777,0.9354838709677419,0.9354838709677419
baseline_reproduction,2026,UZS,33.0,0.5757575757575758,1.4969696969696968,50.17480223129823,37.77781932971123,79.37040550157819,0.2131709951946777,0.6175066423428273,0.7496527777777778,0.12330219774973208,156,156,1.0266666666666666,0.9032258064516129,0.9032258064516129
basis_train_120m,2023,AMD,56.0,0.4642857142857143,1.1827067669172933,41.38421974752573,35.64908743038105,68.90199249807684,0.2052611987579275,0.5936948406775944,0.7392409595417114,0.07646121648010346,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
basis_train_120m,2023,KGS,56.0,0.44642857142857145,1.1493161094224924,25.21603372028735,21.428086486283263,73.16753852977321,0.1941542992375005,0.5689977911111888,0.7895701552616446,0.11790002215634295,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
basis_train_120m,2023,KZT,58.0,0.46551724137931033,1.265788454087563,17.366529984623757,15.025000861573384,101.06711806347357,0.19904166666732276,0.5824965302086502,0.7455753837115371,0.07152865001775269,242,242,1.1666666666666667,1.0,1.0
basis_train_120m,2023,TJS,56.0,0.48214285714285715,1.2412613981762917,26.13267332202539,21.983975789922123,74.68787519015078,0.19825950671729448,0.5785403893809471,0.7615008625646923,0.11181191051419918,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
basis_train_120m,2023,UZS,56.0,0.5,1.2736842105263158,39.96342892602704,31.354317441029117,60.725567549514786,0.20426581975723623,0.5910098549197051,0.7298245614035087,0.08810641177443825,242,242,1.1264367816091954,0.9791666666666666,0.9791666666666666
basis_train_120m,2024,AMD,48.0,0.4583333333333333,1.3102941176470588,25.103959409630605,10.290038444336183,76.36994141082,0.19562178886039366,0.5757399883514954,0.7443782576321669,0.0673089469966149,243,243,0.96,0.8775510204081632,0.8775510204081632
basis_train_120m,2024,KGS,46.0,0.5,1.35,32.94295706375516,17.755742664724092,71.61408951839492,0.19932537205030632,0.5826948884148547,0.733442265795207,0.07840928120062242,243,243,0.92,0.8775510204081632,0.8775510204081632
basis_train_120m,2024,KZT,47.0,0.3617021276595745,1.3522094926350245,20.72603674913774,7.650011766009307,102.91550967716941,0.1925626805159965,0.5712544196103473,0.6799481417458946,0.09314027533269922,243,243,0.94,0.8775510204081632,0.8775510204081632
basis_train_120m,2024,TJS,47.0,0.44680851063829785,1.2773466833541927,22.9653494359007,9.625246183827615,79.05970902110948,0.19472954209457444,0.5757557313434435,0.7527177959791511,0.10326351299850113,243,243,0.94,0.8571428571428571,0.8571428571428571
basis_train_120m,2024,UZS,49.0,0.4489795918367347,1.3637755102040816,21.047407664658724,11.196182182619712,82.3157253109466,0.176026801247954,0.5285811568164238,0.779026073619632,0.07350924348049229,243,243,0.98,0.8979591836734694,0.8979591836734694
basis_train_120m,2025,AMD,40.0,0.375,1.7122641509433962,72.90767042325301,48.074679611017785,82.01254867589047,0.16031661871612932,0.4882921080873955,0.6924228811021265,0.07143505061534866,242,242,0.8022922636103152,0.7959183673469388,0.7959183673469388
basis_train_120m,2025,KGS,40.0,0.35,1.7285714285714284,62.621040841329446,39.87177157224301,88.37300585059847,0.153736206109616,0.47427665498077043,0.7003277995135878,0.0800031486451723,242,242,0.8022922636103152,0.7755102040816326,0.7755102040816326
basis_train_120m,2025,KZT,44.0,0.4318181818181818,2.1770833333333335,56.462709323278204,37.20699472254659,106.80488656303332,0.15646926295095248,0.48143826396281686,0.6858354810996564,0.062165478215206404,242,242,0.8825214899713467,0.8367346938775511,0.8367346938775511
basis_train_120m,2025,TJS,38.0,0.5263157894736842,1.8195488721804514,85.61049147613306,49.42626563036311,70.65204934856874,0.1936187465940052,0.5719414569902285,0.6648255813953489,0.062452185321082807,242,242,0.7621776504297995,0.7346938775510204,0.7346938775510204
