date,client,currency,bank_side,value
2020-11-02,personal,RUB,sell,5.5
2020-11-03,personal,RUB,sell,5.56
2020-11-04,personal,RUB,sell,5.59
2020-11-05,personal,RUB,sell,5.66
2020-11-06,personal,RUB,sell,5.86
2020-11-09,personal,RUB,sell,5.7
2020-11-10,personal,RUB,sell,5.72
2020-11-11,personal,RUB,sell,5.71
2020-11-12,personal,RUB,sell,5.68
2020-11-13,personal,RUB,sell,5.84
2020-11-16,personal,RUB,sell,5.7
2020-11-17,personal,RUB,sell,5.72
2020-11-18,personal,RUB,sell,5.76
2020-11-19,personal,RUB,sell,5.71
2020-11-20,personal,RUB,sell,5.91
2020-11-23,personal,RUB,sell,5.71
2020-11-24,personal,RUB,sell,5.7
2020-11-25,personal,RUB,sell,5.7
2020-11-26,personal,RUB,sell,5.7
2020-11-27,personal,RUB,sell,5.86
2020-11-30,personal,RUB,sell,5.88
2020-12-02,personal,RUB,sell,5.71
2020-12-03,personal,RUB,sell,5.74
2020-12-04,personal,RUB,sell,5.96
2020-12-06,personal,RUB,sell,5.99
2020-12-07,personal,RUB,sell,5.77
2020-12-08,personal,RUB,sell,5.84
2020-12-09,personal,RUB,sell,5.8
2020-12-10,personal,RUB,sell,5.82
2020-12-11,personal,RUB,sell,5.82
2020-12-14,personal,RUB,sell,5.84
2020-12-15,personal,RUB,sell,5.82
2020-12-20,personal,RUB,sell,5.79
2020-12-21,personal,RUB,sell,5.7
2020-12-22,personal,RUB,sell,5.68
2020-12-23,personal,RUB,sell,5.71
2020-12-24,personal,RUB,sell,5.74
2020-12-25,personal,RUB,sell,5.77
2020-12-28,personal,RUB,sell,5.79
2020-12-29,personal,RUB,sell,5.82
2020-12-30,personal,RUB,sell,5.77
2020-12-31,personal,RUB,sell,5.73
2021-01-05,personal,RUB,sell,5.75
2021-01-06,personal,RUB,sell,5.81
2021-01-08,personal,RUB,sell,5.74
2021-01-11,personal,RUB,sell,5.73
2021-01-12,personal,RUB,sell,5.77
2021-01-13,personal,RUB,sell,5.77
2021-01-14,personal,RUB,sell,5.83
2021-01-15,personal,RUB,sell,5.81
2021-01-18,personal,RUB,sell,5.77
2021-01-19,personal,RUB,sell,5.8
