config_id,policy,evaluation_scope,rows,dates,brier,signals,lift,forward_delta_bps,hit_rate,hits,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,min_year_corridor_coverage,signals_per_corridor_week,regret_bps
kzt_hgb_base15,legacy,KZT,727,727,0.18444580175269343,150,1.461566830917146,34.68429668610523,0.41333333333333333,62,0.18220995103462403,0.7036162187647336,0.5470201666114792,152,137,0.9013157894736842,0.8431372549019608,0.9868421052631579,104.1321561267519
kzt_hgb_full33,cadence85_cd2,KZT,727,727,0.1798445735575093,152,1.6172545349612109,61.69627787399055,0.45394736842105265,69,0.1816581357093127,0.7217868929750118,0.5359705171303297,152,121,0.7960526315789473,0.5882352941176471,1.0,92.2800822455009
kzt_hgb_full33,fixed_threshold_0.50,KZT,727,727,0.1798445735575093,29,1.8220250919976353,64.02374466582295,0.4482758620689655,13,0.1816581357093127,0.7217868929750118,0.5359705171303297,152,29,0.19078947368421054,0.0,0.19078947368421054,106.39439125124358
kzt_hgb_full33,legacy,KZT,727,727,0.1798445735575093,135,1.5716602620324647,51.8050843147385,0.4444444444444444,60,0.1816581357093127,0.7217868929750118,0.5359705171303297,152,123,0.8092105263157895,0.6666666666666666,0.8881578947368421,94.0008901335991
kzt_tabm_base15_s2,cadence85_cd2,KZT,727,727,0.1903576261928415,176,1.2709220471265679,41.8575730617244,0.36363636363636365,64,0.18774456813133297,0.6896935407826498,0.5604721986403732,152,130,0.8552631578947368,0.7254901960784313,1.1578947368421053,98.069394349804
kzt_tabm_base15_s2,fixed_threshold_0.50,KZT,727,727,0.1903576261928415,38,1.5276666493479507,40.96754409091536,0.39473684210526316,15,0.18774456813133297,0.6896935407826498,0.5604721986403732,152,37,0.24342105263157895,0.0,0.25,113.41176121902166
kzt_tabm_base15_s2,legacy,KZT,727,727,0.1903576261928415,147,1.3806204002550402,36.16679071315502,0.3877551020408163,57,0.18774456813133297,0.6896935407826498,0.5604721986403732,152,134,0.881578947368421,0.8235294117647058,0.9671052631578947,101.29331500821642
kzt_tabm_full33_ensemble3,cadence85_cd2,KZT,727,727,0.18597176689148218,147,1.6150825049272777,53.6784663612772,0.42857142857142855,63,0.19877084662773523,0.6997925506836398,0.5484875159466323,152,114,0.75,0.68,0.9671052631578947,93.90770462302366
kzt_tabm_full33_ensemble3,fixed_threshold_0.50,KZT,727,727,0.18597176689148218,32,1.8734707921296767,93.77826434102846,0.46875,15,0.19877084662773523,0.6997925506836398,0.5484875159466323,152,31,0.20394736842105263,0.0,0.21052631578947367,60.52624814458812
kzt_tabm_full33_ensemble3,legacy,KZT,727,727,0.18597176689148218,133,1.4888977035842992,44.62621419966679,0.40601503759398494,54,0.19877084662773523,0.6997925506836398,0.5484875159466323,152,121,0.7960526315789473,0.74,0.875,97.46018073865356
kzt_tabm_full33_s0,cadence85_cd2,KZT,727,727,0.1856895585444992,126,1.6918902301603318,45.96777005030286,0.42857142857142855,54,0.18929573660741342,0.7039792550683639,0.5475633936346646,152,99,0.6513157894736842,0.48,0.8289473684210527,100.09242067721443
kzt_tabm_full33_s0,fixed_threshold_0.50,KZT,727,727,0.1856895585444992,31,1.9382248375089535,84.24097697439574,0.4838709677419355,15,0.18929573660741342,0.7039792550683639,0.5475633936346646,152,30,0.19736842105263158,0.0,0.20394736842105263,90.79571520708309
kzt_tabm_full33_s0,legacy,KZT,727,727,0.1856895585444992,135,1.4415721912816077,45.351643043900424,0.3925925925925926,53,0.18929573660741342,0.7039792550683639,0.5475633936346646,152,124,0.8157894736842105,0.76,0.8881578947368421,96.921980812135
kzt_tabm_full33_s1,cadence85_cd2,KZT,727,727,0.1885871175968482,156,1.4316656346849723,43.49974216459905,0.38461538461538464,60,0.21668521212350095,0.6756907119283356,0.5563030222980612,152,123,0.8092105263157895,0.6666666666666666,1.0263157894736843,97.32986981674438
kzt_tabm_full33_s1,fixed_threshold_0.50,KZT,727,727,0.1885871175968482,28,1.647834635556531,80.36151732108932,0.42857142857142855,12,0.21668521212350095,0.6756907119283356,0.5563030222980612,152,27,0.17763157894736842,0.0,0.18421052631578946,60.83995718980963
kzt_tabm_full33_s1,legacy,KZT,727,727,0.1885871175968482,145,1.3661599300641536,37.73477518226764,0.3724137931034483,54,0.21668521212350095,0.6756907119283356,0.5563030222980612,152,130,0.8552631578947368,0.803921568627451,0.9539473684210527,100.21728692679973
kzt_tabm_full33_s2,cadence85_cd2,KZT,727,727,0.18426357296149853,143,1.5838090721966285,61.1527331087404,0.42657342657342656,61,0.1984043511516919,0.7087128712871287,0.544684371233617,152,117,0.7697368421052632,0.6666666666666666,0.9407894736842105,96.01791154944809
kzt_tabm_full33_s2,fixed_threshold_0.50,KZT,727,727,0.18426357296149853,35,1.9230474768828882,83.91809448788979,0.4857142857142857,17,0.1984043511516919,0.7087128712871287,0.544684371233617,152,33,0.21710526315789475,0.02,0.23026315789473684,81.48653574108693
kzt_tabm_full33_s2,legacy,KZT,727,727,0.18426357296149853,133,1.5300438343233296,48.41608488646381,0.42857142857142855,57,0.1984043511516919,0.7087128712871287,0.544684371233617,152,126,0.8289473684210527,0.7647058823529411,0.875,93.81049681958514
pooled_hgb_base15,cadence85_cd2,all5,3635,727,0.1853715199766156,910,1.3240547893043473,39.50952486556057,0.42417582417582417,386,0.18864298128025228,0.735370741482966,0.5498571414977435,760,659,0.8671052631578947,0.7647058823529411,1.1973684210526316,81.82628494204712
pooled_hgb_base15,cadence85_cd2,KZT,727,727,0.18043451381085637,187,1.3365149737593087,37.39244981779954,0.37967914438502676,71,0.1811595806422111,0.7084111268269684,0.5411837178103276,152,137,0.9013157894736842,0.803921568627451,1.230263157894737,97.540261569751
