config_id,policy,evaluation_scope,year,rows,dates,brier,signals,lift,forward_delta_bps,hit_rate,hits,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,min_year_corridor_coverage,signals_per_corridor_week,regret_bps
kzt_tabm_full33_ensemble3,cadence85_cd2,KZT,2023,242,242,0.2334614476601399,41,1.4590298711975884,55.86731521173115,0.5365853658536586,22,0.2554868508722433,0.7182198722185503,0.6596537781812978,50,34,0.68,0.68,0.82,72.46478625352916
kzt_tabm_full33_ensemble3,cadence85_cd2,KZT,2024,243,243,0.1795067749564341,42,1.8692307692307688,82.16990111064199,0.5,21,0.1938042657419874,0.7131374243733795,0.5309011574298946,51,35,0.6862745098039216,0.6862745098039216,0.8235294117647058,70.98909048063476
kzt_tabm_full33_ensemble3,cadence85_cd2,KZT,2025,242,242,0.14497379290057938,64,1.5755208333333333,33.57873101218451,0.3125,20,0.14704194633048623,0.7253006872852233,0.4549802831316659,51,45,0.8823529411764706,0.8823529411764706,1.2549019607843137,122.68491473442376
kzt_tabm_full33_ensemble3,fixed_threshold_0.50,KZT,2023,242,242,0.2334614476601399,0,,,,0,0.2554868508722433,0.7182198722185503,0.6596537781812978,50,0,0.0,0.0,0.0,
kzt_tabm_full33_ensemble3,fixed_threshold_0.50,KZT,2024,243,243,0.1795067749564341,24,1.7134615384615384,87.16063856139378,0.4583333333333333,11,0.1938042657419874,0.7131374243733795,0.5309011574298946,51,23,0.45098039215686275,0.45098039215686275,0.47058823529411764,59.48858169023805
kzt_tabm_full33_ensemble3,fixed_threshold_0.50,KZT,2025,242,242,0.14497379290057938,8,2.5208333333333335,113.63114167993254,0.5,4,0.14704194633048623,0.7253006872852233,0.4549802831316659,51,8,0.1568627450980392,0.1568627450980392,0.1568627450980392,63.63924750763833
kzt_tabm_full33_ensemble3,legacy,KZT,2023,242,242,0.2334614476601399,40,1.3595505617977528,52.58594130331805,0.5,20,0.2554868508722433,0.7182198722185503,0.6596537781812978,50,37,0.74,0.74,0.8,68.47020945550398
kzt_tabm_full33_ensemble3,legacy,KZT,2024,243,243,0.1795067749564341,45,1.4953846153846149,35.625064987736394,0.4,18,0.1938042657419874,0.7131374243733795,0.5309011574298946,51,42,0.8235294117647058,0.8235294117647058,0.8823529411764706,99.69973870556977
kzt_tabm_full33_ensemble3,legacy,KZT,2025,242,242,0.14497379290057938,48,1.6805555555555556,46.43168566614214,0.3333333333333333,16,0.14704194633048623,0.7253006872852233,0.4549802831316659,51,42,0.8235294117647058,0.8235294117647058,0.9411764705882353,119.51890454729427
kzt_tabm_full33_s0,cadence85_cd2,KZT,2023,242,242,0.23438355565400423,27,1.7120266333749479,54.29588993453883,0.6296296296296297,17,0.24071496215762367,0.7214511272673864,0.6613563874429906,50,24,0.48,0.48,0.54,68.62579000870538
kzt_tabm_full33_s0,cadence85_cd2,KZT,2024,243,243,0.17879302461971394,34,1.8692307692307688,77.42698928694942,0.5,17,0.1821917945861937,0.7180639585133968,0.5284935176795326,51,29,0.5686274509803921,0.5686274509803921,0.6666666666666666,73.84494492781263
kzt_tabm_full33_s0,cadence85_cd2,KZT,2025,242,242,0.14392059343384891,65,1.5512820512820513,26.0528055746051,0.3076923076923077,20,0.14500980821074194,0.7278780068728523,0.45291907692178096,51,46,0.9019607843137255,0.9019607843137255,1.2745098039215685,126.89262380843608
kzt_tabm_full33_s0,fixed_threshold_0.50,KZT,2023,242,242,0.23438355565400423,0,,,,0,0.24071496215762367,0.7214511272673864,0.6613563874429906,50,0,0.0,0.0,0.0,
kzt_tabm_full33_s0,fixed_threshold_0.50,KZT,2024,243,243,0.17879302461971394,23,1.7879598662207357,70.17095279601627,0.4782608695652174,11,0.1821917945861937,0.7180639585133968,0.5284935176795326,51,22,0.43137254901960786,0.43137254901960786,0.45098039215686275,100.24144310254214
kzt_tabm_full33_s0,fixed_threshold_0.50,KZT,2025,242,242,0.14392059343384891,8,2.5208333333333335,124.69229648723672,0.5,4,0.14500980821074194,0.7278780068728523,0.45291907692178096,51,8,0.1568627450980392,0.1568627450980392,0.1568627450980392,63.63924750763833
kzt_tabm_full33_s0,legacy,KZT,2023,242,242,0.23438355565400423,41,1.3263907919978075,56.66365608462086,0.4878048780487805,20,0.24071496215762367,0.7214511272673864,0.6613563874429906,50,38,0.76,0.76,0.82,61.07906629444877
kzt_tabm_full33_s0,legacy,KZT,2024,243,243,0.17879302461971394,44,1.5293706293706288,38.25606353241846,0.4090909090909091,18,0.1821917945861937,0.7180639585133968,0.5284935176795326,51,42,0.8235294117647058,0.8235294117647058,0.8627450980392157,99.41749270791571
kzt_tabm_full33_s0,legacy,KZT,2025,242,242,0.14392059343384891,50,1.5125000000000002,42.31990232061379,0.3,15,0.14500980821074194,0.7278780068728523,0.45291907692178096,51,44,0.8627450980392157,0.8627450980392157,0.9803921568627451,124.11712024835067
kzt_tabm_full33_s1,cadence85_cd2,KZT,2023,242,242,0.23678326270832778,48,1.1329588014981273,41.68442889710551,0.4166666666666667,20,0.2980393396289542,0.6832635675993244,0.667524399701157,50,40,0.8,0.8,0.96,72.57833301426375
kzt_tabm_full33_s1,cadence85_cd2,KZT,2024,243,243,0.17974678239368042,41,1.823639774859287,74.80344578871332,0.4878048780487805,20,0.1972952070940215,0.7073465859982714,0.5329600614004386,51,34,0.6666666666666666,0.6666666666666666,0.803921568627451,75.51754392422795
kzt_tabm_full33_s1,cadence85_cd2,KZT,2025,242,242,0.1492678379992933,67,1.5049751243781095,25.64426736237524,0.29850746268656714,20,0.15480121363525226,0.7032860824742269,0.46852106430869384,51,49,0.9607843137254902,0.9607843137254902,1.3137254901960784,128.41015531095698
kzt_tabm_full33_s1,fixed_threshold_0.50,KZT,2023,242,242,0.23678326270832778,0,,,,0,0.2980393396289542,0.6832635675993244,0.667524399701157,50,0,0.0,0.0,0.0,
kzt_tabm_full33_s1,fixed_threshold_0.50,KZT,2024,243,243,0.17974678239368042,25,1.644923076923077,85.13063167346466,0.44,11,0.1972952070940215,0.7073465859982714,0.5329600614004386,51,24,0.47058823529411764,0.47058823529411764,0.49019607843137253,58.77911258962634
kzt_tabm_full33_s1,fixed_threshold_0.50,KZT,2025,242,242,0.1492678379992933,3,1.6805555555555556,40.61889771796155,0.3333333333333333,1,0.15480121363525226,0.7032860824742269,0.46852106430869384,51,3,0.058823529411764705,0.058823529411764705,0.058823529411764705,78.01366219133706
kzt_tabm_full33_s1,legacy,KZT,2023,242,242,0.23678326270832778,46,1.3595505617977526,48.037813493041284,0.5,23,0.2980393396289542,0.6832635675993244,0.667524399701157,50,42,0.84,0.84,0.92,69.18795131157862
kzt_tabm_full33_s1,legacy,KZT,2024,243,243,0.17974678239368042,43,1.4779964221824684,42.75518276038941,0.3953488372093023,17,0.1972952070940215,0.7073465859982714,0.5329600614004386,51,41,0.803921568627451,0.803921568627451,0.8431372549019608,92.72756317453666
kzt_tabm_full33_s1,legacy,KZT,2025,242,242,0.1492678379992933,56,1.2604166666666667,25.416609322360078,0.25,14,0.15480121363525226,0.7032860824742269,0.46852106430869384,51,47,0.9215686274509803,0.9215686274509803,1.0980392156862746,131.45670763479052
kzt_tabm_full33_s2,cadence85_cd2,KZT,2023,242,242,0.22750767980114203,44,1.544943820224719,61.29094386787008,0.5681818181818182,25,0.2399719125866014,0.7271058236028494,0.6471283114955847,50,38,0.76,0.76,0.88,89.26110495057775
kzt_tabm_full33_s2,cadence85_cd2,KZT,2024,243,243,0.18126859834911419,39,1.7254437869822474,85.91274285856944,0.46153846153846156,18,0.20662331427535297,0.7094209161624891,0.5353783163902561,51,34,0.6666666666666666,0.6666666666666666,0.7647058823529411,70.44761422068147
