config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps,cutoff
kzt_local_120m,normal,KZT,242,242,0.19469084306073467,58,1.265788454087563,17.36652998462376,2023-01-01
kzt_oxr_2010_120m,normal,KZT,242,242,0.19603702704621193,56,1.1653290529695024,18.214060903088473,2023-01-01
kzt_oxr_2010_120m,oxr_delayed,KZT,242,242,0.19147565290748864,58,1.265788454087563,18.89211903135037,2023-01-01
kzt_oxr_2018_120m,normal,KZT,242,242,0.19366175356473098,58,1.265788454087563,17.36652998462376,2023-01-01
kzt_oxr_2018_120m,oxr_delayed,KZT,242,242,0.1916984147811026,58,1.265788454087563,17.36652998462376,2023-01-01
kzt_shrink_120m,normal,KZT,242,242,0.19469084306073467,58,1.265788454087563,17.36652998462376,2023-01-01
oxr_basis_2010_120m,normal,all,1210,242,0.19956934494974213,280,1.1937136739063934,25.795790450481263,2023-01-01
oxr_basis_2010_120m,normal,KZT,242,242,0.19864017246049326,56,1.1653290529695024,18.214060903088473,2023-01-01
oxr_basis_2010_120m,oxr_delayed,all,1210,242,0.1964093304388394,282,1.204025826053931,30.83861004054676,2023-01-01
oxr_basis_2010_120m,oxr_delayed,KZT,242,242,0.19514165845203343,58,1.265788454087563,18.89211903135037,2023-01-01
oxr_basis_2010_180m,normal,all,1210,242,0.20217370199505735,278,1.1933582463304697,24.384608723786357,2023-01-01
oxr_basis_2010_180m,normal,KZT,242,242,0.19931987291403677,57,1.2879952690715553,32.29507789662791,2023-01-01
oxr_basis_2010_180m,oxr_delayed,all,1210,242,0.20089570346210026,278,1.2119577779489945,24.82344521646045,2023-01-01
oxr_basis_2010_180m,oxr_delayed,KZT,242,242,0.1978362467147735,57,1.2879952690715553,25.643747578508275,2023-01-01
oxr_basis_2018_120m,normal,all,1210,242,0.19922629736549147,285,1.227641665414099,26.499227218275237,2023-01-01
oxr_basis_2018_120m,normal,KZT,242,242,0.1978733378242471,58,1.265788454087563,17.36652998462376,2023-01-01
oxr_basis_2018_120m,oxr_delayed,all,1210,242,0.1979158974931289,285,1.2185480234480683,26.825613609431898,2023-01-01
oxr_basis_2018_120m,oxr_delayed,KZT,242,242,0.1962069949750221,58,1.265788454087563,17.36652998462376,2023-01-01
oxr_basis_2018_180m,normal,all,1210,242,0.19995801108404854,280,1.184460079535026,24.6119226362536,2023-01-01
oxr_basis_2018_180m,normal,KZT,242,242,0.19740260663901069,56,1.1167736757624398,19.635777681623498,2023-01-01
oxr_basis_2018_180m,oxr_delayed,all,1210,242,0.1990628240121294,279,1.1885047768867743,26.63803008681627,2023-01-01
oxr_basis_2018_180m,oxr_delayed,KZT,242,242,0.1962256172849312,55,1.137078651685393,24.68075849788653,2023-01-01
oxr_coverage_2010_120m,normal,all,1210,242,0.20155872005786266,281,1.2172852678911668,29.646267767525043,2023-01-01
oxr_coverage_2010_120m,normal,KZT,242,242,0.19958709165407754,57,1.2879952690715553,29.846245836065272,2023-01-01
oxr_coverage_2010_120m,oxr_delayed,all,1210,242,0.1977331289388393,285,1.264158743282348,31.674199654424637,2023-01-01
oxr_coverage_2010_120m,oxr_delayed,KZT,242,242,0.19542029478458303,59,1.5208531708246047,27.184052888111136,2023-01-01
oxr_full_2010_120m,normal,all,1210,242,0.20553031471296695,278,1.2013854146623049,28.526650636888064,2023-01-01
oxr_full_2010_120m,normal,KZT,242,242,0.19876710373371667,52,1.3072601555747623,38.812881055953476,2023-01-01
oxr_full_2010_120m,oxr_delayed,all,1210,242,0.19934475353813458,281,1.1156322627347888,25.37087980059586,2023-01-01
oxr_full_2010_120m,oxr_delayed,KZT,242,242,0.19349462515734842,56,1.0196629213483146,16.66742409948106,2023-01-01
v3_120m,normal,all,1210,242,0.2001964982274563,282,1.2224078997341437,29.922888862399454,2023-01-01
v3_120m,normal,KZT,242,242,0.19904166666732276,58,1.265788454087563,17.36652998462376,2023-01-01
v3_180m,normal,all,1210,242,0.20096675424667848,283,1.1899988652267657,24.190821655314362,2023-01-01
v3_180m,normal,KZT,242,242,0.19807604912366947,56,1.1653290529695024,19.23004771545086,2023-01-01
fusion_2010_120m,bank_delayed,KZT,243,243,0.18654886778259874,46,1.5441471571906347,40.0594414238957,2024-01-01
fusion_2010_120m,both_delayed,KZT,243,243,0.18578337182488672,48,1.3240384615384615,29.54582076288172,2024-01-01
fusion_2010_120m,normal,KZT,243,243,0.19285620390651267,47,1.5908346972176752,34.743705157564506,2024-01-01
fusion_2010_120m,oxr_delayed,KZT,243,243,0.19069042453742144,46,1.6254180602006683,35.584531331569885,2024-01-01
fusion_2010_180m,bank_delayed,KZT,243,243,0.1867651156103881,41,1.550093808630394,35.76145117662706,2024-01-01
fusion_2010_180m,both_delayed,KZT,243,243,0.18855717881924985,43,1.5649373881932018,33.41624861131234,2024-01-01
fusion_2010_180m,normal,KZT,243,243,0.19176075377436777,41,1.7324577861163226,56.302121437996206,2024-01-01
fusion_2010_180m,oxr_delayed,KZT,243,243,0.1915104276525689,42,1.78021978021978,55.10069882549325,2024-01-01
fusion_2018_120m,bank_delayed,KZT,243,243,0.1892802972332943,47,1.3522094926350239,19.293416248474458,2024-01-01
fusion_2018_120m,both_delayed,KZT,243,243,0.18836952095239531,45,1.578461538461538,36.841197765642505,2024-01-01
fusion_2018_120m,normal,KZT,243,243,0.19587160957375646,47,1.5112929623567914,35.59865187871796,2024-01-01
fusion_2018_120m,oxr_delayed,KZT,243,243,0.19385558535727992,46,1.5441471571906347,36.45806385100927,2024-01-01
fusion_premium_2010_120m,bank_delayed,KZT,243,243,0.18924912894418122,47,1.4317512274959077,25.431631718707123,2024-01-01
fusion_premium_2010_120m,both_delayed,KZT,243,243,0.1918612802085213,49,1.0681318681318681,6.857244375018503,2024-01-01
fusion_premium_2010_120m,normal,KZT,243,243,0.19445647017591836,48,1.5576923076923077,39.577420227751155,2024-01-01
fusion_premium_2010_120m,oxr_delayed,KZT,243,243,0.19295026213554733,48,1.5576923076923077,34.940015385662164,2024-01-01
halyk_local_120m,bank_delayed,KZT,243,243,0.19526225707389,48,1.2461538461538462,8.125294564526527,2024-01-01
halyk_local_120m,normal,KZT,243,243,0.20021376427112034,50,1.3458461538461537,21.107193700986578,2024-01-01
halyk_shrink_120m,bank_delayed,KZT,243,243,0.18899041544379497,44,1.5293706293706288,29.886482371132352,2024-01-01
halyk_shrink_120m,normal,KZT,243,243,0.1937380523952357,44,1.5293706293706288,33.017897314090256,2024-01-01
kzt_local_120m,normal,KZT,243,243,0.1957165481243733,47,1.3522094926350239,20.72603674913774,2024-01-01
kzt_oxr_2010_120m,normal,KZT,243,243,0.19171561404635815,45,1.4953846153846149,36.25025658421206,2024-01-01
kzt_oxr_2010_120m,oxr_delayed,KZT,243,243,0.198522778065183,47,1.4317512274959077,34.82900700551719,2024-01-01
kzt_oxr_2018_120m,normal,KZT,243,243,0.187935652405745,45,1.3292307692307688,33.28989373366873,2024-01-01
kzt_oxr_2018_120m,oxr_delayed,KZT,243,243,0.1870418230192198,45,1.3292307692307688,33.28989373366873,2024-01-01
kzt_shrink_120m,normal,KZT,243,243,0.19134795106627636,44,1.2744755244755241,29.094638784996572,2024-01-01
oxr_basis_2010_120m,normal,all,1215,243,0.19196853825473958,241,1.3524125606331376,30.26433833860241,2024-01-01
oxr_basis_2010_120m,normal,KZT,243,243,0.18980858617330937,45,1.4953846153846149,36.25025658421206,2024-01-01
oxr_basis_2010_120m,oxr_delayed,all,1215,243,0.1905278685753674,254,1.2355932203389832,29.70342081860019,2024-01-01
oxr_basis_2010_120m,oxr_delayed,KZT,243,243,0.1958668037775534,47,1.4317512274959077,34.82900700551719,2024-01-01
oxr_basis_2010_180m,normal,all,1215,243,0.1920762612349763,250,1.2862231016571852,28.972988632810658,2024-01-01
oxr_basis_2010_180m,normal,KZT,243,243,0.18835618624853118,52,1.4378698224852067,13.679926220582262,2024-01-01
oxr_basis_2010_180m,oxr_delayed,all,1215,243,0.19242314256149176,252,1.3341176470588234,30.41214648675658,2024-01-01
oxr_basis_2010_180m,oxr_delayed,KZT,243,243,0.19101866173540538,51,1.5393665158371037,37.6175424649908,2024-01-01
oxr_basis_2018_120m,normal,all,1215,243,0.19122036316490604,243,1.2556231003039515,25.781255764263385,2024-01-01
oxr_basis_2018_120m,normal,KZT,243,243,0.18923932417743963,46,1.3003344481605346,17.07376732962642,2024-01-01
oxr_basis_2018_120m,oxr_delayed,all,1215,243,0.19083203450646807,241,1.2916943521594684,30.102088014260815,2024-01-01
oxr_basis_2018_120m,oxr_delayed,KZT,243,243,0.18901418002073397,46,1.3003344481605346,17.07376732962642,2024-01-01
oxr_basis_2018_180m,normal,all,1215,243,0.19288314960966496,233,1.2487947019867551,23.82902505769126,2024-01-01
oxr_basis_2018_180m,normal,KZT,243,243,0.1916853511039676,47,1.1931260229132563,8.884387870352171,2024-01-01
oxr_basis_2018_180m,oxr_delayed,all,1215,243,0.19209204327760523,230,1.3053988718775185,31.876996215993994,2024-01-01
oxr_basis_2018_180m,oxr_delayed,KZT,243,243,0.1905251500351486,47,1.27266775777414,11.938411007267009,2024-01-01
oxr_coverage_2010_120m,normal,all,1215,243,0.19326041527530494,244,1.2770085901970691,21.143549818411813,2024-01-01
oxr_coverage_2010_120m,normal,KZT,243,243,0.19238751225651196,47,1.27266775777414,14.794642858427329,2024-01-01
oxr_coverage_2010_120m,oxr_delayed,all,1215,243,0.19404412937129964,255,1.2223458282950423,21.816757204505134,2024-01-01
oxr_coverage_2010_120m,oxr_delayed,KZT,243,243,0.1965779561267589,49,1.1444270015698585,3.682068161832598,2024-01-01
oxr_full_2010_120m,normal,all,1215,243,0.19145557750373488,249,1.326880119136262,27.835388221060597,2024-01-01
oxr_full_2010_120m,normal,KZT,243,243,0.18908442616909452,51,1.5393665158371037,39.524815603653444,2024-01-01
oxr_full_2010_120m,oxr_delayed,all,1215,243,0.1899851864285742,254,1.4078383641674779,35.013825880915924,2024-01-01
oxr_full_2010_120m,oxr_delayed,KZT,243,243,0.19368621012172116,52,1.5816568047337274,38.45434454973381,2024-01-01
v3_120m,normal,all,1215,243,0.191653236953845,237,1.3295987493486192,24.49444811333371,2024-01-01
v3_120m,normal,KZT,243,243,0.1925626805159965,47,1.3522094926350239,20.72603674913774,2024-01-01
v3_180m,normal,all,1215,243,0.19293836444810097,225,1.257819383259912,26.94241773940013,2024-01-01
v3_180m,normal,KZT,243,243,0.1919202294303201,48,1.1682692307692308,7.770174705656285,2024-01-01
fusion_2010_120m,bank_delayed,KZT,242,242,0.15043964313252342,47,1.7163120567375894,52.939696039580596,2025-01-01
fusion_2010_120m,both_delayed,KZT,242,242,0.14973085745735287,48,1.4704861111111112,45.73745713599005,2025-01-01
fusion_2010_120m,normal,KZT,242,242,0.1455188551500332,48,1.4704861111111112,45.10894384575338,2025-01-01
fusion_2010_120m,oxr_delayed,KZT,242,242,0.14490329171481428,48,1.5755208333333333,47.13746431078732,2025-01-01
fusion_2010_180m,bank_delayed,KZT,242,242,0.1518436099294282,43,2.344961240310078,63.210979355914986,2025-01-01
fusion_2010_180m,both_delayed,KZT,242,242,0.1518528948664424,42,2.2807539682539684,61.13917285263957,2025-01-01
fusion_2010_180m,normal,KZT,242,242,0.14579686701290395,43,1.8759689922480625,49.959316841564934,2025-01-01
fusion_2010_180m,oxr_delayed,KZT,242,242,0.14581493988535374,43,1.9932170542635663,47.37053613710536,2025-01-01
fusion_2018_120m,bank_delayed,KZT,242,242,0.1506629839768628,46,1.86322463768116,53.494174813357816,2025-01-01
fusion_2018_120m,both_delayed,KZT,242,242,0.15035619294999436,47,1.823581560283689,48.294157160951514,2025-01-01
fusion_2018_120m,normal,KZT,242,242,0.14583763497715205,47,1.7163120567375894,48.23182922981595,2025-01-01
fusion_2018_120m,oxr_delayed,KZT,242,242,0.14561636876373138,47,1.823581560283689,49.36968644030655,2025-01-01
fusion_premium_2010_120m,bank_delayed,KZT,242,242,0.1498083189602565,44,2.177083333333334,56.940492881856535,2025-01-01
fusion_premium_2010_120m,both_delayed,KZT,242,242,0.14915129864603274,44,2.177083333333334,56.940492881856535,2025-01-01
fusion_premium_2010_120m,normal,KZT,242,242,0.14480981355708594,44,1.833333333333334,46.815543400181625,2025-01-01
fusion_premium_2010_120m,oxr_delayed,KZT,242,242,0.14497436322460605,45,1.7925925925925932,43.87810281905658,2025-01-01
halyk_local_120m,bank_delayed,KZT,242,242,0.15040359705020545,43,2.2277131782945743,57.600428862118086,2025-01-01
halyk_local_120m,normal,KZT,242,242,0.14746121788417615,40,2.142708333333333,60.66619510101289,2025-01-01
halyk_shrink_120m,bank_delayed,KZT,242,242,0.15035865454176947,46,1.86322463768116,53.494174813357816,2025-01-01
halyk_shrink_120m,normal,KZT,242,242,0.14539409450316326,47,1.823581560283689,49.36968644030655,2025-01-01
kzt_local_120m,normal,KZT,242,242,0.15083300134533928,44,2.177083333333334,56.462709323278204,2025-01-01
kzt_oxr_2010_120m,normal,KZT,242,242,0.15145480295853125,44,2.0625000000000004,58.53262594300748,2025-01-01
kzt_oxr_2010_120m,oxr_delayed,KZT,242,242,0.15013765973715365,43,1.9932170542635663,65.21258138273491,2025-01-01
kzt_oxr_2018_120m,normal,KZT,242,242,0.1525124115923508,52,1.5512820512820515,33.280181383729435,2025-01-01
kzt_oxr_2018_120m,oxr_delayed,KZT,242,242,0.15164144493026588,53,1.0463836477987425,31.138792590835774,2025-01-01
kzt_shrink_120m,normal,KZT,242,242,0.15124050764801658,44,2.0625000000000004,58.34480703497766,2025-01-01
oxr_basis_2010_120m,normal,all,1210,242,0.16286548573888898,233,1.661769402746726,51.65428735748846,2025-01-01
oxr_basis_2010_120m,normal,KZT,242,242,0.15800926039106125,43,1.9932170542635663,59.6523217004233,2025-01-01
oxr_basis_2010_120m,oxr_delayed,all,1210,242,0.16198914706482434,234,1.4983330687410696,51.69338716986434,2025-01-01
oxr_basis_2010_120m,oxr_delayed,KZT,242,242,0.15609919677433717,42,2.0406746031746033,66.48155752713664,2025-01-01
oxr_basis_2010_180m,normal,all,1210,242,0.16393030766444436,218,1.7560184394741334,63.97250569844289,2025-01-01
oxr_basis_2010_180m,normal,KZT,242,242,0.15752421046433457,44,1.833333333333334,57.821915307699335,2025-01-01
oxr_basis_2010_180m,oxr_delayed,all,1210,242,0.1641127843172488,218,1.7404109589041095,69.00960893160095,2025-01-01
oxr_basis_2010_180m,oxr_delayed,KZT,242,242,0.15874253601780958,44,1.9479166666666672,68.55679049404893,2025-01-01
oxr_basis_2018_120m,normal,all,1210,242,0.1625562317956484,230,1.7021346201030505,55.442807367400306,2025-01-01
oxr_basis_2018_120m,normal,KZT,242,242,0.1583560309772084,52,1.7451923076923082,37.182556169832615,2025-01-01
oxr_basis_2018_120m,oxr_delayed,all,1210,242,0.16306140844326952,234,1.60135571336346,59.00168919857209,2025-01-01
oxr_basis_2018_120m,oxr_delayed,KZT,242,242,0.15735496324152776,52,1.3573717948717952,36.66289379743511,2025-01-01
oxr_basis_2018_180m,normal,all,1210,242,0.1628893846303553,222,1.6289440471182157,60.124655462852,2025-01-01
oxr_basis_2018_180m,normal,KZT,242,242,0.1578829260663407,43,2.1104651162790704,61.383736932914466,2025-01-01
oxr_basis_2018_180m,oxr_delayed,all,1210,242,0.16348143974843848,220,1.6665533072606695,66.49599381741793,2025-01-01
oxr_basis_2018_180m,oxr_delayed,KZT,242,242,0.1579780775292578,42,2.0406746031746033,69.18291286409614,2025-01-01
oxr_coverage_2010_120m,normal,all,1210,242,0.16255366109854322,207,1.903444534852183,76.7691419150514,2025-01-01
oxr_coverage_2010_120m,normal,KZT,242,242,0.15633570063182356,44,2.177083333333334,59.52978200959164,2025-01-01
oxr_coverage_2010_120m,oxr_delayed,all,1210,242,0.1611601151368546,212,1.837055344690617,80.03418403128661,2025-01-01
oxr_coverage_2010_120m,oxr_delayed,KZT,242,242,0.15476819637003628,44,1.9479166666666672,62.911151349728705,2025-01-01
oxr_full_2010_120m,normal,all,1210,242,0.16286200116840904,216,1.8020607844835048,68.94983873385901,2025-01-01
oxr_full_2010_120m,normal,KZT,242,242,0.15829355074094997,41,1.967479674796748,62.593486731098004,2025-01-01
