config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps
oxr_basis_2010_120m,oxr_delayed,all,3635,727,0.1829836609337466,769,1.2871181353153647,36.911624047308806
oxr_basis_2010_120m,oxr_delayed,KZT,727,727,0.18247365793394754,147,1.4680402840434148,37.58456904229502
oxr_basis_2010_180m,normal,all,3635,727,0.18606836563644932,746,1.3397272392595145,37.49085070465927
oxr_basis_2010_180m,normal,KZT,727,727,0.18174253292429013,153,1.4449691194910905,33.30941096154796
oxr_basis_2010_180m,oxr_delayed,all,3635,727,0.185765466636546,745,1.3527496529696967,40.315073909785745
oxr_basis_2010_180m,oxr_delayed,KZT,727,727,0.18251244216793167,152,1.500044149070809,42.083467496234576
oxr_basis_2018_120m,normal,all,3635,727,0.18434376933434388,758,1.3362219808332871,35.05141240425662
oxr_basis_2018_120m,normal,KZT,727,727,0.1818330990716232,156,1.3879675322715566,23.88554459680955
oxr_basis_2018_120m,oxr_delayed,all,3635,727,0.18393746278983883,760,1.324021287437111,37.77144521393529
oxr_basis_2018_120m,oxr_delayed,KZT,727,727,0.18099216845691932,156,1.296953267860307,23.712323806010378
oxr_basis_2018_180m,normal,all,3635,727,0.18525402354612697,735,1.298687014693853,35.09003359094723
oxr_basis_2018_180m,normal,KZT,727,727,0.18233650513474434,146,1.343055024237614,28.47034567255336
oxr_basis_2018_180m,oxr_delayed,all,3635,727,0.18486710683126115,729,1.3267121314836374,40.31939391458477
oxr_basis_2018_180m,oxr_delayed,KZT,727,727,0.1816411683536059,144,1.3615409708506654,33.5015928820649
oxr_coverage_2010_120m,normal,all,3635,727,0.18580120653610635,732,1.3710552816196613,40.137759255167566
oxr_coverage_2010_120m,normal,KZT,727,727,0.18278333041474618,148,1.4670355072799075,33.891179969079985
oxr_coverage_2010_120m,oxr_delayed,all,3635,727,0.18432584388382905,752,1.3603422628882957,41.9649827171444
oxr_coverage_2010_120m,oxr_delayed,KZT,727,727,0.18227518321625902,152,1.4931333421094468,29.949809998134327
oxr_full_2010_120m,normal,all,3635,727,0.18662262142599803,743,1.3655438768572288,40.04654873568307
oxr_full_2010_120m,normal,KZT,727,727,0.18205803843460702,144,1.5159601140596193,45.83589143521475
oxr_full_2010_120m,oxr_delayed,all,3635,727,0.18401445872690936,755,1.3460211701681715,42.21470703436603
oxr_full_2010_120m,oxr_delayed,KZT,727,727,0.18156483259800624,150,1.4007209324483119,39.15563372538324
v3_120m,normal,all,3635,727,0.18485040099862832,723,1.3709701913909238,40.07841159980202
v3_120m,normal,KZT,727,727,0.18270478175104507,149,1.4778370986863412,29.971420647932167
v3_180m,normal,all,3635,727,0.18569062894257646,728,1.3161461670773655,36.81568502990743
v3_180m,normal,KZT,727,727,0.1822554310449202,148,1.304497759106353,25.463232781468008
