period,corridor,indicator,scenario,horizon_days,raw_candidate_count,signal_count,hit_rate,random_day_hit_rate,lift,benefit_bps_symmetric,benefit_bps_ci_low,benefit_bps_ci_high,benefit_bps_forward,signals_per_week,raw_cluster_share_gap_le_3d,post_cooldown_cluster_share_gap_le_3d,post_cooldown_gap_cv
2026,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,3,20,11,0.6363636363636364,0.5423728813559322,1.1732954545454546,19.382098929157962,6.5461480786432436,34.760492385703344,2.879097037728266,0.3181818181818182,0.631578947368421,0.0,1.4906349834251293
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,189,128,0.4765625,0.5109809663250366,0.9326423710601719,19.141869145714548,-1.8919117432923598,37.58010504443456,-1.8659289193951747,0.3021922428330523,0.44680851063829785,0.0,1.409755916619672
2020,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,24,18,0.6111111111111112,0.5365079365079365,1.13905325443787,38.90202691475476,0.42422151044893897,77.885634630966,17.306278667364595,0.3442622950819672,0.391304347826087,0.0,1.688362897733237
2021,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,37,21,0.47619047619047616,0.5088757396449705,0.9357696566998891,6.455382427910373,0.25740242721948564,14.971088541143361,3.8555734727174915,0.40273972602739727,0.6111111111111112,0.0,0.9971791199093063
2022,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,12,11,0.36363636363636365,0.5015384615384615,0.725041829336308,-35.54944709890364,-183.8709375275967,126.68932986434508,-108.08598820162068,0.21153846153846154,0.09090909090909091,0.0,1.0336439285955652
2023,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,13,9,0.4444444444444444,0.584045584045584,0.7609756097560976,53.382422662457515,33.24036939175668,88.47198007060003,29.86198814390343,0.17260273972602738,0.4166666666666667,0.0,1.5583084399148315
2024,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,17,12,0.4166666666666667,0.5681818181818182,0.7333333333333333,32.38228193155165,-13.477586849846599,126.12700177047363,47.64741675553197,0.22950819672131148,0.4375,0.0,1.4093323679884708
2025,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,25,18,0.5555555555555556,0.44314868804664725,1.2536549707602338,25.125233445781156,-7.865691373470292,66.22097776979297,-17.734070034616504,0.34520547945205476,0.4166666666666667,0.0,0.8299589857106585
2026,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,5,20,11,0.36363636363636365,0.5085470085470085,0.7150496562261269,35.950116643503655,24.803613908897123,51.89387534594073,4.765921385138845,0.3208333333333333,0.631578947368421,0.0,1.4906349834251293
ALL,RUB/AMD,reversal_up_from_30d_low,WINDOW_CLOSING,10,189,128,0.4765625,0.5232856618995233,0.9107119393833216,53.14222871812226,30.567370281680322,78.67305065144174,1.0311699433312462,0.3027027027027027,0.44680851063829785,0.0,1.409755916619672
