period,corridor,indicator,scenario,horizon_days,raw_candidate_count,signal_count,hit_rate,random_day_hit_rate,lift,benefit_bps_symmetric,benefit_bps_ci_low,benefit_bps_ci_high,benefit_bps_forward,signals_per_week,raw_cluster_share_gap_le_3d,post_cooldown_cluster_share_gap_le_3d,post_cooldown_gap_cv,oot_periods,oot_lift_ge_1_count,oot_lift_ge_1_3_count,frequency_gate,benefit_ci_positive_gate,baseline_verdict
ALL,RUB/KZT,reversal_up_from_30d_low,WINDOW_CLOSING,1,224,155,0.45806451612903226,0.45508317929759706,1.006551191006525,-23.007352959720627,-32.28505917541936,-15.58922722891283,2.1805547282089677,0.3654429100707309,0.4260089686098655,0.0,1.275072380314288,7,5,2,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KZT,reversal_up_from_30d_low,WINDOW_CLOSING,3,224,155,0.5225806451612903,0.5020347761746208,1.0409251907671095,-1.880480182940903,-12.865743164854036,8.197826467513757,-0.3410758630160368,0.36568924839905625,0.4260089686098655,0.0,1.275072380314288,7,5,2,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KZT,reversal_up_from_30d_low,WINDOW_CLOSING,5,224,155,0.49032258064516127,0.5027767493520918,0.9752292270416646,17.08174897479543,6.382696323923043,27.888354716118887,-3.0813141360735723,0.36593591905564926,0.4260089686098655,0.0,1.275072380314288,7,3,1,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KZT,reversal_up_from_30d_low,WINDOW_CLOSING,10,224,155,0.5225806451612903,0.49369436201780414,1.0585104578173095,48.709404324238264,32.81390681708349,67.6017811055843,-4.143591418024379,0.36655405405405406,0.4260089686098655,0.0,1.275072380314288,7,5,0,False,True,RESEARCH_ONLY
ALL,RUB/KZT,reversal_up_from_30d_low,WINDOW_CLOSING,20,224,155,0.47096774193548385,0.48678823967249724,0.9675002466212883,93.25071738285781,69.6171396883346,123.65884802308007,-1.0635331891600006,0.3677966101694915,0.4260089686098655,0.0,1.275072380314288,7,3,1,False,True,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KZT,seasonal_positive_month,WINDOW_CLOSING,1,29,29,0.5862068965517241,0.4627224627224627,1.2668650082443185,1.3600807733273401,-19.50870650563059,21.069676381447998,13.481006630358229,0.08946672542970471,0.0,0.0,0.7267043099785983,7,4,3,False,False,RESEARCH_ONLY
ALL,RUB/KZT,seasonal_positive_month,WINDOW_CLOSING,3,28,28,0.6071428571428571,0.5069812229176697,1.1975647808981142,8.960181151959455,-22.913707977426533,40.08998402547273,38.69480162299741,0.08645787384208205,0.0,0.0,0.7176580828167216,7,5,1,False,False,RESEARCH_ONLY
ALL,RUB/KZT,seasonal_positive_month,WINDOW_CLOSING,5,28,28,0.6428571428571429,0.5127710843373494,1.2536922663802363,1.4628837468570433,-41.263376460522515,40.42838938923918,35.63738532826158,0.08653421633554084,0.0,0.0,0.7176580828167216,7,5,2,False,False,RESEARCH_ONLY
ALL,RUB/KZT,seasonal_positive_month,WINDOW_CLOSING,10,28,28,0.6428571428571429,0.5019323671497584,1.2807644713323252,-25.799565817738138,-93.89425855422152,35.7441401562576,34.00041680893634,0.08672566371681416,0.0,0.0,0.7176580828167216,7,5,3,False,False,DROP_OR_NEGATIVE_CONTROL
ALL,RUB/KZT,seasonal_positive_month,WINDOW_CLOSING,20,28,28,0.6071428571428571,0.4992721979621543,1.2160558100791337,-38.16546921902751,-141.5683763917162,43.11435906750349,32.39396882502706,0.08711111111111111,0.0,0.0,0.7176580828167216,7,5,3,False,False,DROP_OR_NEGATIVE_CONTROL
