cutoff,mode,policy,block,baseline,candidate,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
2025-01-01,normal,cadence90_cd2,month,duplicate_normal,normal_plus_banklag2,0.004403683280553303,0.0011417969044681178,0.007795807690492597,12,0,-0.7032552083333345,-1.3548414398521502,-0.30392812978185846,-24.963518703644233,-50.99805878518522,-4.879020299552981
2025-01-01,normal,cadence90_cd2,20,duplicate_normal,normal_plus_banklag2,0.004403683280553303,0.0010398959552018455,0.00795574887288998,13,0,,,,,,
2025-01-01,normal,cadence90_cd3,month,duplicate_normal,normal_plus_banklag2,0.004403683280553303,0.0011417969044681178,0.007795807690492597,12,0,-0.39629844961240357,-0.9254816522465089,0.08740415059526853,-20.363734634647642,-33.919839256617266,-9.46331776804642
2025-01-01,normal,cadence90_cd3,20,duplicate_normal,normal_plus_banklag2,0.004403683280553303,0.0010398959552018455,0.00795574887288998,13,0,,,,,,
2025-01-01,normal,legacy,month,duplicate_normal,normal_plus_banklag2,0.004403683280553303,0.0011417969044681178,0.007795807690492597,12,0,-0.36131545641512486,-0.8943769959390847,0.11377235662621689,-15.552780127874847,-28.880000234732783,-4.45946460742867
2025-01-01,normal,legacy,20,duplicate_normal,normal_plus_banklag2,0.004403683280553303,0.0010398959552018455,0.00795574887288998,13,0,,,,,,
2026-01-01,bank_delayed,cadence85_cd2,month,duplicate_normal,normal_plus_banklag2,-0.001323061283472467,-0.010468065190117802,0.0071001057897403215,8,1,0.08940957043772224,0.0,0.21496486151302197,7.158040264997055,1.4390722263067488,12.570873928108234
2026-01-01,bank_delayed,cadence85_cd2,20,duplicate_normal,normal_plus_banklag2,-0.001323061283472467,-0.010709995426062126,0.008544688486411331,8,1,,,,,,
2026-01-01,bank_delayed,cadence90_cd2,month,duplicate_normal,normal_plus_banklag2,-0.001323061283472467,-0.010468065190117802,0.0071001057897403215,8,1,0.08940957043772224,0.0,0.21496486151302197,7.158040264997055,1.4390722263067488,12.570873928108234
2026-01-01,bank_delayed,cadence90_cd2,20,duplicate_normal,normal_plus_banklag2,-0.001323061283472467,-0.010709995426062126,0.008544688486411331,8,1,,,,,,
2026-01-01,bank_delayed,cadence90_cd3,month,duplicate_normal,normal_plus_banklag2,-0.001323061283472467,-0.010468065190117802,0.0071001057897403215,8,1,0.24148606811145523,-0.05864548332453338,1.0162968696250432,-4.150768215780094,-15.36947248419136,9.034165516216476
2026-01-01,bank_delayed,cadence90_cd3,20,duplicate_normal,normal_plus_banklag2,-0.001323061283472467,-0.010709995426062126,0.008544688486411331,8,1,,,,,,
2026-01-01,bank_delayed,legacy,month,duplicate_normal,normal_plus_banklag2,-0.001323061283472467,-0.010468065190117802,0.0071001057897403215,8,1,0.0341495449854583,-0.07169117647058809,0.15545060999606453,1.2272855112973389,-11.081154673854574,13.516259968434625
2026-01-01,bank_delayed,legacy,20,duplicate_normal,normal_plus_banklag2,-0.001323061283472467,-0.010709995426062126,0.008544688486411331,8,1,,,,,,
2026-01-01,normal,cadence85_cd2,month,duplicate_normal,normal_plus_banklag2,0.0073383086171047536,0.0007424616977554406,0.01349905429224924,8,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,normal,cadence85_cd2,20,duplicate_normal,normal_plus_banklag2,0.0073383086171047536,-0.001546238822388668,0.015675612307692,8,0,,,,,,
2026-01-01,normal,cadence90_cd2,month,duplicate_normal,normal_plus_banklag2,0.0073383086171047536,0.0007424616977554406,0.01349905429224924,8,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-01,normal,cadence90_cd2,20,duplicate_normal,normal_plus_banklag2,0.0073383086171047536,-0.001546238822388668,0.015675612307692,8,0,,,,,,
2026-01-01,normal,cadence90_cd3,month,duplicate_normal,normal_plus_banklag2,0.0073383086171047536,0.0007424616977554406,0.01349905429224924,8,0,0.241486068111455,-0.03535353535353525,1.016067731220792,-15.24789957937935,-30.496547463831668,-0.17427651326251947
2026-01-01,normal,cadence90_cd3,20,duplicate_normal,normal_plus_banklag2,0.0073383086171047536,-0.001546238822388668,0.015675612307692,8,0,,,,,,
2026-01-01,normal,legacy,month,duplicate_normal,normal_plus_banklag2,0.0073383086171047536,0.0007424616977554406,0.01349905429224924,8,0,0.0365887981987052,-0.07530737704918034,0.21846370683579996,-9.834792336374683,-27.41956645086221,5.618553877547132
2026-01-01,normal,legacy,20,duplicate_normal,normal_plus_banklag2,0.0073383086171047536,-0.001546238822388668,0.015675612307692,8,0,,,,,,
