config_id,policy,year,train_horizon,evaluation_horizon,evaluation_scope,rows,dates,signals,hits,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps,regret_bps,brier,raw_brier,auc,log_loss,week_cells,weeks_with_1_2,week_coverage,mean_cell_week_coverage,signals_per_corridor_week,silent_weeks,max_week_signals,max_silent_week_run,min_year_corridor_coverage
tabm_kzt_120m,rank80,2026,3,3,KZT,158,158,42,22,0.4240506329113924,0.5238095238095238,1.2352523098791757,36.47286866156814,61.52311155828633,64.17114358404645,0.18875601269336137,0.19279086714952462,0.7949811382647204,0.5554599789813478,33,32,0.9696969696969697,0.9696969696969697,1.2727272727272727,1,2,1,0.9696969696969697
tabm_kzt_120m,rank90,2024,3,3,KZT,245,245,59,27,0.3346938775510204,0.4576271186440678,1.3673005374121534,48.63423275761646,48.08347440648662,50.740179753757424,0.1908582784253897,0.21187519756781456,0.7482418075714501,0.5600465709787099,51,44,0.8627450980392157,0.8627450980392157,1.1568627450980393,7,2,3,0.8627450980392157
tabm_kzt_120m,rank90,2025,3,3,KZT,244,244,74,26,0.26229508196721313,0.35135135135135137,1.339527027027027,20.60295711285022,1.9515654120990222,80.4447887753838,0.15925360727425067,0.16022328712075745,0.762065972222222,0.4890748457347685,51,50,0.9803921568627451,0.9803921568627451,1.4509803921568627,1,2,1,0.9803921568627451
tabm_kzt_120m,rank90,2026,3,3,KZT,158,158,42,22,0.4240506329113924,0.5238095238095238,1.2352523098791757,36.47286866156814,61.52311155828633,64.17114358404645,0.18875601269336137,0.19279086714952462,0.7949811382647204,0.5554599789813478,33,32,0.9696969696969697,0.9696969696969697,1.2727272727272727,1,2,1,0.9696969696969697
tabm_kzt_120m,rank90_shared,2024,3,3,KZT,245,245,59,27,0.3346938775510204,0.4576271186440678,1.3673005374121534,48.63423275761646,48.08347440648662,50.740179753757424,0.1908582784253897,0.21187519756781456,0.7482418075714501,0.5600465709787099,51,44,0.8627450980392157,0.8627450980392157,1.1568627450980393,7,2,3,0.8627450980392157
tabm_kzt_120m,rank90_shared,2025,3,3,KZT,244,244,74,26,0.26229508196721313,0.35135135135135137,1.339527027027027,20.60295711285022,1.9515654120990222,80.4447887753838,0.15925360727425067,0.16022328712075745,0.762065972222222,0.4890748457347685,51,50,0.9803921568627451,0.9803921568627451,1.4509803921568627,1,2,1,0.9803921568627451
tabm_kzt_120m,rank90_shared,2026,3,3,KZT,158,158,42,22,0.4240506329113924,0.5238095238095238,1.2352523098791757,36.47286866156814,61.52311155828633,64.17114358404645,0.18875601269336137,0.19279086714952462,0.7949811382647204,0.5554599789813478,33,32,0.9696969696969697,0.9696969696969697,1.2727272727272727,1,2,1,0.9696969696969697
tabm_kzt_120m,strict05,2024,3,3,KZT,245,245,32,18,0.3346938775510204,0.5625,1.680640243902439,67.25729252197465,66.7065341708448,53.141406152686926,0.1908582784253897,0.21187519756781456,0.7482418075714501,0.5600465709787099,51,32,0.6274509803921569,0.6274509803921569,0.6274509803921569,19,1,8,0.6274509803921569
tabm_kzt_120m,strict05,2025,3,3,KZT,244,244,26,16,0.26229508196721313,0.6153846153846154,2.346153846153846,99.09326437667889,80.44187267592767,44.66684051827281,0.15925360727425067,0.16022328712075745,0.762065972222222,0.4890748457347685,51,24,0.47058823529411764,0.47058823529411764,0.5098039215686274,27,2,4,0.47058823529411764
tabm_kzt_120m,strict05,2026,3,3,KZT,158,158,25,18,0.4240506329113924,0.72,1.6979104477611942,96.97424444044715,122.02448733716534,23.747960509789138,0.18875601269336137,0.19279086714952462,0.7949811382647204,0.5554599789813478,33,23,0.696969696969697,0.696969696969697,0.7575757575757576,10,2,2,0.696969696969697
tabm_kzt_fullhistory,cadence80,2024,3,3,KZT,245,245,40,26,0.3346938775510204,0.65,1.9420731707317072,74.5765907028239,74.02583235169408,41.76904996087161,0.18942146793760292,0.2144063881869581,0.7436779889271286,0.5582771652045475,51,33,0.6470588235294118,0.6470588235294118,0.7843137254901961,18,2,8,0.6470588235294118
tabm_kzt_fullhistory,cadence80,2025,3,3,KZT,244,244,39,21,0.26229508196721313,0.5384615384615384,2.052884615384615,78.07412914231627,59.42273744156504,48.586619991251645,0.16451925584773514,0.16605940762017532,0.7423611111111111,0.5002583487922663,51,34,0.6666666666666666,0.6666666666666666,0.7647058823529411,17,2,3,0.6666666666666666
tabm_kzt_fullhistory,cadence80,2026,3,3,KZT,158,158,41,22,0.4240506329113924,0.5365853658536586,1.26538041499818,48.26779602701359,73.31803892373176,54.166614455483604,0.1820952034934825,0.18403075856666665,0.8010496965720845,0.5415094642633312,33,31,0.9393939393939394,0.9393939393939394,1.2424242424242424,2,2,1,0.9393939393939394
tabm_kzt_fullhistory,cadence85,2024,3,3,KZT,245,245,43,27,0.3346938775510204,0.627906976744186,1.8760635280771414,77.59164418754037,77.04088583641054,41.37157724044595,0.18942146793760292,0.2144063881869581,0.7436779889271286,0.5582771652045475,51,36,0.7058823529411765,0.7058823529411765,0.8431372549019608,15,2,4,0.7058823529411765
tabm_kzt_fullhistory,cadence85,2025,3,3,KZT,244,244,55,21,0.26229508196721313,0.38181818181818183,1.4556818181818179,49.419197825016475,30.767806124265263,59.43740536759934,0.16451925584773514,0.16605940762017532,0.7423611111111111,0.5002583487922663,51,44,0.8627450980392157,0.8627450980392157,1.0784313725490196,7,2,2,0.8627450980392157
tabm_kzt_fullhistory,cadence85,2026,3,3,KZT,158,158,42,23,0.4240506329113924,0.5476190476190477,1.291400142146411,45.952737006148105,71.00297990286629,56.47488994025927,0.1820952034934825,0.18403075856666665,0.8010496965720845,0.5415094642633312,33,31,0.9393939393939394,0.9393939393939394,1.2727272727272727,2,2,1,0.9393939393939394
tabm_kzt_fullhistory,cadence90,2024,3,3,KZT,245,245,46,27,0.3346938775510204,0.5869565217391305,1.7537115588547192,72.15993160920823,71.6091732580784,40.204847852890126,0.18942146793760292,0.2144063881869581,0.7436779889271286,0.5582771652045475,51,38,0.7450980392156863,0.7450980392156863,0.9019607843137255,13,2,4,0.7450980392156863
tabm_kzt_fullhistory,cadence90,2025,3,3,KZT,244,244,67,25,0.26229508196721313,0.373134328358209,1.4225746268656716,39.11601771313127,20.464626012380066,67.49273500481765,0.16451925584773514,0.16605940762017532,0.7423611111111111,0.5002583487922663,51,49,0.9607843137254902,0.9607843137254902,1.3137254901960784,2,2,1,0.9607843137254902
