date,corridor,session_ordinal,raw_probability,probability,candidate_signal,closing_probability,closing_annotation,primary_scenario,model_verdict,expires,authorized_contact
2026-04-16,KZT,4020,0.41772207617759705,0.3915432501942479,False,0.48679852389380934,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-17,KZT,4021,0.06772655248641968,0.10104208718780565,False,0.31555418494826715,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-18,KZT,4022,0.09079587459564209,0.12529082376627937,False,0.3948172417339507,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-21,KZT,4023,0.05671048164367676,0.08867594811410302,False,0.36986461300802015,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-22,KZT,4024,0.3487025797367096,0.3398894000314631,True,0.4759774332012542,False,NOW,Модельный сигнал: выгодно сейчас,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-23,KZT,4025,0.0962226390838623,0.1307366895211032,False,0.32625334232666403,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-24,KZT,4026,0.2528882622718811,0.26636293075948697,False,0.4629863193347101,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-25,KZT,4027,0.11265493184328079,0.14674680224725015,False,0.31612501504533613,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-28,KZT,4028,0.14863920211791992,0.17981536109086346,True,0.40769502583489176,False,NOW,Модельный сигнал: выгодно сейчас,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-29,KZT,4029,0.22282962501049042,0.24238896107255564,False,0.4740688388070493,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-04-30,KZT,4030,0.01205548644065857,0.028059162056856848,False,0.29119716437165766,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-01,KZT,4031,0.10028426349163055,0.13475821180465672,False,0.4393384360493628,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-05,KZT,4032,0.04051489755511284,0.06919538435279125,False,0.32486497652670404,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-06,KZT,4033,0.18697966635227203,0.21288224832261823,True,0.43070625643425353,False,NOW,Модельный сигнал: выгодно сейчас,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-07,KZT,4034,0.030769506469368935,0.056441090942217456,False,0.3136961830705681,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-08,KZT,4035,0.05399232357740402,0.08552613065828538,False,0.29829581347582673,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-09,KZT,4036,0.02860933728516102,0.053473109966982534,False,0.35064664689945885,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-13,KZT,4037,0.07301925122737885,0.10678321677121393,False,0.3577816382197925,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-14,KZT,4038,0.12815599143505096,0.1612860224570403,False,0.46413678604675773,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
2026-05-15,KZT,4039,0.02387610636651516,0.04674719637639305,False,0.3682700289818035,False,NONE,Нет сигнала,Recompute at next quote update; do not carry today’s signal to a later execution price.,False
