scenario,seed,year,policy,mix,exposure_weeks,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,relevance_rate,timing_bps_all_planned_volume,incremental_volume_rub
base,4101,2026,matched_calendar,active_bank_assumption,32.142857142857146,5.077500000000001,0.655,0.10499999999999998,8.61,8.61,377044.6271763677,377044.6271763677,-3.0156335594100936,-8.093133559410093,0.0,3300.876269087463,0.27749999999999997,0.057499999999999996,2.1224999999999996,275.12490540620627,0.12900049236829148,-0.07998081240392509,0.0
base,4101,2026,matched_random_market,active_bank_assumption,32.142857142857146,5.077500000000001,0.7649999999999999,0.28,8.61,8.61,377044.6271763677,377044.6271763677,278.92001521813665,273.8425152181366,0.0,21950.662752463504,0.8799999999999999,0.034999999999999996,2.61,366.74131289548876,0.1506646971935007,7.397533212631301,0.0
base,4101,2026,user_aware,active_bank_assumption,32.142857142857146,5.077500000000001,3.0524999999999998,0.97,8.61,8.61,377044.6271763677,377044.6271763677,419.0666944485673,413.9891944485674,0.0,53425.05722918044,3.1425,0.245,2.2225,293.55739180359393,0.6011816838995567,11.114511764479891,0.0
base,4101,2026,weekly_fixed,active_bank_assumption,32.142857142857146,33.0,4.09,1.0875,8.61,8.61,377044.6271763677,377044.6271763677,624.8746237233706,591.8746237233706,0.0,81098.16707266311,4.4174999999999995,0.345,10.0,872.3993211885314,0.12393939393939393,16.572961890558307,0.0
no_behavioral_response,4101,2023,frequency_gate,active_bank_assumption,49.71428571428571,9.317499999999999,1.8325,0.0,13.305,13.305,583561.7747962412,583561.7747962412,0.0,-9.317499999999999,0.0,0.0,0.0,0.0,5.0675,829.0762990864965,0.19667292728736252,0.0,0.0
no_behavioral_response,4101,2023,market_only,active_bank_assumption,49.71428571428571,42.6,5.074999999999999,0.0,13.305,13.305,583561.7747962412,583561.7747962412,0.0,-42.6,0.0,0.0,0.0,0.0,22.6,3437.365143812009,0.11913145539906102,0.0,0.0
no_behavioral_response,4101,2023,matched_calendar,active_bank_assumption,49.71428571428571,6.5175,0.9525,0.0,13.305,13.305,583561.7747962412,583561.7747962412,0.0,-6.5175,0.0,0.0,0.0,0.0,1.7025,-100.68587770273531,0.14614499424626007,0.0,0.0
no_behavioral_response,4101,2023,matched_random_market,active_bank_assumption,49.71428571428571,6.5175,0.69,0.0,13.305,13.305,583561.7747962412,583561.7747962412,0.0,-6.5175,0.0,0.0,0.0,0.0,3.5025,565.4739578665381,0.10586881472957421,0.0,0.0
no_behavioral_response,4101,2023,user_aware,active_bank_assumption,49.71428571428571,6.5175,3.7725,0.0,13.305,13.305,583561.7747962412,583561.7747962412,0.0,-6.5175,0.0,0.0,0.0,0.0,3.5575,575.7713501869994,0.5788262370540851,0.0,0.0
no_behavioral_response,4101,2023,weekly_fixed,active_bank_assumption,49.71428571428571,50.0,6.45,0.0,13.305,13.305,583561.7747962412,583561.7747962412,0.0,-50.0,0.0,0.0,0.0,0.0,17.0,840.4019984270908,0.129,0.0,0.0
no_behavioral_response,4101,2024,frequency_gate,active_bank_assumption,50.0,10.5125,1.9549999999999998,0.0,13.295,13.295,561972.871492102,561972.871492102,0.0,-10.5125,0.0,0.0,0.0,0.0,4.805,468.80197391700165,0.1859690844233056,0.0,0.0
no_behavioral_response,4101,2024,market_only,active_bank_assumption,50.0,49.599999999999994,5.945,0.0,13.295,13.295,561972.871492102,561972.871492102,0.0,-49.599999999999994,0.0,0.0,0.0,0.0,22.0,2123.8878836886806,0.11985887096774195,0.0,0.0
no_behavioral_response,4101,2024,matched_calendar,active_bank_assumption,50.0,7.165,0.8049999999999999,0.0,13.295,13.295,561972.871492102,561972.871492102,0.0,-7.165,0.0,0.0,0.0,0.0,1.9475,-248.93421178510388,0.1123517096999302,0.0,0.0
no_behavioral_response,4101,2024,matched_random_market,active_bank_assumption,50.0,7.165,1.0499999999999998,0.0,13.295,13.295,561972.871492102,561972.871492102,0.0,-7.165,0.0,0.0,0.0,0.0,2.9675,209.98628140755721,0.14654570830425678,0.0,0.0
no_behavioral_response,4101,2024,user_aware,active_bank_assumption,50.0,7.165,4.279999999999999,0.0,13.295,13.295,561972.871492102,561972.871492102,0.0,-7.165,0.0,0.0,0.0,0.0,3.4825,372.8327739570007,0.597348220516399,0.0,0.0
no_behavioral_response,4101,2024,weekly_fixed,active_bank_assumption,50.0,51.0,6.435,0.0,13.295,13.295,561972.871492102,561972.871492102,0.0,-51.0,0.0,0.0,0.0,0.0,14.4,264.48725235553195,0.12617647058823528,0.0,0.0
no_behavioral_response,4101,2025,frequency_gate,active_bank_assumption,49.857142857142854,8.9725,2.1625,0.0,13.254999999999999,13.254999999999999,579925.8238537032,579925.8238537032,0.0,-8.9725,0.0,0.0,0.0,0.0,2.99,268.86227450406386,0.24101421008637505,0.0,0.0
