scenario,year,segment,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2024,occasional,user_aware,119,68,27,88,88,8393449.316390585,8393449.316390585,-1614.995583337994,-1733.995583337994,0.0,2513583.0071182703,132,8,55.0,6073.998064595236,20,1000.0,5.95,0.119,0.5714285714285714,0.226890756302521,0.3068181818181818,-80.7497791668997,-86.6997791668997,-1.9241142973059457,-6.4250736051463315,0.46218487394957986,51.042000542817114,0.0
base,2024,occasional,weekly_fixed,1020,92,19,88,88,8393449.316390585,8393449.316390585,4959.900555311812,3939.9005553118122,0.0,1482090.4478244062,104,7,288.0,5289.745047110639,20,1000.0,51.0,1.02,0.09019607843137255,0.018627450980392157,0.2159090909090909,247.9950277655906,196.9950277655906,5.909251808581488,33.46557264836678,0.2823529411764706,5.186024555990822,0.0
base,2025,frequent,frequency_gate,296,57,17,794,794,16129914.394464852,16129914.394464852,1558.7192456667537,1262.7192456667537,0.0,362802.96109880187,25,3,110.0,12997.231663175166,20,997.1428571428571,14.8,0.2968481375358166,0.19256756756756757,0.057432432432432436,0.021410579345088162,77.93596228333769,63.13596228333769,0.9663530800892808,42.96324486839755,0.3716216216216216,43.90956642964583,0.0
base,2025,frequent,market_only,808,131,39,794,794,16129914.394464852,16129914.394464852,4107.539465842745,3299.5394658427444,0.0,835905.6489568645,58,9,308.0,33278.15053211056,20,997.1428571428571,40.4,0.8103151862464184,0.16212871287128713,0.04826732673267327,0.0491183879093199,205.37697329213725,164.97697329213722,2.54653519255644,49.13879300814137,0.3811881188118812,41.18582986647346,0.0
base,2025,frequent,matched_calendar,144,19,6,794,794,16129914.394464852,16129914.394464852,-60.145421653376275,-204.14542165337627,0.0,156051.65251138646,9,3,33.0,23.15762452472302,20,997.1428571428571,7.2,0.14441260744985673,0.13194444444444445,0.041666666666666664,0.007556675062972292,-3.007271082668814,-10.207271082668814,-0.037288122046088355,-3.854199599006983,0.22916666666666666,0.1608168369772432,0.0
base,2025,frequent,matched_random_market,144,18,6,794,794,16129914.394464852,16129914.394464852,138.22481292404882,-5.77518707595118,0.0,107221.66088900514,9,2,62.0,7020.943210357045,20,997.1428571428571,7.2,0.14441260744985673,0.125,0.041666666666666664,0.007556675062972292,6.911240646202441,-0.288759353797559,0.0856946971593861,12.891500819702639,0.4305555555555556,48.756550071923925,0.0
base,2025,frequent,user_aware,144,100,32,794,794,16129914.394464852,16129914.394464852,1946.2981509878205,1802.2981509878205,0.0,679504.7928358086,48,7,56.0,6614.492495739761,20,997.1428571428571,7.2,0.14441260744985673,0.6944444444444444,0.2222222222222222,0.04030226700251889,97.31490754939102,90.11490754939102,1.2066388595687232,28.642890697874915,0.3888888888888889,45.933975664859446,0.0
base,2025,frequent,weekly_fixed,1020,236,72,794,794,16129914.394464852,16129914.394464852,-7074.584226475656,-8094.584226475656,0.0,1494671.7966664417,114,47,200.0,-34322.847608965676,20,997.1428571428571,51.0,1.0229226361031518,0.23137254901960785,0.07058823529411765,0.0906801007556675,-353.7292113237828,-404.7292113237828,-4.386002339171355,-47.332024610714285,0.19607843137254902,-33.64985059702517,0.0
base,2025,monthly,frequency_gate,198,47,13,229,229,11884288.790610777,11884288.790610777,2477.1278134997897,2279.1278134997897,0.0,499767.76983785996,38,4,67.0,4860.084570201195,20,997.1428571428571,9.9,0.19856733524355302,0.23737373737373738,0.06565656565656566,0.056768558951965066,123.85639067498948,113.95639067498948,2.084371944459018,49.565577514201166,0.3383838383838384,24.545881667682803,0.0
base,2025,monthly,market_only,808,108,33,229,229,11884288.790610777,11884288.790610777,13488.895314575255,12680.895314575255,0.0,1648885.95457338,105,8,308.0,33278.15053211056,20,997.1428571428571,40.4,0.8103151862464184,0.13366336633663367,0.04084158415841584,0.14410480349344978,674.4447657287627,634.0447657287627,11.350191460537548,81.80611446875515,0.3811881188118812,41.18582986647346,0.0
