scenario,year,policy,contacts,relevant_contacts,shifted_transfers,planned_transfers,completed_transfers,organic_volume_rub,policy_volume_rub,gross_timing_value_rub,net_scenario_value_rub,execution_drag_rub,shifted_amount_rub,sum_advance_days,hurt_transfers,contact_target_sum,contact_forward_bps_sum,client_periods,exposure_weeks,contacts_per_client,contacts_per_client_week,relevance_rate,shift_rate_per_contact,shifted_fraction_of_transfers,gross_value_rub_per_client,net_scenario_value_rub_per_client,timing_bps_all_planned_volume,timing_bps_shifted_volume,conditional_contact_hit_rate,conditional_contact_forward_bps,incremental_volume_rub
base,2024,weekly_fixed,3060,432,112,1121,1121,36553491.66366736,36553491.66366736,13284.041112213934,10224.041112213934,0.0,4594278.820832637,312,53,864.0,15869.235141331914,60,3000.0,51.0,1.02,0.1411764705882353,0.036601307189542485,0.09991079393398751,221.40068520356556,170.40068520356556,3.634137399086751,28.914311974227154,0.2823529411764706,5.186024555990821,0.0
base,2025,frequency_gate,597,133,38,1113,1113,37262445.82107263,37262445.82107263,8951.214650131737,8354.214650131737,0.0,1636483.1269504623,116,11,205.0,20707.65467767466,60,2991.428571428571,9.95,0.19957020057306593,0.22278056951423786,0.06365159128978225,0.034141958670260555,149.18691083552895,139.23691083552893,2.4022080281884377,54.69787315688405,0.34338358458961477,34.68618873982356,0.0
base,2025,market_only,2424,326,96,1113,1113,37262445.82107263,37262445.82107263,42640.83721966003,40216.83721966003,0.0,4739561.482324661,328,23,924.0,99834.45159633168,60,2991.428571428571,40.4,0.8103151862464184,0.13448844884488448,0.039603960396039604,0.0862533692722372,710.6806203276672,670.2806203276672,11.443381205950205,89.96789550822653,0.3811881188118812,41.18582986647347,0.0
base,2025,matched_calendar,391,49,18,1113,1113,37262445.82107263,37262445.82107263,-3089.621313550091,-3480.621313550091,0.0,906347.1194283786,69,9,87.0,1031.8727357153375,60,2991.428571428571,6.516666666666667,0.1307067812798472,0.12531969309462915,0.04603580562659847,0.016172506738544475,-51.493688559168184,-58.01035522583485,-0.8291515077635754,-34.088719954212195,0.22250639386189258,2.639060705154316,0.0
base,2025,matched_random_market,391,41,14,1113,1113,37262445.82107263,37262445.82107263,1875.3419207972095,1484.3419207972095,0.0,526769.2765943836,38,5,162.0,18208.610484442073,60,2991.428571428571,6.516666666666667,0.1307067812798472,0.10485933503836317,0.03580562659846547,0.012578616352201259,31.25569867995349,24.739032013286824,0.5032793418344718,35.600821918117234,0.4143222506393862,46.56933627734546,0.0
base,2025,user_aware,391,243,78,1113,1113,37262445.82107263,37262445.82107263,32014.462740989584,31623.462740989584,0.0,3799989.011652224,256,20,145.0,17188.379545332005,60,2991.428571428571,6.516666666666667,0.1307067812798472,0.6214833759590793,0.19948849104859334,0.07008086253369272,533.574379016493,527.0577123498264,8.591616045472996,84.24882978035188,0.37084398976982097,43.96004998806139,0.0
base,2025,weekly_fixed,3060,457,141,1113,1113,37262445.82107263,37262445.82107263,-13545.713238446224,-16605.713238446224,0.0,6367920.386146707,439,86,600.0,-102968.54282689701,60,2991.428571428571,51.0,1.022922636103152,0.14934640522875817,0.04607843137254902,0.12668463611859837,-225.76188730743706,-276.76188730743706,-3.6352184994753785,-21.271800551895517,0.19607843137254902,-33.64985059702517,0.0
base,2026,frequency_gate,478,103,31,722,722,24239348.724218074,24239348.724218074,-1693.793342128658,-2171.793342128658,0.0,1476377.006405549,92,10,211.0,26849.366383641307,60,1928.5714285714287,7.966666666666667,0.24785185185185185,0.21548117154811716,0.06485355648535565,0.04293628808864266,-28.229889035477633,-36.1965557021443,-0.6987784042383742,-11.472634257915194,0.44142259414225943,56.170222559919054,0.0
base,2026,market_only,2016,251,67,722,722,24239348.724218074,24239348.724218074,9315.018194717597,7299.018194717596,0.0,3258724.1935307174,199,13,948.0,123117.9616003151,60,1928.5714285714287,33.6,1.0453333333333332,0.12450396825396826,0.033234126984126984,0.09279778393351801,155.25030324529328,121.65030324529327,3.8429325394418514,28.584862177688898,0.47023809523809523,61.07041746047376,0.0
base,2026,matched_calendar,308,47,9,722,722,24239348.724218074,24239348.724218074,3.706148736952912,-304.2938512630471,0.0,232367.76374873286,24,5,127.0,16342.203757458346,60,1928.5714285714287,5.133333333333334,0.1597037037037037,0.1525974025974026,0.02922077922077922,0.012465373961218837,0.061769145615881864,-5.071564187717452,0.001528980328275081,0.15949496079673495,0.41233766233766234,53.05910310863099,0.0
base,2026,matched_random_market,308,49,18,722,722,24239348.724218074,24239348.724218074,14495.077846914573,14187.077846914573,0.0,1222461.8597897803,51,2,160.0,21531.26650277922,60,1928.5714285714287,5.133333333333334,0.1597037037037037,0.1590909090909091,0.05844155844155844,0.024930747922437674,241.58463078190957,236.4512974485762,5.979978262548044,118.57284324115608,0.5194805194805194,69.90670942460785,0.0
base,2026,user_aware,308,186,56,722,722,24239348.724218074,24239348.724218074,22087.047151815543,21779.047151815543,0.0,2834899.743251651,171,13,135.0,19126.035024265275,60,1928.5714285714287,5.133333333333334,0.1597037037037037,0.6038961038961039,0.18181818181818182,0.07756232686980609,368.1174525302591,362.9841191969257,9.112062953138622,77.91121080875169,0.4383116883116883,62.097516312549594,0.0
base,2026,weekly_fixed,1980,249,66,722,722,24239348.724218074,24239348.724218074,26523.344359007184,24543.344359007184,0.0,4204423.996690206,240,25,600.0,52343.95927131189,60,1928.5714285714287,33.0,1.0266666666666666,0.12575757575757576,0.03333333333333333,0.09141274238227147,442.0557393167864,409.0557393167864,10.942267740266105,63.08437108123921,0.30303030303030304,26.436343066319136,0.0
no_behavioral_response,2023,frequency_gate,595,108,0,1115,1115,37163560.71933364,37163560.71933364,0.0,-595.0,0.0,0.0,0,0,324.0,52103.22492914215,60,2982.857142857143,9.916666666666666,0.19947318007662834,0.1815126050420168,0.0,0.0,0.0,-9.916666666666666,0.0,,0.5445378151260504,87.56844525906243,0.0
no_behavioral_response,2023,market_only,2556,322,0,1115,1115,37163560.71933364,37163560.71933364,0.0,-2556.0,0.0,0.0,0,0,1356.0,206241.90862872053,60,2982.857142857143,42.6,0.8568965517241378,0.12597809076682315,0.0,0.0,0.0,-42.6,0.0,,0.5305164319248826,80.68932262469504,0.0
no_behavioral_response,2023,matched_calendar,383,57,0,1115,1115,37163560.71933364,37163560.71933364,0.0,-383.0,0.0,0.0,0,0,95.0,-6334.89239560018,60,2982.857142857143,6.383333333333334,0.12840038314176244,0.14882506527415143,0.0,0.0,0.0,-6.383333333333334,0.0,,0.24804177545691905,-16.54018902245478,0.0
