checkpoint,stage,rows,input_changed_rows,bin_changed_rows,probability_changed_rows,maximum_probability_difference
oxr_basis_2018_120m_2025-01-01.pkl,test,1210,1207,0,0,0.0
oxr_basis_2018_120m_2026-01-01.pkl,train,7370,7265,63,2,0.008264782333866683
oxr_basis_2018_120m_2026-01-01.pkl,calibration,1210,1207,0,0,0.0
oxr_basis_2018_120m_2026-01-01.pkl,test,780,776,0,0,0.0
oxr_basis_2018_120m_2026-03-01.pkl,train,7550,7443,75,1,0.014537703674075031
oxr_basis_2018_120m_2026-03-01.pkl,calibration,1200,1199,0,0,0.0
oxr_basis_2018_120m_2026-03-01.pkl,test,610,606,0,0,0.0
oxr_basis_2018_180m_2023-01-01.pkl,train,3660,3658,32,0,0.0
oxr_basis_2018_180m_2023-01-01.pkl,calibration,1210,1107,0,0,0.0
oxr_basis_2018_180m_2023-01-01.pkl,test,1210,1210,0,0,0.0
oxr_basis_2018_180m_2024-01-01.pkl,train,4895,4790,38,0,0.0
oxr_basis_2018_180m_2024-01-01.pkl,calibration,1210,1210,0,0,0.0
oxr_basis_2018_180m_2024-01-01.pkl,test,1215,1215,0,0,0.0
oxr_basis_2018_180m_2025-01-01.pkl,train,6130,6025,41,0,0.0
oxr_basis_2018_180m_2025-01-01.pkl,calibration,1215,1215,0,0,0.0
oxr_basis_2018_180m_2025-01-01.pkl,test,1210,1207,0,0,0.0
oxr_basis_2018_180m_2026-01-01.pkl,train,7370,7265,46,0,0.0
oxr_basis_2018_180m_2026-01-01.pkl,calibration,1210,1207,0,0,0.0
oxr_basis_2018_180m_2026-01-01.pkl,test,780,776,0,0,0.0
oxr_basis_2018_180m_2026-03-01.pkl,train,7550,7443,49,2,0.00834097997227412
oxr_basis_2018_180m_2026-03-01.pkl,calibration,1200,1199,0,0,0.0
oxr_basis_2018_180m_2026-03-01.pkl,test,610,606,0,0,0.0
oxr_full_2010_120m_2023-01-01.pkl,train,3660,3660,82,0,0.0
oxr_full_2010_120m_2023-01-01.pkl,calibration,1210,1194,0,0,0.0
oxr_full_2010_120m_2023-01-01.pkl,test,1210,1210,0,0,0.0
oxr_full_2010_120m_2024-01-01.pkl,train,4895,4879,108,1,0.003925877676255393
oxr_full_2010_120m_2024-01-01.pkl,calibration,1210,1210,0,0,0.0
oxr_full_2010_120m_2024-01-01.pkl,test,1215,1215,0,0,0.0
oxr_full_2010_120m_2025-01-01.pkl,train,6130,6114,126,3,0.014971226550166417
oxr_full_2010_120m_2025-01-01.pkl,calibration,1215,1215,0,0,0.0
oxr_full_2010_120m_2025-01-01.pkl,test,1210,1210,0,0,0.0
oxr_full_2010_120m_2026-01-01.pkl,train,7370,7354,153,2,0.07820225088756444
oxr_full_2010_120m_2026-01-01.pkl,calibration,1210,1210,0,0,0.0
oxr_full_2010_120m_2026-01-01.pkl,test,780,780,0,0,0.0
oxr_full_2010_120m_2026-03-01.pkl,train,7550,7534,159,4,0.09081392795738452
oxr_full_2010_120m_2026-03-01.pkl,calibration,1200,1200,0,0,0.0
oxr_full_2010_120m_2026-03-01.pkl,test,610,610,0,0,0.0
