date,inflationTarget,annualInflation,baseRate,tonia
2026-04-16,5.0,11.0,18.0,18.56
2026-04-17,5.0,11.0,18.0,18.57
2026-04-18,5.0,11.0,18.0,18.06
2026-04-19,5.0,11.0,18.0,18.06
2026-04-20,5.0,11.0,18.0,18.06
2026-04-21,5.0,11.0,18.0,17.97
2026-04-22,5.0,11.0,18.0,17.81
2026-04-23,5.0,11.0,18.0,17.67
2026-04-24,5.0,11.0,18.0,17.67
2026-04-25,5.0,11.0,18.0,17.71
2026-04-26,5.0,11.0,18.0,17.71
2026-04-27,5.0,11.0,18.0,17.71
2026-04-28,5.0,11.0,18.0,17.87
2026-04-29,5.0,11.0,18.0,18.0
2026-04-30,5.0,11.0,18.0,18.41
2026-05-01,5.0,11.0,18.0,18.19
2026-05-02,5.0,11.0,18.0,18.19
2026-05-03,5.0,11.0,18.0,18.19
2026-05-04,5.0,11.0,18.0,18.19
2026-05-05,5.0,10.6,18.0,17.83
2026-05-06,5.0,10.6,18.0,17.64
2026-05-07,5.0,10.6,18.0,17.48
2026-05-08,5.0,10.6,18.0,17.48
2026-05-12,5.0,10.6,18.0,17.56
2026-05-13,5.0,10.6,18.0,17.56
2026-05-14,5.0,10.6,18.0,17.64
2026-05-15,5.0,10.6,18.0,17.63
2026-05-16,5.0,10.6,18.0,17.52
2026-05-17,5.0,10.6,18.0,17.52
2026-05-18,5.0,10.6,18.0,17.52
2026-05-19,5.0,10.6,18.0,17.61
2026-05-20,5.0,10.6,18.0,17.62
2026-05-21,5.0,10.6,18.0,17.48
2026-05-22,5.0,10.6,18.0,17.45
2026-05-23,5.0,10.6,18.0,17.58
2026-05-24,5.0,10.6,18.0,17.58
2026-05-25,5.0,10.6,18.0,17.58
2026-05-26,5.0,10.6,18.0,17.72
2026-05-27,5.0,10.6,18.0,18.12
2026-05-28,5.0,10.6,18.0,18.12
2026-05-29,5.0,10.6,18.0,18.42
2026-05-30,5.0,10.6,18.0,18.71
2026-05-31,5.0,10.6,18.0,18.71
2026-06-01,5.0,10.6,18.0,18.71
2026-06-02,5.0,10.4,18.0,18.47
2026-06-03,5.0,10.4,18.0,18.21
2026-06-04,5.0,10.4,18.0,18.18
2026-06-05,5.0,10.4,18.0,18.03
2026-06-06,5.0,10.4,17.0,17.79
2026-06-07,5.0,10.4,17.0,17.79
2026-06-08,5.0,10.4,17.0,17.79
2026-06-09,5.0,10.4,17.0,16.56
2026-06-10,5.0,10.4,17.0,16.53
2026-06-11,5.0,10.4,17.0,16.84
2026-06-12,5.0,10.4,17.0,17.11
2026-06-13,5.0,10.4,17.0,17.11
2026-06-14,5.0,10.4,17.0,17.18
2026-06-15,5.0,10.4,17.0,17.18
2026-06-16,5.0,10.4,17.0,16.88
2026-06-17,5.0,10.4,17.0,16.9
