effective_date,available_at,symbol,normalized_value,normalized_unit
2020-10-21,2020-10-21 00:00:00+00:00,KZT,0.1813469999999999,RUB_per_KZT
2020-10-21,2020-10-21 00:00:00+00:00,USD,77.778,RUB_per_USD
2020-10-22,2020-10-22 00:00:00+00:00,CNY,11.57,RUB_per_CNY
2020-10-22,2020-10-22 00:00:00+00:00,KZT,0.1800069999999999,RUB_per_KZT
2020-10-22,2020-10-22 00:00:00+00:00,USD,77.0322,RUB_per_USD
2020-10-23,2020-10-23 00:00:00+00:00,CNY,11.5577,RUB_per_CNY
2020-10-23,2020-10-23 00:00:00+00:00,KZT,0.1798689999999999,RUB_per_KZT
2020-10-23,2020-10-23 00:00:00+00:00,USD,77.0809,RUB_per_USD
2020-10-24,2020-10-24 00:00:00+00:00,CNY,11.4662,RUB_per_CNY
2020-10-24,2020-10-24 00:00:00+00:00,KZT,0.178832,RUB_per_KZT
2020-10-24,2020-10-24 00:00:00+00:00,USD,76.4667,RUB_per_USD
2020-10-27,2020-10-27 00:00:00+00:00,CNY,11.411,RUB_per_CNY
2020-10-27,2020-10-27 00:00:00+00:00,KZT,0.177844,RUB_per_KZT
2020-10-27,2020-10-27 00:00:00+00:00,USD,76.4443,RUB_per_USD
2020-10-28,2020-10-28 00:00:00+00:00,CNY,11.3841,RUB_per_CNY
2020-10-28,2020-10-28 00:00:00+00:00,KZT,0.17787,RUB_per_KZT
2020-10-28,2020-10-28 00:00:00+00:00,USD,76.4556,RUB_per_USD
2020-10-29,2020-10-29 00:00:00+00:00,CNY,11.5515,RUB_per_CNY
2020-10-29,2020-10-29 00:00:00+00:00,KZT,0.1799599999999999,RUB_per_KZT
2020-10-29,2020-10-29 00:00:00+00:00,USD,77.552,RUB_per_USD
2020-10-30,2020-10-30 00:00:00+00:00,CNY,11.7523,RUB_per_CNY
2020-10-30,2020-10-30 00:00:00+00:00,KZT,0.182276,RUB_per_KZT
2020-10-30,2020-10-30 00:00:00+00:00,USD,78.8699,RUB_per_USD
2020-10-31,2020-10-31 00:00:00+00:00,CNY,11.8403,RUB_per_CNY
2020-10-31,2020-10-31 00:00:00+00:00,KZT,0.183154,RUB_per_KZT
2020-10-31,2020-10-31 00:00:00+00:00,USD,79.3323,RUB_per_USD
2020-11-03,2020-11-03 00:00:00+00:00,CNY,12.0259,RUB_per_CNY
2020-11-03,2020-11-03 00:00:00+00:00,KZT,0.184892,RUB_per_KZT
2020-11-03,2020-11-03 00:00:00+00:00,USD,80.5749,RUB_per_USD
2020-11-04,2020-11-04 00:00:00+00:00,CNY,11.9623,RUB_per_CNY
2020-11-04,2020-11-04 00:00:00+00:00,KZT,0.184591,RUB_per_KZT
2020-11-04,2020-11-04 00:00:00+00:00,USD,80.0006,RUB_per_USD
2020-11-06,2020-11-06 00:00:00+00:00,CNY,11.8146,RUB_per_CNY
2020-11-06,2020-11-06 00:00:00+00:00,KZT,0.18134,RUB_per_KZT
2020-11-06,2020-11-06 00:00:00+00:00,USD,78.4559,RUB_per_USD
2020-11-07,2020-11-07 00:00:00+00:00,CNY,11.6589,RUB_per_CNY
2020-11-07,2020-11-07 00:00:00+00:00,KZT,0.178491,RUB_per_KZT
2020-11-07,2020-11-07 00:00:00+00:00,USD,77.1875,RUB_per_USD
2020-11-10,2020-11-10 00:00:00+00:00,CNY,11.711,RUB_per_CNY
2020-11-10,2020-11-10 00:00:00+00:00,KZT,0.178587,RUB_per_KZT
2020-11-10,2020-11-10 00:00:00+00:00,USD,76.9515,RUB_per_USD
2020-11-11,2020-11-11 00:00:00+00:00,CNY,11.5689,RUB_per_CNY
2020-11-11,2020-11-11 00:00:00+00:00,KZT,0.178067,RUB_per_KZT
2020-11-11,2020-11-11 00:00:00+00:00,USD,76.3978,RUB_per_USD
2020-11-12,2020-11-12 00:00:00+00:00,CNY,11.5124,RUB_per_CNY
2020-11-12,2020-11-12 00:00:00+00:00,KZT,0.178351,RUB_per_KZT
2020-11-12,2020-11-12 00:00:00+00:00,USD,76.2075,RUB_per_USD
2020-11-13,2020-11-13 00:00:00+00:00,CNY,11.6307,RUB_per_CNY
2020-11-13,2020-11-13 00:00:00+00:00,KZT,0.179612,RUB_per_KZT
2020-11-13,2020-11-13 00:00:00+00:00,USD,77.1148,RUB_per_USD
2020-11-14,2020-11-14 00:00:00+00:00,CNY,11.6893,RUB_per_CNY
2020-11-14,2020-11-14 00:00:00+00:00,KZT,0.179749,RUB_per_KZT
2020-11-14,2020-11-14 00:00:00+00:00,USD,77.3262,RUB_per_USD
2020-11-17,2020-11-17 00:00:00+00:00,CNY,11.6937,RUB_per_CNY
2020-11-17,2020-11-17 00:00:00+00:00,KZT,0.179116,RUB_per_KZT
2020-11-17,2020-11-17 00:00:00+00:00,USD,76.9197,RUB_per_USD
2020-11-18,2020-11-18 00:00:00+00:00,CNY,11.6269,RUB_per_CNY
2020-11-18,2020-11-18 00:00:00+00:00,KZT,0.177874,RUB_per_KZT
2020-11-18,2020-11-18 00:00:00+00:00,USD,76.253,RUB_per_USD
2020-11-19,2020-11-19 00:00:00+00:00,CNY,11.6037,RUB_per_CNY
2020-11-19,2020-11-19 00:00:00+00:00,KZT,0.1775069999999999,RUB_per_KZT
2020-11-19,2020-11-19 00:00:00+00:00,USD,75.9268,RUB_per_USD
2020-11-20,2020-11-20 00:00:00+00:00,CNY,11.5807,RUB_per_CNY
2020-11-20,2020-11-20 00:00:00+00:00,KZT,0.1780219999999999,RUB_per_KZT
2020-11-20,2020-11-20 00:00:00+00:00,USD,76.2627,RUB_per_USD
2020-11-21,2020-11-21 00:00:00+00:00,CNY,11.566,RUB_per_CNY
2020-11-21,2020-11-21 00:00:00+00:00,KZT,0.177499,RUB_per_KZT
2020-11-21,2020-11-21 00:00:00+00:00,USD,76.012,RUB_per_USD
