config_id,cutoff,scope,rows,dates,brier,signals,hit_rate,lift,forward_delta_bps
oxr_coverage_120m,2025-01-01,KZT,242,242,0.15669999258410225,44,0.4090909090909091,2.0625000000000004,55.247270939345064
oxr_full_120m_delay24h,2023-01-01,all,1210,242,0.20320152875206662,283,0.4734982332155477,1.2271712393566696,33.14107601049728
oxr_full_120m_delay24h,2023-01-01,KZT,242,242,0.1979098807703823,58,0.5344827586206896,1.4533126695079426,31.96166735158353
oxr_full_120m_delay24h,2024-01-01,all,1215,243,0.19127128078872752,243,0.43621399176954734,1.3042025316455699,27.722003045724062
oxr_full_120m_delay24h,2024-01-01,KZT,243,243,0.1890118007074937,46,0.34782608695652173,1.3003344481605346,16.19374475607041
oxr_full_120m_delay24h,2025-01-01,all,1210,242,0.16266114248408567,229,0.3624454148471616,1.6462585034013602,55.41320964564483
oxr_full_120m_delay24h,2025-01-01,KZT,242,242,0.15850440599407092,44,0.3181818181818182,1.604166666666667,44.96700969888516
oxr_full_120m_delay48h,2023-01-01,all,1210,242,0.20306474712437558,281,0.43416370106761565,1.1247666577774391,23.194434437514733
oxr_full_120m_delay48h,2023-01-01,KZT,242,242,0.19665131698990804,56,0.4642857142857143,1.2624398073836276,31.756834833816036
oxr_full_120m_delay48h,2024-01-01,all,1215,243,0.1908053183467709,235,0.451063829787234,1.3521259842519684,34.346436529953316
oxr_full_120m_delay48h,2024-01-01,KZT,243,243,0.1890249150305063,45,0.3333333333333333,1.2461538461538455,20.97057416433867
oxr_full_120m_delay48h,2025-01-01,all,1210,242,0.16178511784969915,200,0.385,1.7397068434319856,78.2842340968769
oxr_full_120m_delay48h,2025-01-01,KZT,242,242,0.15549501661266157,43,0.3953488372093023,1.9932170542635663,56.53772573325728
oxr_full_120m_since2020,2023-01-01,all,1210,242,0.20358349628054614,279,0.48028673835125446,1.2446935093847156,33.362987800049034
oxr_full_120m_since2020,2023-01-01,KZT,242,242,0.1997450046840952,57,0.45614035087719296,1.2402917405874236,19.024657493792205
oxr_full_120m_since2020,2024-01-01,all,1215,243,0.19185647010640433,239,0.4309623430962343,1.285516178736518,28.91558736163708
oxr_full_120m_since2020,2024-01-01,KZT,243,243,0.18858102872803492,43,0.37209302325581395,1.391055456171735,33.62846313460827
oxr_full_120m_since2020,2025-01-01,all,1210,242,0.16327019617290206,217,0.4009216589861751,1.814843547970002,65.96856994501509
oxr_full_120m_since2020,2025-01-01,KZT,242,242,0.15649243814396582,46,0.41304347826086957,2.0824275362318847,52.73512259680674
oxr_full_120m_since2022,2023-01-01,all,1210,242,0.2001964982274563,282,0.4716312056737589,1.2224078997341437,29.922888862399454
oxr_full_120m_since2022,2023-01-01,KZT,242,242,0.19904166666732276,58,0.46551724137931033,1.265788454087563,17.36652998462376
oxr_full_120m_since2022,2024-01-01,all,1215,243,0.19471982026587348,266,0.42857142857142855,1.2947885019864454,22.040151243462116
oxr_full_120m_since2022,2024-01-01,KZT,243,243,0.19827477269053598,60,0.31666666666666665,1.1838461538461535,-0.20982679125360662
oxr_full_120m_since2022,2025-01-01,all,1210,242,0.16344130955378508,232,0.3448275862068966,1.561920129084308,52.64484533893588
oxr_full_120m_since2022,2025-01-01,KZT,242,242,0.15646018770381973,51,0.3137254901960784,1.581699346405229,37.26425040389734
oxr_full_24m_delay24h,2023-01-01,all,1210,242,0.21815626700231458,230,0.48695652173913045,1.258310120705664,35.097235667043606
oxr_full_24m_delay24h,2023-01-01,KZT,242,242,0.21267138356293203,36,0.5555555555555556,1.5106117353308364,70.15320193410274
oxr_full_24m_delay24h,2024-01-01,all,1215,243,0.19935226747867818,272,0.375,1.131780821917808,16.043686798032887
oxr_full_24m_delay24h,2024-01-01,KZT,243,243,0.1995158700716471,58,0.3275862068965517,1.2246684350132624,10.980268699843958
oxr_full_24m_delay24h,2025-01-01,all,1210,242,0.16124018765593026,210,0.38571428571428573,1.7434848350084495,65.83851049228373
oxr_full_24m_delay24h,2025-01-01,KZT,242,242,0.15558171199380255,42,0.40476190476190477,2.0406746031746033,66.81538926908827
oxr_full_24m_delay48h,2023-01-01,all,1210,242,0.20964910597439934,258,0.49224806201550386,1.2740538075695393,28.72424896640556
oxr_full_24m_delay48h,2023-01-01,KZT,242,242,0.2011244019506805,47,0.5319148936170213,1.4463303848912261,38.901704032205274
oxr_full_24m_delay48h,2024-01-01,all,1215,243,0.19569847106257304,260,0.4115384615384615,1.2316911416390335,25.955609710593283
oxr_full_24m_delay48h,2024-01-01,KZT,243,243,0.19882120719616528,52,0.3269230769230769,1.2221893491124258,7.880926330348958
oxr_full_24m_delay48h,2025-01-01,all,1210,242,0.15983479832057004,206,0.3883495145631068,1.7664233576642332,68.39771839381719
oxr_full_24m_delay48h,2025-01-01,KZT,242,242,0.1532311081815526,42,0.40476190476190477,2.0406746031746033,62.93339694882849
oxr_returns_120m_delay24h,2023-01-01,all,1210,242,0.20452735390680352,284,0.4647887323943662,1.2044794690999585,26.898381562408193
oxr_returns_120m_delay24h,2023-01-01,KZT,242,242,0.19925702148073487,58,0.46551724137931033,1.265788454087563,17.36652998462376
oxr_returns_120m_delay24h,2024-01-01,all,1215,243,0.19190033435381107,229,0.45414847161572053,1.3642105263157895,31.77368316528206
oxr_returns_120m_delay24h,2024-01-01,KZT,243,243,0.19000595311873125,47,0.3617021276595745,1.352209492635024,15.016780659611722
oxr_returns_120m_delay24h,2025-01-01,all,1210,242,0.16297348802434142,213,0.38497652582159625,1.7465234993839112,66.1596054320412
oxr_returns_120m_delay24h,2025-01-01,KZT,242,242,0.15735566875678259,45,0.4,2.0166666666666675,50.86074600722297
oxr_returns_120m_delay48h,2023-01-01,all,1210,242,0.20461976215093164,280,0.42857142857142855,1.1101341794411101,21.95376357732347
oxr_returns_120m_delay48h,2023-01-01,KZT,242,242,0.19804707027534044,55,0.45454545454545453,1.235955056179775,23.55651765966676
oxr_returns_120m_delay48h,2024-01-01,all,1215,243,0.19009330976189226,255,0.4392156862745098,1.3289062499999997,28.86791717133117
oxr_returns_120m_delay48h,2024-01-01,KZT,243,243,0.18896069404153215,59,0.3220338983050847,1.2039113428943933,11.210416604022814
oxr_returns_120m_delay48h,2025-01-01,all,1210,242,0.16173319120714086,214,0.37850467289719625,1.7188705717292174,73.58463180174503
oxr_returns_120m_delay48h,2025-01-01,KZT,242,242,0.15548844380375512,51,0.35294117647058826,1.7794117647058827,44.871343866198956
oxr_returns_24m_delay24h,2023-01-01,all,1210,242,0.21788655435070106,222,0.509009009009009,1.3152806502813719,42.603111713924214
oxr_returns_24m_delay24h,2023-01-01,KZT,242,242,0.21194838421449005,35,0.5714285714285714,1.553772070626003,71.73273830674297
oxr_returns_24m_delay24h,2024-01-01,all,1215,243,0.20105475234822476,263,0.39923954372623577,1.1990131578947367,20.06671313104848
oxr_returns_24m_delay24h,2024-01-01,KZT,243,243,0.20411648742436506,53,0.32075471698113206,1.1991291727140778,15.258860825937887
oxr_returns_24m_delay24h,2025-01-01,all,1210,242,0.16150934281204632,205,0.3902439024390244,1.77110968804318,69.92729455363332
oxr_returns_24m_delay24h,2025-01-01,KZT,242,242,0.15473712107774817,41,0.4146341463414634,2.090447154471545,69.89403665270335
oxr_returns_24m_delay48h,2023-01-01,all,1210,242,0.20819945783716837,272,0.4742647058823529,1.227460386112531,21.98042195301633
oxr_returns_24m_delay48h,2023-01-01,KZT,242,242,0.1992758094846664,50,0.54,1.468314606741573,39.94936657623172
oxr_returns_24m_delay48h,2024-01-01,all,1215,243,0.1956977653744092,270,0.3925925925925926,1.1767016902695295,22.565466978042327
oxr_returns_24m_delay48h,2024-01-01,KZT,243,243,0.19839420019692963,52,0.3269230769230769,1.2221893491124258,19.489939352028237
oxr_returns_24m_delay48h,2025-01-01,all,1210,242,0.15999556118832015,197,0.38578680203045684,1.760168437171021,73.60128253760168
oxr_returns_24m_delay48h,2025-01-01,KZT,242,242,0.15294233285385675,41,0.3902439024390244,1.9674796747967482,62.19108745786021
v3_120m,2023-01-01,all,1210,242,0.2001964982274563,282,0.4716312056737589,1.2224078997341437,29.922888862399454
v3_120m,2023-01-01,KZT,242,242,0.19904166666732276,58,0.46551724137931033,1.265788454087563,17.36652998462376
v3_120m,2024-01-01,all,1215,243,0.191653236953845,237,0.4430379746835443,1.3295987493486192,24.49444811333371
v3_120m,2024-01-01,KZT,243,243,0.1925626805159965,47,0.3617021276595745,1.352209492635024,20.72603674913774
v3_120m,2025-01-01,all,1210,242,0.16267335692220672,204,0.39705882352941174,1.8036437246963561,72.22182708137318
v3_120m,2025-01-01,KZT,242,242,0.15646926295095248,44,0.4318181818181818,2.177083333333334,56.462709323278204
v3_24m,2023-01-01,all,1210,242,0.21467285161412514,213,0.5305164319248826,1.3716206049054522,50.02936332210901
v3_24m,2023-01-01,KZT,242,242,0.2110677978238446,35,0.6571428571428571,1.7868378812199035,79.44698669953192
v3_24m,2024-01-01,all,1215,243,0.19607091554107628,248,0.4435483870967742,1.335164835164835,30.736378848236903
v3_24m,2024-01-01,KZT,243,243,0.20091823161860897,52,0.34615384615384615,1.2940828402366862,13.512383825601603
v3_24m,2025-01-01,all,1210,242,0.16108344361679008,202,0.3811881188118812,1.739706843431986,66.02330181231912
v3_24m,2025-01-01,KZT,242,242,0.15581220930445144,46,0.34782608695652173,1.7536231884057978,45.818758949890665
