track,scope,config_id,year,corridor,rows,dates,brier,signals,lift,forward_delta_bps
development_2023_2025,all,oxr_basis_120m_delay48h,2025,KZT,242,242,0.1555950006615224,52,1.4543269230769234,36.146256817234196
development_2023_2025,all,oxr_basis_120m_delay48h,2025,TJS,242,242,0.1926536232949673,39,1.7728937728937728,88.63873879369217
development_2023_2025,all,oxr_basis_120m_delay48h,2025,UZS,242,242,0.14826720487057735,40,1.890625,91.67842635089708
development_2023_2025,all,oxr_basis_120m_since2020,2023,AMD,242,242,0.2053925589664201,56,1.1372180451127818,33.081601382825646
development_2023_2025,all,oxr_basis_120m_since2020,2023,KGS,242,242,0.19674792766678867,56,1.1493161094224926,25.216033720287346
development_2023_2025,all,oxr_basis_120m_since2020,2023,KZT,242,242,0.19953717774726262,57,1.2402917405874236,19.024657493792205
development_2023_2025,all,oxr_basis_120m_since2020,2023,TJS,242,242,0.20021789278870789,55,1.3106382978723403,26.147424788909657
development_2023_2025,all,oxr_basis_120m_since2020,2023,UZS,242,242,0.20670274051072687,56,1.2736842105263155,30.221549872723056
development_2023_2025,all,oxr_basis_120m_since2020,2024,AMD,243,243,0.19620217206777432,45,1.3976470588235292,34.66812868842339
development_2023_2025,all,oxr_basis_120m_since2020,2024,KGS,243,243,0.20056537704916746,51,1.323529411764706,32.85066469611587
development_2023_2025,all,oxr_basis_120m_since2020,2024,KZT,243,243,0.1890465183532322,45,1.3292307692307688,24.478611792991792
development_2023_2025,all,oxr_basis_120m_since2020,2024,TJS,243,243,0.19472877120924983,51,1.0650519031141867,28.214707048533995
development_2023_2025,all,oxr_basis_120m_since2020,2024,UZS,243,243,0.17596451118522663,53,1.3181603773584905,24.07586754423812
development_2023_2025,all,oxr_basis_120m_since2020,2025,AMD,242,242,0.15972146572794868,36,1.6488469601677154,79.85951944093647
development_2023_2025,all,oxr_basis_120m_since2020,2025,KGS,242,242,0.1532140675013582,51,1.8399359743897556,50.81580383896535
development_2023_2025,all,oxr_basis_120m_since2020,2025,KZT,242,242,0.1569654444789534,44,2.0625000000000004,56.728182204175646
development_2023_2025,all,oxr_basis_120m_since2020,2025,TJS,242,242,0.19166484083928104,41,1.8550522648083625,84.93137761339133
development_2023_2025,all,oxr_basis_120m_since2020,2025,UZS,242,242,0.14802778538069808,53,1.5220125786163528,45.762331113150566
development_2023_2025,all,oxr_basis_120m_since2022,2023,AMD,242,242,0.2052611987579275,56,1.182706766917293,41.38421974752573
development_2023_2025,all,oxr_basis_120m_since2022,2023,KGS,242,242,0.1941542992375005,56,1.1493161094224926,25.216033720287346
development_2023_2025,all,oxr_basis_120m_since2022,2023,KZT,242,242,0.19904166666732276,58,1.265788454087563,17.36652998462376
development_2023_2025,all,oxr_basis_120m_since2022,2023,TJS,242,242,0.19825950671729448,56,1.2412613981762919,26.13267332202538
development_2023_2025,all,oxr_basis_120m_since2022,2023,UZS,242,242,0.20426581975723623,56,1.2736842105263155,39.96342892602703
development_2023_2025,all,oxr_basis_120m_since2022,2024,AMD,243,243,0.19390287997403985,48,1.4294117647058824,28.726304737015457
development_2023_2025,all,oxr_basis_120m_since2022,2024,KGS,243,243,0.1993710004648412,53,1.1716981132075475,24.20157916367852
development_2023_2025,all,oxr_basis_120m_since2022,2024,KZT,243,243,0.18981779787071723,53,1.5518142235123362,34.24028789822809
development_2023_2025,all,oxr_basis_120m_since2022,2024,TJS,243,243,0.19340042221491174,49,1.1668667466986795,28.60471081151428
development_2023_2025,all,oxr_basis_120m_since2022,2024,UZS,243,243,0.1754580011659044,49,1.3637755102040816,30.68789051708573
development_2023_2025,all,oxr_basis_120m_since2022,2025,AMD,242,242,0.159891757753395,35,1.4350404312668466,66.92526287435318
development_2023_2025,all,oxr_basis_120m_since2022,2025,KGS,242,242,0.1546753370345432,51,1.8399359743897556,50.81580383896535
development_2023_2025,all,oxr_basis_120m_since2022,2025,KZT,242,242,0.1589160213099713,51,1.7794117647058827,43.4988256580443
development_2023_2025,all,oxr_basis_120m_since2022,2025,TJS,242,242,0.19085334345510746,44,1.7285714285714286,64.00714133297672
development_2023_2025,all,oxr_basis_120m_since2022,2025,UZS,242,242,0.14954231969719667,51,1.5816993464052291,53.41221638967882
development_2023_2025,all,oxr_basis_24m_delay24h,2023,AMD,242,242,0.2219675418830287,54,1.1793372319688102,21.777398774346867
development_2023_2025,all,oxr_basis_24m_delay24h,2023,KGS,242,242,0.20845380700848748,46,1.343200740055504,35.81462685099513
development_2023_2025,all,oxr_basis_24m_delay24h,2023,KZT,242,242,0.20976782357606616,52,1.3595505617977528,23.62676145747677
development_2023_2025,all,oxr_basis_24m_delay24h,2023,TJS,242,242,0.21120081622262246,45,1.2586288416075648,37.668339710705695
development_2023_2025,all,oxr_basis_24m_delay24h,2023,UZS,242,242,0.21601700468305812,49,1.247690655209452,34.61186485775524
development_2023_2025,all,oxr_basis_24m_delay24h,2024,AMD,243,243,0.19636709114935372,56,1.3273109243697478,31.4985104580472
development_2023_2025,all,oxr_basis_24m_delay24h,2024,KGS,243,243,0.1989510223873471,56,1.1571428571428573,28.80326265775914
development_2023_2025,all,oxr_basis_24m_delay24h,2024,KZT,243,243,0.19712347735907712,49,1.449607535321821,30.551771795542102
development_2023_2025,all,oxr_basis_24m_delay24h,2024,TJS,243,243,0.1964198406213959,50,1.2578823529411765,25.804681364534893
development_2023_2025,all,oxr_basis_24m_delay24h,2024,UZS,243,243,0.18622074203581995,47,1.4218085106382976,39.19545501409428
development_2023_2025,all,oxr_basis_24m_delay24h,2025,AMD,242,242,0.1580234703308251,39,1.7561683599419455,64.26294479121013
development_2023_2025,all,oxr_basis_24m_delay24h,2025,KGS,242,242,0.15287519210742506,40,1.6051020408163263,70.65612948863594
development_2023_2025,all,oxr_basis_24m_delay24h,2025,KZT,242,242,0.16023048899116318,42,1.920634920634921,64.29970922640672
development_2023_2025,all,oxr_basis_24m_delay24h,2025,TJS,242,242,0.19130432923650226,39,1.7728937728937728,68.0464913114217
development_2023_2025,all,oxr_basis_24m_delay24h,2025,UZS,242,242,0.15182581394655764,44,1.833333333333334,62.59722400664834
