track,scope,config_id,rows,dates,brier,signals,lift,forward_delta_bps
test2026_common_january_freeze,KZT,oxr_full_120m_since2020,122,122,0.24439104793325497,27,1.1296296296296295,26.431126558282106
test2026_common_january_freeze,KZT,oxr_full_120m_since2022,122,122,0.24210725466886204,27,1.1296296296296295,22.58109050056737
test2026_common_january_freeze,KZT,oxr_full_24m_delay24h,122,122,0.2555156697933563,27,1.1296296296296295,14.557194847583613
test2026_common_january_freeze,KZT,oxr_full_24m_delay48h,122,122,0.24796445138813913,29,1.1393678160919538,19.465011894415102
test2026_common_january_freeze,KZT,oxr_returns_120m_delay24h,122,122,0.24476580396033523,27,1.1296296296296295,25.807007119384387
test2026_common_january_freeze,KZT,oxr_returns_120m_delay48h,122,122,0.24185386674034437,27,1.1296296296296295,26.431126558282106
test2026_common_january_freeze,KZT,oxr_returns_24m_delay24h,122,122,0.2540098841047259,26,1.0753205128205128,27.957675126001632
test2026_common_january_freeze,KZT,oxr_returns_24m_delay48h,122,122,0.2474204692625676,26,1.173076923076923,18.026555701265487
test2026_common_january_freeze,KZT,v3_120m,122,122,0.24223110959416028,27,1.2237654320987652,28.662941820207514
test2026_common_january_freeze,KZT,v3_24m,122,122,0.24552243624905612,26,0.9775641025641025,28.73151077921042
test2026_common_march_freeze,all,oxr_basis_120m_delay24h,610,122,0.23317870960471462,141,1.1163641909409792,16.48971505298991
test2026_common_march_freeze,all,oxr_basis_120m_delay48h,610,122,0.2320979572364257,141,1.1721824004880281,18.79740670519528
test2026_common_march_freeze,all,oxr_basis_120m_since2020,610,122,0.2323808335662781,142,1.1075805719473446,16.63776010188906
test2026_common_march_freeze,all,oxr_basis_120m_since2022,610,122,0.2296722559738515,138,1.2534246575342467,27.05993995379111
test2026_common_march_freeze,all,oxr_basis_24m_delay24h,610,122,0.23408230030821445,142,1.144673123486683,18.244039113813386
test2026_common_march_freeze,all,oxr_basis_24m_delay48h,610,122,0.23365347656008015,142,1.2353030074051685,22.54929296887158
test2026_common_march_freeze,all,oxr_coverage_120m,610,122,0.23282395078315124,142,1.1267221801665406,18.71241182940962
test2026_common_march_freeze,all,oxr_full_120m_delay24h,610,122,0.23433382681851267,141,1.1721824004880281,18.571046657868795
test2026_common_march_freeze,all,oxr_full_120m_delay48h,610,122,0.23291531749474736,142,1.163663890991673,17.446944508275166
test2026_common_march_freeze,all,oxr_full_120m_since2020,610,122,0.23385946519648634,140,1.1410610242256978,19.908998375620648
test2026_common_march_freeze,all,oxr_full_120m_since2022,610,122,0.2296504362253289,138,1.2724159402241595,26.40104988117133
test2026_common_march_freeze,all,oxr_full_24m_delay24h,610,122,0.23051514827451003,145,1.1927121907865503,16.22705183170164
test2026_common_march_freeze,all,oxr_full_24m_delay48h,610,122,0.23317958808431563,146,1.1121893839141304,14.912324458974842
test2026_common_march_freeze,all,oxr_returns_120m_delay24h,610,122,0.23475395080117367,141,1.1163641909409792,18.959278798750702
test2026_common_march_freeze,all,oxr_returns_120m_delay48h,610,122,0.23324410673808582,141,1.1535763306390117,19.467933801611554
test2026_common_march_freeze,all,oxr_returns_24m_delay24h,610,122,0.23131773042363077,145,1.1565693971263518,15.514660957181075
test2026_common_march_freeze,all,oxr_returns_24m_delay48h,610,122,0.2313686190534926,144,1.1645041014168531,17.74050087075555
test2026_common_march_freeze,all,v3_120m,610,122,0.23235923898564068,141,1.1146642302421197,17.952508252989944
test2026_common_march_freeze,all,v3_24m,610,122,0.23458580050698047,144,1.1463087248322148,16.158194714241915
test2026_common_march_freeze,KZT,oxr_basis_120m_delay24h,122,122,0.24400240713790317,27,1.1296296296296295,22.58109050056737
test2026_common_march_freeze,KZT,oxr_basis_120m_delay48h,122,122,0.24115511981558158,27,1.2237654320987652,23.063466187114358
test2026_common_march_freeze,KZT,oxr_basis_120m_since2020,122,122,0.24306147549816035,27,1.1296296296296295,25.807007119384387
test2026_common_march_freeze,KZT,oxr_basis_120m_since2022,122,122,0.24204138792579247,27,1.1296296296296295,25.807007119384387
test2026_common_march_freeze,KZT,oxr_basis_24m_delay24h,122,122,0.2500278278647501,29,1.0517241379310343,12.032491978557946
test2026_common_march_freeze,KZT,oxr_basis_24m_delay48h,122,122,0.2479190945963487,29,1.0517241379310343,16.237658674830975
test2026_common_march_freeze,KZT,oxr_coverage_120m,122,122,0.24267139863126813,28,1.1800595238095237,24.91230665092625
test2026_common_march_freeze,KZT,oxr_full_120m_delay24h,122,122,0.24528897536917577,27,1.2237654320987652,23.063466187114358
test2026_common_march_freeze,KZT,oxr_full_120m_delay48h,122,122,0.24134116124552743,28,1.1800595238095237,19.512812290443566
test2026_common_march_freeze,KZT,oxr_full_120m_since2020,122,122,0.24319326051633838,27,1.2237654320987652,22.43934674821664
test2026_common_march_freeze,KZT,oxr_full_120m_since2022,122,122,0.2414890430992398,27,1.2237654320987652,22.43934674821664
test2026_common_march_freeze,KZT,oxr_full_24m_delay24h,122,122,0.25309907421281214,29,1.0517241379310343,12.032491978557946
test2026_common_march_freeze,KZT,oxr_full_24m_delay48h,122,122,0.2502588331277702,31,0.9018817204301073,9.042934342295876
test2026_common_march_freeze,KZT,oxr_returns_120m_delay24h,122,122,0.244963298636736,27,1.1296296296296295,26.431126558282106
test2026_common_march_freeze,KZT,oxr_returns_120m_delay48h,122,122,0.24247271580032065,27,1.2237654320987652,23.063466187114358
test2026_common_march_freeze,KZT,oxr_returns_24m_delay24h,122,122,0.25515920052105506,29,1.0517241379310343,12.032491978557946
test2026_common_march_freeze,KZT,oxr_returns_24m_delay48h,122,122,0.25021066781984186,29,1.1393678160919538,23.115840642665574
test2026_common_march_freeze,KZT,v3_120m,122,122,0.2422858871035243,27,1.1296296296296295,25.807007119384387
test2026_common_march_freeze,KZT,v3_24m,122,122,0.2529532275160379,29,1.0517241379310343,12.032491978557946
