config_id,scope,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
oxr_coverage_120m,all,-0.0004871634092577859,-0.001865116879617796,0.000819731996915456,6,1,0.031136183210680457,-0.055772694278348744,0.1785453048879363,0.20425654603951315,-5.416753388738403,5.541121620663919
oxr_coverage_120m,KZT,-0.0006399756971877998,-0.0024366555120000646,0.0007284473660554776,6,1,0.0,0.0,0.0,0.0,0.0,0.0
oxr_full_120m_since2020,all,-0.0014107262264979861,-0.003673429864769928,0.0007813678405594265,6,1,0.04212693024581493,-0.10643803631712778,0.2576328987653297,4.454759928712207,-1.8995846945400174,12.12354971404163
oxr_full_120m_since2020,KZT,-0.0011977874169165896,-0.003935348509696824,0.0014675891256203982,6,1,0.09413580246913567,0.0,0.27521367521367535,-3.9917798100654664,-18.981637121833188,5.663768968771436
oxr_full_120m_since2022,all,-0.0004831035931262316,-0.0041561857366551455,0.002651103711091595,6,1,0.008762456231692362,-0.025555555555555554,0.051344648531349346,-1.0060443360759628,-5.3544762219282624,1.487318742810455
oxr_full_120m_since2022,KZT,-0.0006182115696222195,-0.004519757648654193,0.002022749670664669,6,1,0.09413580246913567,0.0,0.27521367521367535,-0.141743752350731,-13.82679148637601,9.878479445708582
oxr_basis_120m_since2020,all,-0.0010413855849392604,-0.002272685938683172,0.00013503096858796454,6,1,0.03691935239824473,0.0,0.1554915672562731,0.36092704211251103,-0.3439025479640492,1.4489971240471284
oxr_basis_120m_since2020,KZT,0.0013781207792672389,-0.0002964670433586502,0.0030394666059468138,6,0,0.0,0.0,0.0,-0.6241194388977185,-2.022146982028609,0.0
oxr_basis_120m_since2022,all,-0.0007540449718781047,-0.0038860747098459964,0.0019443390311195661,6,1,0.018991282689912792,0.0,0.07998307236563695,0.2797442712267113,0.0,0.8213767963677938
oxr_basis_120m_since2022,KZT,0.00019812721393744063,-0.0028257795808169553,0.0022291929849266165,6,0,0.0,0.0,0.0,0.0,0.0,0.0
