track,scope,config_id,baseline,block,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
development_2023_2025,all,oxr_basis_120m_since2022,v3_120m,20,-0.00038814456271509646,-0.0013928736007710332,0.000518432260123462,39,1,,,,,,
development_2023_2025,all,oxr_basis_120m_since2022,v3_120m,60,-0.00038814456271509646,-0.0011805950828526035,0.00045771353539111735,15,1,,,,,,
development_2023_2025,all,oxr_basis_24m_delay24h,v3_24m,month,-0.00016040433174400735,-0.0014257930272237162,0.0009465640285344632,36,2,-0.047550671195894845,-0.1387853178339965,0.04512442728873009,-6.879662925531953,-15.19971725163992,0.9716808209664122
development_2023_2025,all,oxr_basis_24m_delay24h,v3_24m,20,-0.00016040433174400735,-0.0014877529796218025,0.0010489961563293685,39,2,,,,,,
development_2023_2025,all,oxr_basis_24m_delay24h,v3_24m,60,-0.00016040433174400735,-0.0010012657396258695,0.0007779326326600935,15,2,,,,,,
development_2023_2025,all,oxr_basis_24m_delay48h,v3_24m,month,-0.0010685468543766036,-0.0023247995140012233,0.0001220920093206312,36,2,-0.035918274152883845,-0.09568372423524679,0.030353163134595896,-1.0745514954095725,-5.388374218083153,3.664966885751358
development_2023_2025,all,oxr_basis_24m_delay48h,v3_24m,20,-0.0010685468543766036,-0.0021886257270329473,-1.0944407213780544e-05,39,2,,,,,,
development_2023_2025,all,oxr_basis_24m_delay48h,v3_24m,60,-0.0010685468543766036,-0.001970030034521238,-0.00011873248815436668,15,2,,,,,,
development_2023_2025,all,oxr_coverage_120m,v3_120m,month,0.000164154540985691,-0.00017852523833864024,0.0005056312322547223,36,1,-0.017573169113519027,-0.04705390281754644,0.009972579079823615,-1.5375084162177046,-5.277911219254593,1.4522663524570434
development_2023_2025,all,oxr_coverage_120m,v3_120m,20,0.000164154540985691,-0.0002356051473700809,0.0005467292758366334,39,1,,,,,,
development_2023_2025,all,oxr_coverage_120m,v3_120m,60,0.000164154540985691,-0.00028041352876715883,0.0005312692087801582,15,1,,,,,,
development_2023_2025,all,oxr_full_120m_delay24h,v3_120m,month,0.0008685641606696663,-0.0010140297183088582,0.002642678523809581,36,2,-0.030094135012727063,-0.12952898645835403,0.068265296974732,-1.9260986727366642,-9.80169002891894,5.866667918289184
development_2023_2025,all,oxr_full_120m_delay24h,v3_120m,20,0.0008685641606696663,-0.001004738812591044,0.002743620918306405,39,2,,,,,,
development_2023_2025,all,oxr_full_120m_delay24h,v3_120m,60,0.0008685641606696663,-0.0014553783220890377,0.003209631302751644,15,2,,,,,,
development_2023_2025,all,oxr_full_120m_delay48h,v3_120m,month,0.0003756783438633045,-0.0013330784188281604,0.001994761898538216,36,2,-0.05132273837290802,-0.12521694692596833,0.020797237048791013,2.1644591835164917,-3.3069654625028586,8.0788373826468
development_2023_2025,all,oxr_full_120m_delay48h,v3_120m,20,0.0003756783438633045,-0.0015255512436429352,0.0023320289715698388,39,2,,,,,,
development_2023_2025,all,oxr_full_120m_delay48h,v3_120m,60,0.0003756783438633045,-0.0021071731735735513,0.0025041437828012885,15,2,,,,,,
development_2023_2025,all,oxr_full_120m_since2020,v3_120m,month,0.001394049908649145,-0.000110601965039803,0.002806329481350774,36,0,0.0035506993940341847,-0.07732470296749988,0.08407925017804119,1.464824663753383,-6.64323481392266,8.723632935246068
development_2023_2025,all,oxr_full_120m_since2020,v3_120m,20,0.001394049908649145,-0.00018083314362158986,0.002945103364299604,39,0,,,,,,
