config_id,fold_test_year,signal_date,corridor,wait_cbr_rows,future_date,counterfactual_official_rate_change_while_waiting_bps,is_fast_slow_confirmation_pair
logit_plus_kazakhstan_official,2023,2023-06-15,KZT,1,2023-06-16,-77.19522251482869,False
logit_plus_kazakhstan_official,2023,2023-06-15,KZT,2,2023-06-17,-150.29393770116695,False
logit_plus_kazakhstan_official,2023,2023-06-15,KZT,3,2023-06-20,-92.46402255739028,False
logit_plus_kazakhstan_official,2023,2023-06-15,KZT,5,2023-06-22,-2.128055755059588,False
logit_plus_kazakhstan_official,2023,2023-06-21,KZT,1,2023-06-22,-24.100350888367483,False
logit_plus_kazakhstan_official,2023,2023-06-21,KZT,2,2023-06-23,-79.83904787688512,False
logit_plus_kazakhstan_official,2023,2023-06-21,KZT,3,2023-06-24,-28.82486901406134,False
logit_plus_kazakhstan_official,2023,2023-06-21,KZT,5,2023-06-28,31.69143057347279,False
logit_plus_kazakhstan_official,2023,2023-06-27,KZT,1,2023-06-28,-21.543530604485326,False
logit_plus_kazakhstan_official,2023,2023-06-27,KZT,2,2023-06-29,38.49322012419165,False
logit_plus_kazakhstan_official,2023,2023-06-27,KZT,3,2023-06-30,204.39952688717122,False
logit_plus_kazakhstan_official,2023,2023-06-27,KZT,5,2023-07-04,497.03248426477444,False
logit_plus_kazakhstan_official,2023,2023-07-01,KZT,1,2023-07-04,214.41343308122418,False
logit_plus_kazakhstan_official,2023,2023-07-01,KZT,2,2023-07-05,266.9249424531417,False
logit_plus_kazakhstan_official,2023,2023-07-01,KZT,3,2023-07-06,388.9037323248945,False
logit_plus_kazakhstan_official,2023,2023-07-01,KZT,5,2023-07-08,614.2613449523204,False
logit_plus_kazakhstan_official,2023,2023-07-11,KZT,1,2023-07-12,-131.41554283496615,False
logit_plus_kazakhstan_official,2023,2023-07-11,KZT,2,2023-07-13,-33.56941884156362,False
logit_plus_kazakhstan_official,2023,2023-07-11,KZT,3,2023-07-14,-70.38905598137136,False
logit_plus_kazakhstan_official,2023,2023-07-11,KZT,5,2023-07-18,-175.56029882603963,False
logit_plus_kazakhstan_official,2023,2023-07-15,KZT,1,2023-07-18,-35.62203252232554,False
logit_plus_kazakhstan_official,2023,2023-07-15,KZT,2,2023-07-19,-2.8536987379768064,False
logit_plus_kazakhstan_official,2023,2023-07-15,KZT,3,2023-07-20,103.37277669807409,False
logit_plus_kazakhstan_official,2023,2023-07-15,KZT,5,2023-07-22,16.187360082657865,False
logit_plus_kazakhstan_official,2023,2023-07-21,AMD,1,2023-07-22,-56.633134635498685,False
logit_plus_kazakhstan_official,2023,2023-07-21,AMD,2,2023-07-25,-60.842354101650066,False
logit_plus_kazakhstan_official,2023,2023-07-21,AMD,3,2023-07-26,-95.19638772438554,False
logit_plus_kazakhstan_official,2023,2023-07-21,AMD,5,2023-07-28,-93.36814088555245,False
logit_plus_kazakhstan_official,2023,2023-07-27,AMD,1,2023-07-28,-1.6306213525574265,False
logit_plus_kazakhstan_official,2023,2023-07-27,AMD,2,2023-07-29,108.17885341572352,False
logit_plus_kazakhstan_official,2023,2023-07-27,AMD,3,2023-08-01,178.5101270168221,False
logit_plus_kazakhstan_official,2023,2023-07-27,AMD,5,2023-08-03,298.06041881222046,False
logit_plus_kazakhstan_official,2023,2023-08-02,AMD,1,2023-08-03,98.29581317063018,False
logit_plus_kazakhstan_official,2023,2023-08-02,AMD,2,2023-08-04,218.30422890805724,False
logit_plus_kazakhstan_official,2023,2023-08-02,AMD,3,2023-08-05,328.5083105407116,False
logit_plus_kazakhstan_official,2023,2023-08-02,AMD,5,2023-08-09,460.9299389859034,False
logit_plus_kazakhstan_official,2023,2023-08-08,AMD,1,2023-08-09,-60.41221038322276,False
logit_plus_kazakhstan_official,2023,2023-08-08,AMD,2,2023-08-10,86.8000719668971,False
logit_plus_kazakhstan_official,2023,2023-08-08,AMD,3,2023-08-11,74.84557103732526,False
logit_plus_kazakhstan_official,2023,2023-08-08,AMD,5,2023-08-15,449.11340783239996,False
logit_plus_kazakhstan_official,2023,2023-08-12,AMD,1,2023-08-15,272.26526112231306,False
logit_plus_kazakhstan_official,2023,2023-08-12,AMD,2,2023-08-16,-96.84735143718592,False
logit_plus_kazakhstan_official,2023,2023-08-12,AMD,3,2023-08-17,-152.18869511557597,False
logit_plus_kazakhstan_official,2023,2023-08-12,AMD,5,2023-08-19,-492.137048435467,False
logit_plus_kazakhstan_official,2023,2023-08-19,KZT,1,2023-08-22,111.27916491036727,False
logit_plus_kazakhstan_official,2023,2023-08-19,KZT,2,2023-08-23,318.11757704991226,False
logit_plus_kazakhstan_official,2023,2023-08-19,KZT,3,2023-08-24,335.5731323299693,False
logit_plus_kazakhstan_official,2023,2023-08-19,KZT,5,2023-08-26,165.18310976668005,False
logit_plus_kazakhstan_official,2023,2023-08-30,KZT,1,2023-08-31,79.80876926731995,False
logit_plus_kazakhstan_official,2023,2023-08-30,KZT,2,2023-09-01,122.47688406394452,False
logit_plus_kazakhstan_official,2023,2023-08-30,KZT,3,2023-09-02,161.70245778038384,False
logit_plus_kazakhstan_official,2023,2023-08-30,KZT,5,2023-09-06,291.7917214159993,False
logit_plus_kazakhstan_official,2023,2023-09-05,AMD,1,2023-09-06,94.51101430641984,False
logit_plus_kazakhstan_official,2023,2023-09-05,AMD,2,2023-09-07,125.61539966539969,False
logit_plus_kazakhstan_official,2023,2023-09-05,AMD,3,2023-09-08,162.07021844941494,False
logit_plus_kazakhstan_official,2023,2023-09-05,AMD,5,2023-09-12,-12.577511409598285,False
logit_plus_kazakhstan_official,2023,2023-09-09,AMD,1,2023-09-12,-144.56207816359924,False
