config_id,cutoff,year,mode,policy,rows,dates,signals,weeks,weeks_1_2,signals_per_week,silent_weeks,brier,base_hit,hit_rate,lift,forward_delta_bps,forward_signal_bps
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2025-01-01,2025,normal,cadence85_cd2,242,242,58,51,0.8627450980392157,1.1372549019607843,7,0.1434721521575407,0.19834710743801653,0.39655172413793105,1.9992816091954024,57.012564850973035,28.766265963252927
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2025-01-01,2025,oxr_delayed,cadence85_cd2,242,242,80,51,0.9607843137254902,1.5686274509803921,2,0.22510007151046538,0.19834710743801653,0.1375,0.6932291666666667,-18.120635555098794,-46.3669344428189
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,bank_delayed,legacy,156,156,34,33,0.8787878787878788,1.0303030303030303,4,0.22566437535842865,0.36538461538461536,0.4117647058823529,1.1269349845201238,34.0931724665834,71.25774875830251
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,both_delayed,legacy,156,156,34,33,0.8787878787878788,1.0303030303030303,4,0.22437533901396903,0.36538461538461536,0.4117647058823529,1.1269349845201238,36.21346038572729,73.3780366774464
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,normal,legacy,156,156,34,33,0.9090909090909091,1.0303030303030303,3,0.2197216321265311,0.36538461538461536,0.4411764705882353,1.2074303405572755,35.7284308594775,72.89300715119661
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,oxr_delayed,legacy,156,156,35,33,0.9393939393939394,1.0606060606060606,2,0.21787792420462318,0.36538461538461536,0.5142857142857142,1.4075187969924812,38.163377899255366,75.32795419097448
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,bank_delayed,cadence90_cd3,156,156,37,33,0.9393939393939394,1.121212121212121,2,0.22566437535842865,0.36538461538461536,0.35135135135135137,0.961593172119488,11.74130278679084,48.905879078509955
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,both_delayed,cadence90_cd3,156,156,39,33,1.0,1.1818181818181819,0,0.22437533901396903,0.36538461538461536,0.3333333333333333,0.9122807017543859,10.827763976814225,47.99234026853334
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,normal,cadence90_cd3,156,156,36,33,0.9696969696969697,1.0909090909090908,1,0.2197216321265311,0.36538461538461536,0.4166666666666667,1.1403508771929827,26.55181559634972,63.716391888068834
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,oxr_delayed,cadence90_cd3,156,156,37,33,0.9393939393939394,1.121212121212121,2,0.21787792420462318,0.36538461538461536,0.43243243243243246,1.1834992887624467,2.959218593334981,40.123794885054096
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,bank_delayed,cadence90_cd2,156,156,39,33,0.8484848484848485,1.1818181818181819,5,0.22566437535842865,0.36538461538461536,0.46153846153846156,1.2631578947368423,49.934311114118074,87.09888740583719
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,both_delayed,cadence90_cd2,156,156,42,33,0.9090909090909091,1.2727272727272727,3,0.22437533901396903,0.36538461538461536,0.4523809523809524,1.2380952380952381,46.17025347613644,83.33482976785555
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,normal,cadence90_cd2,156,156,40,33,0.9090909090909091,1.2121212121212122,3,0.2197216321265311,0.36538461538461536,0.475,1.3,43.91695998093361,81.08153627265273
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,oxr_delayed,cadence90_cd2,156,156,42,33,0.9696969696969697,1.2727272727272727,1,0.21787792420462318,0.36538461538461536,0.47619047619047616,1.3032581453634084,36.34891412685637,73.51349041857549
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,bank_delayed,cadence85_cd2,156,156,39,33,0.8484848484848485,1.1818181818181819,5,0.22566437535842865,0.36538461538461536,0.46153846153846156,1.2631578947368423,49.934311114118074,87.09888740583719
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,both_delayed,cadence85_cd2,156,156,42,33,0.9090909090909091,1.2727272727272727,3,0.22437533901396903,0.36538461538461536,0.4523809523809524,1.2380952380952381,46.17025347613644,83.33482976785555
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,normal,cadence85_cd2,156,156,40,33,0.9090909090909091,1.2121212121212122,3,0.2197216321265311,0.36538461538461536,0.475,1.3,43.91695998093361,81.08153627265273
blend_treasH_tabm_periodic_kzt_120m_s0_bankaug_kztcal,2026-01-01,2026,oxr_delayed,cadence85_cd2,156,156,42,33,0.9696969696969697,1.2727272727272727,1,0.21787792420462318,0.36538461538461536,0.47619047619047616,1.3032581453634084,36.34891412685637,73.51349041857549
blend_treasH_tabm_periodic_kzt_120m_s0_kztcal,2025-01-01,2025,bank_delayed,legacy,242,242,45,51,0.7843137254901961,0.8823529411764706,11,0.1473333834022815,0.19834710743801653,0.37777777777777777,1.9046296296296295,47.18394933029049,18.937650442570376
blend_treasH_tabm_periodic_kzt_120m_s0_kztcal,2025-01-01,2025,both_delayed,legacy,242,242,60,51,0.9411764705882353,1.1764705882352942,3,0.35930566152218196,0.19834710743801653,0.15,0.75625,-0.8203922012711118,-29.06669108899122
blend_treasH_tabm_periodic_kzt_120m_s0_kztcal,2025-01-01,2025,normal,legacy,242,242,46,51,0.7843137254901961,0.9019607843137255,11,0.1431393153483634,0.19834710743801653,0.30434782608695654,1.5344202898550725,46.62435073204064,18.37805184432053
