year,mode,baseline,candidate,bootstrap_repetitions,delta_brier,ci_low,ci_high,blocks,improved_years,lift_delta,lift_ci_low,lift_ci_high,forward_delta_bps_delta,forward_delta_bps_ci_low,forward_delta_bps_ci_high
2026,bank_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_noage_kztcal,10000,-0.001564205990900326,-0.011018798334241298,0.008621174701028118,8,1,0.0,-0.6085527982928497,0.38875451556302576,10.919874299971934,-15.984244383911843,37.561706356576636
2026,both_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_bankaug_kztcal,10000,0.012495538982066816,-0.008379614368806416,0.04824322430287719,8,0,-0.15204678362573099,-0.4508863880832825,0.0,-18.943388137446007,-37.83700955075815,-1.35933080639433
2026,both_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_allaug_kztcal,10000,0.031985812353945264,-0.006084564861058001,0.08952025676181755,8,0,-0.15204678362573099,-0.4508863880832825,0.0,-21.142260604881663,-39.38999377554112,-2.9452167471877395
2026,both_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_noage_kztcal,10000,-0.002774068325290584,-0.010641574793563018,0.0062302346100774255,8,1,0.0,-0.31008802728279483,0.2415710678210676,7.672718852102339,-17.17705497477797,37.6978822882162
2026,normal,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_bankaug_kztcal,10000,0.02579610244129803,0.006697195634667848,0.056025873391665044,8,0,-0.11959310039805393,-0.38809523809523805,0.0,-7.947158889165365,-48.667660397328454,25.469160482381877
2026,normal,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_allaug_kztcal,10000,0.04356155291793458,0.005226651698449662,0.10123258914365264,8,0,-0.44060615936125136,-1.3157894736842102,-0.04892307692307707,-39.64710072964735,-65.90904515739064,-14.516047925298901
2026,normal,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_noage_kztcal,10000,0.003154954776005311,-0.008082908064883813,0.015849661310258657,8,0,-0.2759840778416629,-1.1261847785285288,0.02929888373259759,0.1640594317895463,-28.632837302617826,25.958391540176066
2026,oxr_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_bankaug_kztcal,10000,0.021032407328893995,0.0023407146917118244,0.05276734716748615,8,0,0.07582592845750757,-0.1848707790982833,0.25509514260249533,-15.06620336770068,-65.24433514372727,17.36480419124944
2026,oxr_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_allaug_kztcal,10000,0.04202441793956145,0.0032648177028988036,0.09819325520716726,8,0,-0.40157810794929905,-1.1464144283746556,-0.04892307692307707,-42.125812443071666,-67.31106428267577,-15.724353627607915
2026,oxr_delayed,tabm_periodic_kzt_120m_s0_kztcal,tabm_periodic_kzt_120m_s0_noage_kztcal,10000,0.002182960016967345,-0.008701201517186207,0.01403163157169127,8,0,-0.2369560264297106,-0.935880161686613,0.02929888373259759,-2.314652281634771,-31.45682075607737,25.883036584706872
