year,config_id,mode,scope,rows,dates,brier,signals,lift,forward_delta_bps
2026,tabm_periodic_kzt_120m_s0_noage_kztcal,both_delayed,KZT,156,156,0.20794422879456403,36,1.0643274853801172,30.608193913804193
2026,tabm_periodic_kzt_120m_s0_noage_kztcal,normal,KZT,156,156,0.19655042268378137,35,1.1729323308270678,46.42435513946252
2026,tabm_periodic_kzt_120m_s0_noage_kztcal,oxr_delayed,KZT,156,156,0.1964082540346807,35,1.1729323308270678,48.056578433121885
2026,tabm_periodic_kzt_120m_s1_kztcal,bank_delayed,KZT,156,156,0.2076053705278651,36,1.216374269005848,23.840197050610264
2026,tabm_periodic_kzt_120m_s1_kztcal,both_delayed,KZT,156,156,0.20209236556232593,39,0.9122807017543862,9.935210836592814
2026,tabm_periodic_kzt_120m_s1_kztcal,normal,KZT,156,156,0.19997756924198426,35,1.3293233082706768,40.89908666855338
2026,tabm_periodic_kzt_120m_s1_kztcal,oxr_delayed,KZT,156,156,0.19429274231154936,38,0.8642659279778395,-8.03831585788563
2026,tabm_periodic_kzt_120m_s2_kztcal,bank_delayed,KZT,156,156,0.21039702641961283,35,1.1729323308270678,24.419075561501792
2026,tabm_periodic_kzt_120m_s2_kztcal,both_delayed,KZT,156,156,0.21389425847391857,35,1.3293233082706768,33.33652535613756
2026,tabm_periodic_kzt_120m_s2_kztcal,normal,KZT,156,156,0.19836603111443796,34,1.3684210526315792,40.8759437312599
2026,tabm_periodic_kzt_120m_s2_kztcal,oxr_delayed,KZT,156,156,0.20089561180147777,34,1.2879256965944275,40.222462675822385
2026,tabm_periodic_kzt_120m_sensemble3_kztcal,bank_delayed,KZT,156,156,0.2079537284261159,36,1.216374269005848,23.372107471436976
2026,tabm_periodic_kzt_120m_sensemble3_kztcal,both_delayed,KZT,156,156,0.20367060154029926,37,0.9615931721194881,20.986823308212635
2026,tabm_periodic_kzt_120m_sensemble3_kztcal,normal,KZT,156,156,0.196641771731045,34,1.3684210526315792,40.8759437312599
2026,tabm_periodic_kzt_120m_sensemble3_kztcal,oxr_delayed,KZT,156,156,0.19183554184968746,36,1.3684210526315792,50.08143951141579
